期間,合計_原始值,合計_年增率(%),亞洲_原始值,亞洲_年增率(%),美洲_原始值,美洲_年增率(%),歐洲_原始值,歐洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),非洲_原始值,非洲_年增率(%),未列明_原始值,未列明_年增率(%)
2007M09,"758,748",8.60,"647,572",8.35,"58,703",3.77,"27,098",13.23,"9,933",15.74,1,--,"15,441",29.66
2007M10,"769,592",-1.10,"677,088",-0.80,"47,357",-10.76,"22,135",6.39,"10,137",5.57,0,--,"12,875",6.36
2007M11,"661,099",3.03,"588,650",3.93,"41,413",-4.51,"17,706",-4.45,"7,378",-6.14,0,--,"5,952",7.98
2007M12,"626,438",1.84,"565,649",5.45,"40,764",-13.03,"12,525",-11.92,"6,910",-16.35,0,--,590,-93.69
2008M01,"662,847",5.03,"572,899",6.87,"60,422",4.37,"17,383",3.55,"11,386",8.78,0,--,757,-92.33
2008M02,"776,687",0.50,"698,364",3.22,"46,218",-20.94,"19,688",23.21,"12,020",2.07,0,--,397,-96.05
2008M03,"663,305",-7.36,"586,077",-5.57,"48,615",-6.00,"18,875",-13.85,"8,091",-25.52,38,--,"1,609",-85.22
2008M04,"769,832",2.37,"676,298",3.34,"52,624",-1.60,"20,119",-1.71,"8,495",-23.07,0,--,"12,296",-2.38
2008M05,"733,000",-3.20,"639,116",-2.55,"50,868",-13.40,"21,652",1.34,"7,157",-21.91,0,--,"14,207",17.67
2008M06,"726,563",-8.32,"626,332",-7.89,"56,485",-12.50,"21,257",-7.48,"6,830",-36.02,0,--,"15,659",9.46
2008M07,"838,607",-5.92,"730,600",-4.86,"59,041",-18.29,"22,311",-1.80,"8,017",-36.26,0,--,"18,638",16.86
2008M08,"761,432",-8.79,"656,947",-7.41,"58,305",-16.35,"18,850",-17.43,"6,420",-38.36,0,--,"20,910",-6.20
2008M09,"657,988",-13.28,"574,166",-11.34,"45,345",-22.76,"22,020",-18.74,"5,332",-46.32,2,--,"11,123",-27.96
2008M10,"732,191",-4.86,"654,628",-3.32,"37,194",-21.46,"17,834",-19.43,"6,524",-35.64,0,--,"16,011",24.36
2008M11,"583,775",-11.70,"530,166",-9.94,"33,880",-18.19,"13,685",-22.71,"5,833",-20.94,0,--,211,-96.45
2008M12,"558,945",-10.77,"508,133",-10.17,"31,986",-21.53,"11,349",-9.39,"7,116",2.98,0,--,361,-38.81
2009M01,"674,519",1.76,"594,617",3.79,"49,814",-17.56,"18,959",9.07,"10,426",-8.43,0,--,703,-7.13
2009M02,"618,982",-20.30,"566,190",-18.93,"28,702",-37.90,"13,834",-29.73,"9,556",-20.50,0,--,700,76.32
2009M03,"620,797",-6.41,"558,144",-4.77,"32,802",-32.53,"20,985",11.18,"8,373",3.49,0,--,493,-69.36
2009M04,"695,011",-9.72,"627,471",-7.22,"34,295",-34.83,"21,831",8.51,"11,300",33.02,0,--,114,-99.07
2009M05,"635,635",-13.28,"570,207",-10.78,"35,236",-30.73,"20,917",-3.39,"9,173",28.17,2,--,100,-99.30
2009M06,"591,187",-18.63,"526,410",-15.95,"38,363",-32.08,"18,806",-11.53,"7,582",11.01,0,--,26,-99.83
2009M07,"794,198",-5.30,"718,207",-1.70,"42,363",-28.25,"23,725",6.34,"9,594",19.67,0,--,309,-98.34
2009M08,"817,785",7.40,"736,121",12.05,"49,264",-15.51,"24,524",30.10,"7,826",21.90,0,--,50,-99.76
2009M09,"625,834",-4.89,"552,429",-3.79,"45,887",1.20,"20,551",-6.67,"6,412",20.26,395,"19,650.00",160,-98.56
2009M10,"742,345",1.39,"673,435",2.87,"40,084",7.77,"19,502",9.35,"8,341",27.85,849,--,134,-99.16
2009M11,"661,050",13.24,"598,386",12.87,"38,627",14.01,"16,194",18.33,"7,164",22.82,609,--,70,-66.82
2009M12,"665,603",19.08,"598,172",17.72,"42,031",31.40,"16,954",49.39,"7,368",3.54,983,--,95,-73.68
2010M01,"731,609",8.46,"646,818",8.78,"54,596",9.60,"18,844",-0.61,"10,447",0.20,821,--,83,-88.19
2010M02,"837,946",35.37,"754,800",33.31,"51,955",81.02,"19,428",40.44,"11,457",19.89,1,--,305,-56.43
2010M03,"717,854",15.63,"651,289",16.69,"41,725",27.20,"17,764",-15.35,"6,863",-18.03,0,--,213,-56.80
2010M04,"743,940",7.04,"683,094",8.86,"37,793",10.20,"15,539",-28.82,"7,387",-34.63,0,--,127,11.40
2010M05,"767,294",20.71,"704,776",23.60,"39,447",11.95,"16,337",-21.90,"6,394",-30.30,0,--,340,240.00
2010M06,"806,972",36.50,"735,845",39.79,"44,068",14.87,"19,474",3.55,"7,408",-2.29,0,--,177,580.77
2010M07,"987,584",24.35,"902,724",25.69,"54,084",27.67,"17,502",-26.23,"12,227",27.44,1,--,"1,046",238.51
2010M08,"883,581",8.05,"809,514",9.97,"49,699",0.88,"16,122",-34.26,"7,694",-1.69,286,--,266,432.00
2010M09,"782,978",25.11,"726,845",31.57,"37,396",-18.50,"10,747",-47.71,"7,586",18.31,1,-99.75,403,151.88
2010M10,"795,114",7.11,"746,365",10.83,"32,082",-19.96,"9,574",-50.91,"6,954",-16.63,0,--,139,3.73
2010M11,"682,970",3.32,"642,149",7.31,"28,867",-25.27,"6,293",-61.14,"5,494",-23.31,0,--,167,138.57
2010M12,"677,232",1.75,"638,458",6.73,"27,806",-33.84,"4,781",-71.80,"5,934",-19.46,0,--,253,166.32
