期間,市內電話-用戶數(萬戶)_原始值,市內電話-用戶數(萬戶)_年增率(%),市內電話-每百人用戶數(戶／百人)_原始值,市內電話-每百人用戶數(戶／百人)_年增率(%),國際電話去話分鐘數(萬分鐘)_原始值,國際電話去話分鐘數(萬分鐘)_年增率(%),整體服務數位網路(ISDN)用戶數(戶)_原始值,整體服務數位網路(ISDN)用戶數(戶)_年增率(%),數據通信出租電路數(路)_原始值,數據通信出租電路數(路)_年增率(%),分封交換數據通信-用戶數(戶)_原始值,分封交換數據通信-用戶數(戶)_年增率(%),分封交換數據通信-資訊量(百萬節)_原始值,分封交換數據通信-資訊量(百萬節)_年增率(%),無線電叫人用戶數(千戶)_原始值,無線電叫人用戶數(千戶)_年增率(%),行動電話-用戶數(千戶)_原始值,行動電話-用戶數(千戶)_年增率(%),行動電話-每百人用戶數(戶／百人)_原始值,行動電話-每百人用戶數(戶／百人)_年增率(%),行動電話-去話分鐘數(百萬分鐘)_原始值,行動電話-去話分鐘數(百萬分鐘)_年增率(%),網際網路帳號數(千戶)_原始值,網際網路帳號數(千戶)_年增率(%),寬頻(千戶)_原始值,寬頻(千戶)_年增率(%)
2008M02,"1,327",-1.22,57.8,-1.61,"33,342",0.75,"62,265",-2.55,"157,977",-1.42,"2,833",-38.25,648,76.03,"1,071",0.42,"24,420",3.95,106.3,3.54,"2,620",8.94,"6,001",-13.82,"4,829",6.65
2008M03,"1,326",-1.29,57.7,-1.70,"32,198",2.61,"62,347",-1.34,"157,995",-1.66,"2,835",-40.75,477,28.09,"1,086",1.86,"24,472",3.87,106.5,3.43,"2,712",9.63,"6,049",-13.04,"4,844",6.34
2008M04,"1,326",-1.27,57.7,-1.68,"32,674",1.19,"62,445",-1.59,"158,242",-1.24,"2,737",-30.95,650,9.07,"1,102",3.48,"24,527",3.99,106.7,3.55,"2,736",5.84,"6,038",-12.44,"4,857",6.42
2008M05,"1,324",-1.25,57.6,-1.66,"32,567",5.94,"63,278",-0.59,"158,982",-0.34,"2,724",-27.17,513,-5.43,"1,121",5.39,"24,595",4.54,107.0,4.11,"2,802",4.99,"6,065",-6.09,"4,941",8.24
2008M06,"1,323",-1.20,57.5,-1.60,"33,419",9.62,"65,785",2.96,"159,806",0.21,"2,706",-24.90,386,-35.32,"1,135",7.83,"24,676",4.37,107.3,3.95,"2,767",4.95,"6,033",-6.22,"4,933",7.88
2008M07,"1,321",-1.26,57.4,-1.65,"32,653",5.97,"66,901",3.83,"160,666",1.16,"2,596",-17.67,634,10.50,"1,137",8.00,"24,775",4.16,107.7,3.75,"2,862",7.36,"6,033",-3.22,"4,965",8.43
2008M08,"1,319",-1.26,57.3,-1.64,"32,639",1.04,"67,564",13.48,"161,367",1.55,"2,486",-20.50,715,21.17,"1,141",8.27,"24,864",4.18,108.1,3.78,"2,855",6.03,"6,136",-6.81,"5,062",9.85
2008M09,"1,317",-1.30,57.2,-1.66,"32,980",0.45,"66,312",10.46,"162,294",2.33,"2,373",-20.32,707,10.11,"1,132",7.65,"25,036",4.36,108.8,3.98,"2,856",9.53,"6,030",-8.40,"4,976",7.71
2008M10,"1,314",-1.44,57.1,-1.79,"33,537",3.69,"66,378",10.42,"162,902",2.70,"2,207",-25.44,556,0.09,"1,135",7.83,"25,145",4.46,109.3,4.09,"2,896",9.13,"6,032",-8.79,"5,000",4.91
2008M11,"1,311",-1.51,57.0,-1.86,"34,988",4.13,"66,847",8.90,"164,580",3.89,"2,133",-26.24,467,-21.07,"1,134",7.98,"25,284",4.68,109.8,4.31,"2,801",7.62,"6,029",-6.58,"5,018",5.82
2008M12,"1,308",-1.65,56.8,-2.00,"34,343",0.36,"69,798",13.46,"165,775",4.61,"1,656",-42.12,429,-21.86,"1,137",8.28,"25,413",4.63,110.3,4.27,"2,902",8.86,"6,027",0.89,"5,024",4.81
2009M01,"1,305",-1.74,56.6,-2.08,"34,420",1.10,"71,284",15.45,"165,491",4.67,"1,536",-46.07,510,-5.15,"1,121",4.70,"25,486",4.71,110.6,4.36,"2,932",7.37,"6,065",1.10,"5,070",5.32
2009M02,"1,303",-1.78,56.5,-2.11,"33,827",1.45,"72,470",16.39,"165,466",4.74,"1,523",-46.24,444,-31.46,"1,133",5.79,"25,578",4.74,111.0,4.39,"2,809",7.22,"6,049",0.80,"5,062",4.82
2009M03,"1,300",-1.97,56.4,-2.30,"30,898",-4.04,"74,826",20.02,"165,831",4.96,"1,510",-46.74,451,-5.55,"1,136",4.66,"25,672",4.90,111.4,4.55,"2,950",8.77,"6,039",-0.16,"5,058",4.41
2009M04,"1,297",-2.15,56.2,-2.48,"34,154",4.53,"79,566",27.42,"165,557",4.62,"1,499",-45.23,545,-16.16,"1,136",3.07,"25,879",5.52,112.2,5.16,"2,981",8.96,"5,834",-3.38,"4,930",1.50
2009M05,"1,295",-2.21,56.2,-2.53,"34,251",5.17,"80,246",26.82,"165,101",3.85,"1,496",-45.08,524,2.07,"1,136",1.34,"26,022",5.80,112.8,5.46,"3,032",8.20,"5,808",-4.25,"4,908",-0.66
2009M06,"1,293",-2.27,56.1,-2.58,"34,394",2.92,"80,255",22.00,"166,082",3.93,"1,478",-45.38,492,27.54,"1,135",-0.02,"26,168",6.05,113.4,5.70,"3,056",10.44,"5,815",-3.61,"4,962",0.58
2009M07,"1,291",-2.27,56.0,-2.59,"34,622",6.03,"87,385",30.62,"166,471",3.61,"1,451",-44.11,488,-23.16,"1,136",-0.12,"26,325",6.25,114.1,5.91,"3,127",9.26,"5,779",-4.20,"4,964",-0.02
2009M08,"1,288",-2.32,55.8,-2.65,"34,270",5.00,"86,600",28.17,"166,384",3.11,"1,437",-42.20,525,-26.64,"1,136",-0.46,"26,457",6.41,114.6,6.05,"3,201",12.12,"5,802",-5.44,"5,022",-0.79
2009M09,"1,286",-2.37,55.7,-2.69,"34,482",4.55,"85,062",28.28,"166,638",2.68,"1,408",-40.67,490,-30.61,"1,129",-0.30,"26,606",6.27,115.3,5.92,"3,114",9.05,"5,756",-4.54,"5,004",0.57
2009M10,"1,286",-2.17,55.7,-2.51,"37,164",10.81,"86,201",29.86,"166,345",2.11,"1,355",-38.60,511,-8.09,"1,124",-1.00,"26,725",6.28,115.7,5.91,"3,141",8.46,"5,720",-5.17,"4,999",-0.01
2009M11,"1,284",-2.11,55.6,-2.46,"37,852",8.19,"85,901",28.50,"167,144",1.56,"1,346",-36.90,488,4.61,"1,123",-1.01,"26,828",6.11,116.1,5.73,"3,096",10.56,"5,689",-5.64,"4,999",-0.38
2009M12,"1,282",-2.00,55.5,-2.34,"38,940",13.38,"88,804",27.23,"165,225",-0.33,"1,339",-19.14,401,-6.44,"1,121",-1.36,"26,959",6.08,116.6,5.71,"3,224",11.12,"5,668",-5.96,"4,998",-0.53
2010M01,"1,281",-1.87,55.4,-2.21,"40,132",16.59,"90,305",26.68,"163,915",-0.95,"1,310",-14.71,151,-70.33,"1,102",-1.67,"27,019",6.02,116.8,5.65,"3,294",12.34,"5,654",-6.77,"5,004",-1.31
2010M02,"1,280",-1.79,55.3,-2.12,"38,666",14.31,"91,204",25.85,"164,039",-0.86,"1,293",-15.10,13,-97.10,"1,122",-0.98,"27,091",5.92,117.1,5.56,"3,076",9.52,"5,663",-6.37,"5,025",-0.72
