期間,出口總值_原始值,出口總值_年增率(%),出口總值_原始值,出口總值_年增率(%),進口總值_原始值,進口總值_年增率(%),進口總值_原始值,進口總值_年增率(%)
1981M01,"59,856",4.25,"1,666.8",4.46,"56,965",4.97,"1,581.9",5.18
1981M02,"50,577",-0.35,"1,406.5",-0.30,"62,404",38.42,"1,730.6",38.50
1981M03,"65,207",20.99,"1,818.9",21.43,"75,131",20.73,"2,089.9",21.17
1981M04,"68,960",23.35,"1,910.3",23.05,"73,070",23.34,"2,018.5",23.03
1981M05,"75,687",30.02,"2,075.3",28.34,"70,764",12.44,"1,935.0",11.00
1981M06,"71,381",17.94,"1,970.2",17.13,"70,678",14.31,"1,945.4",13.52
1981M07,"72,925",21.23,"2,010.6",20.26,"58,569",-13.05,"1,610.4",-13.75
1981M08,"83,376",37.49,"2,303.8",36.61,"72,002",11.46,"1,984.1",10.76
1981M09,"69,163",4.65,"1,822.5",-0.95,"53,462",-5.41,"1,405.0",-10.46
1981M10,"73,776",22.68,"1,952.3",16.48,"62,685",7.39,"1,654.4",1.97
1981M11,"69,407",12.84,"1,836.2",7.11,"63,421",7.34,"1,673.4",1.90
1981M12,"72,199",7.83,"1,913.1",2.52,"60,800",1.49,"1,606.8",-3.50
1982M01,"65,561",9.53,"1,734.9",4.09,"55,785",-2.07,"1,472.3",-6.93
1982M02,"57,990",14.66,"1,538.2",9.36,"58,836",-5.72,"1,556.5",-10.06
1982M03,"70,614",8.29,"1,863.7",2.46,"61,808",-17.73,"1,627.0",-22.15
1982M04,"71,813",4.14,"1,890.8",-1.02,"69,314",-5.14,"1,820.2",-9.82
1982M05,"76,035",0.46,"1,986.8",-4.26,"68,585",-3.08,"1,787.5",-7.62
1982M06,"72,635",1.76,"1,880.3",-4.56,"56,784",-19.66,"1,466.1",-24.64
1982M07,"78,692",7.91,"2,012.6",0.10,"63,966",9.21,"1,631.8",1.33
1982M08,"78,724",-5.58,"1,997.6",-13.29,"66,667",-7.41,"1,687.3",-14.96
1982M09,"72,260",4.48,"1,819.7",-0.15,"54,195",1.37,"1,361.3",-3.11
1982M10,"69,283",-6.09,"1,742.5",-10.75,"59,286",-5.42,"1,487.4",-10.09
1982M11,"71,172",2.54,"1,784.2",-2.83,"53,871",-15.06,"1,347.1",-19.50
1982M12,"83,070",15.06,"2,045.6",6.93,"68,313",12.36,"1,678.0",4.43
1983M01,"66,634",1.64,"1,670.9",-3.69,"58,884",5.56,"1,472.8",0.03
1983M02,"62,684",8.09,"1,574.2",2.34,"48,050",-18.33,"1,203.7",-22.67
1983M03,"71,376",1.08,"1,791.1",-3.90,"74,211",20.07,"1,857.6",14.17
1983M04,"83,607",16.42,"2,091.7",10.63,"57,781",-16.64,"1,442.0",-20.78
1983M05,"85,963",13.06,"2,152.8",8.36,"70,614",2.96,"1,764.0",-1.31
1983M06,"88,820",22.28,"2,222.2",18.18,"56,321",-0.82,"1,405.6",-4.13
1983M07,"93,151",18.37,"2,323.0",15.42,"72,449",13.26,"1,802.2",10.44
1983M08,"96,422",22.48,"2,406.9",20.49,"76,339",14.51,"1,900.9",12.66
1983M09,"86,841",20.18,"2,164.5",18.95,"60,126",10.94,"1,494.9",9.81
1983M10,"85,896",23.98,"2,141.0",22.87,"76,503",29.04,"1,902.1",27.88
1983M11,"94,734",33.11,"2,361.3",32.35,"80,317",49.09,"1,996.9",48.24
1983M12,"92,662",11.55,"2,307.3",12.79,"83,455",22.17,"2,072.9",23.53
1984M01,"94,912",42.44,"2,361.6",41.34,"64,863",10.15,"1,609.9",9.31
1984M02,"76,518",22.07,"1,906.7",21.12,"67,406",40.28,"1,675.5",39.20
1984M03,"99,197",38.98,"2,475.6",38.22,"71,338",-3.87,"1,775.9",-4.40
1984M04,"103,590",23.90,"2,603.4",24.46,"72,571",25.60,"1,819.3",26.17
1984M05,"114,161",32.80,"2,885.8",34.05,"80,329",13.76,"2,025.5",14.82
1984M06,"107,750",21.31,"2,710.7",21.98,"71,184",26.39,"1,786.3",27.08
1984M07,"115,712",24.22,"2,926.5",25.98,"81,595",12.62,"2,058.4",14.22
1984M08,"108,612",12.64,"2,778.5",15.44,"80,274",5.15,"2,048.3",7.75
1984M09,"94,584",8.92,"2,425.2",12.04,"62,340",3.68,"1,594.4",6.66
1984M10,"103,966",21.04,"2,659.7",24.23,"74,304",-2.87,"1,896.0",-0.32
1984M11,"97,289",2.70,"2,479.3",5.00,"75,588",-5.89,"1,921.4",-3.78
1984M12,"93,288",0.68,"2,367.1",2.59,"70,451",-15.58,"1,783.1",-13.98
1985M01,"108,044",13.84,"2,745.0",16.23,"70,589",8.83,"1,788.9",11.12
1985M02,"82,777",8.18,"2,115.4",10.95,"50,453",-25.15,"1,286.1",-23.24
1985M03,"88,244",-11.04,"2,246.0",-9.27,"74,409",4.30,"1,889.0",6.37
1985M04,"106,636",2.94,"2,695.6",3.54,"74,911",3.22,"1,888.8",3.82
1985M05,"105,292",-7.77,"2,643.5",-8.40,"72,117",-10.22,"1,806.1",-10.83
1985M06,"105,645",-1.95,"2,659.7",-1.88,"62,053",-12.83,"1,558.3",-12.76
1985M07,"110,765",-4.28,"2,774.7",-5.19,"71,165",-12.78,"1,778.2",-13.61
1985M08,"100,733",-7.25,"2,495.2",-10.20,"65,300",-18.65,"1,613.6",-21.22
1985M09,"103,288",9.20,"2,559.8",5.55,"60,077",-3.63,"1,485.2",-6.85
1985M10,"104,996",0.99,"2,610.6",-1.85,"65,344",-12.06,"1,620.6",-14.53
1985M11,"106,476",9.44,"2,665.2",7.50,"70,711",-6.45,"1,765.6",-8.11
1985M12,"103,823",11.29,"2,608.0",10.18,"66,253",-5.96,"1,660.0",-6.90
1986M01,"123,440",14.25,"3,106.2",13.16,"73,307",3.85,"1,840.0",2.86
1986M02,"90,194",8.96,"2,296.2",8.55,"60,254",19.43,"1,530.1",18.97
1986M03,"116,846",32.41,"2,993.7",33.29,"76,772",3.18,"1,962.0",3.86
1986M04,"122,014",14.42,"3,156.1",17.08,"75,433",0.70,"1,946.1",3.03
1986M05,"120,668",14.60,"3,139.1",18.75,"74,001",2.61,"1,920.1",6.31
1986M06,"127,988",21.15,"3,356.6",26.20,"74,848",20.62,"1,957.8",25.64
1986M07,"136,746",23.46,"3,595.7",29.59,"82,373",15.75,"2,160.3",21.49
1986M08,"136,976",35.98,"3,636.2",45.73,"76,742",17.52,"2,031.8",25.92
1986M09,"118,694",14.92,"3,219.3",25.76,"75,163",25.11,"2,033.1",36.89
1986M10,"141,753",35.01,"3,869.9",48.24,"85,280",30.51,"2,321.8",43.27
1986M11,"140,296",31.76,"3,853.2",44.57,"80,292",13.55,"2,199.2",24.56
1986M12,"134,015",29.08,"3,708.2",42.19,"83,082",25.40,"2,292.5",38.10
1987M01,"118,709",-3.83,"3,349.6",7.84,"68,582",-6.45,"1,929.7",4.88
1987M02,"135,234",49.94,"3,866.0",68.37,"88,885",47.52,"2,533.8",65.60
1987M03,"142,572",22.02,"4,093.4",36.73,"90,695",18.14,"2,596.5",32.34
1987M04,"150,551",23.39,"4,412.4",39.81,"96,584",28.04,"2,822.4",45.03
1987M05,"144,162",19.47,"4,396.5",40.06,"94,044",27.08,"2,859.4",48.92
1987M06,"155,909",21.82,"4,971.6",48.11,"100,655",34.48,"3,199.4",63.42
1987M07,"138,762",1.47,"4,471.9",24.37,"85,559",3.87,"2,748.4",27.22
1987M08,"151,628",10.70,"4,963.3",36.50,"94,613",23.29,"3,086.9",51.93
1987M09,"154,338",30.03,"5,137.8",59.59,"88,896",18.27,"2,949.4",45.07
1987M10,"128,256",-9.52,"4,279.5",10.58,"91,267",7.02,"3,035.1",30.72
1987M11,"154,973",10.46,"5,191.7",34.74,"116,080",44.57,"3,875.8",76.24
1987M12,"134,907",0.67,"4,620.1",24.59,"98,559",18.63,"3,363.8",46.73
1988M01,"140,142",18.06,"4,915.5",46.75,"115,227",68.01,"4,027.5",108.71
1988M02,"122,992",-9.05,"4,307.9",11.43,"105,875",19.11,"3,695.5",45.85
1988M03,"129,852",-8.92,"4,543.5",11.00,"134,301",48.08,"4,682.7",80.35
1988M04,"138,176",-8.22,"4,833.0",9.53,"117,959",22.13,"4,111.5",45.67
1988M05,"154,452",7.14,"5,406.1",22.96,"122,824",30.60,"4,284.1",49.83
1988M06,"151,611",-2.76,"5,306.7",6.74,"112,199",11.47,"3,913.4",22.32
1988M07,"150,406",8.39,"5,238.8",17.15,"126,959",48.39,"4,406.8",60.34
1988M08,"163,580",7.88,"5,725.6",15.36,"125,039",32.16,"4,361.3",41.28
1988M09,"129,293",-16.23,"4,500.3",-12.41,"103,491",16.42,"3,589.7",21.71
1988M10,"156,544",22.06,"5,424.3",26.75,"127,338",39.52,"4,397.0",44.87
1988M11,"154,637",-0.22,"5,471.9",5.40,"122,428",5.47,"4,316.9",11.38
1988M12,"143,453",6.33,"5,110.5",10.61,"110,603",12.22,"3,926.2",16.72
1989M01,"149,815",6.90,"5,358.2",9.01,"126,515",9.80,"4,508.7",11.95
1989M02,"113,416",-7.79,"4,113.7",-4.51,"96,272",-9.07,"3,479.3",-5.85
1989M03,"152,271",17.27,"5,513.1",21.34,"116,798",-13.03,"4,213.5",-10.02
1989M04,"152,705",10.51,"5,645.3",16.81,"126,464",7.21,"4,646.0",13.00
1989M05,"163,392",5.79,"6,291.6",16.38,"123,905",0.88,"4,734.6",10.52
1989M06,"136,703",-9.83,"5,274.0",-0.62,"114,292",1.87,"4,375.6",11.81
1989M07,"165,447",10.00,"6,410.2",22.36,"120,328",-5.22,"4,626.2",4.98
1989M08,"153,200",-6.35,"5,961.1",4.11,"115,613",-7.54,"4,481.1",2.75
1989M09,"135,153",4.53,"5,258.9",16.86,"108,399",4.74,"4,201.5",17.04
1989M10,"146,519",-6.40,"5,725.6",5.55,"113,045",-11.22,"4,400.4",0.08
1989M11,"142,874",-7.61,"5,533.5",1.13,"116,042",-5.22,"4,476.9",3.71
1989M12,"139,732",-2.59,"5,349.6",4.68,"109,352",-1.13,"4,170.5",6.22
1990M01,"129,285",-13.70,"4,966.8",-7.30,"94,202",-25.54,"3,605.1",-20.04
1990M02,"131,906",16.30,"5,055.8",22.90,"140,555",46.00,"5,366.8",54.25
1990M03,"138,248",-9.21,"5,280.7",-4.22,"117,949",0.99,"4,488.2",6.52
1990M04,"150,732",-1.29,"5,724.7",1.41,"130,152",2.92,"4,924.4",5.99
1990M05,"148,978",-8.82,"5,653.8",-10.14,"116,141",-6.27,"4,390.9",-7.26
1990M06,"144,666",5.83,"5,279.8",0.11,"114,864",0.50,"4,176.9",-4.54
1990M07,"169,977",2.74,"6,260.6",-2.33,"131,378",9.18,"4,821.2",4.22
1990M08,"157,511",2.81,"5,786.6",-2.93,"116,916",1.13,"4,279.5",-4.50
1990M09,"152,777",13.04,"5,608.6",6.65,"113,417",4.63,"4,148.4",-1.26
1990M10,"169,309",15.55,"6,215.5",8.56,"135,855",20.18,"4,969.1",12.92
1990M11,"166,026",16.20,"6,101.7",10.27,"129,855",11.90,"4,754.9",6.21
1990M12,"149,005",6.64,"5,490.2",2.63,"132,402",21.08,"4,860.6",16.55
1991M01,"169,331",30.97,"6,241.5",25.66,"155,720",65.30,"5,718.7",58.63
1991M02,"133,249",1.02,"4,924.2",-2.60,"120,569",-14.22,"4,439.2",-17.28
1991M03,"155,431",12.43,"5,724.9",8.41,"138,108",17.09,"5,068.2",12.92
1991M04,"154,463",2.48,"5,658.0",-1.17,"147,268",13.15,"5,374.7",9.14
1991M05,"185,920",24.80,"6,815.3",20.54,"140,754",21.19,"5,140.8",17.08
1991M06,"187,788",29.81,"6,914.2",30.96,"141,729",23.39,"5,199.2",24.48
1991M07,"192,998",13.54,"7,140.1",14.05,"149,074",13.47,"5,494.8",13.97
1991M08,"165,828",5.28,"6,199.2",7.13,"139,783",19.56,"5,206.1",21.65
1991M09,"185,646",21.51,"6,994.9",24.72,"140,568",23.94,"5,276.6",27.20
1991M10,"176,135",4.03,"6,666.8",7.26,"146,603",7.91,"5,528.0",11.25
1991M11,"184,029",10.84,"7,056.3",15.64,"141,068",8.64,"5,388.4",13.32
1991M12,"160,232",7.53,"6,227.4",13.43,"137,088",3.54,"5,307.3",9.19
1992M01,"177,827",5.02,"6,973.6",11.73,"165,104",6.03,"6,449.4",12.78
1992M02,"130,990",-1.70,"5,250.1",6.62,"111,046",-7.90,"4,432.9",-0.14
1992M03,"175,837",13.13,"6,977.6",21.88,"144,769",4.82,"5,722.1",12.90
1992M04,"178,545",15.59,"7,037.7",24.38,"147,317",0.03,"5,784.0",7.62
1992M05,"176,304",-5.17,"7,029.7",3.15,"153,258",8.88,"6,086.5",18.40
1992M06,"171,418",-8.72,"6,903.7",-0.15,"158,349",11.73,"6,351.7",22.17
1992M07,"171,158",-11.32,"6,952.0",-2.63,"165,036",10.71,"6,676.2",21.50
1992M08,"183,556",10.69,"7,351.1",18.58,"158,165",13.15,"6,308.9",21.18
1992M09,"164,530",-11.37,"6,544.5",-6.44,"143,392",2.01,"5,681.1",7.67
1992M10,"178,819",1.52,"7,096.0",6.44,"153,825",4.93,"6,080.0",9.99
1992M11,"191,644",4.14,"7,562.9",7.18,"175,653",24.52,"6,904.6",28.14
1992M12,"163,726",2.18,"6,443.4",3.47,"149,870",9.32,"5,875.0",10.70
1993M01,"162,043",-8.88,"6,384.7",-8.44,"151,614",-8.17,"5,950.3",-7.74
1993M02,"163,671",24.95,"6,380.9",21.54,"161,796",45.70,"6,283.3",41.74
1993M03,"193,280",9.92,"7,468.3",7.03,"170,443",17.73,"6,560.5",14.65
1993M04,"181,719",1.78,"6,973.1",-0.92,"170,061",15.44,"6,500.8",12.39
1993M05,"209,016",18.55,"8,076.4",14.89,"176,763",15.34,"6,803.8",11.79
1993M06,"184,782",7.80,"7,079.7",2.55,"174,660",10.30,"6,666.4",4.95
1993M07,"192,759",12.62,"7,295.9",4.95,"174,130",5.51,"6,566.0",-1.65
1993M08,"207,248",12.91,"7,707.3",4.85,"176,271",11.45,"6,531.0",3.52
1993M09,"174,833",6.26,"6,499.3",-0.69,"160,301",11.79,"5,937.0",4.50
1993M10,"201,864",12.89,"7,526.6",6.07,"183,717",19.43,"6,824.6",12.25
1993M11,"203,683",6.28,"7,591.6",0.38,"170,403",-2.99,"6,327.6",-8.36
1993M12,"186,937",14.18,"6,972.7",8.21,"173,336",15.66,"6,441.3",9.64
1994M01,"197,669",21.99,"7,450.8",16.70,"198,909",31.19,"7,469.4",25.53
1994M02,"153,239",-6.37,"5,817.7",-8.83,"147,277",-8.97,"5,570.2",-11.35
1994M03,"191,627",-0.86,"7,264.1",-2.73,"183,577",7.71,"6,932.7",5.67
1994M04,"201,466",10.87,"7,648.7",9.69,"187,900",10.49,"7,106.6",9.32
1994M05,"227,676",8.93,"8,588.3",6.34,"194,244",9.89,"7,299.7",7.29
1994M06,"196,880",6.55,"7,283.8",2.88,"184,907",5.87,"6,815.6",2.24
1994M07,"211,522",9.73,"7,928.1",8.67,"192,167",10.36,"7,175.7",9.29
1994M08,"214,008",3.26,"8,084.9",4.90,"190,888",8.29,"7,184.3",10.00
1994M09,"201,222",15.09,"7,683.2",18.22,"172,819",7.81,"6,573.6",10.72
1994M10,"232,147",15.00,"8,891.1",18.13,"202,779",10.38,"7,736.7",13.36
1994M11,"249,009",22.25,"9,558.9",25.91,"223,574",31.20,"8,549.7",35.12
1994M12,"212,568",13.71,"8,100.9",16.18,"191,856",10.68,"7,283.8",13.08
1995M01,"196,690",-0.50,"7,481.6",0.41,"197,566",-0.68,"7,486.4",0.23
1995M02,"226,190",47.61,"8,613.5",48.06,"203,356",38.08,"7,714.6",38.50
1995M03,"239,612",25.04,"9,149.0",25.95,"218,584",19.07,"8,314.3",19.93
1995M04,"248,989",23.59,"9,692.1",26.72,"248,066",32.02,"9,618.7",35.35
1995M05,"257,949",13.30,"10,163.5",18.34,"236,616",21.81,"9,286.3",27.21
1995M06,"224,431",13.99,"8,736.1",19.94,"236,472",27.89,"9,169.2",34.53
1995M07,"268,055",26.73,"10,361.6",30.69,"251,255",30.75,"9,674.8",34.83
1995M08,"270,155",26.24,"10,057.9",24.40,"241,256",26.39,"8,948.7",24.56
1995M09,"242,419",20.47,"8,841.0",15.07,"222,473",28.73,"8,084.0",22.98
1995M10,"288,559",24.30,"10,695.3",20.29,"247,414",22.01,"9,136.4",18.09
1995M11,"274,298",10.16,"10,129.2",5.97,"232,998",4.22,"8,572.4",0.27
1995M12,"256,825",20.82,"9,421.3",16.30,"219,038",14.17,"8,005.8",9.91
1996M01,"295,952",50.47,"10,848.7",45.01,"265,575",34.42,"9,699.6",29.56
1996M02,"209,771",-7.26,"7,653.1",-11.15,"191,997",-5.59,"6,979.2",-9.53
1996M03,"250,471",4.53,"9,134.6",-0.16,"225,128",2.99,"8,180.5",-1.61
1996M04,"277,449",11.43,"10,222.9",5.48,"253,352",2.13,"9,300.7",-3.31
1996M05,"262,616",1.81,"9,676.4",-4.79,"212,906",-10.02,"7,815.9",-15.83
1996M06,"270,961",20.73,"9,824.6",12.46,"259,095",9.57,"9,360.4",2.09
1996M07,"264,890",-1.18,"9,604.4",-7.31,"225,834",-10.12,"8,158.7",-15.67
1996M08,"270,505",0.13,"9,850.9",-2.06,"237,807",-1.43,"8,628.7",-3.58
1996M09,"273,159",12.68,"9,951.2",12.56,"213,636",-3.97,"7,754.5",-4.08
1996M10,"273,306",-5.29,"9,963.8",-6.84,"241,262",-2.49,"8,763.6",-4.08
1996M11,"286,466",4.44,"10,428.3",2.95,"249,125",6.92,"9,036.1",5.41
1996M12,"285,987",11.35,"10,422.3",10.62,"254,591",16.23,"9,244.4",15.47
1997M01,"287,649",-2.81,"10,494.3",-3.27,"256,891",-3.27,"9,338.1",-3.73
1997M02,"215,298",2.63,"7,849.0",2.56,"208,914",8.81,"7,588.6",8.73
1997M03,"297,776",18.89,"10,840.0",18.67,"280,351",24.53,"10,168.7",24.30
1997M04,"274,996",-0.88,"9,989.0",-2.29,"278,950",10.10,"10,095.9",8.55
1997M05,"285,715",8.80,"10,333.3",6.79,"238,698",12.11,"8,601.7",10.05
1997M06,"282,414",4.23,"10,151.5",3.33,"270,844",4.53,"9,700.7",3.64
1997M07,"302,376",14.15,"10,861.2",13.09,"284,492",25.97,"10,182.2",24.80
1997M08,"274,882",1.62,"9,679.0",-1.75,"264,009",11.02,"9,263.5",7.36
1997M09,"314,879",15.27,"11,009.8",10.64,"280,821",31.45,"9,784.7",26.18
1997M10,"302,661",10.74,"10,615.9",6.54,"269,340",11.64,"9,414.2",7.42
1997M11,"356,732",24.53,"11,635.1",11.57,"313,125",25.69,"10,179.6",12.65
1997M12,"346,110",21.02,"10,712.2",2.78,"344,759",35.42,"10,637.4",15.07
1998M01,"256,402",-10.86,"7,736.9",-26.27,"249,894",-2.72,"7,517.9",-19.49
1998M02,"293,457",36.30,"8,831.1",12.51,"311,122",48.92,"9,334.6",23.01
1998M03,"347,177",16.59,"10,751.9",-0.81,"331,512",18.25,"10,235.0",0.65
1998M04,"303,522",10.37,"9,236.8",-7.53,"292,865",4.99,"8,885.5",-11.99
1998M05,"314,770",10.17,"9,512.5",-7.94,"293,939",23.14,"8,856.2",2.96
1998M06,"317,245",12.33,"9,276.2",-8.62,"297,878",9.98,"8,684.5",-10.48
1998M07,"312,796",3.45,"9,095.5",-16.26,"274,078",-3.66,"7,946.6",-21.96
1998M08,"338,112",23.00,"9,808.9",1.34,"289,144",9.52,"8,364.0",-9.71
1998M09,"334,350",6.18,"9,660.5",-12.26,"293,505",4.52,"8,455.9",-13.58
1998M10,"296,578",-2.01,"8,797.9",-17.12,"294,860",9.48,"8,721.1",-7.36
1998M11,"345,970",-3.02,"10,596.3",-8.93,"290,734",-7.15,"8,877.4",-12.79
1998M12,"300,094",-13.30,"9,290.8",-13.27,"302,977",-12.12,"9,351.1",-12.09
1999M01,"320,630",25.05,"9,969.8",28.86,"301,216",20.54,"9,337.2",24.20
1999M02,"248,176",-15.43,"7,697.8",-12.83,"211,895",-31.89,"6,552.1",-29.81
1999M03,"348,922",0.50,"10,554.2",-1.84,"310,530",-6.33,"9,364.6",-8.50
1999M04,"305,920",0.79,"9,278.7",0.45,"271,978",-7.13,"8,224.3",-7.44
1999M05,"352,724",12.06,"10,790.0",13.43,"290,477",-1.18,"8,858.7",0.03
1999M06,"326,175",2.81,"10,017.7",7.99,"297,393",-0.16,"9,105.7",4.85
1999M07,"326,800",4.48,"10,133.3",11.41,"308,590",12.59,"9,539.1",20.04
