期間,南美洲_原始值,南美洲_年增率(%),南美洲_原始值,南美洲_年增率(%),南美洲_原始值,南美洲_年增率(%),南美洲_原始值,南美洲_年增率(%),阿根廷_原始值,阿根廷_年增率(%),阿根廷_原始值,阿根廷_年增率(%),阿根廷_原始值,阿根廷_年增率(%),阿根廷_原始值,阿根廷_年增率(%),玻利維亞_原始值,玻利維亞_年增率(%),玻利維亞_原始值,玻利維亞_年增率(%),玻利維亞_原始值,玻利維亞_年增率(%),玻利維亞_原始值,玻利維亞_年增率(%),巴西_原始值,巴西_年增率(%),巴西_原始值,巴西_年增率(%),巴西_原始值,巴西_年增率(%),巴西_原始值,巴西_年增率(%),智利_原始值,智利_年增率(%),智利_原始值,智利_年增率(%),智利_原始值,智利_年增率(%),智利_原始值,智利_年增率(%),哥倫比亞_原始值,哥倫比亞_年增率(%),哥倫比亞_原始值,哥倫比亞_年增率(%),哥倫比亞_原始值,哥倫比亞_年增率(%),哥倫比亞_原始值,哥倫比亞_年增率(%),厄瓜多_原始值,厄瓜多_年增率(%),厄瓜多_原始值,厄瓜多_年增率(%),厄瓜多_原始值,厄瓜多_年增率(%),厄瓜多_原始值,厄瓜多_年增率(%),圭亞那（法屬）_原始值,圭亞那（法屬）_年增率(%),圭亞那（法屬）_原始值,圭亞那（法屬）_年增率(%),圭亞那（法屬）_原始值,圭亞那（法屬）_年增率(%),圭亞那（法屬）_原始值,圭亞那（法屬）_年增率(%),蓋亞那_原始值,蓋亞那_年增率(%),蓋亞那_原始值,蓋亞那_年增率(%),蓋亞那_原始值,蓋亞那_年增率(%),蓋亞那_原始值,蓋亞那_年增率(%),巴拉圭_原始值,巴拉圭_年增率(%),巴拉圭_原始值,巴拉圭_年增率(%),巴拉圭_原始值,巴拉圭_年增率(%),巴拉圭_原始值,巴拉圭_年增率(%),秘魯_原始值,秘魯_年增率(%),秘魯_原始值,秘魯_年增率(%),秘魯_原始值,秘魯_年增率(%),秘魯_原始值,秘魯_年增率(%),蘇利南_原始值,蘇利南_年增率(%),蘇利南_原始值,蘇利南_年增率(%),蘇利南_原始值,蘇利南_年增率(%),蘇利南_原始值,蘇利南_年增率(%),烏拉圭_原始值,烏拉圭_年增率(%),烏拉圭_原始值,烏拉圭_年增率(%),烏拉圭_原始值,烏拉圭_年增率(%),烏拉圭_原始值,烏拉圭_年增率(%),委內瑞拉_原始值,委內瑞拉_年增率(%),委內瑞拉_原始值,委內瑞拉_年增率(%),委內瑞拉_原始值,委內瑞拉_年增率(%),委內瑞拉_原始值,委內瑞拉_年增率(%)
2000,"53,857",32.65,"1,731,015",37.17,"45,382",2.78,"1,454,431",6.49,"6,899",-3.73,"221,770",-0.39,"2,237",-35.85,"71,868",-33.52,113,-46.70,"3,602",-45.24,1,-80.00,72,-57.89,"24,331",60.63,"781,662",65.85,"17,311",12.18,"553,936",16.17,"6,754",5.25,"217,412",9.07,"19,946",2.97,"639,641",6.67,"3,473",35.72,"111,529",40.35,932,40.15,"29,992",45.97,"1,661",56.55,"53,245",61.55,500,-29.68,"16,140",-26.66,7,-22.22,260,7.44,0,--,0,--,38,-34.48,"1,201",-31.45,53,130.43,"1,703",125.26,915,24.66,"29,418",28.95,438,-27.36,"13,997",-25.07,"2,297",25.45,"73,769",29.61,"3,179",-5.08,"102,082",-1.22,86,-2.27,"2,779",2.51,6,--,180,"2,471.43","3,488",44.85,"112,439",50.01,292,13.62,"9,350",18.68,"3,775",31.35,"121,262",36.01,483,95.55,"15,324",99.35
2001,"48,684",-9.61,"1,446,565",-16.43,"35,244",-22.34,"1,044,153",-28.21,"5,424",-21.38,"161,235",-27.30,"1,234",-44.84,"36,471",-49.25,120,6.19,"3,560",-1.17,5,400.00,156,116.67,"19,277",-20.77,"573,776",-26.60,"15,047",-13.08,"445,178",-19.63,"5,972",-11.58,"177,208",-18.49,"14,178",-28.92,"420,432",-34.27,"4,077",17.39,"120,991",8.48,629,-32.51,"18,807",-37.29,"2,399",44.43,"71,150",33.63,381,-23.80,"11,313",-29.91,6,-14.29,196,-24.62,0,--,0,--,52,36.84,"1,533",27.64,13,-75.47,386,-77.33,808,-11.69,"24,094",-18.10,387,-11.64,"11,405",-18.52,"2,963",28.99,"87,944",19.22,"3,182",0.09,"94,419",-7.51,98,13.95,"2,922",5.15,3,-50.00,71,-60.56,"2,229",-36.10,"66,152",-41.17,83,-71.58,"2,472",-73.56,"5,253",39.15,"155,623",28.34,88,-81.78,"2,605",-83.00
2002,"39,550",-18.76,"1,145,277",-20.83,"49,639",40.84,"1,435,624",37.49,"1,574",-70.98,"45,665",-71.68,"4,105",232.66,"118,250",224.23,143,19.17,"4,157",16.77,5,0.00,182,16.67,"16,395",-14.95,"474,636",-17.28,"20,254",34.60,"585,429",31.50,"5,920",-0.87,"171,394",-3.28,"19,244",35.73,"556,975",32.48,"4,335",6.33,"125,721",3.91,"1,465",132.91,"42,367",125.27,"2,470",2.96,"71,561",0.58,210,-44.88,"6,034",-46.66,10,66.67,244,24.49,2,--,63,--,70,34.62,"2,041",33.14,0,-100.00,9,-97.67,780,-3.47,"22,488",-6.67,283,-26.87,"8,230",-27.84,"3,508",18.39,"101,602",15.53,"3,756",18.04,"108,872",15.31,97,-1.02,"2,814",-3.70,10,233.33,305,329.58,"1,083",-51.41,"31,358",-52.60,137,65.06,"3,990",61.41,"3,155",-39.94,"91,307",-41.33,168,90.91,"4,908",88.41
2003,"41,120",3.97,"1,197,415",4.55,"65,760",32.48,"1,908,176",32.92,"3,983",153.05,"116,095",154.23,"5,163",25.77,"150,102",26.94,69,-51.75,"1,973",-52.54,5,0.00,152,-16.48,"15,672",-4.41,"456,440",-3.83,"31,589",55.96,"916,297",56.52,"6,255",5.66,"182,064",6.23,"20,190",4.92,"585,966",5.21,"4,421",1.98,"128,604",2.29,"2,034",38.84,"59,105",39.51,"2,325",-5.87,"67,624",-5.50,136,-35.24,"3,969",-34.22,6,-40.00,158,-35.25,2,0.00,69,9.52,65,-7.14,"1,875",-8.13,11,--,329,"3,555.56",909,16.54,"26,525",17.95,363,28.27,"10,485",27.40,"3,971",13.20,"115,604",13.78,"4,918",30.94,"142,568",30.95,122,25.77,"3,518",25.02,10,0.00,294,-3.61,"1,651",52.45,"48,127",53.48,221,61.31,"6,405",60.53,"1,660",-47.39,"48,447",-46.94,"1,116",564.29,"32,391",559.96
2004,"53,934",31.16,"1,612,541",34.67,"98,811",50.26,"2,942,252",54.19,"5,109",28.27,"152,845",31.66,"4,174",-19.16,"124,139",-17.30,70,1.45,"2,098",6.34,12,140.00,368,142.11,"23,975",52.98,"716,891",57.06,"44,771",41.73,"1,332,078",45.38,"6,876",9.93,"205,444",12.84,"35,844",77.53,"1,068,282",82.31,"5,600",26.67,"167,413",30.18,"2,804",37.86,"83,383",41.08,"2,245",-3.44,"67,086",-0.80,211,55.15,"6,331",59.51,8,33.33,249,57.59,0,-100.00,0,-100.00,96,47.69,"2,868",52.96,92,736.36,"2,740",732.83,"1,467",61.39,"43,841",65.28,263,-27.55,"7,854",-25.09,"3,794",-4.46,"113,352",-1.95,"8,482",72.47,"252,400",77.04,144,18.03,"4,308",22.46,3,-70.00,99,-66.33,"1,399",-15.26,"41,881",-12.98,253,14.48,"7,551",17.89,"3,140",89.16,"93,887",93.79,"1,902",70.43,"57,011",76.01
2005,"70,224",30.20,"2,182,004",35.31,"94,462",-4.40,"2,931,307",-0.37,"5,820",13.92,"180,959",18.39,"4,588",9.92,"142,888",15.10,96,37.14,"2,975",41.80,23,91.67,696,89.13,"32,717",36.46,"1,017,435",41.92,"39,279",-12.27,"1,216,347",-8.69,"7,505",9.15,"233,642",13.73,"36,542",1.95,"1,135,568",6.30,"5,927",5.84,"184,247",10.06,"3,195",13.94,"99,615",19.47,"4,830",115.14,"148,295",121.05,233,10.43,"7,171",13.27,12,50.00,372,49.40,0,--,7,--,77,-19.79,"2,427",-15.38,160,73.91,"4,915",79.38,"2,065",40.76,"64,160",46.35,158,-39.92,"4,891",-37.73,"5,031",32.60,"156,058",37.68,"9,864",16.29,"306,146",21.29,133,-7.64,"4,184",-2.88,4,33.33,128,29.29,"2,227",59.19,"69,202",65.23,157,-37.94,"4,879",-35.39,"3,772",20.13,"117,697",25.36,247,-87.01,"7,684",-86.52
2006,"81,737",16.39,"2,518,302",15.41,"109,142",15.54,"3,348,624",14.24,"6,955",19.50,"214,072",18.30,"3,199",-30.27,"98,152",-31.31,120,25.00,"3,734",25.51,38,65.22,"1,173",68.53,"41,697",27.45,"1,285,877",26.38,"34,727",-11.59,"1,065,887",-12.37,"8,869",18.17,"272,898",16.80,"53,316",45.90,"1,635,332",44.01,"7,161",20.82,"220,397",19.62,"3,095",-3.13,"95,155",-4.48,"2,940",-39.13,"90,504",-38.97,391,67.81,"11,994",67.26,19,58.33,600,61.29,0,--,0,-100.00,68,-11.69,"2,125",-12.44,241,50.63,"7,417",50.91,"2,280",10.41,"70,204",9.42,267,68.99,"8,180",67.25,"4,211",-16.30,"129,600",-16.95,"13,440",36.25,"412,195",34.64,148,11.28,"4,616",10.33,3,-25.00,82,-35.94,"2,425",8.89,"74,611",7.82,227,44.59,"6,953",42.51,"4,810",27.52,"148,024",25.77,157,-36.44,"4,815",-37.34
2007,"103,976",27.21,"3,173,472",26.02,"125,674",15.15,"3,821,452",14.12,"8,399",20.76,"256,331",19.74,"3,661",14.44,"111,259",13.35,112,-6.67,"3,422",-8.36,37,-2.63,"1,141",-2.73,"54,679",31.13,"1,669,703",29.85,"44,112",27.03,"1,341,776",25.88,"9,249",4.28,"282,173",3.40,"59,843",12.24,"1,818,959",11.23,"8,773",22.51,"267,532",21.39,"2,620",-15.35,"79,810",-16.13,"3,900",32.65,"118,991",31.48,594,51.92,"18,053",50.52,19,0.00,566,-5.67,0,--,3,--,109,60.29,"3,312",55.86,128,-46.89,"3,862",-47.93,"2,066",-9.39,"63,019",-10.23,523,95.88,"16,006",95.67,"6,642",57.73,"202,595",56.32,"13,382",-0.43,"407,025",-1.25,165,11.49,"5,041",9.21,24,700.00,778,848.78,"2,927",20.70,"89,286",19.67,307,35.24,"9,338",34.30,"6,914",43.74,"210,791",42.40,416,164.97,"12,591",161.50
2008,"138,742",33.44,"4,430,029",39.60,"159,648",27.03,"5,094,259",33.31,"9,606",14.37,"306,079",19.41,"4,188",14.39,"133,099",19.63,113,0.89,"3,569",4.30,34,-8.11,"1,039",-8.94,"85,831",56.97,"2,744,682",64.38,"68,814",56.00,"2,192,112",63.37,"9,547",3.22,"304,441",7.89,"63,240",5.68,"2,021,780",11.15,"10,071",14.80,"320,429",19.77,"3,270",24.81,"104,837",31.36,"4,451",14.13,"142,018",19.35,895,50.67,"28,689",58.92,24,26.32,707,24.91,6,--,176,"5,766.67",99,-9.17,"3,161",-4.56,112,-12.50,"3,565",-7.69,"1,870",-9.49,"59,745",-5.20,217,-58.51,"6,905",-56.86,"7,734",16.44,"246,139",21.49,"18,323",36.92,"584,459",43.59,235,42.42,"7,518",49.14,76,216.67,"2,318",197.94,"2,819",-3.69,"89,913",0.70,184,-40.07,"5,939",-36.40,"6,328",-8.48,"201,155",-4.57,246,-40.87,"7,963",-36.76
2009,"88,306",-36.35,"2,680,672",-39.49,"103,297",-35.30,"3,132,420",-38.51,"7,340",-23.59,"223,057",-27.12,"2,461",-41.24,"74,567",-43.98,159,40.71,"4,801",34.52,41,20.59,"1,240",19.35,"46,314",-46.04,"1,406,537",-48.75,"42,953",-37.58,"1,301,204",-40.64,"8,626",-9.65,"261,895",-13.98,"44,228",-30.06,"1,343,797",-33.53,"7,132",-29.18,"216,230",-32.52,"1,012",-69.05,"30,822",-70.60,"3,850",-13.50,"116,815",-17.75,744,-16.87,"22,508",-21.54,23,-4.17,667,-5.66,0,-100.00,3,-98.30,134,35.35,"4,071",28.79,40,-64.29,"1,259",-64.68,"1,076",-42.46,"32,573",-45.48,137,-36.87,"4,127",-40.23,"6,615",-14.47,"200,683",-18.47,"10,732",-41.43,"324,003",-44.56,261,11.06,"7,885",4.88,72,-5.26,"2,106",-9.15,"2,536",-10.04,"77,196",-14.14,101,-45.11,"3,033",-48.93,"4,219",-33.33,"127,572",-36.58,747,203.66,"22,903",187.62
