期間,大洋洲_原始值,大洋洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),澳大利亞_原始值,澳大利亞_年增率(%),澳大利亞_原始值,澳大利亞_年增率(%),澳大利亞_原始值,澳大利亞_年增率(%),澳大利亞_原始值,澳大利亞_年增率(%),斐濟_原始值,斐濟_年增率(%),斐濟_原始值,斐濟_年增率(%),斐濟_原始值,斐濟_年增率(%),斐濟_原始值,斐濟_年增率(%),吉里巴斯_原始值,吉里巴斯_年增率(%),吉里巴斯_原始值,吉里巴斯_年增率(%),吉里巴斯_原始值,吉里巴斯_年增率(%),吉里巴斯_原始值,吉里巴斯_年增率(%),馬爾地夫_原始值,馬爾地夫_年增率(%),馬爾地夫_原始值,馬爾地夫_年增率(%),馬爾地夫_原始值,馬爾地夫_年增率(%),馬爾地夫_原始值,馬爾地夫_年增率(%),諾魯_原始值,諾魯_年增率(%),諾魯_原始值,諾魯_年增率(%),諾魯_原始值,諾魯_年增率(%),諾魯_原始值,諾魯_年增率(%),紐克里多尼亞_原始值,紐克里多尼亞_年增率(%),紐克里多尼亞_原始值,紐克里多尼亞_年增率(%),紐克里多尼亞_原始值,紐克里多尼亞_年增率(%),紐克里多尼亞_原始值,紐克里多尼亞_年增率(%),紐西蘭_原始值,紐西蘭_年增率(%),紐西蘭_原始值,紐西蘭_年增率(%),紐西蘭_原始值,紐西蘭_年增率(%),紐西蘭_原始值,紐西蘭_年增率(%),巴布亞新幾內亞_原始值,巴布亞新幾內亞_年增率(%),巴布亞新幾內亞_原始值,巴布亞新幾內亞_年增率(%),巴布亞新幾內亞_原始值,巴布亞新幾內亞_年增率(%),巴布亞新幾內亞_原始值,巴布亞新幾內亞_年增率(%),薩摩亞_原始值,薩摩亞_年增率(%),薩摩亞_原始值,薩摩亞_年增率(%),薩摩亞_原始值,薩摩亞_年增率(%),薩摩亞_原始值,薩摩亞_年增率(%),薩摩亞（美屬）_原始值,薩摩亞（美屬）_年增率(%),薩摩亞（美屬）_原始值,薩摩亞（美屬）_年增率(%),薩摩亞（美屬）_原始值,薩摩亞（美屬）_年增率(%),薩摩亞（美屬）_原始值,薩摩亞（美屬）_年增率(%),所羅門島_原始值,所羅門島_年增率(%),所羅門島_原始值,所羅門島_年增率(%),所羅門島_原始值,所羅門島_年增率(%),所羅門島_原始值,所羅門島_年增率(%),大溪地_原始值,大溪地_年增率(%),大溪地_原始值,大溪地_年增率(%),大溪地_原始值,大溪地_年增率(%),大溪地_原始值,大溪地_年增率(%),東加_原始值,東加_年增率(%),東加_原始值,東加_年增率(%),東加_原始值,東加_年增率(%),東加_原始值,東加_年增率(%),吐瓦魯_原始值,吐瓦魯_年增率(%),吐瓦魯_原始值,吐瓦魯_年增率(%),吐瓦魯_原始值,吐瓦魯_年增率(%),吐瓦魯_原始值,吐瓦魯_年增率(%),萬那杜_原始值,萬那杜_年增率(%),萬那杜_原始值,萬那杜_年增率(%),萬那杜_原始值,萬那杜_年增率(%),萬那杜_原始值,萬那杜_年增率(%)
2000,"71,798",1.05,"2,309,084",4.73,"124,378",13.41,"3,986,096",17.53,"57,187",-4.32,"1,839,301",-0.83,"109,571",14.29,"3,510,837",18.42,481,-13.33,"15,376",-10.88,52,-58.06,"1,668",-57.21,14,-17.65,460,-18.00,0,--,1,--,60,46.34,"1,885",44.89,10,-64.29,427,-54.81,1,-50.00,24,-71.08,1,0.00,24,-66.20,88,-42.11,"2,824",-39.91,"2,426",54.42,"78,044",59.89,"7,112",7.24,"228,978",11.15,"11,919",1.75,"382,306",5.59,317,-3.94,"10,253",0.50,320,31.15,"10,191",35.14,74,-13.95,"2,415",-8.45,3,200.00,101,146.34,23,-32.35,714,-31.41,0,-100.00,10,-98.87,22,0.00,691,2.37,0,-100.00,17,-92.54,24,-42.86,776,-41.70,11,266.67,353,194.17,20,81.82,636,75.69,8,--,240,"7,900.00",0,-100.00,1,-95.00,0,--,0,--,165,-63.41,"5,341",-61.59,29,-43.14,927,-40.23
2001,"58,751",-18.17,"1,740,633",-24.62,"119,585",-3.85,"3,543,738",-11.10,"46,379",-18.90,"1,374,642",-25.26,"104,277",-4.83,"3,090,500",-11.97,430,-10.60,"12,761",-17.01,151,190.38,"4,493",169.36,27,92.86,807,75.43,0,--,0,-100.00,47,-21.67,"1,414",-24.99,1,-90.00,35,-91.80,1,0.00,26,8.33,1,0.00,43,79.17,68,-22.73,"2,084",-26.20,"2,894",19.29,"85,672",9.77,"6,680",-6.07,"197,647",-13.68,"11,714",-1.72,"346,765",-9.30,254,-19.87,"7,534",-26.52,421,31.56,"12,442",22.09,173,133.78,"5,066",109.77,2,-33.33,73,-27.72,163,608.70,"4,767",567.65,56,--,"1,622","16,120.00",11,-50.00,335,-51.52,2,--,88,417.65,29,20.83,870,12.11,0,-100.00,0,-100.00,18,-10.00,577,-9.28,7,-12.50,229,-4.58,1,--,25,"2,400.00",0,--,0,--,192,16.36,"5,580",4.47,28,-3.45,833,-10.14
2002,"67,170",14.33,"1,947,196",11.87,"113,806",-4.83,"3,287,940",-7.22,"55,236",19.10,"1,601,226",16.48,"98,282",-5.75,"2,839,188",-8.13,405,-5.81,"11,820",-7.37,6,-96.03,197,-95.62,32,18.52,950,17.72,2,--,34,--,37,-21.28,"1,105",-21.85,0,-100.00,41,17.14,2,100.00,59,126.92,1,0.00,44,2.33,82,20.59,"2,360",13.24,"3,155",9.02,"91,333",6.61,"7,390",10.63,"214,212",8.38,"11,848",1.14,"342,305",-1.29,298,17.32,"8,621",14.43,436,3.56,"12,606",1.32,111,-35.84,"3,217",-36.50,14,600.00,390,434.25,398,144.17,"11,507",141.39,11,-80.36,325,-79.96,20,81.82,596,77.91,3,50.00,73,-17.05,110,279.31,"3,254",274.02,0,--,15,--,43,138.89,"1,217",110.92,24,242.86,685,199.13,0,-100.00,0,-100.00,0,--,0,--,658,242.71,"19,070",241.76,6,-78.57,181,-78.27
2003,"84,632",26.00,"2,464,240",26.55,"111,682",-1.87,"3,239,577",-1.47,"65,248",18.13,"1,899,676",18.64,"94,179",-4.17,"2,732,209",-3.77,307,-24.20,"8,973",-24.09,77,"1,183.33","2,232","1,032.99",28,-12.50,822,-13.47,3,50.00,92,170.59,49,32.43,"1,397",26.43,2,--,59,43.90,1,-50.00,42,-28.81,0,-100.00,1,-97.73,166,102.44,"4,771",102.16,"3,607",14.33,"104,725",14.66,"10,188",37.86,"296,291",38.32,"13,236",11.72,"383,483",12.03,243,-18.46,"7,083",-17.84,456,4.59,"13,197",4.69,235,111.71,"6,849",112.90,42,200.00,"1,283",228.97,607,52.51,"17,602",52.97,1,-90.91,29,-91.08,63,215.00,"1,832",207.38,1,-66.67,19,-73.97,38,-65.45,"1,081",-66.78,3,--,108,620.00,27,-37.21,781,-35.83,24,0.00,672,-1.90,0,--,0,--,0,--,0,--,"2,509",281.31,"73,191",283.80,15,150.00,388,114.36
2004,"96,162",13.62,"2,877,115",16.75,"136,068",21.84,"4,059,870",25.32,"75,844",16.24,"2,268,550",19.42,"114,927",22.03,"3,429,629",25.53,310,0.98,"9,234",2.91,83,7.79,"2,473",10.80,18,-35.71,554,-32.60,0,-100.00,13,-85.87,54,10.20,"1,655",18.47,0,-100.00,8,-86.44,1,0.00,51,21.43,3,--,103,"10,200.00",111,-33.13,"3,316",-30.50,"4,590",27.25,"136,857",30.68,"13,595",33.44,"406,913",37.34,"15,402",16.36,"459,016",19.70,247,1.65,"7,451",5.20,563,23.46,"16,813",27.40,318,35.32,"9,413",37.44,173,311.90,"5,158",302.03,496,-18.29,"14,882",-15.45,96,"9,500.00","2,867","9,786.21",14,-77.78,431,-76.47,34,"3,300.00","1,026","5,300.00",40,5.26,"1,222",13.04,4,33.33,130,20.37,28,3.70,846,8.32,110,358.33,"3,243",382.59,1,--,32,--,0,--,0,--,"1,689",-32.68,"50,712",-30.71,18,20.00,568,46.39
2005,"96,704",0.56,"3,014,803",4.79,"173,526",27.53,"5,397,303",32.94,"76,849",1.33,"2,392,597",5.47,"151,994",32.25,"4,726,429",37.81,314,1.29,"9,798",6.11,67,-19.28,"2,164",-12.49,61,238.89,"1,903",243.50,10,--,319,"2,353.85",78,44.44,"2,482",49.97,0,--,12,50.00,8,700.00,240,370.59,0,-100.00,13,-87.38,148,33.33,"4,638",39.87,"4,296",-6.41,"133,823",-2.22,"14,779",8.71,"462,824",13.74,"16,291",5.77,"507,634",10.59,329,33.20,"10,360",39.04,494,-12.26,"15,361",-8.64,149,-53.14,"4,657",-50.53,149,-13.87,"4,597",-10.88,416,-16.13,"13,069",-12.18,17,-82.29,498,-82.63,45,221.43,"1,400",224.83,1,-97.06,53,-94.83,72,80.00,"2,243",83.55,5,25.00,203,56.15,24,-14.29,717,-15.25,10,-90.91,336,-89.64,0,-100.00,4,-87.50,0,--,0,--,133,-92.13,"4,177",-91.76,7,-61.11,185,-67.43
2006,"109,260",12.98,"3,362,224",11.52,"199,571",15.01,"6,124,580",13.47,"88,492",15.15,"2,722,973",13.81,"174,328",14.69,"5,349,481",13.18,373,18.79,"11,490",17.27,25,-62.69,766,-64.60,14,-77.05,459,-75.88,11,10.00,347,8.78,80,2.56,"2,428",-2.18,1,--,43,258.33,2,-75.00,57,-76.25,0,--,3,-76.92,173,16.89,"5,284",13.93,"7,567",76.14,"231,987",73.35,"12,475",-15.59,"384,459",-16.93,"16,347",0.34,"502,227",-1.07,"1,460",343.77,"45,142",335.73,439,-11.13,"13,498",-12.13,173,16.11,"5,310",14.02,531,256.38,"16,239",253.25,"1,029",147.36,"31,616",141.92,17,0.00,524,5.22,10,-77.78,308,-78.00,2,100.00,69,30.19,48,-33.33,"1,504",-32.95,10,100.00,321,58.13,26,8.33,762,6.28,1,-90.00,53,-84.23,1,--,30,650.00,0,--,4,--,5,-96.24,191,-95.43,7,0.00,216,16.76
2007,"130,391",19.34,"3,975,781",18.25,"234,109",17.31,"7,114,189",16.16,"106,064",19.86,"3,233,258",18.74,"201,443",15.55,"6,122,115",14.44,614,64.61,"18,764",63.31,80,220.00,"2,398",213.05,19,35.71,614,33.77,52,372.73,"1,593",359.08,99,23.75,"3,051",25.66,2,100.00,85,97.67,2,0.00,42,-26.32,0,--,7,133.33,264,52.60,"8,050",52.35,"12,669",67.42,"384,619",65.79,"17,921",43.66,"547,235",42.34,"18,604",13.81,"565,051",12.51,301,-79.38,"9,162",-79.70,378,-13.90,"11,491",-14.87,225,30.06,"6,893",29.81,469,-11.68,"14,295",-11.97,"1,652",60.54,"50,494",59.71,6,-64.71,180,-65.65,37,270.00,"1,166",278.57,11,450.00,322,366.67,55,14.58,"1,604",6.65,16,60.00,498,55.14,34,30.77,"1,083",42.13,15,"1,400.00",418,688.68,0,-100.00,3,-90.00,0,--,5,25.00,13,160.00,398,108.38,6,-14.29,203,-6.02
2008,"137,148",5.18,"4,372,518",9.98,"287,936",22.99,"9,138,665",28.46,"109,335",3.08,"3,486,590",7.84,"260,736",29.43,"8,270,645",35.09,"1,077",75.41,"34,134",81.91,74,-7.50,"2,390",-0.33,12,-36.84,390,-36.48,84,61.54,"2,741",72.07,172,73.74,"5,431",78.01,8,300.00,246,189.41,13,550.00,393,835.71,1,--,52,642.86,274,3.79,"8,793",9.23,"6,741",-46.79,"215,024",-44.09,"19,950",11.32,"636,951",16.39,"17,924",-3.66,"571,422",1.13,"1,313",336.21,"41,476",352.70,"1,578",317.46,"50,934",343.25,219,-2.67,"6,894",0.01,342,-27.08,"10,788",-24.53,"1,966",19.01,"62,328",23.44,16,166.67,499,177.22,33,-10.81,"1,046",-10.29,17,54.55,515,59.94,42,-23.64,"1,365",-14.90,5,-68.75,187,-62.45,19,-44.12,628,-42.01,59,293.33,"1,893",352.87,0,--,4,33.33,0,--,4,-20.00,12,-7.69,444,11.56,4,-33.33,136,-33.00
2009,"94,141",-31.36,"2,857,668",-34.64,"216,764",-24.72,"6,554,836",-28.27,"77,548",-29.07,"2,353,386",-32.50,"197,292",-24.33,"5,965,882",-27.87,879,-18.38,"26,784",-21.53,177,139.19,"5,374",124.85,15,25.00,466,19.49,67,-20.24,"1,962",-28.42,101,-41.28,"3,052",-43.80,36,350.00,"1,067",333.74,0,-100.00,9,-97.71,0,-100.00,8,-84.62,200,-27.01,"6,039",-31.32,"3,257",-51.68,"98,669",-54.11,"9,804",-50.86,"297,700",-53.26,"15,180",-15.31,"459,040",-19.67,"1,514",15.31,"46,330",11.70,253,-83.97,"7,641",-85.00,155,-29.22,"4,602",-33.25,270,-21.05,"8,117",-24.76,403,-79.50,"12,311",-80.25,16,0.00,457,-8.42,41,24.24,"1,251",19.60,12,-29.41,383,-25.63,57,35.71,"1,709",25.20,13,160.00,367,96.26,29,52.63,919,46.34,0,-100.00,26,-98.63,628,--,"19,254","481,250.00",1,--,62,"1,450.00",17,41.67,512,15.32,33,725.00,998,633.82
