期間,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女
1976,67.57,69.51,65.52,92.63,94.13,91.05,97.54,97.49,97.59,77.33,81.60,72.82,43.17,46.08,40.11,65.73,69.53,61.71,9.96,11.15,8.73,10.45,10.81,10.06,69.61,74.19,68.92,97.06,98.66,95.36,100.65,100.64,100.65,90.21,94.89,85.27,56.54,59.92,52.98,73.55,77.59,69.28,15.40,18.82,11.81,11.06,11.44,10.65
1977,67.88,69.51,66.17,93.46,94.82,92.02,97.83,97.86,97.79,78.90,82.61,74.99,44.47,46.64,42.18,67.07,69.96,64.02,10.29,11.39,9.14,11.67,12.01,11.30,69.94,74.62,70.07,97.94,99.29,96.51,100.80,100.82,100.78,92.48,96.36,88.38,57.51,60.09,54.79,75.02,78.24,71.62,15.44,18.65,12.07,12.50,12.89,12.10
1978,67.82,69.04,66.53,94.18,95.21,93.10,97.98,97.88,98.10,80.85,83.88,77.65,44.51,46.21,42.72,67.47,69.77,65.04,10.48,11.40,9.51,13.26,13.85,12.63,70.06,74.66,70.99,98.57,99.53,97.55,101.03,100.92,101.16,93.91,96.90,90.75,58.18,59.73,56.55,75.91,78.18,73.51,15.65,18.57,12.59,13.90,14.50,13.25
1979,68.19,69.03,67.30,94.60,95.31,93.85,97.46,97.33,97.60,83.13,85.31,80.83,45.27,45.96,44.54,68.40,70.05,66.66,10.90,11.76,10.00,13.51,13.98,13.00,70.49,74.88,72.27,99.16,99.70,98.59,100.53,100.24,100.83,96.52,98.64,94.28,60.96,61.71,60.18,78.35,79.78,76.85,15.82,18.37,13.15,14.35,14.83,13.83
1980,68.73,69.15,68.29,94.77,95.20,94.32,97.56,97.43,97.70,83.42,84.73,82.03,49.67,50.25,49.06,70.99,71.91,70.01,11.07,11.86,10.25,14.45,14.90,13.98,71.45,75.28,73.55,99.50,99.65,99.34,100.80,100.51,101.10,96.99,97.98,95.94,64.37,64.38,64.37,80.34,80.86,79.79,16.18,18.46,13.79,15.18,15.65,14.68
1981,69.52,69.75,69.28,95.13,95.44,94.80,97.59,97.54,97.64,84.41,85.26,83.52,52.58,52.03,53.17,72.96,73.19,72.72,11.47,12.15,10.75,14.87,15.32,14.39,71.95,73.79,73.42,99.95,99.89,100.01,101.11,100.74,101.50,97.71,98.26,97.13,68.03,67.57,68.52,82.54,82.60,82.48,16.71,18.81,14.50,15.74,16.23,15.21
1982,70.33,70.42,70.24,94.31,94.45,94.17,96.42,96.35,96.49,84.41,84.76,84.03,56.64,56.67,56.60,75.40,75.63,75.17,11.80,12.33,11.25,15.18,15.54,14.79,72.94,77.05,76.26,99.26,99.01,99.52,100.06,99.61,100.53,97.70,97.84,97.56,73.30,72.65,73.98,85.47,85.22,85.73,17.39,19.41,15.27,15.95,16.35,15.53
1983,71.29,71.28,71.29,95.43,95.63,95.21,96.70,96.66,96.75,86.49,86.97,85.98,57.62,57.15,58.12,76.14,76.04,76.24,12.40,12.84,11.93,16.28,16.67,15.87,73.98,78.27,77.87,99.75,99.40,100.11,100.06,99.56,100.58,99.13,99.09,99.17,75.26,74.28,76.30,87.14,86.63,87.68,18.52,20.40,16.55,17.37,17.78,16.94
1984,72.08,71.92,72.26,95.65,95.82,95.48,96.29,96.29,96.30,88.22,88.66,87.76,60.63,60.07,61.22,78.11,77.86,78.37,12.57,12.78,12.34,18.66,19.20,18.09,74.84,79.39,79.10,99.78,99.32,100.26,99.53,99.01,100.07,100.30,99.96,100.65,77.72,76.53,78.98,88.89,88.12,89.70,19.49,21.18,17.72,18.99,19.52,18.42
1985,72.99,72.80,73.20,95.65,95.71,95.59,96.30,96.29,96.31,87.03,87.18,86.86,62.32,61.80,62.86,78.29,77.95,78.64,13.88,14.24,13.49,19.05,19.45,18.62,75.97,80.44,80.34,99.82,99.32,100.36,99.43,98.86,100.04,100.66,100.31,101.03,79.35,78.04,80.72,89.73,88.89,90.61,20.79,22.50,18.99,19.30,19.71,18.87
1986,74.42,73.99,74.86,95.95,95.99,95.90,96.75,96.73,96.77,89.12,89.18,89.06,66.45,64.49,68.52,81.50,80.52,82.53,14.24,14.47,14.00,19.98,20.41,19.52,77.36,81.92,82.38,100.01,99.49,100.55,99.57,98.88,100.30,100.97,100.85,101.10,83.84,81.44,86.38,92.19,90.90,93.56,21.58,23.30,19.77,20.07,20.50,19.61
1987,75.34,74.79,75.93,96.09,96.15,96.02,96.97,96.96,96.97,89.02,89.27,88.76,68.43,66.05,70.94,82.39,81.13,83.73,14.82,14.90,14.74,21.77,22.10,21.41,78.29,77.82,78.79,99.66,99.00,100.35,99.37,98.66,100.12,100.30,99.78,100.85,87.36,84.49,90.37,93.76,92.06,95.54,22.65,24.16,21.06,21.90,22.24,21.54
1988,76.35,75.60,77.15,96.40,96.40,96.40,97.96,97.94,97.99,87.93,88.00,87.86,70.42,67.02,74.00,82.88,81.25,84.61,15.94,15.86,16.04,22.80,23.20,22.38,79.48,78.81,80.20,99.68,99.02,100.39,100.47,99.75,101.24,98.01,97.48,98.57,89.94,86.11,93.96,94.08,91.95,96.32,24.57,25.93,23.14,22.88,23.27,22.46
1989,76.55,75.64,77.52,96.77,96.64,96.90,97.74,97.74,97.74,89.82,89.32,90.35,70.80,67.38,74.38,83.88,81.95,85.91,17.18,16.67,17.72,23.75,24.02,23.48,79.82,78.95,80.73,99.60,98.81,100.44,100.03,99.37,100.74,98.72,97.67,99.84,88.91,85.09,92.91,94.02,91.66,96.52,26.74,27.61,25.82,23.75,24.01,23.47
1990,77.97,77.06,78.92,97.12,97.15,97.09,98.04,98.21,97.87,90.31,90.05,90.59,73.01,69.36,76.85,85.45,83.64,87.35,19.36,18.33,20.44,23.55,23.84,23.23,81.27,80.43,82.15,99.80,99.18,100.45,100.46,99.89,101.07,98.49,97.77,99.25,91.08,87.30,95.06,95.00,92.85,97.27,29.65,30.18,29.09,24.34,24.66,24.00
1991,78.74,77.98,79.55,97.97,97.95,97.98,98.70,98.75,98.64,91.70,91.49,91.93,72.93,69.34,76.71,86.17,84.40,88.05,20.98,20.22,21.78,23.30,23.47,23.12,82.41,81.64,83.22,100.73,100.07,101.42,100.99,100.27,101.74,100.23,99.67,100.82,90.28,87.09,93.62,95.40,93.58,97.32,32.37,32.96,31.75,24.13,24.31,23.94
1992,79.35,78.68,80.07,97.60,97.45,97.76,98.92,98.93,98.91,90.69,90.23,91.17,75.49,72.31,78.84,86.46,84.76,88.26,23.47,23.04,23.92,22.99,23.08,22.88,83.36,82.50,84.26,100.50,99.63,101.42,101.27,100.37,102.24,99.09,98.29,99.95,91.93,88.88,95.14,95.60,93.71,97.60,35.56,36.25,34.83,23.58,23.69,23.46
1993,79.79,79.15,80.47,98.12,98.02,98.23,99.31,99.32,99.30,91.63,91.25,92.02,77.28,74.15,80.59,87.43,85.80,89.15,25.61,24.99,26.26,23.06,23.24,22.86,83.86,83.05,84.70,100.95,100.04,101.92,101.77,100.74,102.86,99.54,98.82,100.30,91.00,88.39,93.75,95.32,93.67,97.06,37.93,38.63,37.19,23.69,23.87,23.48
1994,79.11,78.21,80.07,97.47,97.26,97.68,98.36,98.34,98.38,92.63,92.02,93.28,78.57,74.89,82.47,88.59,86.59,90.71,26.26,24.99,27.60,23.40,23.51,23.27,83.26,82.17,84.42,100.37,99.25,101.57,100.90,99.71,102.19,99.47,98.47,100.53,92.36,89.51,95.37,95.93,94.02,97.96,38.32,38.43,38.21,24.13,24.26,23.98
1995,79.38,78.39,80.43,98.36,98.23,98.49,99.06,99.01,99.10,94.14,93.83,94.47,79.15,75.84,82.65,88.84,87.03,90.75,27.79,25.88,29.78,23.44,23.71,23.14,83.17,81.90,84.52,100.94,99.86,102.10,101.39,100.24,102.63,100.19,99.22,101.21,91.25,88.60,94.07,95.66,93.84,97.59,39.44,38.54,40.39,24.61,24.84,24.35
1996,78.95,77.90,80.07,98.23,98.04,98.43,99.02,98.88,99.17,94.27,93.97,94.58,80.30,77.44,83.34,89.57,87.93,91.31,29.07,26.88,31.37,23.45,23.78,23.08,83.00,81.58,84.52,101.01,99.87,102.23,101.12,99.95,102.39,100.81,99.74,101.95,91.12,88.77,93.62,95.79,94.06,97.63,40.90,39.24,42.64,24.50,24.78,24.18
1997,79.26,78.14,80.45,98.38,98.24,98.54,98.62,98.56,98.69,95.60,95.29,95.93,81.74,78.90,84.75,90.79,89.23,92.45,31.09,28.35,33.97,23.34,23.53,23.13,83.39,81.84,85.04,101.12,100.00,102.33,100.63,99.52,101.83,102.01,100.88,103.21,92.91,90.86,95.08,97.21,95.60,98.92,43.08,40.71,45.58,23.87,24.07,23.65
1998,80.04,78.91,81.25,98.15,97.97,98.36,97.78,97.72,97.83,96.15,95.73,96.60,83.34,81.19,85.63,91.68,90.31,93.13,33.32,30.19,36.61,23.62,24.00,23.22,84.62,83.06,86.28,100.89,99.71,102.16,99.80,98.66,101.06,102.97,101.77,104.26,94.78,93.15,96.51,98.55,97.12,100.07,46.98,44.30,49.79,24.56,24.97,24.12
1999,80.40,79.29,81.58,98.24,98.14,98.36,97.81,97.84,97.78,96.52,96.17,96.89,84.95,82.80,87.24,92.56,91.29,93.91,35.43,32.14,38.90,23.27,23.49,23.03,85.61,84.19,87.14,100.85,99.80,101.98,99.67,98.74,100.69,103.27,102.01,104.61,96.54,95.10,98.07,99.61,98.26,101.04,50.52,48.00,53.17,24.01,24.24,23.75
2000,81.23,80.17,82.36,98.00,97.96,98.03,98.78,98.77,98.79,93.96,93.83,94.11,87.08,84.90,89.39,92.19,90.96,93.49,38.70,35.47,42.11,24.47,24.60,24.33,87.23,85.95,88.60,100.28,99.32,101.33,100.49,99.59,101.47,99.86,98.76,101.05,98.66,97.41,99.99,99.23,98.05,100.49,56.14,53.87,58.54,25.05,25.19,24.89
2001,82.29,81.18,83.48,97.32,97.29,97.35,98.19,98.20,98.16,93.53,93.42,93.65,88.21,86.00,90.56,92.92,91.83,94.07,42.51,38.98,46.23,22.94,22.73,23.18,89.07,87.76,90.47,99.53,98.67,100.46,99.66,98.88,100.52,99.25,98.24,100.34,99.66,98.39,101.02,99.44,98.31,100.64,62.96,60.44,65.62,26.96,26.80,27.14
2002,83.44,82.35,84.61,97.15,97.13,97.16,98.04,98.09,97.99,93.47,93.27,93.69,89.32,87.54,91.23,93.74,92.84,94.72,45.68,42.14,49.41,25.74,25.79,25.68,90.56,89.13,92.09,99.57,98.73,100.49,99.99,99.20,100.85,98.74,97.80,99.77,99.94,98.84,101.12,99.33,98.31,100.43,67.56,64.52,70.78,27.62,27.69,27.54
2003,84.63,83.57,85.78,96.74,96.77,96.70,97.30,97.34,97.26,92.41,92.41,92.40,87.63,86.13,89.24,93.83,93.03,94.69,49.05,45.33,52.99,25.31,25.47,25.14,91.87,90.36,93.50,100.02,99.20,100.91,99.54,98.76,100.38,100.99,100.08,101.98,97.04,96.19,97.94,99.03,98.16,99.96,72.37,68.76,76.18,28.16,28.34,27.97
2004,86.55,85.59,87.60,97.68,97.69,97.67,98.23,98.32,98.13,93.00,92.91,93.09,88.44,87.08,89.90,93.63,92.94,94.39,53.20,49.58,57.04,25.97,26.11,25.82,93.87,92.48,95.38,100.43,99.66,101.26,100.77,100.03,101.56,99.77,98.95,100.68,96.81,96.18,97.49,98.30,97.58,99.09,78.11,74.62,81.80,28.06,28.22,27.89
2005,87.71,86.81,88.69,98.68,98.69,98.67,98.46,98.49,98.44,96.51,96.50,96.51,88.53,87.32,89.85,93.63,93.05,94.26,57.42,54.00,61.06,27.68,27.81,27.53,94.73,93.51,96.05,100.17,99.44,100.97,100.34,99.54,101.21,99.85,99.25,100.51,96.01,95.38,96.70,97.91,97.30,98.58,82.02,79.13,85.08,27.73,27.87,27.58
