期間,各級平均_平均,各級平均_公立,各級平均_私立,幼兒園_平均,幼兒園_公立,幼兒園_私立,國小_平均,國小_公立,國小_私立,國中_平均,國中_公立,國中_私立,高級中學_平均,高級中學_公立,高級中學_私立,職業學校_平均,職業學校_公立,職業學校_私立,專科學校_平均,專科學校_公立,專科學校_私立,學院_平均,學院_公立,學院_私立,大學_平均,大學_公立,大學_私立
1999,19.96,18.45,24.97,12.80,15.07,12.05,19.52,19.46,24.97,16.04,16.01,21.41,19.70,17.16,23.75,19.61,15.02,25.73,19.61,13.13,20.13,17.38,14.07,19.26,18.28,13.19,24.82
2000,19.74,18.08,25.07,12.09,14.56,11.27,18.96,18.91,24.30,15.60,15.58,20.71,19.69,17.07,23.77,20.61,16.45,27.13,20.08,15.52,20.48,19.20,15.12,20.80,18.98,13.92,24.86
2001,19.71,17.91,25.63,12.44,14.48,11.71,18.60,18.56,23.20,15.67,15.64,20.02,19.37,16.93,23.29,19.19,15.73,25.68,20.56,17.59,20.65,20.17,16.25,21.53,19.60,14.58,25.24
2002,19.67,17.92,25.32,11.79,14.24,10.92,18.39,18.36,20.74,16.05,15.99,21.22,19.43,17.11,23.12,18.41,15.05,25.56,20.97,15.53,21.34,19.94,16.60,21.06,20.04,15.12,24.94
2003,19.59,17.93,24.83,11.34,13.89,10.48,18.43,18.40,21.29,16.14,16.08,21.36,19.19,16.82,23.07,18.19,14.54,26.25,19.78,19.96,19.77,19.90,16.91,20.78,20.07,15.80,24.15
2004,19.59,17.87,24.94,11.35,13.79,10.52,18.31,18.28,20.84,16.28,16.23,21.09,19.38,16.59,23.93,18.43,14.01,28.85,19.57,22.36,19.32,19.48,17.03,20.06,20.08,16.36,23.57
2005,19.29,17.60,24.43,10.27,11.58,9.78,18.02,17.99,19.92,16.02,15.98,19.00,19.44,16.40,24.27,18.81,14.13,29.81,18.92,21.39,18.71,18.98,19.33,21.39,20.11,16.72,23.14
2006,19.30,17.43,25.22,10.60,11.60,10.11,17.86,17.82,20.66,15.70,15.64,20.70,19.30,16.21,24.19,18.38,13.62,29.95,21.01,21.40,20.98,18.63,19.64,18.45,19.93,16.68,22.68
2007,19.03,17.12,25.18,11.02,12.85,10.13,17.31,17.27,19.39,15.23,15.18,20.10,19.12,16.24,23.63,18.70,13.80,30.60,22.73,22.00,22.81,18.55,19.55,18.38,20.25,17.47,22.44
2008,18.77,16.81,25.10,10.69,12.52,9.76,16.74,16.70,19.23,15.09,15.03,19.77,18.91,16.08,23.45,19.01,13.95,30.80,23.65,19.73,24.10,18.81,19.80,18.65,20.47,17.74,22.62
2009,18.49,16.46,25.10,10.77,12.29,9.95,16.07,16.02,18.80,14.91,14.86,19.15,18.73,15.88,23.43,19.08,13.96,31.05,26.13,21.36,26.67,19.35,21.63,18.89,21.03,18.60,22.84
2010,18.18,15.88,25.95,12.57,12.42,12.67,15.26,15.21,18.45,14.31,14.27,18.69,18.58,15.73,23.23,18.69,13.75,30.04,26.74,18.44,27.86,19.81,21.80,19.46,21.25,18.76,23.12
2011,17.90,15.40,26.41,12.72,11.74,13.39,14.78,14.71,19.08,13.74,13.69,18.64,18.53,15.55,23.43,18.29,13.54,29.45,27.69,18.60,28.94,21.10,21.25,21.07,21.52,18.69,23.65
2012,16.59,14.67,21.43,10.21,10.89,9.97,14.09,14.00,19.49,13.00,12.95,17.41,18.29,15.26,23.41,17.83,13.33,28.44,28.34,18.03,29.29,21.32,20.52,21.44,21.86,18.76,24.21
2013,16.03,14.11,20.94,9.89,10.59,9.63,13.31,13.21,19.06,12.50,12.47,14.93,17.82,15.01,22.65,17.30,13.26,26.82,29.70,22.86,30.22,22.15,22.23,22.14,21.92,18.63,24.40
