期間,新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%)
1984,"12,566",...,440,...,"1,435",...,954,...,264,...,591,...,176,...,301,...,578,...,"31,776",...,"1,113",...,"3,623",...,"2,416",...,668,...,"1,494",...,445,...,763,...,"1,462",...
1985,"12,646",0.64,531,20.68,"1,239",-13.66,960,0.63,239,-9.47,645,9.14,165,-6.25,316,4.98,594,2.77,"31,735",-0.13,"1,333",19.76,"3,110",-14.16,"2,412",-0.17,603,-9.69,"1,619",8.33,413,-7.30,793,3.98,"1,492",2.00
1986,"15,555",23.00,934,75.89,"1,526",23.16,"1,089",13.44,326,36.40,841,30.39,234,41.82,389,23.10,747,25.76,"41,141",29.64,"2,469",85.21,"4,032",29.64,"2,880",19.41,864,43.28,"2,222",37.26,617,49.58,"1,029",29.65,"1,975",32.41
1987,"17,041",9.55,"1,208",29.34,"1,811",18.68,"1,156",6.15,379,16.26,934,11.06,253,8.12,479,23.14,983,31.59,"53,741",30.63,"3,812",54.42,"5,713",41.70,"3,644",26.54,"1,194",38.19,"2,945",32.54,801,29.75,"1,511",46.87,"3,100",56.94
1988,"17,336",1.73,"1,432",18.54,"1,916",5.80,"1,309",13.24,419,10.55,"1,098",17.56,319,26.09,570,19.00,"1,180",20.04,"60,768",13.08,"5,023",31.77,"6,713",17.49,"4,589",25.91,"1,466",22.83,"3,849",30.70,"1,117",39.52,"1,996",32.10,"4,138",33.49
1989,"17,333",-0.02,"1,171",-18.23,"2,127",11.01,"1,362",4.05,440,5.01,"1,139",3.73,279,-12.54,574,0.70,"1,213",2.80,"65,771",8.23,"4,451",-11.39,"8,068",20.19,"5,158",12.40,"1,668",13.72,"4,317",12.17,"1,055",-5.57,"2,175",9.02,"4,607",11.33
1990,"18,174",4.85,"1,330",13.58,"1,996",-6.16,"1,493",9.62,438,-0.45,"1,170",2.72,366,31.18,647,12.72,"1,482",22.18,"67,706",2.94,"4,956",11.36,"7,435",-7.85,"5,559",7.79,"1,630",-2.23,"4,354",0.85,"1,375",30.32,"2,400",10.31,"5,517",19.76
1991,"20,056",10.36,"1,565",17.67,"2,088",4.61,"1,534",2.75,530,21.00,"1,350",15.38,406,10.93,671,3.71,"1,625",9.65,"74,953",10.70,"5,860",18.22,"7,787",4.74,"5,729",3.05,"1,983",21.60,"5,041",15.79,"1,521",10.65,"2,510",4.60,"6,068",9.98
1992,"20,333",1.38,"1,657",5.88,"2,106",0.86,"1,586",3.39,553,4.34,"1,351",0.07,457,12.56,751,11.92,"1,775",9.23,"80,918",7.96,"6,601",12.65,"8,388",7.71,"6,313",10.19,"2,202",11.05,"5,373",6.59,"1,813",19.19,"2,983",18.86,"7,065",16.44
1993,"22,632",11.31,"2,250",35.79,"2,653",25.97,"1,771",11.66,555,0.36,"1,536",13.69,530,15.97,866,15.31,"1,836",3.44,"85,884",6.14,"8,525",29.15,"10,061",19.95,"6,736",6.71,"2,108",-4.25,"5,826",8.42,"2,016",11.21,"3,289",10.23,"6,970",-1.34
1994,"24,963",10.30,"2,850",26.67,"3,215",21.18,"2,061",16.37,596,7.39,"1,618",5.34,585,10.38,"1,001",15.59,"1,880",2.40,"94,588",10.13,"10,803",26.72,"12,176",21.01,"7,807",15.90,"2,254",6.93,"6,126",5.16,"2,220",10.11,"3,798",15.49,"7,124",2.21
