期間,新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%)
1984M01,"1,054",...,37,...,120,...,80,...,22,...,50,...,15,...,25,...,49,...,"2,627",...,92,...,300,...,200,...,55,...,124,...,37,...,63,...,121,...
1984M02,933,...,33,...,106,...,71,...,20,...,44,...,13,...,22,...,43,...,"2,321",...,81,...,265,...,176,...,49,...,109,...,33,...,56,...,107,...
1984M03,"1,129",...,40,...,129,...,86,...,24,...,53,...,16,...,27,...,52,...,"2,821",...,99,...,322,...,215,...,59,...,133,...,40,...,68,...,130,...
1984M04,"1,111",...,39,...,127,...,84,...,23,...,52,...,16,...,27,...,51,...,"2,797",...,98,...,319,...,213,...,59,...,132,...,39,...,67,...,129,...
1984M05,"1,140",...,40,...,130,...,87,...,24,...,54,...,16,...,27,...,52,...,"2,879",...,101,...,328,...,219,...,60,...,135,...,40,...,69,...,132,...
1984M06,"1,096",...,38,...,125,...,83,...,23,...,52,...,15,...,26,...,51,...,"2,759",...,97,...,314,...,210,...,58,...,130,...,39,...,66,...,127,...
1984M07,"1,093",...,38,...,125,...,83,...,23,...,51,...,15,...,26,...,50,...,"2,776",...,97,...,317,...,211,...,58,...,131,...,39,...,67,...,128,...
1984M08,"1,066",...,37,...,122,...,81,...,22,...,50,...,15,...,26,...,49,...,"2,741",...,96,...,313,...,208,...,58,...,129,...,38,...,66,...,126,...
1984M09,981,...,34,...,112,...,74,...,21,...,46,...,14,...,24,...,45,...,"2,507",...,88,...,286,...,191,...,53,...,118,...,35,...,60,...,115,...
1984M10,"1,002",...,35,...,115,...,76,...,21,...,47,...,14,...,24,...,46,...,"2,568",...,90,...,293,...,195,...,54,...,121,...,36,...,62,...,118,...
1984M11,999,...,35,...,114,...,76,...,21,...,47,...,14,...,24,...,46,...,"2,534",...,89,...,289,...,193,...,53,...,119,...,35,...,61,...,117,...
