期間,專業及技術服務業_原始值,專業及技術服務業_年增率(%),電腦系統設計服務業_原始值,電腦系統設計服務業_年增率(%),資料處理及資訊供應服務業_原始值,資料處理及資訊供應服務業_年增率(%),廣告業及市場研究業_原始值,廣告業及市場研究業_年增率(%),專門設計服務業_原始值,專門設計服務業_年增率(%),租賃業_原始值,租賃業_年增率(%)
2001Q1,"42,534",...,"25,255",...,"6,198",...,"20,830",...,"7,020",...,"9,350",...
2001Q2,"43,403",...,"22,206",...,"6,719",...,"22,935",...,"6,667",...,"9,952",...
2001Q3,"38,827",...,"22,663",...,"5,461",...,"21,172",...,"5,370",...,"8,878",...
2001Q4,"39,523",...,"25,160",...,"5,394",...,"21,097",...,"5,885",...,"9,487",...
2002Q1,"37,815",-11.09,"21,194",-16.08,"5,102",-17.69,"20,049",-3.75,"5,462",-22.20,"8,349",-10.70
2002Q2,"42,151",-2.88,"24,627",10.90,"6,458",-3.88,"22,193",-3.23,"5,949",-10.78,"9,504",-4.50
2002Q3,"42,759",10.13,"25,137",10.91,"6,281",15.02,"22,303",5.34,"5,982",11.38,"9,685",9.08
2002Q4,"43,230",9.38,"28,854",14.68,"7,146",32.48,"23,466",11.23,"6,115",3.91,"10,574",11.46
2003Q1,"39,194",3.65,"22,919",8.14,"6,221",21.95,"20,000",-0.24,"5,637",3.21,"8,785",5.22
2003Q2,"40,982",-2.77,"24,316",-1.26,"6,155",-4.69,"21,550",-2.90,"6,229",4.72,"9,901",4.18
2003Q3,"42,116",-1.50,"26,272",4.52,"6,503",3.53,"21,571",-3.28,"6,031",0.82,"10,071",3.99
2003Q4,"47,600",10.11,"32,472",12.54,"7,661",7.21,"24,799",5.68,"6,579",7.59,"11,361",7.44
2004Q1,"40,675",3.78,"30,292",32.17,"6,651",6.91,"20,752",3.76,"5,729",1.62,"10,004",13.88
2004Q2,"45,305",10.55,"30,422",25.11,"6,928",12.55,"23,913",10.97,"6,686",7.34,"11,301",14.14
2004Q3,"47,714",13.29,"29,222",11.23,"7,290",12.10,"24,774",14.85,"6,984",15.80,"11,439",13.59
2004Q4,"50,718",6.55,"32,888",1.28,"7,554",-1.40,"26,375",6.35,"7,459",13.37,"12,798",12.65
2005Q1,"42,621",4.78,"28,589",-5.62,"6,940",4.34,"21,394",3.10,"6,565",14.59,"11,455",14.51
2005Q2,"46,607",2.87,"30,602",0.59,"7,211",4.09,"24,144",0.97,"6,867",2.70,"12,123",7.28
2005Q3,"50,180",5.17,"30,133",3.12,"7,343",0.73,"25,862",4.39,"7,230",3.52,"12,032",5.18
2005Q4,"52,969",4.44,"35,341",7.46,"7,931",4.99,"27,192",3.10,"7,922",6.21,"13,607",6.32
2006Q1,"46,263",8.55,"30,775",7.65,"7,699",10.93,"23,548",10.07,"7,167",9.18,"13,138",14.69
2006Q2,"48,988",5.11,"34,708",13.42,"7,798",8.15,"24,923",3.23,"7,950",15.77,"14,236",17.43
2006Q3,"51,510",2.65,"35,737",18.60,"8,352",13.74,"25,814",-0.19,"7,920",9.55,"14,133",17.46
2006Q4,"56,778",7.19,"43,339",22.63,"8,780",10.71,"28,570",5.07,"8,866",11.91,"15,435",13.44
2007Q1,"48,956",5.82,"37,200",20.88,"8,126",5.55,"24,610",4.51,"8,121",13.31,"14,089",7.24
2007Q2,"52,459",7.08,"39,578",14.03,"8,358",7.17,"25,180",1.03,"9,280",16.73,"14,960",5.09
2007Q3,"54,008",4.85,"45,032",26.01,"9,087",8.80,"26,177",1.40,"9,724",22.78,"14,985",6.03
2007Q4,"56,510",-0.47,"47,697",10.06,"9,311",6.04,"26,862",-5.98,"9,741",9.87,"16,120",4.44
