期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2002M01,357,...,20,...,-,...,9,...,5,...,2,...,3,...,6,...,4,...,10,...,7,...,5,...,1,...,3,...,26,...,6,...,6,...,48,...,79,...,29,...,45,...,15,...,12,...,9,...,7,...,361,...,12,...,-,...,20,...,15,...,-,...,3,...,14,...,5,...,19,...,-,...,7,...,-,...,3,...,31,...,2,...,7,...,52,...,61,...,17,...,4,...,53,...,15,...,9,...,12,...
2002M02,157,...,16,...,-,...,2,...,3,...,1,...,1,...,2,...,2,...,7,...,2,...,5,...,3,...,1,...,15,...,3,...,4,...,20,...,23,...,16,...,17,...,3,...,3,...,1,...,7,...,144,...,5,...,-,...,6,...,3,...,2,...,2,...,4,...,2,...,3,...,-,...,3,...,1,...,4,...,12,...,2,...,3,...,28,...,17,...,-,...,1,...,32,...,5,...,1,...,8,...
2002M03,329,...,12,...,-,...,13,...,10,...,1,...,2,...,8,...,6,...,13,...,6,...,11,...,2,...,6,...,29,...,10,...,12,...,42,...,68,...,27,...,25,...,5,...,6,...,10,...,5,...,211,...,5,...,-,...,4,...,11,...,2,...,5,...,4,...,6,...,5,...,-,...,3,...,-,...,1,...,19,...,1,...,9,...,33,...,25,...,1,...,3,...,45,...,7,...,7,...,15,...
2002M04,381,...,15,...,-,...,9,...,9,...,3,...,3,...,5,...,8,...,16,...,4,...,15,...,2,...,9,...,24,...,12,...,10,...,59,...,66,...,39,...,31,...,16,...,11,...,8,...,7,...,262,...,12,...,-,...,12,...,5,...,-,...,7,...,7,...,6,...,9,...,1,...,3,...,-,...,3,...,25,...,7,...,5,...,47,...,40,...,3,...,-,...,48,...,5,...,7,...,10,...
2002M05,373,...,20,...,-,...,12,...,10,...,4,...,1,...,2,...,4,...,12,...,5,...,16,...,1,...,7,...,30,...,6,...,4,...,58,...,75,...,30,...,42,...,13,...,8,...,9,...,4,...,358,...,21,...,-,...,10,...,4,...,6,...,8,...,15,...,7,...,11,...,3,...,7,...,-,...,8,...,37,...,4,...,9,...,57,...,43,...,7,...,6,...,56,...,14,...,6,...,19,...
2002M06,343,...,26,...,-,...,9,...,11,...,1,...,3,...,3,...,5,...,13,...,5,...,11,...,2,...,4,...,23,...,8,...,6,...,57,...,73,...,29,...,17,...,14,...,9,...,4,...,10,...,233,...,6,...,-,...,12,...,6,...,3,...,5,...,9,...,2,...,11,...,1,...,11,...,-,...,2,...,19,...,4,...,6,...,50,...,23,...,4,...,3,...,37,...,10,...,4,...,5,...
2002M07,444,...,29,...,-,...,10,...,12,...,4,...,3,...,3,...,5,...,19,...,8,...,6,...,-,...,11,...,30,...,10,...,9,...,65,...,80,...,34,...,41,...,28,...,15,...,8,...,14,...,296,...,8,...,-,...,13,...,8,...,2,...,5,...,7,...,5,...,10,...,2,...,5,...,-,...,2,...,26,...,8,...,9,...,63,...,33,...,5,...,5,...,50,...,10,...,5,...,15,...
2002M08,434,...,29,...,-,...,9,...,12,...,3,...,1,...,4,...,1,...,18,...,8,...,15,...,2,...,6,...,43,...,8,...,9,...,65,...,101,...,18,...,38,...,21,...,6,...,7,...,10,...,340,...,6,...,-,...,19,...,7,...,5,...,7,...,3,...,8,...,7,...,-,...,9,...,-,...,2,...,30,...,7,...,9,...,68,...,31,...,12,...,2,...,70,...,15,...,3,...,20,...
2002M09,326,...,34,...,-,...,12,...,8,...,2,...,2,...,1,...,5,...,9,...,6,...,7,...,-,...,6,...,19,...,9,...,9,...,50,...,55,...,31,...,27,...,10,...,13,...,5,...,6,...,255,...,4,...,-,...,12,...,7,...,1,...,3,...,7,...,2,...,5,...,3,...,1,...,-,...,1,...,16,...,5,...,6,...,43,...,40,...,10,...,12,...,47,...,12,...,4,...,14,...
2002M10,363,...,27,...,-,...,12,...,10,...,1,...,-,...,7,...,2,...,17,...,5,...,13,...,1,...,2,...,36,...,9,...,7,...,47,...,78,...,24,...,29,...,11,...,11,...,6,...,8,...,274,...,3,...,-,...,8,...,8,...,-,...,3,...,2,...,5,...,7,...,6,...,7,...,-,...,4,...,24,...,6,...,10,...,50,...,37,...,7,...,5,...,44,...,14,...,6,...,18,...
2002M11,432,...,23,...,-,...,15,...,11,...,1,...,3,...,3,...,5,...,9,...,7,...,14,...,2,...,3,...,30,...,15,...,14,...,87,...,83,...,30,...,26,...,17,...,13,...,7,...,14,...,245,...,4,...,-,...,5,...,9,...,4,...,1,...,2,...,3,...,12,...,7,...,3,...,-,...,2,...,22,...,2,...,10,...,33,...,44,...,7,...,2,...,33,...,21,...,4,...,15,...
2002M12,378,...,27,...,-,...,8,...,11,...,-,...,3,...,9,...,9,...,19,...,6,...,10,...,-,...,5,...,27,...,9,...,4,...,56,...,76,...,35,...,25,...,9,...,10,...,14,...,6,...,313,...,8,...,-,...,15,...,9,...,1,...,7,...,2,...,6,...,5,...,6,...,6,...,-,...,3,...,18,...,8,...,8,...,47,...,51,...,12,...,12,...,55,...,15,...,8,...,11,...
