期間,合計_原始值,合計_年增率(%),製造業_原始值,製造業_年增率(%),食品及飲料製造業_原始值,食品及飲料製造業_年增率(%),菸草製造業_原始值,菸草製造業_年增率(%),紡織業_原始值,紡織業_年增率(%),成衣、服飾品及其他紡織製品製造業_原始值,成衣、服飾品及其他紡織製品製造業_年增率(%),皮革、毛皮及其製品製造業_原始值,皮革、毛皮及其製品製造業_年增率(%),木竹製品製造業_原始值,木竹製品製造業_年增率(%),家具及裝設品製造業_原始值,家具及裝設品製造業_年增率(%),紙漿、紙及紙製品製造業_原始值,紙漿、紙及紙製品製造業_年增率(%),印刷及有關事業_原始值,印刷及有關事業_年增率(%),化學材料製造業_原始值,化學材料製造業_年增率(%),化學製品製造業_原始值,化學製品製造業_年增率(%),石油及煤製品製造業_原始值,石油及煤製品製造業_年增率(%),橡膠製品製造業_原始值,橡膠製品製造業_年增率(%),塑膠製品製造業_原始值,塑膠製品製造業_年增率(%),非金屬礦物製品製造業_原始值,非金屬礦物製品製造業_年增率(%),金屬基本工業_原始值,金屬基本工業_年增率(%),金屬製品製造業_原始值,金屬製品製造業_年增率(%),機械設備製造修配業_原始值,機械設備製造修配業_年增率(%),電力及電子機械器材製造修配業_原始值,電力及電子機械器材製造修配業_年增率(%),運輸工具製造修配業_原始值,運輸工具製造修配業_年增率(%),精密器械製造業_原始值,精密器械製造業_年增率(%),其他工業製品製造業_原始值,其他工業製品製造業_年增率(%),非製造業_原始值,非製造業_年增率(%)
1979,"40,102",...,"40,102",...,"5,445",...,144,...,"2,834",...,"1,298",...,263,...,"3,424",...,...,...,"1,648",...,...,...,282,...,"2,028",...,66,...,731,...,"4,035",...,"2,379",...,523,...,"4,998",...,"4,312",...,"2,314",...,"1,426",...,276,...,"1,676",...,-,...
1980,"42,266",5.40,"42,266",5.40,"5,583",2.53,139,-3.47,"2,887",1.87,"1,378",6.16,283,7.60,"3,525",2.95,...,...,"1,691",2.61,...,...,478,69.50,"1,919",-5.37,55,-16.67,761,4.10,"4,265",5.70,"2,384",0.21,807,54.30,"4,742",-5.12,"4,539",5.26,"2,768",19.62,"1,915",34.29,359,30.07,"1,788",6.68,-,--
1981,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982,"42,575",...,"42,575",...,"5,221",...,118,...,"2,785",...,"1,369",...,408,...,"3,297",...,...,...,"1,788",...,...,...,739,...,"1,699",...,72,...,807,...,"4,108",...,"2,099",...,"1,092",...,"5,312",...,"4,372",...,"3,001",...,"1,876",...,496,...,"1,916",...,-,--
1983,"48,692",14.37,"48,692",14.37,"5,467",4.71,141,19.49,"3,441",23.55,"1,631",19.14,401,-1.72,"3,462",5.00,...,...,"2,028",13.42,...,...,817,10.55,"1,795",5.65,59,-18.06,901,11.65,"5,270",28.29,"2,271",8.19,"1,067",-2.29,"6,231",17.30,"5,218",19.35,"3,552",18.36,"2,300",22.60,577,16.33,"2,063",7.67,-,--
1984,"52,007",6.81,"51,245",5.24,"5,496",0.53,129,-8.51,"3,874",12.58,"1,359",-16.68,469,16.96,"3,600",3.99,...,...,"2,141",5.57,...,...,928,13.59,"1,952",8.75,61,3.39,972,7.88,"5,427",2.98,"2,410",6.12,"1,110",4.03,"6,483",4.04,"5,510",5.60,"4,086",15.03,"2,106",-8.43,681,18.02,"2,451",18.81,762,--
1985,"58,349",12.19,"57,666",12.53,"5,385",-2.02,143,10.85,"4,194",8.26,"1,496",10.08,477,1.71,"3,856",7.11,...,...,"2,375",10.93,...,...,908,-2.16,"2,052",5.12,59,-3.28,"1,055",8.54,"6,351",17.03,"2,745",13.90,"1,385",24.77,"7,318",12.88,"5,886",6.82,"4,970",21.63,"2,362",12.16,935,37.30,"3,714",51.53,683,-10.37
1986,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1987,"72,181",...,"71,591",...,"5,744",...,154,...,"4,951",...,"1,942",...,733,...,"4,325",...,...,...,"3,165",...,...,...,954,...,"2,082",...,57,...,"1,204",...,"7,914",...,"3,185",...,"1,704",...,"9,769",...,"8,217",...,"6,669",...,"2,901",...,"1,195",...,"4,726",...,590,...
1988,"75,417",4.48,"74,889",4.61,"5,733",-0.19,158,2.60,"4,993",0.85,"1,887",-2.83,759,3.55,"4,240",-1.97,...,...,"3,480",9.95,...,...,988,3.56,"2,055",-1.30,53,-7.02,"1,333",10.71,"8,245",4.18,"3,207",0.69,"1,871",9.80,"10,589",8.39,"8,983",9.32,"7,227",8.37,"3,106",7.07,"1,236",3.43,"4,746",0.42,528,-10.51
1989,"76,826",1.87,"76,334",1.93,"5,616",-2.04,162,2.53,"4,807",-3.73,"1,859",-1.48,722,-4.87,"4,102",-3.25,...,...,"3,638",4.54,...,...,979,-0.91,"2,039",-0.78,56,5.66,"1,333",0.00,"8,381",1.65,"3,188",-0.59,"2,038",8.93,"11,312",6.83,"9,434",5.02,"7,457",3.18,"3,253",4.73,"1,283",3.80,"4,675",-1.50,492,-6.82
1990,"76,940",0.15,"76,419",0.11,"5,727",1.98,8,-95.06,"4,720",-1.81,"1,664",-10.49,689,-4.57,"2,899",-29.33,"2,047",...,"1,726",-52.56,"1,981",...,954,-2.55,"2,053",0.69,67,19.64,"1,288",-3.38,"8,384",0.04,"3,162",-0.82,"2,361",15.85,"10,411",-7.96,"9,604",1.80,"7,549",1.23,"3,324",2.18,"1,334",3.98,"4,467",-4.45,521,5.89
1991,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1992,"78,468",...,"77,939",...,"5,475",...,8,...,"4,691",...,"1,581",...,667,...,"2,546",...,"2,065",...,"1,713",...,"2,085",...,980,...,"2,060",...,112,...,"1,254",...,"8,465",...,"3,099",...,"2,551",...,"11,126",...,"10,132",...,"8,113",...,"3,534",...,"1,442",...,"4,240",...,529,...
