期間,現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%)
2004M01,"725,918",...,"3,708",...,"2,346",...,"45,655",...,220,...,"44,703",...,"459,169",...,"38,064",...,"28,863",...,"2,558",...,"11,126",...,"15,619",...,67,...,1,...,"14,793",...,"59,026",...,"114,603",...,"2,512",...,"1,251",...,"9,484",...,93,...,"21,059",...,"51,072",...,"4,976",...,"6,181",...,"4,679",...,"2,703",...,"2,649",...,14,...,0,...,"2,911",...,"5,018",...,"2,769",...,10,...,5,...,56,...,-,...,215,...,"1,535",...,436,...,9,...,2,...,50,...,92,...,-,...,-,...,138,...,221,...,500,...,1,...,2,...,18,...,-,...,70,...,237,...,58,...,16,...,2,...,22,...,16,...,-,...,-,...,31,...,26,...,"2,517",...,13,...,7,...,84,...,-,...,179,...,"1,701",...,196,...,12,...,1,...,42,...,83,...,-,...,-,...,50,...,149,...,396,...,21,...,1,...,23,...,-,...,60,...,218,...,21,...,2,...,0,...,5,...,12,...,-,...,-,...,10,...,23,...
2004M02,"727,172",...,"3,711",...,"2,344",...,"45,757",...,220,...,"44,920",...,"459,549",...,"38,250",...,"29,008",...,"2,561",...,"11,153",...,"15,623",...,67,...,1,...,"14,831",...,"59,177",...,"115,439",...,"2,508",...,"1,249",...,"9,480",...,93,...,"21,505",...,"51,387",...,"5,002",...,"6,194",...,"4,680",...,"2,709",...,"2,658",...,14,...,0,...,"2,897",...,"5,062",...,"3,844",...,15,...,6,...,73,...,1,...,353,...,"2,216",...,466,...,7,...,6,...,75,...,150,...,-,...,-,...,113,...,363,...,670,...,2,...,1,...,27,...,1,...,116,...,350,...,57,...,4,...,2,...,14,...,25,...,-,...,-,...,14,...,57,...,"2,388",...,8,...,7,...,61,...,-,...,161,...,"1,504",...,246,...,8,...,2,...,44,...,118,...,-,...,-,...,68,...,161,...,378,...,8,...,8,...,15,...,-,...,49,...,181,...,41,...,7,...,0,...,6,...,21,...,-,...,-,...,27,...,14,...
2004M03,"729,042",...,"3,711",...,"2,353",...,"45,736",...,219,...,"45,172",...,"460,245",...,"38,612",...,"29,230",...,"2,563",...,"11,193",...,"15,654",...,67,...,1,...,"14,899",...,"59,387",...,"116,136",...,"2,509",...,"1,247",...,"9,525",...,98,...,"21,751",...,"51,663",...,"5,062",...,"6,188",...,"4,680",...,"2,738",...,"2,666",...,14,...,0,...,"2,894",...,"5,100",...,"4,864",...,22,...,9,...,79,...,1,...,434,...,"2,825",...,702,...,7,...,5,...,89,...,170,...,-,...,-,...,134,...,387,...,833,...,11,...,4,...,26,...,5,...,148,...,444,...,85,...,2,...,1,...,13,...,27,...,-,...,-,...,17,...,51,...,"2,750",...,14,...,5,...,58,...,-,...,202,...,"1,728",...,317,...,20,...,-,...,42,...,115,...,-,...,-,...,55,...,194,...,485,...,7,...,5,...,13,...,-,...,66,...,275,...,44,...,2,...,-,...,5,...,26,...,-,...,-,...,17,...,26,...
2004M04,"729,807",...,"3,700",...,"2,335",...,"45,610",...,217,...,"45,406",...,"460,366",...,"38,894",...,"29,416",...,"2,554",...,"11,199",...,"15,665",...,64,...,1,...,"14,919",...,"59,461",...,"116,700",...,"2,490",...,"1,230",...,"9,515",...,97,...,"21,931",...,"51,972",...,"5,117",...,"6,183",...,"4,679",...,"2,745",...,"2,682",...,14,...,0,...,"2,902",...,"5,143",...,"4,449",...,26,...,12,...,76,...,-,...,392,...,"2,589",...,639,...,2,...,3,...,81,...,149,...,1,...,-,...,101,...,378,...,785,...,3,...,3,...,18,...,-,...,139,...,410,...,79,...,0,...,0,...,20,...,27,...,0,...,-,...,18,...,68,...,"2,723",...,17,...,10,...,75,...,-,...,174,...,"1,702",...,276,...,21,...,3,...,58,...,114,...,3,...,-,...,69,...,201,...,428,...,10,...,5,...,24,...,-,...,53,...,225,...,39,...,2,...,0,...,9,...,20,...,0,...,-,...,11,...,29,...
2004M05,"730,751",...,"3,681",...,"2,329",...,"45,566",...,216,...,"45,582",...,"460,582",...,"39,162",...,"29,623",...,"2,542",...,"11,213",...,"15,671",...,64,...,1,...,"14,955",...,"59,564",...,"117,250",...,"2,481",...,"1,229",...,"9,534",...,97,...,"22,043",...,"52,275",...,"5,161",...,"6,209",...,"4,671",...,"2,752",...,"2,695",...,14,...,0,...,"2,900",...,"5,190",...,"3,999",...,16,...,4,...,44,...,-,...,333,...,"2,291",...,597,...,3,...,5,...,88,...,140,...,-,...,-,...,104,...,374,...,694,...,7,...,3,...,14,...,-,...,121,...,356,...,79,...,5,...,2,...,14,...,28,...,-,...,-,...,12,...,53,...,"2,555",...,37,...,6,...,59,...,-,...,143,...,"1,583",...,268,...,14,...,1,...,48,...,107,...,-,...,-,...,57,...,232,...,350,...,7,...,7,...,8,...,-,...,61,...,171,...,37,...,1,...,0,...,7,...,17,...,-,...,-,...,10,...,24,...
2004M06,"732,355",...,"3,674",...,"2,333",...,"45,546",...,214,...,"45,846",...,"461,217",...,"39,509",...,"29,762",...,"2,542",...,"11,233",...,"15,690",...,64,...,1,...,"15,007",...,"59,717",...,"117,795",...,"2,490",...,"1,241",...,"9,556",...,98,...,"22,205",...,"52,505",...,"5,230",...,"6,231",...,"4,667",...,"2,766",...,"2,691",...,14,...,0,...,"2,905",...,"5,195",...,"4,365",...,19,...,5,...,63,...,-,...,372,...,"2,544",...,641,...,4,...,5,...,72,...,149,...,2,...,-,...,107,...,382,...,721,...,5,...,2,...,20,...,-,...,117,...,380,...,86,...,9,...,1,...,12,...,23,...,1,...,-,...,16,...,50,...,"2,719",...,29,...,14,...,90,...,-,...,179,...,"1,694",...,292,...,11,...,3,...,48,...,106,...,1,...,-,...,52,...,200,...,504,...,4,...,2,...,21,...,-,...,74,...,268,...,43,...,5,...,0,...,7,...,24,...,0,...,-,...,11,...,46,...
2004M07,"732,922",...,"3,676",...,"2,330",...,"45,503",...,213,...,"45,980",...,"461,229",...,"39,825",...,"29,684",...,"2,550",...,"11,247",...,"15,719",...,65,...,1,...,"15,028",...,"59,871",...,"118,206",...,"2,499",...,"1,238",...,"9,561",...,98,...,"22,294",...,"52,715",...,"5,281",...,"6,225",...,"4,669",...,"2,773",...,"2,704",...,14,...,0,...,"2,893",...,"5,239",...,"4,351",...,21,...,6,...,58,...,-,...,361,...,"2,441",...,668,...,5,...,10,...,83,...,148,...,1,...,-,...,122,...,427,...,"1,234",...,4,...,1,...,17,...,-,...,117,...,895,...,92,...,1,...,3,...,20,...,24,...,0,...,-,...,16,...,44,...,"2,684",...,10,...,3,...,63,...,-,...,205,...,"1,685",...,299,...,7,...,3,...,53,...,109,...,-,...,-,...,53,...,194,...,486,...,7,...,4,...,15,...,-,...,73,...,261,...,50,...,0,...,1,...,15,...,27,...,-,...,-,...,9,...,26,...
2004M08,"722,062",...,"3,595",...,"2,184",...,"44,205",...,209,...,"45,885",...,"454,462",...,"39,309",...,"29,431",...,"2,520",...,"11,169",...,"15,611",...,67,...,1,...,"14,757",...,"58,657",...,"118,039",...,"2,492",...,"1,232",...,"9,493",...,97,...,"22,225",...,"52,751",...,"5,323",...,"6,191",...,"4,668",...,"2,729",...,"2,704",...,15,...,0,...,"2,864",...,"5,254",...,"4,394",...,11,...,6,...,57,...,-,...,394,...,"2,438",...,698,...,7,...,16,...,81,...,155,...,2,...,-,...,103,...,426,...,773,...,4,...,10,...,15,...,-,...,119,...,419,...,89,...,1,...,6,...,14,...,25,...,0,...,-,...,21,...,48,...,"16,008",...,97,...,150,...,"1,340",...,2,...,519,...,"9,713",...,"1,247",...,334,...,49,...,158,...,261,...,-,...,-,...,414,...,"1,724",...,"1,369",...,11,...,11,...,90,...,0,...,272,...,620,...,81,...,44,...,6,...,61,...,37,...,-,...,-,...,71,...,64,...
2004M09,"723,723",...,"3,601",...,"2,182",...,"44,154",...,209,...,"46,111",...,"455,176",...,"39,690",...,"29,459",...,"2,526",...,"11,186",...,"15,628",...,66,...,2,...,"14,800",...,"58,933",...,"118,392",...,"2,494",...,"1,233",...,"9,529",...,97,...,"22,302",...,"52,807",...,"5,406",...,"6,218",...,"4,670",...,"2,737",...,"2,715",...,15,...,2,...,"2,869",...,"5,301",...,"4,324",...,17,...,4,...,53,...,2,...,396,...,"2,359",...,648,...,10,...,11,...,76,...,162,...,-,...,1,...,115,...,470,...,759,...,3,...,1,...,19,...,0,...,132,...,389,...,92,...,1,...,2,...,21,...,26,...,-,...,1,...,18,...,54,...,"2,861",...,14,...,8,...,99,...,-,...,187,...,"1,769",...,260,...,11,...,5,...,60,...,137,...,-,...,-,...,75,...,236,...,664,...,7,...,1,...,16,...,-,...,95,...,443,...,30,...,2,...,1,...,8,...,22,...,-,...,-,...,13,...,27,...
2004M10,"726,043",...,"3,608",...,"2,173",...,"44,154",...,209,...,"46,334",...,"456,470",...,"40,022",...,"29,491",...,"2,538",...,"11,237",...,"15,668",...,65,...,2,...,"14,887",...,"59,185",...,"119,140",...,"2,484",...,"1,231",...,"9,626",...,96,...,"22,415",...,"53,177",...,"5,496",...,"6,210",...,"4,672",...,"2,757",...,"2,731",...,15,...,2,...,"2,886",...,"5,342",...,"4,380",...,24,...,5,...,77,...,-,...,378,...,"2,508",...,619,...,3,...,6,...,88,...,137,...,1,...,-,...,135,...,399,...,783,...,3,...,1,...,23,...,-,...,116,...,441,...,84,...,0,...,1,...,22,...,22,...,0,...,-,...,21,...,48,...,"2,726",...,16,...,17,...,90,...,-,...,193,...,"1,645",...,308,...,16,...,4,...,57,...,108,...,1,...,-,...,61,...,210,...,454,...,3,...,7,...,12,...,-,...,78,...,225,...,37,...,11,...,3,...,12,...,14,...,0,...,-,...,11,...,40,...
