期間,所得總額(億元)_原始值,所得總額(億元)_年增率(%),所得總額(億元)_結構比(%),受僱人員報酬(億元)_原始值,受僱人員報酬(億元)_年增率(%),受僱人員報酬(億元)_結構比(%),產業主所得(億元)_原始值,產業主所得(億元)_年增率(%),產業主所得(億元)_結構比(%),財產所得收入(億元)_原始值,財產所得收入(億元)_年增率(%),財產所得收入(億元)_結構比(%),移轉所得(億元)_原始值,移轉所得(億元)_年增率(%),移轉所得(億元)_結構比(%)
1976,"3,906",...,100.00,"2,360",...,60.42,969,...,24.80,362,...,9.27,215,...,5.51
1977,"4,748",21.56,100.00,"2,795",18.43,58.87,"1,140",17.65,24.01,570,57.46,12.00,243,13.02,5.12
1978,"5,916",24.60,100.00,"3,600",28.80,60.85,"1,327",16.40,22.43,713,25.09,12.05,276,13.58,4.67
1979,"7,438",25.73,100.00,"4,471",24.19,60.11,"1,779",34.06,23.92,848,18.93,11.40,340,23.19,4.57
1980,"9,652",29.77,100.00,"5,920",32.41,61.33,"2,112",18.72,21.88,"1,201",41.63,12.45,419,23.24,4.34
1981,"11,565",19.82,100.00,"7,185",21.37,62.13,"2,459",16.43,21.26,"1,387",15.49,12.00,534,27.45,4.61
1982,"12,514",8.21,100.00,"7,579",5.48,60.56,"2,756",12.08,22.02,"1,549",11.68,12.38,630,17.98,5.04
1983,"14,001",11.88,100.00,"8,448",11.47,60.34,"3,101",12.52,22.15,"1,683",8.65,12.02,769,22.06,5.49
1984,"15,341",9.57,100.00,"9,231",9.27,60.17,"3,394",9.45,22.12,"1,824",8.38,11.89,892,15.99,5.82
1985,"16,053",4.64,100.00,"9,623",4.25,59.95,"3,564",5.01,22.20,"1,927",5.65,12.00,939,5.27,5.85
1986,"17,705",10.29,100.00,"10,543",9.56,59.55,"3,942",10.61,22.27,"2,142",11.16,12.10,"1,078",14.80,6.08
1987,"19,620",10.82,100.00,"11,662",10.61,59.44,"4,432",12.43,22.59,"2,333",8.92,11.89,"1,193",10.67,6.08
1988,"22,968",17.06,100.00,"13,583",16.47,59.14,"5,168",16.61,22.50,"2,838",21.65,12.36,"1,379",15.59,6.00
1989,"27,121",18.08,100.00,"16,250",19.63,59.92,"5,734",10.95,21.14,"3,557",25.33,13.11,"1,580",14.58,5.83
1990,"31,542",16.30,100.00,"19,071",17.36,60.46,"6,408",11.75,20.32,"4,185",17.66,13.27,"1,878",18.86,5.95
1991,"36,705",16.37,100.00,"22,141",16.10,60.32,"7,199",12.34,19.61,"5,106",22.01,13.91,"2,259",20.29,6.16
1992,"41,356",12.67,100.00,"25,327",14.39,61.24,"7,771",7.95,18.79,"5,847",14.51,14.14,"2,411",6.73,5.83
1993,"47,929",15.89,100.00,"28,428",12.24,59.31,"8,707",12.04,18.17,"6,979",19.36,14.56,"3,815",58.23,7.96
1994,"52,831",10.23,100.00,"30,802",8.35,58.30,"9,547",9.65,18.07,"8,056",15.43,15.25,"4,426",16.02,8.38
1995,"58,977",11.63,100.00,"32,695",6.15,55.44,"10,481",9.78,17.77,"8,869",10.09,15.04,"6,933",56.64,11.75
1996,"62,095",5.29,100.00,"34,237",4.72,55.14,"11,044",5.37,17.78,"9,656",8.87,15.55,"7,159",3.26,11.53
1997,"66,986",7.88,100.00,"37,227",8.73,55.57,"11,577",4.83,17.28,"10,525",9.00,15.71,"7,657",6.96,11.43
1998,"70,027",4.54,100.00,"39,031",4.85,55.74,"11,251",-2.82,16.07,"11,340",7.74,16.19,"8,405",9.77,12.00
1999,"73,046",4.31,100.00,"40,392",3.49,55.30,"11,562",2.76,15.83,"11,618",2.45,15.90,"9,474",12.72,12.97
2000,"75,067",2.77,100.00,"41,628",3.06,55.45,"11,507",-0.48,15.33,"12,130",4.41,16.16,"9,801",3.45,13.06
2001,"74,609",-0.61,100.00,"40,532",-2.63,54.32,"11,877",3.22,15.92,"11,927",-1.67,15.99,"10,273",4.82,13.77
2002,"76,023",1.90,100.00,"41,358",2.04,54.40,"12,111",1.97,15.93,"11,248",-5.69,14.80,"11,307",10.07,14.87
2003,"77,429",1.85,100.00,"42,834",3.57,55.32,"11,897",-1.77,15.37,"11,058",-1.69,14.28,"11,640",2.95,15.03
2004,"79,545",2.73,100.00,"44,008",2.74,55.32,"12,039",1.19,15.14,"11,382",2.93,14.31,"12,115",4.08,15.23
2005,"81,700",2.71,100.00,"45,297",2.93,55.44,"11,811",-1.89,14.46,"11,657",2.42,14.27,"12,936",6.78,15.83
2006,"84,140",2.99,100.00,"46,473",2.60,55.23,"12,267",3.86,14.58,"12,411",6.47,14.75,"12,989",0.41,15.44
2007,"86,181",2.43,100.00,"47,506",2.22,55.12,"11,897",-3.02,13.80,"12,899",3.93,14.97,"13,879",6.85,16.11
2008,"86,832",0.76,100.00,"47,024",-1.01,54.16,"11,293",-5.08,13.01,"12,802",-0.75,14.74,"15,712",13.21,18.09
2009,"86,736",-0.11,100.00,"46,815",-0.44,53.97,"11,165",-1.13,12.87,"13,153",2.74,15.17,"15,603",-0.69,17.99
2010,"88,113",1.59,100.00,"48,536",3.68,55.09,"11,403",2.13,12.94,"13,023",-0.99,14.78,"15,150",-2.90,17.19
2011,"92,166",4.60,100.00,"51,488",6.08,55.86,"11,707",2.67,12.70,"13,538",3.95,14.69,"15,434",1.87,16.75
2012,"95,060",3.14,100.00,"52,287",1.55,55.01,"11,981",2.34,12.60,"13,678",1.03,14.39,"17,114",10.89,18.00
2013,"97,936",3.03,100.00,"53,713",2.73,54.84,"12,285",2.54,12.54,"13,950",1.99,14.24,"17,988",5.11,18.37
