期間,平均每戶居住坪數(坪),平均每人居住坪數(坪),自來水設備普及率(%),住宅權屬分配(%)-自有,住宅權屬分配(%)-不住在一起的配偶、父母或子女所擁有,住宅權屬分配(%)-租押,住宅權屬分配(%)-配住、借用及其它
1976,23.00,4.38,66.85,67.36,...,19.28,13.36
1977,23.00,4.55,76.69,68.05,...,19.62,12.33
1978,24.00,4.88,73.09,69.57,...,18.71,11.72
1979,25.00,5.13,73.81,71.62,...,17.39,10.99
1980,26.00,5.37,77.56,73.52,...,15.35,11.13
1981,27.00,5.63,77.75,73.33,...,15.36,11.31
1982,28.00,5.91,77.08,74.24,...,14.79,10.97
1983,29.00,6.16,79.84,74.94,...,14.79,10.27
1984,30.00,6.41,80.72,75.99,...,13.94,10.07
1985,30.00,6.52,83.10,77.34,...,13.07,9.59
1986,31.00,6.86,81.93,77.56,...,13.31,9.13
1987,31.70,7.26,82.83,78.58,...,12.91,8.51
1988,32.00,7.48,84.83,77.76,...,12.96,9.28
1989,33.30,7.76,86.05,79.02,...,12.55,8.43
1990,33.90,8.09,86.81,80.47,...,11.88,7.65
1991,34.40,8.27,87.45,80.40,...,12.06,7.54
1992,35.50,8.65,88.62,82.80,...,10.38,6.82
1993,36.00,8.77,89.23,81.88,...,10.68,7.44
1994,36.80,9.15,89.35,82.52,...,10.40,7.08
1995,37.20,9.43,91.11,83.56,...,9.78,6.66
1996,38.10,9.71,91.15,84.45,...,9.39,6.16
1997,39.20,10.21,91.16,84.57,...,9.18,6.25
1998,39.80,10.55,92.36,84.61,...,9.09,6.31
1999,39.60,10.91,92.07,84.91,...,8.86,6.18
2000,40.40,11.17,92.83,85.35,...,8.78,5.87
2001,41.00,11.45,92.54,85.64,...,8.69,5.63
2002,41.70,11.42,93.39,85.40,...,8.72,5.85
2003,41.90,11.86,93.48,85.11,...,8.52,6.37
2004,42.40,12.11,93.83,86.80,...,8.08,5.12
2005,42.20,12.34,93.65,87.33,...,7.77,4.91
2006,42.80,12.55,94.63,87.83,...,7.26,4.90
2007,43.30,12.82,94.46,88.14,...,7.89,3.96
2008,43.20,12.89,94.58,87.36,...,8.37,4.26
2009,44.00,13.17,94.86,87.89,...,7.85,4.26
2010,43.10,13.25,94.93,84.89,3.38,8.50,3.24
2011,44.00,13.38,95.38,84.58,3.87,8.71,2.84
2012,43.60,13.50,95.47,85.77,3.43,8.01,2.80
2013,43.50,13.55,95.82,85.34,3.36,8.48,2.82
