期間,合計,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上
1976,100.00,3.17,5.44,9.52,17.70,22.79,18.76,10.79,5.67,6.16
1977,100.00,3.39,6.20,11.42,19.02,22.83,17.62,9.51,4.93,5.09
1978,100.00,3.77,6.44,11.70,20.27,24.02,16.79,8.56,4.12,4.33
1979,100.00,3.92,7.46,11.87,19.82,23.25,16.70,8.76,4.08,4.14
1980,100.00,3.87,7.28,12.51,20.02,23.25,16.46,8.54,3.92,4.15
1981,100.00,3.74,7.26,12.40,21.37,24.46,15.61,7.48,3.72,3.96
1982,100.00,4.76,7.84,12.96,20.96,22.93,15.13,7.69,3.66,4.07
1983,100.00,4.10,7.96,12.67,21.55,24.22,15.42,7.19,3.25,3.64
1984,100.00,4.38,8.20,12.63,22.62,23.25,14.68,7.11,3.49,3.64
1985,100.00,4.66,8.70,13.23,22.85,23.54,14.20,6.51,3.18,3.14
1986,100.00,5.05,9.42,12.88,23.64,22.88,13.78,6.50,3.08,2.77
1987,100.00,5.58,9.70,14.13,23.72,23.36,12.47,6.14,2.45,2.45
1988,100.00,5.98,10.91,14.00,25.69,22.58,11.44,5.28,2.16,1.96
1989,100.00,5.82,11.44,14.59,25.36,22.29,11.52,5.32,1.89,1.77
1990,100.00,6.47,11.59,15.22,25.69,21.65,10.84,4.62,2.05,1.87
1991,100.00,5.82,12.34,15.38,26.29,21.50,10.56,4.81,1.72,1.58
1992,100.00,6.56,12.39,15.49,27.16,20.67,10.09,4.39,1.78,1.47
1993,100.00,6.69,12.66,15.47,26.89,20.55,10.00,4.47,1.65,1.62
1994,100.00,6.99,13.87,15.17,27.56,20.22,9.23,3.92,1.54,1.50
1995,100.00,7.68,14.70,15.97,26.46,19.70,8.95,4.02,1.30,1.23
1996,100.00,7.96,14.48,15.98,27.11,19.41,8.60,3.97,1.30,1.19
1997,100.00,8.86,15.60,16.39,26.15,18.76,8.09,3.61,1.35,1.19
1998,100.00,9.63,15.85,16.57,27.04,17.70,7.53,3.49,1.14,1.06
1999,100.00,10.60,18.07,17.19,25.62,16.69,7.17,2.75,1.12,0.78
2000,100.00,10.82,18.30,17.18,26.12,16.08,6.71,2.70,1.25,0.84
2001,100.00,10.73,19.06,17.48,25.68,15.64,6.80,2.93,0.90,0.78
2002,100.00,8.51,18.96,18.64,26.88,15.42,6.91,2.81,1.09,0.78
2003,100.00,9.26,20.45,19.84,25.82,14.35,6.44,2.41,0.78,0.65
2004,100.00,9.94,20.22,19.51,26.03,14.65,6.04,2.35,0.72,0.54
2005,100.00,9.92,22.72,19.20,25.42,14.00,5.58,2.05,0.65,0.45
2006,100.00,10.54,21.67,20.71,25.00,13.35,5.35,2.28,0.61,0.49
2007,100.00,9.60,23.04,21.18,24.71,13.32,5.38,1.84,0.58,0.35
2008,100.00,10.76,22.73,21.09,24.83,12.18,5.26,2.00,0.67,0.48
2009,100.00,10.54,23.80,20.87,24.35,12.09,5.23,2.00,0.63,0.49
2010,100.00,11.21,24.29,21.71,24.49,11.49,4.30,1.78,0.42,0.31
2011,100.00,10.12,25.28,21.93,23.48,11.40,4.71,2.00,0.68,0.40
2012,100.00,11.01,25.66,22.80,22.33,10.78,4.76,1.86,0.48,0.32
2013,100.00,11.08,25.69,23.33,22.13,10.67,4.55,1.73,0.47,0.35
