期間,日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%)
1997,"532,536",1.38,"3,065,261",16.30,"269,834",2.84,"815,214",14.23,"1,980,213",19.33,"10,820,151",6.52,"7,908,663",3.91,"397,708",46.91,"2,291,506",7.25,"51,103",62.91,"171,172",59.42,-,-,"1,617,584",7.74,"3,597,798",13.82,"14,417,949",8.26,"510,364",2.38,"3,204,888",9.47,"308,031",-2.01,"892,481",8.76,"2,004,376",11.81,"11,379,107",7.88,"8,311,358",5.77,"569,905",83.93,"2,235,777",0.36,"37,921",-10.69,"224,146",104.35,-,-,"1,710,876",4.74,"3,715,252",8.44,"15,094,359",8.02
1998,"540,795",1.55,"3,147,745",2.69,"262,021",-2.90,"821,082",0.72,"2,064,643",4.26,"11,991,938",10.83,"8,794,214",11.20,"655,129",64.73,"2,240,143",-2.24,"41,368",-19.05,"261,085",52.53,-,-,"1,623,898",0.39,"3,688,540",2.52,"15,680,478",8.76,"513,745",0.66,"3,341,039",4.25,"293,568",-4.70,"932,201",4.45,"2,115,270",5.53,"12,531,938",10.13,"9,388,854",12.96,"603,545",5.90,"2,267,995",1.44,"33,545",-11.54,"237,999",6.18,-,-,"1,739,514",1.67,"3,854,784",3.76,"16,386,722",8.56
1999,"544,508",0.69,"3,508,078",11.45,"250,169",-4.52,"879,347",7.10,"2,378,561",15.20,"12,933,634",7.85,"9,507,836",8.11,"648,061",-1.08,"2,461,047",9.86,"46,260",11.83,"270,431",3.58,-,-,"1,674,024",3.09,"4,052,585",9.87,"16,986,220",8.33,"611,167",18.96,"3,896,013",16.61,"332,324",13.20,"1,025,928",10.05,"2,537,761",19.97,"13,237,833",5.63,"9,695,499",3.27,"653,883",8.34,"2,553,400",12.58,"49,447",47.40,"285,604",20.00,-,-,"1,969,419",13.22,"4,507,180",16.92,"17,745,013",8.29
2000,"561,471",3.12,"3,920,026",11.74,"247,436",-1.09,"988,369",12.40,"2,684,221",12.85,"13,701,119",5.93,"9,824,528",3.33,"775,228",19.62,"2,695,835",9.54,"82,429",78.19,"323,100",19.48,-,-,"1,797,276",7.36,"4,481,497",10.58,"18,182,617",7.04,"527,748",-13.65,"3,964,324",1.75,"321,250",-3.33,"1,053,648",2.70,"2,589,426",2.04,"14,405,725",8.82,"9,960,636",2.73,"1,176,943",79.99,"2,829,696",10.82,"81,757",65.34,"356,693",24.89,-,-,"1,902,646",-3.39,"4,492,072",-0.34,"18,897,797",6.50
2001,"554,971",-1.16,"3,880,815",-1.00,"225,537",-8.85,"932,463",-5.66,"2,722,815",1.44,"14,785,984",7.92,"10,163,276",3.45,"1,148,128",48.10,"3,018,442",11.97,"90,864",10.23,"365,275",13.05,-,-,"1,712,971",-4.69,"4,435,786",-1.02,"19,221,770",5.72,"525,659",-0.40,"4,500,201",13.52,"274,532",-14.54,"1,118,498",6.15,"3,107,171",19.99,"14,686,637",1.95,"10,099,932",1.40,"1,101,348",-6.42,"3,041,226",7.48,"94,361",15.42,"349,770",-1.94,-,-,"1,918,689",0.84,"5,025,860",11.88,"19,712,497",4.31
2002,"553,815",-0.21,"4,636,595",19.47,"228,737",1.42,"1,077,480",15.55,"3,330,379",22.31,"14,696,030",-0.61,"10,045,536",-1.16,"1,048,009",-8.72,"3,089,260",2.35,"112,172",23.45,"401,053",9.79,-,-,"1,860,031",8.59,"5,190,410",17.01,"19,886,440",3.46,"527,278",0.31,"4,964,311",10.31,"278,593",1.48,"1,284,642",14.85,"3,401,076",9.46,"14,718,897",0.22,"10,111,791",0.12,"1,016,499",-7.70,"3,061,512",0.67,"105,897",12.23,"423,198",20.99,-,-,"2,090,513",8.96,"5,491,589",9.27,"20,210,486",2.53
2003,"597,627",7.91,"5,206,268",12.29,"245,277",7.23,"1,227,004",13.88,"3,733,987",12.12,"14,814,664",0.81,"10,048,081",0.03,"1,079,653",3.02,"3,134,269",1.46,"126,993",13.21,"425,669",6.14,-,-,"2,069,908",11.28,"5,803,895",11.82,"20,618,559",3.68,"608,205",15.35,"5,944,627",19.75,"315,679",13.31,"1,600,804",24.61,"4,028,144",18.44,"14,805,445",0.59,"9,976,672",-1.34,"1,123,318",10.51,"3,113,511",1.70,"157,808",49.02,"434,136",2.58,-,-,"2,524,688",20.77,"6,552,832",19.32,"21,358,277",5.68
2004,"671,942",12.44,"6,233,496",19.73,"279,306",13.87,"1,555,379",26.76,"4,398,811",17.80,"15,211,696",2.68,"10,109,233",0.61,"1,165,869",7.99,"3,265,575",4.19,"199,877",57.39,"470,471",10.53,670,-,"2,506,628",21.10,"6,905,439",18.98,"22,117,134",7.27,"669,848",10.14,"6,698,152",12.68,"319,808",1.31,"1,788,254",11.71,"4,590,090",13.95,"15,525,077",4.86,"10,251,688",2.76,"1,244,762",10.81,"3,325,983",6.82,"177,421",12.43,"523,729",20.64,"1,494",-,"2,777,910",10.03,"7,368,000",12.44,"22,893,077",7.19
2005,"742,546",10.51,"6,653,249",6.73,"291,114",4.23,"1,664,614",7.02,"4,697,521",6.79,"16,092,734",5.79,"10,564,536",4.50,"1,277,952",9.61,"3,557,921",8.95,"190,151",-4.87,"501,214",6.53,960,43.28,"2,698,274",7.65,"7,395,795",7.10,"23,488,529",6.20,"730,367",9.03,"7,140,781",6.61,"383,098",19.79,"1,869,647",4.55,"4,888,036",6.49,"16,538,930",6.53,"10,750,841",4.87,"1,437,043",15.45,"3,660,395",10.05,"196,511",10.76,"492,537",-5.96,"1,603",7.30,"2,983,112",7.39,"7,871,148",6.83,"24,410,078",6.63
2006,"781,381",5.23,"7,006,146",5.30,"297,741",2.28,"1,773,586",6.55,"4,934,818",5.05,"17,151,482",6.58,"10,922,099",3.38,"1,585,952",24.10,"3,903,309",9.71,"235,658",23.93,"501,457",0.05,"3,008",213.33,"2,852,708",5.72,"7,787,527",5.30,"24,939,009",6.18,"758,721",3.88,"7,463,905",4.53,"368,535",-3.80,"1,942,742",3.91,"5,152,628",5.41,"17,445,600",5.48,"11,007,545",2.39,"1,693,697",17.86,"4,002,250",9.34,"224,672",14.33,"513,012",4.16,"4,424",175.98,"3,069,998",2.91,"8,222,626",4.47,"25,668,226",5.15
