期間,貨幣總計數M1B增( + )  減( - ),國外資產淨額,對政府債權,對公營事業債權,對民間部門債權,準貨幣,政府存款,其他項目(淨額)
1997,"289,194","-27,864","341,427","13,620","945,219","-831,289","-51,750","-100,169"
1998,"139,532","245,456","162,221","-2,260","959,635","-1,152,831","13,374","-86,063"
1999,"652,396","816,080","354,313","-22,900","221,888","-705,895","-106,418","95,328"
2000,"-15,108","468,971","330,027","23,190","243,834","-1,167,892","-8,298","95,060"
2001,"533,788","820,260","255,686","79,908","-468,288","-280,912","-10,750","137,884"
2002,"465,729","973,607","-43,520","17,907","-385,672","-32,260","59,309","-123,642"
2003,"1,061,243","1,025,622","45,474","-45,246","456,829","-86,548","-39,527","-295,361"
2004,"815,168","719,117","-117,913","52,599","1,494,269","-719,632","4,410","-617,682"
2005,"503,148","627,642","-65,400","117,067","1,344,522","-1,013,853","-6,718","-500,112"
2006,"351,478","493,211","68,627","-17,095","742,175","-906,670","29,933","-58,703"
2007,"-2,649","172,633","-112,783","71,797","513,984","-217,527","-30,076","-400,677"
2008,"-66,273","1,458,757","119,816","281,625","303,175","-1,938,644","-16,185","-274,817"
2009,"2,357,882","2,148,277","428,346","-81,264","-196,261","757,795","-57,380","-641,631"
2010,"945,540","926,457","114,269","60,130","1,146,976","-653,327","-42,164","-606,801"
2011,"373,090","207,066","162,067","67,292","1,139,847","-1,124,401","90,172","-168,953"
2012,"588,164","462,713","359,645","21,203","995,073","-534,320","28,382","-744,532"
2013,"1,052,372","1,111,072","74,914","44,399","1,052,451","-892,087","55,994","-394,371"
