期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-可轉讓定期存單_原始值,負債與淨值--企業及個人存款-可轉讓定期存單_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-外匯存款_原始值,負債與淨值--企業及個人存款-外匯存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_原始值,負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997,"975,328",31.66,"246,678",60.41,"408,297",16.81,-,-,"13,815",3.88,"394,482",17.32,"3,336",11.27,"1,756",340.10,"33,943",-11.74,"1,500",41.11,"28,331",5.47,"12,534",33.84,"1,574",-67.69,920,-4.96,"236,459",55.08,"235,307",2.81,"359,479",50.42,"8,566",6.71,"34,047",11.84,5,-,"127,859",31.69,"33,693",147.91,"1,022",-,"154,287",71.76,-,-,185,131.25,"58,964",5.45,"8,910",-46.03,"28,988",5.66,-,-,"249,804",62.41,"42,601",19.43
1998,"873,748",-10.41,"207,680",-15.81,"389,879",-4.51,-,-,"7,961",-42.37,"381,918",-3.18,"6,202",85.91,-,-,"72,903",114.78,796,-46.93,"27,282",-3.70,"17,373",38.61,"2,562",62.77,"1,128",22.61,"147,943",-37.43,"272,872",15.96,"359,634",0.04,"7,308",-14.69,"42,477",24.76,18,260.00,"143,115",11.93,"24,423",-27.51,201,-80.33,"142,092",-7.90,-,-,40,-78.38,"40,203",-31.82,"3,725",-58.19,"13,412",-53.73,-,-,"144,922",-41.99,"42,665",0.15
1999,"900,425",3.05,"191,706",-7.69,"388,936",-0.24,-,-,"7,540",-5.29,"381,396",-0.14,"6,970",12.38,-,-,"70,643",-3.10,"2,604",227.14,"51,068",87.19,"26,845",54.52,391,-84.74,"3,005",166.40,"158,257",6.97,"260,106",-4.68,"408,415",13.56,"9,979",36.55,"53,816",26.69,291,"1,516.67","176,126",23.07,"27,283",11.71,1,-99.50,"140,919",-0.83,-,-,-,-,"23,508",-41.53,929,-75.06,"8,952",-33.25,-,-,"160,466",10.73,"38,978",-8.64
2000,"1,217,741",35.24,"439,064",129.03,"399,262",2.65,-,-,"3,608",-52.15,"395,654",3.74,"6,784",-2.67,-,-,"53,547",-24.20,599,-77.00,"61,439",20.31,"12,739",-52.55,740,89.26,"1,508",-49.82,"242,059",52.95,"264,785",1.80,"546,979",33.93,"8,436",-15.46,"67,097",24.68,29,-90.03,"199,976",13.54,"19,818",-27.36,4,300.00,"251,619",78.56,-,-,-,-,"90,758",286.07,"3,774",306.24,"25,983",190.25,-,-,"247,088",53.98,"42,148",8.13
2001,"1,277,370",4.90,"395,461",-9.93,"379,468",-4.96,-,-,559,-84.51,"378,909",-4.23,"17,908",163.97,-,-,"60,263",12.54,"3,244",441.57,"98,411",60.18,"19,907",56.27,202,-72.70,"1,182",-21.62,"301,324",24.48,"381,660",44.14,"481,512",-11.97,"7,454",-11.64,"73,716",9.86,85,193.10,"185,212",-7.38,"11,213",-43.42,5,25.00,"203,827",-18.99,-,-,-,-,"59,190",-34.78,374,-90.09,"19,534",-24.82,-,-,"293,500",18.78,"41,974",-0.41
2002,"1,575,264",23.32,"318,001",-19.59,"368,071",-3.00,-,-,82,-85.33,"367,989",-2.88,"40,644",126.96,-,-,"49,226",-18.31,613,-81.10,"307,675",212.64,"36,869",85.21,-,-,"1,117",-5.50,"453,048",50.35,"477,408",25.09,"484,365",0.59,"9,032",21.17,"88,002",19.38,151,77.65,"199,115",7.51,"11,538",2.90,83,"1,560.00","176,444",-13.43,-,-,"5,909",-,"21,367",-63.90,354,-5.35,"22,003",12.64,-,-,"520,451",77.33,"43,761",4.26
2003,"1,784,927",13.31,"327,698",3.05,"373,637",1.51,-,-,111,35.37,"373,526",1.50,"112,768",177.45,-,-,"58,733",19.31,"12,319","1,909.62","447,603",45.48,"68,540",85.90,-,-,"1,104",-1.16,"382,525",-15.57,"767,440",60.75,"538,443",11.16,"10,723",18.72,"116,683",32.59,655,333.77,"190,881",-4.14,"11,947",3.54,36,-56.63,"207,518",17.61,-,-,"10,907",84.58,"22,801",6.71,778,119.77,"18,007",-18.16,-,-,"381,316",-26.73,"46,013",5.15
2004,"2,177,529",22.00,"401,461",22.51,"430,393",15.19,-,-,138,24.32,"430,255",15.19,"102,343",-9.24,"1,500",-,"51,190",-12.84,"10,737",-12.84,"389,487",-12.98,"165,303",141.18,"9,460",-,"1,120",1.45,"614,535",60.65,"884,028",15.19,"564,046",4.76,"11,829",10.31,"134,341",15.13,505,-22.90,"180,909",-5.22,"11,494",-3.79,305,747.22,"224,663",8.26,-,-,-,-,"23,359",2.45,121,-84.45,"25,177",39.82,-,-,"630,053",65.23,"50,866",10.55
2005,"2,547,979",17.01,"443,162",10.39,"485,828",12.88,-,-,42,-69.57,"485,786",12.91,"70,885",-30.74,-,-,"48,438",-5.38,"16,061",49.59,"498,853",28.08,"104,137",-37.00,490,-94.82,968,-13.57,"879,157",43.06,"951,815",7.67,"568,665",0.82,"12,519",5.83,"138,706",3.25,"1,175",132.67,"171,472",-5.22,"7,860",-31.62,32,-89.51,"236,901",5.45,-,-,"2,662",-,"45,259",93.75,546,351.24,"23,200",-7.85,-,-,"907,531",44.04,"48,847",-3.97
2006,"2,351,773",-7.70,"576,729",30.14,"539,950",11.14,-,-,8,-80.95,"539,942",11.15,"93,147",31.41,-,-,"36,245",-25.17,"12,439",-22.55,"639,449",28.18,"54,342",-47.82,-,-,988,2.07,"398,484",-54.67,"1,050,282",10.35,"645,653",13.54,"11,678",-6.72,"162,221",16.95,"1,415",20.43,"218,044",27.16,"5,819",-25.97,33,3.13,"246,443",4.03,-,-,"76,634","2,778.81","90,838",100.71,"4,694",759.71,"43,948",89.43,-,-,"405,966",-55.27,"38,452",-21.28
