期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997,"1,334,437",-28.08,"739,606",-23.16,"7,761",-65.59,"1,618",-16.43,"21,215",-4.77,"2,664",-63.45,"43,614",-30.34,"381,525",-30.26,-,-,"16,056",-25.00,"120,378",-42.08,"1,194,852",-26.35,"14,382",-29.29,"57,469",-24.83,"184,938",-24.47,"286,464",-15.54,"651,599",-30.79,74,-,"7,122",-,-,-,"50,384",-60.51,"82,005",-22.40
1998,"1,200,960",-10.00,"655,281",-11.40,"5,646",-27.25,"1,436",-11.25,"22,617",6.61,"3,457",29.77,"35,854",-17.79,"340,969",-10.63,-,-,"14,108",-12.13,"121,592",1.01,"1,065,951",-10.79,"12,331",-14.26,"46,449",-19.18,"161,327",-12.77,"262,201",-8.47,"583,643",-10.43,368,397.30,"5,546",-22.13,-,-,"49,049",-2.65,"80,046",-2.39
1999,"1,034,829",-13.83,"546,814",-16.55,"10,642",88.49,"1,045",-27.23,"17,621",-22.09,"13,047",277.41,"25,017",-30.23,"293,834",-13.82,-,-,"12,334",-12.57,"114,475",-5.85,"922,404",-13.47,"10,181",-17.44,"42,544",-8.41,"152,989",-5.17,"193,162",-26.33,"523,528",-10.30,169,-54.08,"4,945",-10.84,-,-,"40,803",-16.81,"66,508",-16.91
2000,"926,128",-10.50,"491,716",-10.08,"5,104",-52.04,655,-37.32,"8,930",-49.32,"9,769",-25.12,"22,197",-11.27,"268,355",-8.67,-,-,"10,382",-15.83,"109,020",-4.77,"822,203",-10.86,"8,760",-13.96,"36,442",-14.34,"137,438",-10.16,"134,867",-30.18,"504,696",-3.60,713,321.89,"11,031",123.07,-,-,"34,289",-15.96,"57,892",-12.95
2001,"776,359",-16.17,"387,332",-21.23,"5,655",10.80,479,-26.87,"19,255",115.62,"9,739",-0.31,"13,782",-37.91,"244,004",-9.07,-,-,"8,323",-19.83,"87,790",-19.47,"699,244",-14.95,"6,221",-28.98,"31,182",-14.43,"132,212",-3.80,"91,031",-32.50,"438,598",-13.10,311,-56.38,693,-93.72,-,-,"23,421",-31.70,"52,690",-8.99
2002,"748,942",-3.53,"360,137",-7.02,"12,286",117.26,265,-44.68,"15,036",-21.91,"11,014",13.09,"13,452",-2.39,"249,548",2.27,-,-,"8,013",-3.72,"79,191",-9.79,"664,829",-4.92,"6,306",1.37,"32,596",4.53,"138,968",5.11,"78,290",-14.00,"408,669",-6.82,316,1.61,"14,732","2,025.83",-,-,"22,401",-4.36,"46,664",-11.44
2003,"720,434",-3.81,"357,067",-0.85,"11,572",-5.81,225,-15.09,"18,416",22.48,"11,033",0.17,"13,515",0.47,"234,641",-5.97,-,-,"7,548",-5.80,"66,417",-16.13,"656,485",-1.26,"7,260",15.13,"36,817",12.95,"154,633",11.27,"71,495",-8.68,"386,280",-5.48,351,11.08,652,-95.57,-,-,"21,627",-3.46,"41,319",-11.45
2004,"690,167",-4.20,"353,256",-1.07,"10,861",-6.14,383,70.22,"19,888",7.99,"6,804",-38.33,"13,317",-1.47,"229,884",-2.03,-,-,"7,291",-3.40,"48,483",-27.00,"628,216",-4.31,"6,522",-10.17,"39,032",6.02,"161,545",4.47,"66,560",-6.90,"354,557",-8.21,70,-80.06,559,-14.26,-,-,"20,259",-6.33,"41,063",-0.62
2005,"666,034",-3.50,"345,938",-2.07,"10,190",-6.18,252,-34.20,"21,010",5.64,"5,609",-17.56,"12,878",-3.30,"219,487",-4.52,-,-,"7,025",-3.65,"43,645",-9.98,"601,630",-4.23,"7,564",15.98,"38,949",-0.21,"158,417",-1.94,"62,269",-6.45,"334,431",-5.68,60,-14.29,656,17.35,-,-,"23,221",14.62,"40,467",-1.45
2006,"660,109",-0.89,"358,499",3.63,"8,529",-16.30,150,-40.48,"15,281",-27.27,"5,850",4.30,"13,261",2.97,"208,704",-4.91,-,-,"6,848",-2.52,"42,987",-1.51,"590,058",-1.92,"7,264",-3.97,"39,426",1.22,"157,012",-0.89,"63,849",2.54,"322,507",-3.57,48,-20.00,658,0.30,-,-,"26,198",12.82,"43,147",6.62
