期間,合計_原始值,合計_年增率(%),企業及個人存款-計_原始值,企業及個人存款-計_年增率(%),企業及個人存款-支票存款_原始值,企業及個人存款-支票存款_年增率(%),企業及個人存款-活期存款_原始值,企業及個人存款-活期存款_年增率(%),企業及個人存款-活期儲蓄存款_原始值,企業及個人存款-活期儲蓄存款_年增率(%),企業及個人存款-定期存款_原始值,企業及個人存款-定期存款_年增率(%),企業及個人存款-定期儲蓄存款_原始值,企業及個人存款-定期儲蓄存款_年增率(%),企業及個人存款-外匯活期存款_原始值,企業及個人存款-外匯活期存款_年增率(%),企業及個人存款-外匯定期存款_原始值,企業及個人存款-外匯定期存款_年增率(%),政府存款-計_原始值,政府存款-計_年增率(%),政府存款-公庫收入總存款_原始值,政府存款-公庫收入總存款_年增率(%),政府存款-機關存款_原始值,政府存款-機關存款_年增率(%),政府存款-機關外匯存款_原始值,政府存款-機關外匯存款_年增率(%)
1997,"10,283,738",-,"9,656,286",-,"286,812",-,"718,907",-,"1,607,384",-,"2,658,323",-,"3,814,955",-,"178,202",-,"391,703",-,"627,452",-,"50,572",-,"575,833",-,"1,047",-
1998,"11,609,415",12.89,"10,985,880",13.77,"274,765",-4.20,"774,065",7.67,"1,741,330",8.33,"3,202,380",20.47,"4,389,795",15.07,"191,180",7.28,"412,365",5.27,"623,535",-0.62,"33,804",-33.16,"587,183",1.97,"2,548",143.36
1999,"12,650,359",8.97,"11,980,301",9.05,"314,589",14.49,"865,079",11.76,"2,148,557",23.39,"2,920,679",-8.80,"5,077,514",15.67,"201,770",5.54,"452,113",9.64,"670,058",7.46,"9,200",-72.78,"658,817",12.20,"2,041",-19.90
2000,"13,677,441",8.12,"12,961,675",8.19,"305,361",-2.93,"901,913",4.26,"2,218,115",3.24,"2,974,359",1.84,"5,384,984",6.06,"287,696",42.59,"889,247",96.69,"715,766",6.82,"33,258",261.50,"679,041",3.07,"3,467",69.87
2001,"14,549,914",6.38,"13,785,799",6.36,"262,907",-13.90,"974,428",8.04,"2,732,491",23.19,"2,698,648",-9.27,"5,998,472",11.39,"336,408",16.93,"782,445",-12.01,"764,115",6.75,"53,125",59.74,"708,564",4.35,"2,426",-30.03
2002,"14,962,324",2.83,"14,270,814",3.52,"266,924",1.53,"1,135,873",16.57,"3,004,532",9.96,"2,592,899",-3.92,"6,227,899",3.82,"359,964",7.00,"682,723",-12.74,"691,510",-9.50,"17,990",-66.14,"672,084",-5.15,"1,436",-40.81
2003,"15,946,296",6.58,"15,237,041",6.77,"302,514",13.33,"1,432,552",26.12,"3,581,971",19.22,"2,462,073",-5.05,"6,286,335",0.94,"476,265",32.31,"695,331",1.85,"709,255",2.57,"41,109",128.51,"666,865",-0.78,"1,281",-10.79
2004,"17,083,597",7.13,"16,401,241",7.64,"306,991",1.48,"1,603,533",11.94,"4,099,189",14.44,"2,656,630",7.90,"6,412,415",2.01,"558,716",17.31,"763,767",9.84,"682,356",-3.79,"24,335",-40.80,"656,284",-1.59,"1,737",35.60
2005,"18,176,571",6.40,"17,513,631",6.78,"367,518",19.72,"1,675,419",4.48,"4,376,876",6.77,"2,812,712",5.88,"6,773,599",5.63,"589,920",5.58,"917,587",20.14,"662,940",-2.85,"18,914",-22.28,"642,938",-2.03,"1,088",-37.36
2006,"19,034,099",4.72,"18,387,299",4.99,"353,337",-3.86,"1,742,254",3.99,"4,633,833",5.87,"3,043,863",8.22,"6,826,237",0.78,"596,569",1.13,"1,191,206",29.82,"646,800",-2.43,"14,911",-21.16,"630,687",-1.91,"1,202",10.48
2007,"19,313,771",1.47,"18,672,515",1.55,"309,441",-12.42,"1,872,375",7.47,"4,567,477",-1.43,"3,271,568",7.48,"6,599,377",-3.32,"683,771",14.62,"1,368,506",14.88,"641,256",-0.86,"12,683",-14.94,"626,060",-0.73,"2,513",109.07
2008,"20,993,573",8.70,"20,341,223",8.94,"306,201",-1.05,"1,873,651",0.07,"4,441,902",-2.75,"4,299,186",31.41,"7,018,205",6.35,"794,682",16.22,"1,607,396",17.46,"652,350",1.73,"14,267",12.49,"634,522",1.35,"3,561",41.70
2009,"22,340,848",6.42,"21,744,665",6.90,"325,555",6.32,"2,451,404",30.84,"6,012,088",35.35,"3,977,688",-7.48,"6,559,138",-6.54,"1,170,937",47.35,"1,247,855",-22.37,"596,183",-8.61,"14,464",1.38,"577,525",-8.98,"4,194",17.78
2010,"23,598,177",5.63,"22,901,147",5.32,"340,176",4.49,"2,688,197",9.66,"6,542,247",8.82,"4,208,838",5.81,"6,546,483",-0.19,"1,471,951",25.71,"1,103,255",-11.59,"697,030",16.92,"18,929",30.87,"672,162",16.39,"5,939",41.61
2011,"24,783,296",5.02,"24,105,278",5.26,"392,811",15.47,"2,759,715",2.66,"6,656,912",1.75,"4,616,645",9.69,"7,000,791",6.94,"1,443,603",-1.93,"1,234,801",11.92,"678,018",-2.73,"17,291",-8.65,"652,646",-2.90,"8,081",36.07
2012,"25,587,343",3.24,"24,930,604",3.42,"395,457",0.67,"2,855,877",3.48,"6,989,201",4.99,"4,557,763",-1.28,"7,256,995",3.66,"1,643,771",13.87,"1,231,540",-0.26,"656,739",-3.14,"22,234",28.59,"624,420",-4.32,"10,085",24.80
2013,"27,101,027",5.92,"26,487,774",6.25,"366,713",-7.27,"3,253,900",13.94,"7,478,124",7.00,"4,522,708",-0.77,"7,391,214",1.85,"1,753,351",6.67,"1,721,764",39.81,"613,253",-6.62,"43,153",94.09,"560,022",-10.31,"10,078",-0.07
