期間,合計_原始值,合計_年增率(%),公、民營企業-小計_原始值,公、民營企業-小計_年增率(%),公、民營企業-農林漁牧業_原始值,公、民營企業-農林漁牧業_年增率(%),公、民營企業-礦業及土石採取業_原始值,公、民營企業-礦業及土石採取業_年增率(%),公、民營企業-製造業_原始值,公、民營企業-製造業_年增率(%),公、民營企業-水電燃氣及污染整治業_原始值,公、民營企業-水電燃氣及污染整治業_年增率(%),公、民營企業-營造業_原始值,公、民營企業-營造業_年增率(%),公、民營企業-批發、零售、住宿及餐飲業_原始值,公、民營企業-批發、零售、住宿及餐飲業_年增率(%),公、民營企業-運輸及倉儲業_原始值,公、民營企業-運輸及倉儲業_年增率(%),公、民營企業-資訊及通訊傳播業_原始值,公、民營企業-資訊及通訊傳播業_年增率(%),公、民營企業-金融、保險及不動產業_原始值,公、民營企業-金融、保險及不動產業_年增率(%),公、民營企業-服務業_原始值,公、民營企業-服務業_年增率(%),政府機關_原始值,政府機關_年增率(%),非營利團體_原始值,非營利團體_年增率(%),非營利團體-社會保險及退休基金_原始值,非營利團體-社會保險及退休基金_年增率(%),個人_原始值,個人_年增率(%)
1997,"10,283,738",-,"2,340,044",-,"18,083",-,"5,045",-,"800,762",-,"17,225",-,"131,895",-,"663,778",-,"74,925",-,-,-,"486,164",-,"142,167",-,"627,452",-,"1,068,098",-,-,-,"6,248,144",-
1998,"11,609,415",12.89,"2,669,213",14.07,"20,766",14.84,"4,580",-9.22,"858,135",7.16,"17,316",0.53,"134,352",1.86,"754,693",13.70,"64,180",-14.34,-,-,"635,081",30.63,"180,110",26.69,"623,535",-0.62,"1,137,995",6.54,-,-,"7,178,672",14.89
1999,"12,650,359",8.97,"2,894,579",8.44,"18,046",-13.10,"3,959",-13.56,"954,558",11.24,"15,799",-8.76,"129,911",-3.31,"787,283",4.32,"90,410",40.87,-,-,"713,361",12.33,"181,252",0.63,"670,058",7.46,"1,211,566",6.46,-,-,"7,874,156",9.69
2000,"13,677,441",8.12,"3,447,628",19.11,"11,935",-33.86,"3,798",-4.07,"1,118,436",17.17,"14,835",-6.10,"136,536",5.10,"904,369",14.87,"213,154",135.76,-,-,"826,918",15.92,"217,647",20.08,"715,766",6.82,"1,285,021",6.06,-,-,"8,229,026",4.51
2001,"14,549,914",6.38,"3,150,737",-8.61,"18,417",54.31,"6,148",61.87,"1,060,685",-5.16,"18,411",24.11,"142,721",4.53,"653,024",-27.79,"163,692",-23.20,-,-,"881,668",6.62,"205,971",-5.36,"764,115",6.75,"1,492,488",16.15,"268,669",-,"9,142,574",11.10
2002,"14,962,324",2.83,"3,247,361",3.07,"16,643",-9.63,"4,508",-26.68,"1,108,600",4.52,"25,328",37.57,"148,878",4.31,"656,480",0.53,"113,297",-30.79,-,-,"970,095",10.03,"203,532",-1.18,"691,510",-9.50,"1,495,784",0.22,"297,857",10.86,"9,527,669",4.21
2003,"15,946,296",6.58,"3,546,188",9.20,"14,629",-12.10,"4,589",1.80,"1,302,242",17.47,"22,475",-11.26,"160,032",7.49,"740,808",12.85,"90,842",-19.82,-,-,"969,738",-0.04,"240,833",18.33,"709,255",2.57,"1,509,657",0.93,"323,417",8.58,"10,181,196",6.86
2004,"17,083,597",7.13,"3,808,510",7.40,"15,993",9.32,"5,519",20.27,"1,437,081",10.35,"21,996",-2.13,"174,139",8.82,"821,268",10.86,"114,733",26.30,-,-,"953,595",-1.66,"264,186",9.70,"682,356",-3.79,"1,658,700",9.87,"415,236",28.39,"10,934,031",7.39
2005,"18,176,571",6.40,"4,031,617",5.86,"15,793",-1.25,"9,760",76.84,"1,534,589",6.79,"22,291",1.34,"186,287",6.98,"917,062",11.66,"125,292",9.20,-,-,"927,275",-2.76,"293,268",11.01,"662,940",-2.85,"1,648,133",-0.64,"409,212",-1.45,"11,833,881",8.23
2006,"19,034,099",4.72,"4,262,157",5.72,"20,096",27.25,"10,001",2.47,"1,645,643",7.24,"25,061",12.43,"185,271",-0.55,"936,263",2.09,"132,138",5.46,-,-,"980,252",5.71,"327,432",11.65,"646,800",-2.43,"1,761,345",6.87,"503,191",22.97,"12,363,797",4.48
2007,"19,313,771",1.47,"4,481,407",5.14,"11,002",-45.25,"9,791",-2.10,"1,826,186",10.97,"33,464",33.53,"189,429",2.24,"889,017",-5.05,"106,239",-19.60,"112,857",-,"1,077,264",9.90,"226,158",-30.93,"641,256",-0.86,"1,751,160",-0.58,"496,744",-1.28,"12,439,948",0.62
2008,"20,993,573",8.70,"5,146,021",14.83,"13,652",24.09,"8,682",-11.33,"2,053,146",12.43,"35,315",5.53,"204,670",8.05,"990,178",11.38,"129,395",21.80,"137,715",22.03,"1,318,404",22.38,"254,864",12.69,"652,350",1.73,"1,714,662",-2.08,"480,346",-3.30,"13,480,540",8.36
2009,"22,340,848",6.42,"5,650,778",9.81,"16,498",20.85,"8,008",-7.76,"2,227,132",8.47,"37,575",6.40,"239,470",17.00,"1,074,412",8.51,"113,957",-11.93,"153,729",11.63,"1,486,209",12.73,"293,788",15.27,"596,183",-8.61,"1,673,942",-2.37,"532,786",10.92,"14,419,945",6.97
2010,"23,598,177",5.63,"6,191,438",9.57,"17,196",4.23,"14,304",78.62,"2,441,088",9.61,"38,742",3.11,"268,729",12.22,"1,182,818",10.09,"146,445",28.51,"160,526",4.42,"1,605,534",8.03,"316,056",7.58,"697,030",16.92,"1,655,443",-1.11,"475,569",-10.74,"15,054,266",4.40
2011,"24,783,296",5.02,"6,491,302",4.84,"15,227",-11.45,"8,226",-42.49,"2,450,770",0.40,"45,108",16.43,"279,229",3.91,"1,235,461",4.45,"158,313",8.10,"172,251",7.30,"1,768,878",10.17,"357,839",13.22,"678,018",-2.73,"1,865,861",12.71,"573,810",20.66,"15,748,115",4.61
2012,"25,587,343",3.24,"6,651,383",2.47,"15,133",-0.62,"9,088",10.48,"2,488,444",1.54,"46,576",3.25,"280,209",0.35,"1,287,230",4.19,"177,461",12.10,"176,249",2.32,"1,791,303",1.27,"379,690",6.11,"656,739",-3.14,"1,953,577",4.70,"691,665",20.54,"16,325,644",3.67
2013,"27,101,027",5.92,"7,288,977",9.59,"14,158",-6.44,"8,913",-1.93,"2,738,971",10.07,"52,890",13.56,"297,490",6.17,"1,429,929",11.09,"188,862",6.42,"177,999",0.99,"1,991,954",11.20,"387,811",2.14,"613,253",-6.62,"2,008,496",2.81,"781,028",12.92,"17,190,301",5.30
