期間,合計-計_原始值,合計-計_年增率(%),合計-購置不動產_原始值,合計-購置不動產_年增率(%),合計-購置動產_原始值,合計-購置動產_年增率(%),合計-企業投資_原始值,合計-企業投資_年增率(%),合計-週轉金_原始值,合計-週轉金_年增率(%),公、民營企業-小計-計_原始值,公、民營企業-小計-計_年增率(%),公、民營企業-小計-購置不動產_原始值,公、民營企業-小計-購置不動產_年增率(%),公、民營企業-小計-購置動產_原始值,公、民營企業-小計-購置動產_年增率(%),公、民營企業-小計-企業投資_原始值,公、民營企業-小計-企業投資_年增率(%),公、民營企業-小計-週轉金_原始值,公、民營企業-小計-週轉金_年增率(%),公、民營企業-農林漁牧業-計_原始值,公、民營企業-農林漁牧業-計_年增率(%),公、民營企業-農林漁牧業-購置不動產_原始值,公、民營企業-農林漁牧業-購置不動產_年增率(%),公、民營企業-農林漁牧業-購置動產_原始值,公、民營企業-農林漁牧業-購置動產_年增率(%),公、民營企業-農林漁牧業-企業投資_原始值,公、民營企業-農林漁牧業-企業投資_年增率(%),公、民營企業-農林漁牧業-週轉金_原始值,公、民營企業-農林漁牧業-週轉金_年增率(%),公、民營企業-礦業及土石採取業-計_原始值,公、民營企業-礦業及土石採取業-計_年增率(%),公、民營企業-礦業及土石採取業-購置不動產_原始值,公、民營企業-礦業及土石採取業-購置不動產_年增率(%),公、民營企業-礦業及土石採取業-購置動產_原始值,公、民營企業-礦業及土石採取業-購置動產_年增率(%),公、民營企業-礦業及土石採取業-企業投資_原始值,公、民營企業-礦業及土石採取業-企業投資_年增率(%),公、民營企業-礦業及土石採取業-週轉金_原始值,公、民營企業-礦業及土石採取業-週轉金_年增率(%),公、民營企業-製造業-計_原始值,公、民營企業-製造業-計_年增率(%),公、民營企業-製造業-購置不動產_原始值,公、民營企業-製造業-購置不動產_年增率(%),公、民營企業-製造業-購置動產_原始值,公、民營企業-製造業-購置動產_年增率(%),公、民營企業-製造業-企業投資_原始值,公、民營企業-製造業-企業投資_年增率(%),公、民營企業-製造業-週轉金_原始值,公、民營企業-製造業-週轉金_年增率(%),公、民營企業-水電燃氣及污染整治業-計_原始值,公、民營企業-水電燃氣及污染整治業-計_年增率(%),公、民營企業-水電燃氣及污染整治業-購置不動產_原始值,公、民營企業-水電燃氣及污染整治業-購置不動產_年增率(%),公、民營企業-水電燃氣及污染整治業-購置動產_原始值,公、民營企業-水電燃氣及污染整治業-購置動產_年增率(%),公、民營企業-水電燃氣及污染整治業-企業投資_原始值,公、民營企業-水電燃氣及污染整治業-企業投資_年增率(%),公、民營企業-水電燃氣及污染整治業-週轉金_原始值,公、民營企業-水電燃氣及污染整治業-週轉金_年增率(%),公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-計_原始值,公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-計_年增率(%),公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-購置不動產_原始值,公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-購置不動產_年增率(%),公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-購置動產_原始值,公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-購置動產_年增率(%),公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-企業投資_原始值,公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-企業投資_年增率(%),公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-週轉金_原始值,公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-週轉金_年增率(%),公、民營企業-營造業-計_原始值,公、民營企業-營造業-計_年增率(%),公、民營企業-營造業-購置不動產_原始值,公、民營企業-營造業-購置不動產_年增率(%),公、民營企業-營造業-購置動產_原始值,公、民營企業-營造業-購置動產_年增率(%),公、民營企業-營造業-企業投資_原始值,公、民營企業-營造業-企業投資_年增率(%),公、民營企業-營造業-週轉金_原始值,公、民營企業-營造業-週轉金_年增率(%),公、民營企業-批發及零售業-計_原始值,公、民營企業-批發及零售業-計_年增率(%),公、民營企業-批發及零售業-購置不動產_原始值,公、民營企業-批發及零售業-購置不動產_年增率(%),公、民營企業-批發及零售業-購置動產_原始值,公、民營企業-批發及零售業-購置動產_年增率(%),公、民營企業-批發及零售業-企業投資_原始值,公、民營企業-批發及零售業-企業投資_年增率(%),公、民營企業-批發及零售業-週轉金_原始值,公、民營企業-批發及零售業-週轉金_年增率(%),公、民營企業-住宿及餐飲業-計_原始值,公、民營企業-住宿及餐飲業-計_年增率(%),公、民營企業-住宿及餐飲業-購置不動產_原始值,公、民營企業-住宿及餐飲業-購置不動產_年增率(%),公、民營企業-住宿及餐飲業-購置動產_原始值,公、民營企業-住宿及餐飲業-購置動產_年增率(%),公、民營企業-住宿及餐飲業-企業投資_原始值,公、民營企業-住宿及餐飲業-企業投資_年增率(%),公、民營企業-住宿及餐飲業-週轉金_原始值,公、民營企業-住宿及餐飲業-週轉金_年增率(%),公、民營企業-運輸及倉儲業-計_原始值,公、民營企業-運輸及倉儲業-計_年增率(%),公、民營企業-運輸及倉儲業-購置不動產_原始值,公、民營企業-運輸及倉儲業-購置不動產_年增率(%),公、民營企業-運輸及倉儲業-購置動產_原始值,公、民營企業-運輸及倉儲業-購置動產_年增率(%),公、民營企業-運輸及倉儲業-企業投資_原始值,公、民營企業-運輸及倉儲業-企業投資_年增率(%),公、民營企業-運輸及倉儲業-週轉金_原始值,公、民營企業-運輸及倉儲業-週轉金_年增率(%),公、民營企業-資訊及通訊傳播業-計_原始值,公、民營企業-資訊及通訊傳播業-計_年增率(%),公、民營企業-資訊及通訊傳播業-購置不動產_原始值,公、民營企業-資訊及通訊傳播業-購置不動產_年增率(%),公、民營企業-資訊及通訊傳播業-購置動產_原始值,公、民營企業-資訊及通訊傳播業-購置動產_年增率(%),公、民營企業-資訊及通訊傳播業-企業投資_原始值,公、民營企業-資訊及通訊傳播業-企業投資_年增率(%),公、民營企業-資訊及通訊傳播業-週轉金_原始值,公、民營企業-資訊及通訊傳播業-週轉金_年增率(%),公、民營企業-金融及保險業-計_原始值,公、民營企業-金融及保險業-計_年增率(%),公、民營企業-金融及保險業-購置不動產_原始值,公、民營企業-金融及保險業-購置不動產_年增率(%),公、民營企業-金融及保險業-購置動產_原始值,公、民營企業-金融及保險業-購置動產_年增率(%),公、民營企業-金融及保險業-企業投資_原始值,公、民營企業-金融及保險業-企業投資_年增率(%),公、民營企業-金融及保險業-週轉金_原始值,公、民營企業-金融及保險業-週轉金_年增率(%),公、民營企業-不動產業-計_原始值,公、民營企業-不動產業-計_年增率(%),公、民營企業-不動產業-購置不動產_原始值,公、民營企業-不動產業-購置不動產_年增率(%),公、民營企業-不動產業-購置動產_原始值,公、民營企業-不動產業-購置動產_年增率(%),公、民營企業-不動產業-企業投資_原始值,公、民營企業-不動產業-企業投資_年增率(%),公、民營企業-不動產業-週轉金_原始值,公、民營企業-不動產業-週轉金_年增率(%),公、民營企業-服務業-計_原始值,公、民營企業-服務業-計_年增率(%),公、民營企業-服務業-購置不動產_原始值,公、民營企業-服務業-購置不動產_年增率(%),公、民營企業-服務業-購置動產_原始值,公、民營企業-服務業-購置動產_年增率(%),公、民營企業-服務業-企業投資_原始值,公、民營企業-服務業-企業投資_年增率(%),公、民營企業-服務業-週轉金_原始值,公、民營企業-服務業-週轉金_年增率(%),政府機關-計_原始值,政府機關-計_年增率(%),政府機關-購置不動產_原始值,政府機關-購置不動產_年增率(%),政府機關-購置動產_原始值,政府機關-購置動產_年增率(%),政府機關-企業投資_原始值,政府機關-企業投資_年增率(%),政府機關-週轉金_原始值,政府機關-週轉金_年增率(%),社會保險、退休基金及非營利團體-計_原始值,社會保險、退休基金及非營利團體-計_年增率(%),社會保險、退休基金及非營利團體-購置不動產_原始值,社會保險、退休基金及非營利團體-購置不動產_年增率(%),社會保險、退休基金及非營利團體-購置動產_原始值,社會保險、退休基金及非營利團體-購置動產_年增率(%),社會保險、退休基金及非營利團體-企業投資_原始值,社會保險、退休基金及非營利團體-企業投資_年增率(%),社會保險、退休基金及非營利團體-週轉金_原始值,社會保險、退休基金及非營利團體-週轉金_年增率(%),個人-計_原始值,個人-計_年增率(%),個人-購置不動產_原始值,個人-購置不動產_年增率(%),個人-購置動產_原始值,個人-購置動產_年增率(%),個人-企業投資_原始值,個人-企業投資_年增率(%),個人-週轉金_原始值,個人-週轉金_年增率(%)
1997,"11,003,565",39.96,"4,069,520",26.98,"814,781",31.44,"277,618",48.19,"5,841,646",51.75,"4,786,865",46.36,"751,277",54.03,"473,295",36.26,"195,618",38.23,"3,366,675",46.76,"46,828",109.05,"8,764",341.29,"3,292",13.99,"2,035",165.32,"32,737",95.34,"18,374",-,"1,982",-,"2,797",-,"1,158",-,"12,437",-,"2,112,413",-,"248,161",-,"327,208",-,"63,436",-,"1,473,608",-,"194,895",-,"43,119",-,"36,939",-,"43,605",-,"71,232",-,-,-,-,-,-,-,-,-,-,-,"513,127",-,"115,409",-,"7,326",-,"19,146",-,"371,246",-,"862,299",-,"121,566",-,"34,286",-,"13,092",-,"693,355",-,"28,021",-,"6,618",-,"1,321",-,"3,539",-,"16,543",-,"195,406",-,"17,040",-,"40,747",-,"7,959",-,"129,660",-,-,-,-,-,-,-,-,-,-,-,"172,178",-,"4,769",-,"3,068",-,"4,704",-,"159,637",-,"289,650",26.81,"101,651",15.69,"2,284",28.46,"14,351",44.14,"171,364",33.04,"353,674",86.24,"82,198",116.86,"14,027",28.79,"22,593",39.70,"234,856",87.98,"1,394,000",23.10,"405,163",-1.31,"263,250",15.94,"2,885",992.80,"722,703",46.14,"40,206",-20.11,"11,550",18.07,"4,005",64.34,"1,174",25.03,"23,477",-36.84,"4,782,493",40.31,"2,901,530",26.33,"74,231",72.32,"77,941",74.68,"1,728,791",68.85
1998,"11,795,818",7.20,"4,305,098",5.79,"913,281",12.09,"304,342",9.63,"6,273,097",7.39,"5,144,643",7.47,"817,404",8.80,"532,118",12.43,"224,081",14.55,"3,571,040",6.07,"50,121",7.03,"8,222",-6.18,"2,826",-14.16,"1,959",-3.73,"37,114",13.37,"16,478",-10.32,"2,340",18.06,"2,285",-18.31,897,-22.54,"10,956",-11.91,"2,194,150",3.87,"276,600",11.46,"373,109",14.03,"75,202",18.55,"1,469,239",-0.30,"201,790",3.54,"33,615",-22.04,"45,662",23.61,"52,133",19.56,"70,380",-1.20,-,-,-,-,-,-,-,-,-,-,"580,975",13.22,"119,320",3.39,"7,324",-0.03,"19,498",1.84,"434,833",17.13,"853,897",-0.97,"132,356",8.88,"31,047",-9.45,"20,525",56.78,"669,969",-3.37,"33,979",21.26,"8,948",35.21,"1,322",0.08,"3,310",-6.47,"20,399",23.31,"192,587",-1.44,"18,037",5.85,"44,715",9.74,"8,573",7.71,"121,262",-6.48,-,-,-,-,-,-,-,-,-,-,"268,553",55.97,"7,395",55.06,"3,081",0.42,"4,428",-5.87,"253,649",58.89,"347,077",19.83,"117,801",15.89,"1,157",-49.34,"15,552",8.37,"212,567",24.04,"405,036",14.52,"92,770",12.86,"19,590",39.66,"22,004",-2.61,"270,672",15.25,"1,538,790",10.39,"421,716",4.09,"294,762",11.97,"1,942",-32.69,"820,369",13.51,"46,463",15.56,"13,567",17.46,"3,411",-14.83,"1,022",-12.95,"28,463",21.24,"5,065,923",5.93,"3,052,411",5.20,"82,990",11.80,"77,297",-0.83,"1,853,225",7.20
1999,"12,537,233",6.29,"4,481,166",4.09,"958,177",4.92,"292,884",-3.76,"6,805,006",8.48,"5,572,492",8.32,"855,395",4.65,"583,595",9.67,"216,786",-3.26,"3,916,716",9.68,"46,321",-7.58,"8,075",-1.79,"2,550",-9.77,"1,857",-5.21,"33,839",-8.82,"17,454",5.92,"2,718",16.15,"1,525",-33.26,"1,286",43.37,"11,925",8.84,"2,427,380",10.63,"311,448",12.60,"416,757",11.70,"75,363",0.21,"1,623,812",10.52,"190,370",-5.66,"30,037",-10.64,"40,820",-10.60,"50,966",-2.24,"68,547",-2.60,-,-,-,-,-,-,-,-,-,-,"541,528",-6.79,"101,866",-14.63,"7,370",0.63,"15,240",-21.84,"417,052",-4.09,"883,235",3.44,"132,829",0.36,"31,838",2.55,"20,532",0.03,"698,036",4.19,"32,547",-4.21,"9,061",1.26,"1,058",-19.97,"2,399",-27.52,"20,029",-1.81,"234,342",21.68,"21,364",18.45,"54,528",21.95,"7,017",-18.15,"151,433",24.88,-,-,-,-,-,-,-,-,-,-,"340,747",26.88,"10,633",43.79,"2,040",-33.79,"6,529",47.45,"321,545",26.77,"404,101",16.43,"132,313",12.32,"1,157",0.00,"13,703",-11.89,"256,928",20.87,"454,467",12.20,"95,051",2.46,"23,952",22.27,"21,894",-0.50,"313,570",15.85,"1,724,515",12.07,"433,369",2.76,"283,715",-3.75,"2,943",51.54,"1,004,487",22.44,"50,312",8.28,"15,470",14.03,"3,250",-4.72,968,-5.28,"30,624",7.59,"5,189,915",2.45,"3,176,932",4.08,"87,617",5.58,"72,187",-6.61,"1,853,179",0.00
2000,"13,295,437",6.05,"4,699,845",4.88,"1,020,337",6.49,"287,408",-1.87,"7,287,847",7.10,"5,797,162",4.03,"889,378",3.97,"641,155",9.86,"220,967",1.93,"4,045,662",3.29,"30,663",-33.80,"3,355",-58.45,"2,248",-11.84,"1,597",-14.00,"23,463",-30.66,"16,929",-3.01,"2,080",-23.47,"1,222",-19.87,"2,179",69.44,"11,448",-4.00,"2,691,477",10.88,"345,516",10.94,"459,781",10.32,"80,651",7.02,"1,805,529",11.19,"210,235",10.43,"32,108",6.89,"51,781",26.85,"50,856",-0.22,"75,490",10.13,-,-,-,-,-,-,-,-,-,-,"481,340",-11.11,"79,045",-22.40,"6,894",-6.46,"12,144",-20.31,"383,257",-8.10,"876,981",-0.71,"132,392",-0.33,"29,519",-7.28,"16,541",-19.44,"698,529",0.07,"36,317",11.58,"10,453",15.36,627,-40.74,"3,692",53.90,"21,545",7.57,"309,096",31.90,"23,352",9.31,"56,392",3.42,"14,127",101.33,"215,225",42.13,-,-,-,-,-,-,-,-,-,-,"253,730",-25.54,"12,051",13.34,"2,995",46.81,"5,298",-18.85,"233,386",-27.42,"441,516",9.26,"149,102",12.69,"1,462",26.36,"10,351",-24.46,"280,601",9.21,"448,878",-1.23,"99,924",5.13,"28,234",17.88,"23,531",7.48,"297,189",-5.22,"2,061,110",19.52,"464,238",7.12,"278,397",-1.87,"3,594",22.12,"1,314,882",30.90,"59,531",18.32,"19,493",26.01,"2,756",-15.20,821,-15.19,"36,461",19.06,"5,377,633",3.62,"3,326,736",4.72,"98,029",11.88,"62,026",-14.08,"1,890,842",2.03
2001,"13,094,597",-1.51,"4,519,942",-3.83,"987,686",-3.20,"268,133",-6.71,"7,318,836",0.43,"5,617,826",-3.09,"809,400",-8.99,"632,681",-1.32,"205,846",-6.84,"3,969,899",-1.87,"17,413",-43.21,"1,495",-55.44,"2,076",-7.65,687,-56.98,"13,155",-43.93,"7,885",-53.42,836,-59.81,"1,091",-10.72,301,-86.19,"5,657",-50.59,"2,613,982",-2.88,"348,284",0.80,"430,137",-6.45,"75,275",-6.67,"1,760,286",-2.51,"220,485",4.88,"30,477",-5.08,"73,528",42.00,"41,717",-17.97,"74,763",-0.96,-,-,-,-,-,-,-,-,-,-,"385,253",-19.96,"57,815",-26.86,"6,314",-8.41,"10,661",-12.21,"310,463",-18.99,"769,264",-12.28,"116,165",-12.26,"27,380",-7.25,"15,773",-4.64,"609,946",-12.68,"69,126",90.34,"22,751",117.65,"2,504",299.36,"6,247",69.20,"37,624",74.63,"307,405",-0.55,"20,967",-10.21,"49,290",-12.59,"16,049",13.61,"221,099",2.73,-,-,-,-,-,-,-,-,-,-,"447,850",76.51,"8,630",-28.39,"5,913",97.43,"13,067",146.64,"420,240",80.06,"450,914",2.13,"139,770",-6.26,"2,155",47.40,"12,306",18.89,"296,683",5.73,"328,249",-26.87,"62,210",-37.74,"32,293",14.38,"13,763",-41.51,"219,983",-25.98,"2,132,691",3.47,"426,745",-8.08,"253,807",-8.83,"3,334",-7.23,"1,448,805",10.19,"73,188",22.94,"26,208",34.45,"2,869",4.10,871,6.09,"43,240",18.59,"5,270,892",-1.98,"3,257,589",-2.08,"98,329",0.31,"58,082",-6.36,"1,856,892",-1.80
2002,"12,872,922",-1.69,"4,375,466",-3.20,"916,694",-7.19,"258,046",-3.76,"7,322,716",0.05,"5,526,929",-1.62,"742,434",-8.27,"603,860",-4.56,"213,136",3.54,"3,967,499",-0.06,"17,859",2.56,"1,233",-17.53,"2,062",-0.67,660,-3.93,"13,904",5.69,"6,838",-13.28,793,-5.14,571,-47.66,281,-6.64,"5,193",-8.20,"2,544,716",-2.65,"328,753",-5.61,"389,560",-9.43,"71,618",-4.86,"1,754,785",-0.31,"236,403",7.22,"34,576",13.45,"87,954",19.62,"32,899",-21.14,"80,974",8.31,-,-,-,-,-,-,-,-,-,-,"354,248",-8.05,"46,101",-20.26,"5,561",-11.93,"9,397",-11.86,"293,189",-5.56,"748,014",-2.76,"107,352",-7.59,"23,944",-12.55,"15,915",0.90,"600,803",-1.50,"62,833",-9.10,"15,513",-31.81,"1,940",-22.52,"5,267",-15.69,"40,113",6.62,"398,510",29.64,"34,633",65.18,"59,810",21.34,"37,699",134.90,"266,368",20.47,-,-,-,-,-,-,-,-,-,-,"473,216",5.66,"6,773",-21.52,"6,555",10.86,"15,764",20.64,"444,124",5.68,"373,520",-17.16,"112,140",-19.77,"2,162",0.32,"10,295",-16.34,"248,923",-16.10,"310,772",-5.32,"54,567",-12.29,"23,741",-26.48,"13,341",-3.07,"219,123",-0.39,"1,932,859",-9.37,"284,116",-33.42,"205,218",-19.14,979,-70.64,"1,442,546",-0.43,"114,021",55.79,"25,482",-2.77,"2,659",-7.32,650,-25.37,"85,230",97.11,"5,299,113",0.54,"3,323,434",2.02,"104,957",6.74,"43,281",-25.48,"1,827,441",-1.59
2003,"13,504,740",4.91,"4,546,739",3.91,"893,398",-2.54,"229,577",-11.03,"7,835,026",7.00,"5,614,506",1.58,"733,294",-1.23,"578,694",-4.17,"201,674",-5.38,"4,100,844",3.36,"19,736",10.51,"1,341",8.76,"3,921",90.16,501,-24.09,"13,973",0.50,"6,777",-0.89,575,-27.49,335,-41.33,253,-9.96,"5,614",8.11,"2,533,431",-0.44,"315,842",-3.93,"351,999",-9.64,"63,320",-11.59,"1,802,270",2.71,"235,018",-0.59,"34,049",-1.52,"100,176",13.90,"28,468",-13.47,"72,325",-10.68,-,-,-,-,-,-,-,-,-,-,"345,856",-2.37,"43,849",-4.88,"4,577",-17.69,"8,885",-5.45,"288,545",-1.58,"809,932",8.28,"110,521",2.95,"23,585",-1.50,"11,636",-26.89,"664,190",10.55,"61,240",-2.54,"20,610",32.86,"1,634",-15.77,"5,829",10.67,"33,167",-17.32,"432,907",8.63,"44,567",28.68,"61,076",2.12,"54,010",43.27,"273,254",2.59,-,-,-,-,-,-,-,-,-,-,"501,102",5.89,"6,177",-8.80,"8,402",28.18,"11,288",-28.39,"475,235",7.01,"343,294",-8.09,"102,817",-8.31,998,-53.84,"7,592",-26.26,"231,887",-6.84,"325,213",4.65,"52,946",-2.97,"21,991",-7.37,"9,892",-25.85,"240,384",9.70,"1,944,921",0.62,"237,809",-16.30,"180,498",-12.05,869,-11.24,"1,525,745",5.77,"119,539",4.84,"23,730",-6.88,"2,267",-14.74,583,-10.31,"92,959",9.07,"5,825,774",9.94,"3,551,906",6.87,"131,939",25.71,"26,451",-38.89,"2,115,478",15.76
2004,"14,862,514",10.05,"5,068,830",11.48,"1,021,654",14.36,"252,712",10.08,"8,519,318",8.73,"6,000,523",6.88,"770,905",5.13,"649,903",12.31,"230,342",14.22,"4,349,373",6.06,"19,377",-1.82,"1,381",2.98,"1,968",-49.81,874,74.45,"15,154",8.45,"6,790",0.19,682,18.61,195,-41.79,217,-14.23,"5,696",1.46,"2,710,121",6.97,"306,080",-3.09,"401,392",14.03,"61,214",-3.33,"1,941,435",7.72,"269,855",14.82,"24,091",-29.25,"91,611",-8.55,"20,734",-27.17,"133,419",84.47,-,-,-,-,-,-,-,-,-,-,"389,646",12.66,"63,644",45.14,"4,147",-9.39,"10,062",13.25,"311,793",8.06,"882,507",8.96,"113,551",2.74,"28,767",21.97,"10,477",-9.96,"729,712",9.86,"62,714",2.41,"20,729",0.58,"1,693",3.61,"6,241",7.07,"34,051",2.67,"513,170",18.54,"54,421",22.11,"81,921",34.13,"84,566",56.57,"292,262",6.96,-,-,-,-,-,-,-,-,-,-,"435,876",-13.02,"6,845",10.81,"12,411",47.71,"12,814",13.52,"403,806",-15.03,"372,239",8.43,"125,762",22.32,"1,101",10.32,"11,894",56.66,"233,482",0.69,"338,228",4.00,"53,719",1.46,"24,697",12.31,"11,249",13.72,"248,563",3.40,"1,917,414",-1.41,"159,666",-32.86,"155,385",-13.91,739,-14.96,"1,601,624",4.97,"138,988",16.27,"17,558",-26.01,"3,714",63.83,416,-28.64,"117,300",26.18,"6,805,589",16.82,"4,120,701",16.01,"212,652",61.17,"21,215",-19.80,"2,451,021",15.86
2005,"16,098,378",8.32,"5,728,363",13.01,"1,009,279",-1.21,"307,982",21.87,"9,052,754",6.26,"6,590,616",9.83,"886,229",14.96,"713,823",9.84,"283,092",22.90,"4,707,472",8.23,"20,620",6.41,"1,568",13.54,"1,605",-18.45,945,8.12,"16,502",8.90,"6,694",-1.41,645,-5.43,296,51.79,185,-14.75,"5,568",-2.25,"2,911,533",7.43,"317,900",3.86,"427,923",6.61,"83,633",36.62,"2,082,077",7.24,"346,171",28.28,"20,828",-13.54,"128,484",40.25,"17,714",-14.57,"179,145",34.27,-,-,-,-,-,-,-,-,-,-,"407,429",4.56,"71,565",12.45,"4,558",9.91,"10,325",2.61,"320,981",2.95,"930,152",5.40,"122,370",7.77,"26,484",-7.94,"12,862",22.76,"768,436",5.31,"70,515",12.44,"24,541",18.39,"2,395",41.46,"6,573",5.32,"37,006",8.68,"560,134",9.15,"57,308",5.30,"91,381",11.55,"112,956",33.57,"298,489",2.13,-,-,-,-,-,-,-,-,-,-,"535,357",22.82,"9,119",33.22,"13,272",6.94,"13,267",3.54,"499,699",23.75,"446,559",19.97,"200,339",59.30,"1,556",41.33,"15,353",29.08,"229,311",-1.79,"355,452",5.09,"60,046",11.78,"15,869",-35.75,"9,279",-17.51,"270,258",8.73,"1,782,204",-7.05,"141,395",-11.44,"78,832",-49.27,"2,750",272.12,"1,559,227",-2.65,"129,510",-6.82,"12,601",-28.23,"3,092",-16.75,"1,133",172.36,"112,684",-3.94,"7,596,048",11.61,"4,688,138",13.77,"213,532",0.41,"21,007",-0.98,"2,673,371",9.07
2006,"16,501,113",2.50,"6,357,278",10.98,"921,006",-8.75,"342,854",11.32,"8,879,975",-1.91,"7,037,052",6.77,"1,020,333",15.13,"759,743",6.43,"306,172",8.15,"4,950,804",5.17,"18,903",-8.33,"2,052",30.87,"1,314",-18.13,523,-44.66,"15,014",-9.02,"7,819",16.81,"1,093",69.46,304,2.70,99,-46.49,"6,323",13.56,"3,113,906",6.95,"361,489",13.71,"438,977",2.58,"83,119",-0.61,"2,230,321",7.12,"366,769",5.95,"20,283",-2.62,"133,565",3.95,"14,498",-18.16,"198,423",10.76,-,-,-,-,-,-,-,-,-,-,"391,174",-3.99,"63,282",-11.57,"3,725",-18.28,"6,455",-37.48,"317,712",-1.02,"948,961",2.02,"127,396",4.11,"26,710",0.85,"14,859",15.53,"779,996",1.50,"75,206",6.65,"24,458",-0.34,"2,667",11.36,"5,224",-20.52,"42,857",15.81,"654,426",16.83,"72,559",26.61,"115,983",26.92,"121,971",7.98,"343,913",15.22,-,-,-,-,-,-,-,-,-,-,"486,517",-9.12,"10,713",17.48,"13,013",-1.95,"21,856",64.74,"440,935",-11.76,"558,911",25.16,"272,619",36.08,"4,080",162.21,"15,976",4.06,"266,236",16.10,"414,460",16.60,"64,389",7.23,"19,405",22.28,"21,592",132.70,"309,074",14.36,"1,592,717",-10.63,"133,670",-5.46,"2,066",-97.38,"11,790",328.73,"1,445,191",-7.31,"124,931",-3.54,"13,620",8.09,"2,548",-17.59,"3,004",165.14,"105,759",-6.15,"7,746,413",1.98,"5,189,655",10.70,"156,649",-26.64,"21,888",4.19,"2,378,221",-11.04
