期間,合計_原始值,合計_年增率(%),食品及飲料製造業_原始值,食品及飲料製造業_年增率(%),食品及飲料製造業-飲料製造業_原始值,食品及飲料製造業-飲料製造業_年增率(%),菸草製造業_原始值,菸草製造業_年增率(%),紡織業_原始值,紡織業_年增率(%),成衣及服飾品製造業_原始值,成衣及服飾品製造業_年增率(%),皮革、毛皮及其製品製造業_原始值,皮革、毛皮及其製品製造業_年增率(%),木竹製品製造業_原始值,木竹製品製造業_年增率(%),紙漿、紙及紙製品製造業_原始值,紙漿、紙及紙製品製造業_年增率(%),印刷及資料儲存媒體複製業_原始值,印刷及資料儲存媒體複製業_年增率(%),石油及煤製品製造業_原始值,石油及煤製品製造業_年增率(%),化學材料製造業_原始值,化學材料製造業_年增率(%),化學製品製造業_原始值,化學製品製造業_年增率(%),化學製品製造業-藥品製造業_原始值,化學製品製造業-藥品製造業_年增率(%),橡膠製品製造業_原始值,橡膠製品製造業_年增率(%),塑膠製品製造業_原始值,塑膠製品製造業_年增率(%),非金屬礦物製品製造業_原始值,非金屬礦物製品製造業_年增率(%),基本金屬製造業_原始值,基本金屬製造業_年增率(%),金屬製品製造業_原始值,金屬製品製造業_年增率(%),電子零組件製造業_原始值,電子零組件製造業_年增率(%),電腦、電子產品及光學製品製造業_原始值,電腦、電子產品及光學製品製造業_年增率(%),電力設備製造業_原始值,電力設備製造業_年增率(%),機械設備製造業_原始值,機械設備製造業_年增率(%),運輸工具製造業_原始值,運輸工具製造業_年增率(%),運輸工具製造業-汽車及其零件製造業_原始值,運輸工具製造業-汽車及其零件製造業_年增率(%),家具製造業_原始值,家具製造業_年增率(%),其他製造業_原始值,其他製造業_年增率(%),產業用機械設備維修及安裝業_原始值,產業用機械設備維修及安裝業_年增率(%)
1997,"2,112,413",-,"138,754",-,-,-,"6,559",-,"180,545",-,"21,318",-,"20,554",-,"34,137",-,"59,717",-,"24,258",-,"105,875",-,"50,912",-,"80,426",-,-,-,"32,929",-,"130,916",-,"70,985",-,"162,956",-,"277,047",-,"230,050",-,"118,856",-,"94,558",-,"102,121",-,"79,924",-,-,-,"14,343",-,"74,673",-,-,-
1998,"2,194,150",3.87,"141,883",2.26,-,-,"7,431",13.29,"203,066",12.47,"24,112",13.11,"19,705",-4.13,"30,764",-9.88,"53,028",-11.20,"25,594",5.51,"105,879",0.00,"58,218",14.35,"77,487",-3.65,-,-,"28,841",-12.41,"132,205",0.98,"70,967",-0.03,"160,776",-1.34,"271,532",-1.99,"269,088",16.97,"127,633",7.38,"114,537",21.13,"110,938",8.63,"84,961",6.30,-,-,"14,776",3.02,"60,729",-18.67,-,-
1999,"2,427,380",10.63,"154,450",8.86,-,-,"7,804",5.02,"229,487",13.01,"23,318",-3.29,"21,413",8.67,"28,115",-8.61,"56,255",6.09,"27,353",6.87,"109,104",3.05,"66,071",13.49,"91,934",18.64,-,-,"29,750",3.15,"148,038",11.98,"76,308",7.53,"169,837",5.64,"279,584",2.97,"341,474",26.90,"159,391",24.88,"127,592",11.40,"112,858",1.73,"86,023",1.25,-,-,"16,328",10.50,"64,893",6.86,-,-
2000,"2,691,477",10.88,"151,357",-2.00,-,-,"1,208",-84.52,"243,472",6.09,"27,445",17.70,"20,489",-4.32,"25,148",-10.55,"55,143",-1.98,"29,110",6.42,"150,097",37.57,"78,997",19.56,"96,294",4.74,-,-,"31,213",4.92,"165,243",11.62,"90,083",18.05,"173,880",2.38,"287,854",2.96,"441,469",29.28,"188,460",18.24,"147,967",15.97,"115,262",2.13,"94,014",9.29,-,-,"15,289",-6.36,"61,983",-4.48,-,-
2001,"2,613,982",-2.88,"143,230",-5.37,-,-,262,-78.31,"215,592",-11.45,"29,716",8.27,"23,556",14.97,"18,244",-27.45,"42,262",-23.36,"30,014",3.11,"135,807",-9.52,"151,919",92.31,"68,743",-28.61,-,-,"24,059",-22.92,"142,242",-13.92,"111,909",24.23,"213,742",22.93,"180,436",-37.32,"452,067",2.40,"243,861",29.40,"114,163",-22.85,"105,229",-8.70,"101,436",7.89,-,-,"17,867",16.86,"47,626",-23.16,-,-
2002,"2,544,716",-2.65,"148,342",3.57,-,-,417,59.16,"206,141",-4.38,"28,726",-3.33,"21,607",-8.27,"13,312",-27.03,"33,832",-19.95,"25,967",-13.48,"142,799",5.15,"145,589",-4.17,"61,633",-10.34,-,-,"24,778",2.99,"136,063",-4.34,"109,820",-1.87,"193,507",-9.47,"163,276",-9.51,"468,179",3.56,"253,185",3.82,"111,607",-2.24,"105,885",0.62,"91,630",-9.67,-,-,"15,583",-12.78,"42,838",-10.05,-,-
2003,"2,533,431",-0.44,"140,534",-5.26,-,-,222,-46.76,"194,461",-5.67,"29,718",3.45,"20,537",-4.95,"11,530",-13.39,"30,963",-8.48,"26,643",2.60,"121,105",-15.19,"138,036",-5.19,"58,111",-5.71,-,-,"24,623",-0.63,"139,015",2.17,"100,904",-8.12,"203,419",5.12,"160,592",-1.64,"480,618",2.66,"275,640",8.87,"113,424",1.63,"111,142",4.96,"93,809",2.38,-,-,"15,767",1.18,"42,618",-0.51,-,-
2004,"2,710,121",6.97,"135,115",-3.86,-,-,412,85.59,"179,394",-7.75,"30,714",3.35,"18,585",-9.50,"10,516",-8.79,"33,146",7.05,"32,086",20.43,"106,005",-12.47,"135,594",-1.77,"58,253",0.24,-,-,"24,142",-1.95,"136,693",-1.67,"85,576",-15.19,"233,129",14.61,"167,543",4.33,"608,455",26.60,"310,377",12.60,"103,545",-8.71,"129,552",16.56,"109,891",17.14,-,-,"17,753",12.60,"43,645",2.41,-,-
2005,"2,911,533",7.43,"138,271",2.34,-,-,292,-29.13,"185,827",3.59,"29,475",-4.03,"23,262",25.17,"10,287",-2.18,"34,873",5.21,"33,652",4.88,"90,466",-14.66,"165,117",21.77,"57,839",-0.71,-,-,"25,796",6.85,"138,169",1.08,"77,824",-9.06,"247,995",6.38,"179,250",6.99,"736,611",21.06,"317,169",2.19,"107,811",4.12,"140,195",8.22,"109,749",-0.13,-,-,"16,208",-8.70,"45,395",4.01,-,-
2006,"3,113,906",6.95,"120,811",-12.63,-,-,311,6.51,"178,705",-3.83,"29,207",-0.91,"30,517",31.19,"10,802",5.01,"37,361",7.13,"34,566",2.72,"131,316",45.16,"181,295",9.80,"63,615",9.99,-,-,"25,439",-1.38,"132,652",-3.99,"80,708",3.71,"259,118",4.49,"189,589",5.77,"825,723",12.10,"340,048",7.21,"116,668",8.22,"148,188",5.70,"123,392",12.43,-,-,"16,953",4.60,"36,922",-18.67,-,-
2007,"3,255,153",4.54,"114,414",-5.30,"8,026",-,215,-30.87,"154,456",-13.57,"25,696",-12.02,"30,175",-1.12,"11,581",7.21,"33,191",-11.16,"25,129",-27.30,"141,431",7.70,"219,013",20.80,"76,556",20.34,"21,071",-,"26,972",6.03,"138,989",4.78,"77,011",-4.58,"254,343",-1.84,"252,569",33.22,"909,418",10.14,"279,482",-17.81,"147,870",26.74,"131,118",-11.52,"144,492",17.10,"74,765",-,"15,682",-7.50,"40,913",10.81,"4,437",-
2008,"3,729,330",14.57,"132,092",15.45,"9,380",16.87,317,47.44,"158,573",2.67,"25,440",-1.00,"35,521",17.72,"11,315",-2.30,"45,703",37.70,"24,228",-3.59,"228,108",61.29,"241,218",10.14,"80,656",5.36,"19,677",-6.62,"34,873",29.29,"144,943",4.28,"81,868",6.31,"308,149",21.15,"258,592",2.38,"1,109,358",21.99,"281,991",0.90,"155,131",4.91,"145,075",10.64,"162,262",12.30,"88,799",18.77,"16,540",5.47,"41,526",1.50,"5,851",31.87
2009,"3,541,835",-5.03,"123,380",-6.60,"7,345",-21.70,453,42.90,"141,630",-10.68,"23,284",-8.47,"31,688",-10.79,"11,270",-0.40,"48,119",5.29,"24,428",0.83,"204,658",-10.28,"216,498",-10.25,"79,101",-1.93,"18,238",-7.31,"28,941",-17.01,"135,534",-6.49,"90,257",10.25,"311,266",1.01,"246,624",-4.63,"1,057,091",-4.71,"296,000",4.97,"136,815",-11.81,"131,893",-9.09,"142,039",-12.46,"85,363",-3.87,"16,641",0.61,"38,237",-7.92,"5,988",2.34
2010,"3,798,726",7.25,"137,255",11.25,"9,026",22.89,415,-8.39,"145,217",2.53,"22,791",-2.12,"30,951",-2.33,"11,036",-2.08,"52,910",9.96,"26,025",6.54,"166,484",-18.65,"214,118",-1.10,"74,603",-5.69,"20,525",12.54,"31,510",8.88,"125,538",-7.38,"96,813",7.26,"375,359",20.59,"270,035",9.49,"1,128,848",6.79,"380,497",28.55,"132,122",-3.43,"151,625",14.96,"156,251",10.01,"85,671",0.36,"16,306",-2.01,"43,891",14.79,"8,126",35.70
2011,"4,263,035",12.22,"148,752",8.38,"9,477",5.00,195,-53.01,"158,619",9.23,"24,547",7.70,"39,169",26.55,"11,393",3.23,"63,598",20.20,"27,237",4.66,"277,566",66.72,"259,182",21.05,"85,906",15.15,"24,002",16.94,"38,616",22.55,"129,757",3.36,"77,246",-20.21,"406,226",8.22,"289,037",7.04,"1,292,861",14.53,"404,858",6.40,"137,337",3.95,"175,856",15.98,"144,723",-7.38,"81,878",-4.43,"17,527",7.49,"45,034",2.60,"7,793",-4.10
2012,"4,253,271",-0.23,"160,107",7.63,"11,291",19.14,304,55.90,"149,182",-5.95,"25,744",4.88,"40,871",4.35,"12,136",6.52,"62,100",-2.36,"27,308",0.26,"230,777",-16.86,"303,604",17.14,"92,543",7.73,"27,132",13.04,"44,029",14.02,"136,361",5.09,"87,669",13.49,"399,212",-1.73,"310,866",7.55,"1,197,100",-7.41,"428,042",5.73,"127,594",-7.09,"194,613",10.67,"146,184",1.01,"81,676",-0.25,"16,330",-6.83,"52,569",16.73,"8,026",2.99
2013,"4,258,197",0.12,"163,791",2.30,"11,806",4.56,122,-59.87,"154,334",3.45,"27,988",8.72,"40,346",-1.28,"12,791",5.40,"70,657",13.78,"29,394",7.64,"211,024",-8.56,"297,536",-2.00,"95,225",2.90,"30,185",11.25,"42,784",-2.83,"144,640",6.07,"108,897",24.21,"397,778",-0.36,"341,006",9.70,"1,083,152",-9.52,"457,678",6.92,"143,529",12.49,"204,018",4.83,"153,061",4.70,"87,385",6.99,"17,519",7.28,"52,473",-0.18,"8,454",5.33
