期間,合計_原始值,合計_年增率(%),"新台幣1,000,000以下_原始值","新台幣1,000,000以下_年增率(%)","1,000,001-5,000,000元_原始值","1,000,001-5,000,000元_年增率(%)","5,000,001-10,000,000元_原始值","5,000,001-10,000,000元_年增率(%)","10,000,001-50,000,000元_原始值","10,000,001-50,000,000元_年增率(%)","50,000,001-100,000,000元_原始值","50,000,001-100,000,000元_年增率(%)","100,000,001元以上_原始值","100,000,001元以上_年增率(%)"
1997,"11,003,565",39.96,"854,071",58.03,"3,395,315",38.00,"1,159,414",40.28,"1,710,849",43.77,"661,648",52.57,"3,222,268",33.67
1998,"11,795,818",7.20,"952,435",11.52,"3,490,852",2.81,"1,164,442",0.43,"1,853,071",8.31,"742,099",12.16,"3,592,919",11.50
1999,"12,537,233",6.29,"1,031,883",8.34,"3,576,339",2.45,"1,116,261",-4.14,"1,897,136",2.38,"812,338",9.46,"4,103,276",14.20
2000,"13,295,437",6.05,"1,136,655",10.15,"3,633,205",1.59,"1,098,136",-1.62,"1,913,866",0.88,"829,101",2.06,"4,684,474",14.16
2001,"13,094,597",-1.51,"1,219,280",7.27,"3,447,981",-5.10,"964,203",-12.20,"1,718,861",-10.19,"766,965",-7.49,"4,977,307",6.25
2002,"12,872,922",-1.69,"1,367,711",12.17,"3,414,580",-0.97,"875,715",-9.18,"1,591,097",-7.43,"737,643",-3.82,"4,886,176",-1.83
2003,"13,504,740",4.91,"1,672,393",22.28,"3,580,493",4.86,"875,773",0.01,"1,611,217",1.26,"740,381",0.37,"5,024,483",2.83
2004,"14,862,514",10.05,"2,182,419",30.50,"3,918,680",9.45,"985,262",12.50,"1,885,375",17.02,"810,147",9.42,"5,080,631",1.12
2005,"16,098,378",8.32,"2,450,428",12.28,"4,114,200",4.99,"1,123,719",14.05,"2,046,040",8.52,"848,986",4.79,"5,515,005",8.55
2006,"16,501,113",2.50,"2,033,949",-17.00,"4,129,879",0.38,"1,358,051",20.85,"2,192,220",7.14,"940,736",10.81,"5,846,278",6.01
2007,"16,944,572",2.69,"1,742,751",-14.32,"4,076,985",-1.28,"1,575,887",16.04,"2,424,427",10.59,"986,384",4.85,"6,138,138",4.99
2008,"17,378,376",2.56,"1,562,161",-10.36,"4,001,508",-1.85,"1,655,672",5.06,"2,543,899",4.93,"1,035,088",4.94,"6,580,048",7.20
2009,"17,554,377",1.01,"1,469,595",-5.93,"4,128,720",3.18,"1,652,534",-0.19,"2,576,240",1.27,"1,007,787",-2.64,"6,719,501",2.12
2010,"18,735,529",6.73,"1,444,508",-1.71,"4,095,920",-0.79,"1,830,829",10.79,"2,968,155",15.21,"1,118,280",10.96,"7,277,837",8.31
2011,"19,819,265",5.78,"1,489,339",3.10,"4,141,339",1.11,"1,902,438",3.91,"3,229,648",8.81,"1,184,675",5.94,"7,871,826",8.16
2012,"20,372,531",2.79,"1,503,173",0.93,"4,138,070",-0.08,"2,009,641",5.64,"3,503,624",8.48,"1,262,760",6.59,"7,955,263",1.06
2013,"20,978,750",2.98,"1,495,409",-0.52,"4,177,751",0.96,"2,150,926",7.03,"3,883,991",10.86,"1,339,021",6.04,"7,931,651",-0.30
