期間,合計_原始值,合計_年增率(%),"新台幣1,000,000以下_原始值","新台幣1,000,000以下_年增率(%)","1,000,001-5,000,000元_原始值","1,000,001-5,000,000元_年增率(%)","5,000,001-10,000,000元_原始值","5,000,001-10,000,000元_年增率(%)","10,000,001-50,000,000元_原始值","10,000,001-50,000,000元_年增率(%)","50,000,001-100,000,000元_原始值","50,000,001-100,000,000元_年增率(%)","100,000,001元以上_原始值","100,000,001元以上_年增率(%)"
1997M01,"9,560,611",29.36,"680,884",44.29,"2,902,142",30.54,"1,001,056",26.91,"1,484,952",26.63,"588,758",33.77,"2,902,819",26.54
1997M02,"9,616,801",28.71,"715,092",50.95,"3,068,622",36.65,"1,059,214",33.00,"1,454,727",22.90,"517,528",16.25,"2,801,618",20.41
1997M03,"9,646,178",28.39,"732,301",54.20,"3,099,211",36.95,"1,059,555",32.77,"1,446,366",22.33,"513,545",16.75,"2,795,200",18.71
1997M04,"9,725,605",29.29,"745,068",55.01,"3,070,990",33.99,"1,025,914",27.35,"1,537,152",30.71,"518,500",19.99,"2,827,981",21.06
1997M05,"9,780,015",30.04,"761,126",56.10,"3,150,186",36.07,"1,056,162",31.64,"1,474,601",25.15,"529,112",22.39,"2,808,828",21.85
1997M06,"10,097,095",31.81,"770,310",56.09,"3,179,978",36.12,"1,072,960",32.93,"1,527,618",28.88,"578,649",30.59,"2,967,580",23.90
1997M07,"10,164,306",33.68,"779,384",56.06,"3,198,120",36.18,"1,081,888",34.68,"1,540,773",32.12,"573,336",34.55,"2,990,805",26.72
1997M08,"10,345,190",35.12,"785,485",56.13,"3,223,297",36.04,"1,092,228",35.68,"1,582,720",35.50,"609,076",42.01,"3,052,384",28.15
1997M09,"10,596,434",37.70,"808,458",57.84,"3,315,783",39.18,"1,124,226",38.97,"1,624,527",38.49,"622,259",46.98,"3,101,181",29.47
1997M10,"10,597,399",37.96,"813,530",57.85,"3,339,790",39.03,"1,129,845",40.19,"1,646,729",41.53,"603,688",43.27,"3,063,817",29.09
1997M11,"10,793,820",39.27,"825,072",57.79,"3,348,911",37.81,"1,139,753",40.68,"1,686,158",44.26,"656,089",55.24,"3,137,837",30.96
1997M12,"11,003,565",39.96,"854,071",58.03,"3,395,315",38.00,"1,159,414",40.28,"1,710,849",43.77,"661,648",52.57,"3,222,268",33.67
1998M01,"11,320,515",18.41,"859,005",26.16,"3,437,636",18.45,"1,174,204",17.30,"1,768,303",19.08,"699,043",18.73,"3,382,324",16.52
1998M02,"11,161,480",16.06,"847,861",18.57,"3,406,187",11.00,"1,163,162",9.81,"1,740,823",19.67,"682,823",31.94,"3,320,624",18.53
1998M03,"11,190,251",16.01,"853,073",16.49,"3,408,847",9.99,"1,160,233",9.50,"1,737,036",20.10,"668,821",30.24,"3,362,241",20.29
1998M04,"11,139,875",14.54,"878,783",17.95,"3,393,424",10.50,"1,156,291",12.71,"1,737,411",13.03,"670,760",29.37,"3,303,206",16.80
1998M05,"11,202,507",14.54,"880,503",15.68,"3,416,425",8.45,"1,160,226",9.85,"1,751,069",18.75,"671,817",26.97,"3,322,467",18.29
1998M06,"11,397,214",12.88,"888,186",15.30,"3,442,207",8.25,"1,174,039",9.42,"1,804,359",18.12,"702,989",21.49,"3,385,434",14.08
1998M07,"11,347,881",11.64,"908,009",16.50,"3,453,717",7.99,"1,164,213",7.61,"1,790,379",16.20,"683,465",19.21,"3,348,098",11.95
1998M08,"11,396,391",10.16,"912,456",16.16,"3,457,685",7.27,"1,162,297",6.42,"1,801,738",13.84,"687,044",12.80,"3,375,171",10.57
1998M09,"11,522,502",8.74,"920,045",13.80,"3,459,958",4.35,"1,160,819",3.25,"1,821,143",12.10,"702,168",12.84,"3,458,369",11.52
1998M10,"11,483,241",8.36,"921,247",13.24,"3,445,406",3.16,"1,152,806",2.03,"1,806,504",9.70,"704,798",16.75,"3,452,480",12.69
1998M11,"11,739,603",8.76,"937,179",13.59,"3,483,593",4.02,"1,162,835",2.03,"1,841,236",9.20,"731,675",11.52,"3,583,085",14.19
1998M12,"11,795,818",7.20,"952,435",11.52,"3,490,852",2.81,"1,164,442",0.43,"1,853,071",8.31,"742,099",12.16,"3,592,919",11.50
1999M01,"11,874,471",4.89,"962,678",12.07,"3,513,309",2.20,"1,162,663",-0.98,"1,853,667",4.83,"748,754",7.11,"3,633,400",7.42
