期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
1997,"2,965",0.82,"8,503",32.71,341,1.49,"27,600",78.79,"3,134",2.42,"11,222",12.73,"46,447",15.98,109,-26.85,"100,321",28.07,"54,658",8.91,"59,914",47.88,"-14,251",--
1998,"3,498",17.98,"9,561",12.44,573,68.04,"39,873",44.47,"4,543",44.96,"12,671",12.91,"47,032",1.26,107,-1.83,"117,858",17.48,"60,562",10.80,"67,654",12.92,"-10,358",--
1999,"3,336",-4.63,"13,448",40.65,458,-20.07,"45,441",13.96,"5,418",19.26,"12,856",1.46,"47,246",0.46,111,3.74,"128,314",8.87,"71,933",18.78,"75,959",12.28,"-19,578",--
2000,"4,142",24.16,"18,192",35.28,304,-33.62,"52,783",16.16,"7,675",41.66,"13,727",6.78,"45,622",-3.44,112,0.90,"142,557",11.10,"76,871",6.86,"81,108",6.78,"-15,422",--
2001,"4,694",13.33,"27,223",49.64,357,17.43,"48,837",-7.48,"9,420",22.74,"14,971",9.06,"38,260",-16.14,118,5.36,"143,880",0.93,"79,082",2.88,"80,973",-0.17,"-16,175",--
2002,"5,269",12.25,"22,457",-17.51,598,67.51,"54,344",11.28,"10,433",10.75,"16,577",10.73,"31,848",-16.76,164,38.98,"141,690",-1.52,"81,542",3.11,"73,481",-9.25,"-13,333",--
2003,"5,730",8.75,"20,346",-9.40,"1,483",147.99,"60,999",12.25,"10,376",-0.55,"22,052",33.03,"29,569",-7.16,118,-28.05,"150,673",6.34,"86,942",6.62,"78,742",7.16,"-15,011",--
2004,"5,551",-3.12,"23,511",15.56,"1,345",-9.31,"56,498",-7.38,"10,140",-2.27,"19,505",-11.55,"31,717",7.26,141,19.49,"148,408",-1.50,"94,723",8.95,"77,972",-0.98,"-24,287",--
2005,"5,092",-8.27,"22,817",-2.95,37,-97.25,"56,943",0.79,"11,260",11.05,"19,079",-2.18,"31,010",-2.23,143,1.42,"146,381",-1.37,"100,599",6.20,"76,289",-2.16,"-30,507",--
2006,"6,318",24.08,"20,232",-11.33,-,-,"50,549",-11.23,"9,859",-12.44,"17,447",-8.55,"31,177",0.54,144,0.70,"135,726",-7.28,"104,636",4.01,"73,120",-4.15,"-42,030",--
2007,"2,918",-53.81,"20,978",3.69,-,-,"53,225",5.29,"8,170",-17.13,"16,697",-4.30,"36,407",16.78,137,-4.86,"138,532",2.07,"112,776",7.78,"67,451",-7.75,"-41,695",--
2008,"2,028",-30.50,"26,486",26.26,-,-,"45,990",-13.59,"8,728",6.83,"16,960",1.58,"34,900",-4.14,124,-9.49,"135,216",-2.39,"158,448",40.50,"55,117",-18.29,"-78,349",--
2009,"1,391",-31.41,"25,087",-5.28,400,-,"59,168",28.65,"7,573",-13.23,"16,280",-4.01,"39,766",13.94,105,-15.32,"149,770",10.76,"160,458",1.27,"71,728",30.14,"-82,416",--
2010,852,-38.75,"26,318",4.91,402,0.50,"60,316",1.94,"8,049",6.29,"16,907",3.85,"50,742",27.60,101,-3.81,"163,687",9.29,"167,687",4.51,"75,132",4.75,"-79,132",--
2011,663,-22.18,"25,376",-3.58,403,0.25,"53,216",-11.77,"8,269",2.73,"18,158",7.40,"56,524",11.39,99,-1.98,"162,708",-0.60,"172,097",2.63,"74,096",-1.38,"-83,485",--
2012,611,-7.84,"24,229",-4.52,404,0.25,"53,596",0.71,"9,061",9.58,"17,953",-1.13,"53,955",-4.54,102,3.03,"159,911",-1.72,"171,213",-0.51,"78,489",5.93,"-89,791",--
2013,580,-5.07,"22,007",-9.17,301,-25.50,"58,968",10.02,"11,071",22.18,"16,032",-10.70,"55,324",2.54,96,-5.88,"164,379",2.79,"166,177",-2.94,"90,235",14.97,"-92,033",--
