期間,證券投資--政府債券_原始值,證券投資--政府債券_年增率(%),證券投資--金融債券及定期存單_原始值,證券投資--金融債券及定期存單_年增率(%),證券投資--公司債券_原始值,證券投資--公司債券_年增率(%),存放央行--支票存款_原始值,存放央行--支票存款_年增率(%),存放央行--定期存款_原始值,存放央行--定期存款_年增率(%),庫存現金_原始值,庫存現金_年增率(%),固定資產_原始值,固定資產_年增率(%),其他資產_原始值,其他資產_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),賠款準備_原始值,賠款準備_年增率(%),其他負債(淨額)_原始值,其他負債(淨額)_年增率(%),淨值_原始值,淨值_年增率(%)
1997,"2,097",37.33,"2,689",168.90,146,-,3,-50.00,"6,150",-9.96,-,-,213,3.90,402,26.81,"11,700",18.36,"1,793",26.18,"1,450",-46.51,"8,457",47.00
1998,"1,554",-25.89,"6,461",140.28,-,-,4,33.33,"4,872",-20.78,-,-,511,139.91,387,-3.73,"13,789",17.85,"2,200",22.70,"2,622",80.83,"8,967",6.03
1999,"1,525",-1.87,"6,378",-1.28,99,-,7,75.00,"6,464",32.68,-,-,506,-0.98,"1,071",176.74,"16,050",16.40,"1,752",-20.36,"4,113",56.86,"10,185",13.58
2000,"1,485",-2.62,"3,135",-50.85,-,-,5,-28.57,"12,776",97.65,-,-,540,6.72,426,-60.22,"18,367",14.44,"4,916",180.59,"2,231",-45.76,"11,220",10.16
2001,"1,596",7.47,300,-90.43,-,-,4,-20.00,"17,559",37.44,-,-,534,-1.11,439,3.05,"20,432",11.24,"8,528",73.47,627,-71.90,"11,277",0.51
2002,"1,797",12.59,"2,303",667.67,-,-,4,0.00,"17,777",1.24,-,-,565,5.81,280,-36.22,"22,726",11.23,"9,662",13.30,"1,787",185.01,"11,277",0.00
2003,"1,945",8.24,"3,738",62.31,-,-,7,75.00,"17,729",-0.27,-,-,558,-1.24,289,3.21,"24,266",6.78,"10,946",13.29,"2,043",14.33,"11,277",0.00
2004,"1,403",-27.87,"3,932",5.19,-,-,13,85.71,"18,524",4.48,-,-,553,-0.90,319,10.38,"24,744",1.97,"12,153",11.03,"1,314",-35.68,"11,277",0.00
2005,"1,398",-0.36,"4,449",13.15,-,-,6,-53.85,"19,613",5.88,-,-,544,-1.63,358,12.23,"26,368",6.56,"13,579",11.73,"1,512",15.07,"11,277",0.00
2006,"1,393",-0.36,"4,504",1.24,-,-,7,16.67,"20,682",5.45,-,-,538,-1.10,414,15.64,"27,538",4.44,"15,125",11.39,"1,136",-24.87,"11,277",0.00
2007,960,-31.08,"1,561",-65.34,-,-,4,-42.86,"10,830",-47.64,-,-,532,-1.12,779,88.16,"14,666",-46.74,"2,189",-85.53,"1,200",5.63,"11,277",0.00
2008,655,-31.77,900,-42.34,-,-,7,75.00,"12,856",18.71,-,-,529,-0.56,"54,133","6,849.04","69,080",371.02,"2,293",4.75,"55,510","4,525.83","11,277",0.00
2009,652,-0.46,700,-22.22,-,-,24,242.86,"12,130",-5.65,-,-,523,-1.13,"52,864",-2.34,"66,893",-3.17,"2,395",4.45,"53,221",-4.12,"11,277",0.00
2010,349,-46.47,"1,600",128.57,-,-,45,87.50,"11,626",-4.15,-,-,516,-1.34,"51,866",-1.89,"66,002",-1.33,"2,507",4.68,"52,218",-1.88,"11,277",0.00
2011,298,-14.61,"1,600",0.00,300,-,6,-86.67,"12,205",4.98,-,-,511,-0.97,"26,135",-49.61,"41,055",-37.80,"2,744",9.45,"27,034",-48.23,"11,277",0.00
2012,264,-11.41,"1,600",0.00,300,0.00,18,200.00,"11,666",-4.42,-,-,506,-0.98,"1,851",-92.92,"16,205",-60.53,"3,054",11.30,"1,874",-93.07,"11,277",0.00
2013,"1,235",367.80,900,-43.75,300,0.00,10,-44.44,"38,830",232.85,-,-,502,-0.79,414,-77.63,"42,191",160.36,"30,498",898.62,457,-75.61,"11,236",-0.36
