期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%)
1997,"11,348,845",17.68,"11,056,809",18.89,"2,042,238",16.69,"57,320",-41.90,"52,320",-40.98,"20,000",33.33,"8,872,087",30.98,"8,670,844",37.08,"1,296,500",18.37,"1,018,731",-43.92,"1,155,185",-36.61,"131,905",-50.85,"1,400,707",46.66,"1,178,460",10.79,"593,833",59.81
1998,"13,691,288",20.64,"13,347,547",20.72,"2,385,981",16.83,"55,000",-4.05,"20,000",-61.77,"55,000",175.00,"11,497,943",29.60,"11,029,937",27.21,"1,764,508",36.10,"486,631",-52.23,"581,389",-49.67,"37,148",-71.84,"1,651,714",17.92,"1,716,221",45.63,"529,325",-10.86
1999,"10,676,526",-22.02,"11,029,207",-17.37,"2,033,305",-14.78,"315,000",472.73,"220,000","1,000.00","150,000",172.73,"9,390,640",-18.33,"9,663,812",-12.39,"1,491,338",-15.48,"66,016",-86.43,"89,978",-84.52,"13,187",-64.50,"904,870",-45.22,"1,055,417",-38.50,"378,780",-28.44
2000,"10,324,620",-3.30,"10,552,909",-4.32,"1,805,018",-11.23,"95,000",-69.84,"200,000",-9.09,"45,000",-70.00,"9,032,690",-3.81,"9,267,761",-4.10,"1,256,268",-15.76,"46,173",-30.06,"49,149",-45.38,"10,211",-22.57,"1,150,757",27.17,"1,035,999",-1.84,"493,539",30.30
2001,"9,901,510",-4.10,"10,218,768",-3.17,"1,487,757",-17.58,"85,000",-10.53,"80,000",-60.00,"50,000",11.11,"8,926,767",-1.17,"9,080,622",-2.02,"1,102,411",-12.25,"36,145",-21.72,"38,076",-22.53,"8,279",-18.92,"853,598",-25.82,"1,020,070",-1.54,"327,067",-33.73
2002,"8,378,135",-15.39,"8,556,412",-16.27,"1,309,484",-11.98,"180,000",111.76,"50,000",-37.50,"180,000",260.00,"7,525,148",-15.70,"7,757,501",-14.57,"870,059",-21.08,"40,088",10.91,"40,471",6.29,"7,897",-4.61,"632,899",-25.86,"708,440",-30.55,"251,528",-23.10
2003,"7,547,686",-9.91,"7,662,809",-10.44,"1,194,363",-8.79,"60,000",-66.67,"180,000",260.00,"60,000",-66.67,"6,815,082",-9.44,"6,876,295",-11.36,"808,847",-7.04,"34,530",-13.86,"35,646",-11.92,"6,781",-14.13,"638,074",0.82,"570,868",-19.42,"318,735",26.72
2004,"6,888,801",-8.73,"6,766,693",-11.69,"1,316,473",10.22,"130,900",118.17,"60,000",-66.67,"130,900",118.17,"5,642,733",-17.20,"5,676,008",-17.46,"775,572",-4.11,"35,186",1.90,"34,369",-3.58,"7,596",12.02,"1,079,982",69.26,"996,316",74.53,"402,405",26.25
2005,"7,121,020",3.37,"7,269,396",7.43,"1,168,102",-11.27,"115,000",-12.15,"200,900",234.83,"45,000",-65.62,"5,690,443",0.85,"5,719,034",0.76,"746,982",-3.69,"31,121",-11.55,"31,069",-9.60,"7,650",0.71,"1,284,456",18.93,"1,318,393",32.33,"368,470",-8.43
2006,"7,004,027",-1.64,"7,079,748",-2.61,"1,092,383",-6.48,"45,000",-60.87,"65,000",-67.65,"25,000",-44.44,"5,879,802",3.33,"5,909,200",3.33,"717,582",-3.94,"36,104",16.01,"35,694",14.89,"8,062",5.39,"1,043,121",-18.79,"1,069,854",-18.85,"341,739",-7.25
2007,"6,495,116",-7.27,"6,662,233",-5.90,"925,258",-15.30,"88,000",95.56,"85,000",30.77,"28,000",12.00,"5,577,234",-5.15,"5,630,033",-4.72,"664,785",-7.36,"38,181",5.75,"37,821",5.96,"8,424",4.49,"791,701",-24.10,"909,379",-15.00,"224,049",-34.44
2008,"6,948,597",6.98,"6,904,033",3.63,"969,815",4.82,"240,000",172.73,"161,184",89.63,"106,816",281.49,"6,074,702",8.92,"6,049,264",7.45,"690,223",3.83,"33,266",-12.87,"36,751",-2.83,"4,936",-41.41,"600,629",-24.13,"656,834",-27.77,"167,840",-25.09
2009,"6,293,395",-9.43,"6,220,152",-9.91,"1,043,055",7.55,"435,000",81.25,"326,816",102.76,"215,000",101.28,"5,397,656",-11.15,"5,436,573",-10.13,"651,306",-5.64,"21,914",-34.12,"21,972",-40.21,"4,875",-1.24,"438,825",-26.94,"434,791",-33.81,"171,874",2.40
2010,"7,140,826",13.47,"7,016,422",12.80,"1,167,462",11.93,"365,000",-16.09,"340,000",4.03,"240,000",11.63,"5,903,437",9.37,"5,868,691",7.95,"686,054",5.34,"33,083",50.97,"31,735",44.43,"6,225",27.69,"839,306",91.26,"775,996",78.48,"235,183",36.83
2011,"7,423,964",3.97,"7,398,802",5.45,"1,192,626",2.16,"321,200",-12.00,"380,950",12.04,"180,250",-24.90,"6,270,533",6.22,"6,221,428",6.01,"735,161",7.16,"30,060",-9.14,"30,595",-3.59,"5,691",-8.58,"802,171",-4.42,"765,829",-1.31,"271,524",15.45
2012,"8,187,681",10.29,"7,925,965",7.12,"1,453,996",21.92,"265,000",-17.50,"250,250",-34.31,"195,000",8.18,"7,311,604",16.60,"7,023,162",12.89,"1,023,601",39.23,"24,198",-19.50,"25,617",-16.27,"4,274",-24.90,"586,879",-26.84,"626,936",-18.14,"231,121",-14.88
