期間,融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%)
1997,"276,966",70.94,"6,394,608",84.49,"273,138",74.55,"6,313,829",90.60,"16,993",29.08,"373,091",27.63,"36,513",132.58,"2,285,283",289.13,"36,152",129.92,"2,249,109",284.37,714,102.27,"51,191",240.89
1998,"275,094",-0.68,"6,804,171",6.40,"270,410",-1.00,"6,747,379",6.87,"21,677",27.56,"429,883",15.22,"44,867",22.88,"2,412,234",5.56,"44,830",24.00,"2,430,081",8.05,751,5.18,"33,344",-34.86
1999,"300,214",9.13,"7,068,920",3.89,"299,313",10.69,"7,030,792",4.20,"22,578",4.16,"468,011",8.87,"36,504",-18.64,"1,662,147",-31.10,"36,671",-18.20,"1,661,014",-31.65,584,-22.24,"34,477",3.40
2000,"261,663",-12.84,"6,601,661",-6.61,"270,673",-9.57,"6,862,346",-2.40,"13,568",-39.91,"207,326",-55.70,"31,555",-13.56,"1,748,238",5.18,"31,635",-13.73,"1,762,029",6.08,504,-13.70,"20,686",-40.00
2001,"225,595",-13.78,"4,077,346",-38.24,"224,218",-17.16,"4,064,979",-40.76,"14,945",10.15,"219,693",5.97,"35,511",12.54,"1,215,035",-30.50,"35,191",11.24,"1,206,720",-31.52,824,63.49,"29,001",40.20
2002,"289,620",28.38,"4,702,100",15.32,"286,240",27.66,"4,684,582",15.24,"18,325",22.62,"237,211",7.97,"46,510",30.97,"1,260,970",3.78,"45,819",30.20,"1,255,771",4.06,"1,515",83.86,"34,200",17.93
2003,"287,398",-0.77,"3,971,296",-15.54,"283,521",-0.95,"3,910,995",-16.51,"22,202",21.16,"297,512",25.42,"45,393",-2.40,"1,004,687",-20.32,"46,020",0.44,"1,015,654",-19.12,888,-41.39,"23,233",-32.07
2004,"309,011",7.52,"4,489,340",13.04,"307,548",8.47,"4,492,548",14.87,"23,665",6.59,"294,304",-1.08,"47,658",4.99,"1,066,262",6.13,"47,002",2.13,"1,051,586",3.54,"1,544",73.87,"37,909",63.17
2005,"202,135",-34.59,"3,279,330",-26.95,"205,360",-33.23,"3,303,877",-26.46,"20,440",-13.63,"269,757",-8.34,"32,223",-32.39,"915,483",-14.14,"32,685",-30.46,"916,451",-12.85,"1,082",-29.92,"36,941",-2.55
2006,"232,418",14.98,"4,459,659",35.99,"231,702",12.83,"4,384,156",32.70,"21,156",3.50,"345,260",27.99,"31,393",-2.58,"1,078,672",17.83,"31,245",-4.41,"1,079,321",17.77,"1,230",13.68,"36,292",-1.76
2007,"277,544",19.42,"6,364,717",42.72,"276,796",19.46,"6,296,851",43.63,"21,904",3.54,"413,126",19.66,"33,142",5.57,"1,294,017",19.96,"33,906",8.52,"1,307,407",21.13,466,-62.11,"22,902",-36.90
2008,"203,054",-26.84,"3,801,843",-40.27,"211,409",-23.62,"4,076,118",-35.27,"13,549",-38.14,"138,851",-66.39,"30,682",-7.42,"1,176,178",-9.11,"30,418",-10.29,"1,180,032",-9.74,730,56.65,"19,048",-16.83
2009,"316,488",55.86,"4,969,881",30.72,"311,418",47.31,"4,791,926",17.56,"18,619",37.42,"316,806",128.16,"48,690",58.69,"1,436,978",22.17,"48,444",59.26,"1,414,486",19.87,976,33.70,"41,540",118.08
2010,"232,726",-26.47,"4,533,220",-8.79,"230,791",-25.89,"4,462,129",-6.88,"20,554",10.39,"387,897",22.44,"32,003",-34.27,"1,311,789",-8.71,"32,204",-33.52,"1,319,259",-6.73,775,-20.59,"34,070",-17.98
2011,"155,714",-33.09,"3,469,363",-23.47,"161,670",-29.95,"3,625,502",-18.75,"14,598",-28.98,"231,758",-40.25,"27,985",-12.56,"1,339,387",2.10,"27,949",-13.21,"1,337,359",1.37,811,4.65,"36,098",5.95
2012,"121,185",-22.17,"2,560,245",-26.20,"122,411",-24.28,"2,579,788",-28.84,"13,372",-8.40,"212,215",-8.43,"22,736",-18.76,"1,081,226",-19.27,"22,594",-19.16,"1,079,622",-19.27,953,17.51,"37,702",4.44
2013,"126,741",4.58,"2,402,670",-6.15,"125,710",2.70,"2,373,996",-7.98,"14,403",7.71,"240,889",13.51,"21,400",-5.88,"890,020",-17.68,"21,597",-4.41,"892,051",-17.37,756,-20.67,"35,671",-5.39
