期間,上市股票--公司家數_原始值,上市股票--公司家數_年增率(%),上市股票--總面值_原始值,上市股票--總面值_年增率(%),上市股票--總市值_原始值,上市股票--總市值_年增率(%),上市股票--總成交值_原始值,上市股票--總成交值_年增率(%),上市股票--日平均成交值_原始值,上市股票--日平均成交值_年增率(%),加權平均股價指數_原始值,加權平均股價指數_年增率(%)
1997,404,5.76,"2,066,324",26.82,"9,696,113",28.79,"37,241,150",188.52,"130,214",190.54,"8,410.56",40.09
1998,437,8.17,"2,689,504",30.16,"8,392,607",-13.44,"29,618,970",-20.47,"109,295",-16.07,"7,737.68",-8.00
1999,462,5.72,"3,056,536",13.65,"11,803,524",40.64,"29,291,529",-1.11,"110,119",0.75,"7,426.69",-4.02
2000,531,14.94,"3,630,183",18.77,"8,191,474",-30.60,"30,526,566",4.22,"112,644",2.29,"7,847.21",5.66
2001,584,9.98,"4,063,998",11.95,"10,247,599",25.10,"18,354,936",-39.87,"75,225",-33.22,"4,907.43",-37.46
2002,638,9.25,"4,410,399",8.52,"9,094,936",-11.25,"21,873,951",19.17,"88,201",17.25,"5,225.61",6.48
2003,669,4.86,"4,705,514",6.69,"12,869,101",41.50,"20,333,237",-7.04,"81,660",-7.42,"5,161.90",-1.22
2004,697,4.19,"5,031,317",6.92,"13,989,100",8.70,"23,875,366",17.42,"95,501",16.95,"6,033.78",16.89
2005,691,-0.86,"5,389,951",7.13,"15,633,858",11.76,"18,818,902",-21.18,"76,190",-20.22,"6,092.27",0.97
2006,688,-0.43,"5,494,930",1.95,"19,376,975",23.94,"23,900,362",27.00,"96,372",26.49,"6,842.04",12.31
2007,698,1.45,"5,558,644",1.16,"21,527,298",11.10,"33,043,848",38.26,"133,781",38.82,"8,509.56",24.37
2008,718,2.87,"5,690,399",2.37,"11,706,527",-45.62,"26,115,408",-20.97,"104,881",-21.60,"7,024.06",-17.46
2009,741,3.20,"5,772,899",1.45,"21,033,640",79.67,"29,680,471",13.65,"118,249",12.75,"6,459.56",-8.04
2010,758,2.29,"5,811,281",0.66,"23,811,416",13.21,"28,218,676",-4.93,"112,425",-4.93,"7,949.63",23.07
2011,790,4.22,"6,026,767",3.71,"19,216,183",-19.30,"26,197,408",-7.16,"106,062",-5.66,"8,155.79",2.59
2012,809,2.41,"6,257,977",3.84,"21,352,161",11.12,"20,238,166",-22.75,"80,953",-23.67,"7,481.34",-8.27
2013,838,3.58,"6,488,000",3.68,"24,519,560",14.83,"18,940,933",-6.41,"76,996",-4.89,"8,092.77",8.17
