期間,隔夜_加權平均,隔夜_最高,隔夜_最低,1週_加權平均,1週_最高,1週_最低,2週_加權平均,2週_最高,2週_最低,3週_加權平均,3週_最高,3週_最低,1個月_加權平均,1個月_最高,1個月_最低,2-6個月_加權平均,2-6個月_最高,2-6個月_最低,7個月-1年_加權平均,7個月-1年_最高,7個月-1年_最低,合計_加權平均,合計_最高,合計_最低
1997,6.845,19.750,3.000,-,16.000,5.000,-,12.000,5.150,-,11.000,5.200,-,10.000,5.250,-,8.750,5.300,-,8.750,5.300,-,19.750,3.000
1998,6.556,13.000,3.500,-,10.500,4.500,-,11.000,4.650,-,10.250,4.800,-,10.250,4.600,-,8.500,5.100,-,8.500,5.100,-,13.000,3.500
1999,4.771,5.800,4.500,-,5.800,4.600,-,5.850,4.700,-,7.160,4.750,-,7.160,4.750,-,6.300,4.825,-,6.300,4.825,-,7.160,4.500
2000,4.732,6.050,4.600,-,6.250,4.650,-,6.000,4.800,-,5.900,4.975,-,5.950,4.900,-,6.000,4.900,-,6.000,4.900,-,6.250,4.600
2001,3.692,5.500,2.265,-,5.550,2.275,-,5.500,2.275,-,5.500,2.280,-,5.500,2.325,-,6.080,2.300,-,6.080,2.300,-,6.080,2.265
2002,2.046,2.400,1.400,-,5.050,1.425,-,5.275,1.400,-,5.050,1.440,-,5.275,1.400,-,4.500,-,-,4.500,-,-,5.275,1.400
2003,1.097,1.600,0.900,-,1.590,0.925,-,1.500,0.925,-,1.500,0.975,-,1.600,1.000,-,1.500,0.930,-,1.500,0.930,-,1.600,0.900
2004,1.061,1.250,1.050,-,1.210,1.050,-,1.210,1.050,-,1.185,1.075,-,1.180,1.050,-,1.300,1.125,-,1.300,1.125,-,1.300,1.050
2005,1.312,1.550,1.340,-,1.530,1.340,-,1.520,1.350,-,1.520,1.350,-,1.500,1.355,-,1.650,1.350,-,1.650,1.350,-,1.650,1.340
2006,1.552,1.710,1.390,-,1.730,1.400,-,1.730,1.400,-,1.700,1.410,-,1.735,1.410,-,1.810,1.400,-,1.810,1.400,-,1.810,1.390
2007,1.998,5.100,1.645,-,4.200,1.640,-,4.000,1.640,-,3.800,1.690,-,3.000,1.675,-,2.800,1.700,-,2.800,1.700,-,5.100,1.640
2008,2.014,2.180,0.400,-,2.180,0.400,-,2.180,0.400,-,2.120,0.450,-,2.120,1.680,-,2.310,0.960,-,2.310,0.960,-,2.310,0.400
2009,0.109,1.020,0.095,-,0.800,0.090,-,1.000,0.090,-,0.600,0.095,-,0.620,0.095,-,1.040,0.095,-,1.040,0.095,-,1.100,0.090
2010,0.185,0.480,0.090,-,0.550,0.094,-,0.495,0.095,-,0.400,0.095,-,0.470,0.095,-,0.730,0.110,-,0.730,0.110,-,0.730,0.090
2011,0.341,0.893,0.195,-,0.950,0.200,-,0.850,0.250,-,0.850,0.260,-,0.690,0.260,-,0.930,0.265,-,0.930,0.265,-,0.950,0.195
2012,0.428,0.850,0.295,-,0.880,0.360,-,0.870,0.380,-,0.780,0.388,-,0.870,0.388,-,0.930,0.370,-,0.930,0.370,-,0.930,0.295
2013,0.386,0.500,0.295,-,0.600,0.295,-,0.600,0.350,-,0.630,0.380,-,0.870,0.350,-,1.050,0.330,-,1.050,0.330,-,1.050,0.295
