期間,金融業拆款,商業本票--初級市場--1-30天,商業本票--初級市場--31-90天,商業本票--初級市場--91-180天,商業本票--次級市場--1-30天,商業本票--次級市場--31-90天,商業本票--次級市場--91-180天,可轉讓定期存單--次級市場--1-90天,可轉讓定期存單--次級市場--91-180天,銀行承兌匯票--次級市場--1-30天,銀行承兌匯票--次級市場--31-90天,銀行承兌匯票--次級市場--91-180天,國庫券--初級市場--1-91天,國庫券--初級市場--92-182天,國庫券--初級市場--183-364天,中央銀行定期存單--初級市場--1-30天,中央銀行定期存單--初級市場--31-91天,中央銀行定期存單--初級市場--92-182天,公債附條件交易利率--次級市場--1-30天,公債附條件交易利率--次級市場--31-90天,公債附條件交易利率--次級市場--91-180天
1997,6.845,7.05,7.00,6.92,6.85,6.83,6.84,6.83,6.81,6.81,6.77,6.83,6.88,6.89,-,6.14,6.08,-,-,-,-
1998,6.556,7.02,7.07,6.97,6.71,6.81,6.89,6.73,6.88,6.71,6.80,6.87,4.74,5.15,-,5.73,4.68,-,5.93,5.83,6.08
1999,4.771,5.44,5.40,5.44,4.74,4.88,5.12,4.81,4.97,4.75,4.84,4.95,4.83,4.93,4.94,4.65,4.80,4.94,4.08,4.12,4.26
2000,4.732,5.35,5.18,5.27,4.79,4.91,5.06,4.88,5.00,4.83,4.90,5.06,-,4.91,4.94,4.64,4.78,4.91,4.34,4.42,4.47
2001,3.692,4.05,4.05,4.05,3.64,3.69,3.78,3.69,3.76,3.71,3.73,3.92,-,3.90,2.42,3.24,2.94,3.81,3.19,3.30,3.37
2002,2.046,2.28,2.49,2.58,2.00,2.03,2.14,2.02,2.08,2.02,2.14,2.58,-,-,2.16,2.11,2.09,2.12,1.67,1.77,1.89
2003,1.097,1.28,1.39,1.59,1.00,1.05,1.16,1.05,1.10,1.00,1.06,1.19,-,1.06,1.05,1.15,1.31,1.18,0.82,0.92,1.05
2004,1.061,1.13,1.23,1.37,0.95,0.99,1.09,0.97,1.02,0.95,0.97,1.00,-,1.15,1.22,1.08,1.15,1.09,0.78,0.88,1.01
2005,1.312,1.33,1.43,1.56,1.25,1.27,1.36,1.26,1.30,1.23,1.23,1.28,1.35,1.29,1.54,1.29,1.34,1.44,1.12,1.21,1.25
2006,1.552,1.60,1.71,1.85,1.53,1.54,1.64,1.52,1.58,1.50,1.54,1.57,-,1.66,-,1.55,1.63,1.69,1.43,1.48,1.48
2007,1.998,2.12,2.18,2.13,1.89,1.90,1.96,1.85,1.91,1.85,1.85,1.83,-,-,2.05,1.91,1.95,1.94,1.76,1.81,1.74
2008,2.014,2.20,2.25,2.27,1.88,1.92,1.97,1.88,1.99,1.87,1.87,1.95,-,1.80,1.87,1.89,2.05,2.17,1.68,1.76,1.78
2009,0.109,0.58,0.68,0.71,0.21,0.24,0.29,0.24,0.36,0.22,0.21,0.19,0.25,0.16,0.26,0.58,0.62,0.72,0.16,0.21,0.29
2010,0.185,0.47,0.58,0.60,0.33,0.38,0.46,0.36,0.50,0.31,0.35,0.32,0.32,0.45,0.61,0.62,0.66,0.73,0.29,0.33,0.32
2011,0.341,0.79,0.85,0.97,0.66,0.70,0.81,0.67,0.73,0.62,0.64,0.52,0.57,0.76,0.83,0.82,0.88,0.99,0.60,0.59,0.54
2012,0.428,0.85,0.90,0.92,0.76,0.79,0.85,0.77,0.80,0.77,0.76,-,0.72,0.69,0.75,0.87,0.93,1.05,0.73,0.73,0.65
2013,0.386,0.78,0.81,0.77,0.67,0.69,0.73,0.67,0.70,0.67,0.70,0.70,0.38,0.52,0.55,0.87,0.93,1.05,0.64,0.66,0.59
