期間,政府公債--3年期,政府公債--5年期,政府公債--7年期,政府公債--10年期,政府公債--15年期,公司債--1年期,公司債--2年期,公司債--3年期,公司債--4年期,公司債--5年期,公司債--6年期,公司債--7年期,公司債--10年期,金融債券--2年期,金融債券--3年期,金融債券--5年期,央行單券--CDs1年期,央行單券--CDs2年期,央行單券--SB 1年期
1997M01,-,-,-,-,6.27,-,6.95,6.67,-,6.55,-,-,-,-,5.70,-,-,-,-
1997M02,-,-,-,-,-,-,-,6.75,6.90,6.79,-,6.65,-,5.50,5.60,-,-,-,-
1997M03,-,-,-,-,6.34,-,7.50,7.20,-,6.99,6.65,6.83,-,-,5.80,-,-,-,-
1997M04,-,-,-,-,-,-,7.80,6.94,-,6.81,-,-,-,-,5.89,-,-,-,-
1997M05,-,-,-,6.33,-,-,-,7.48,6.84,5.26,6.89,-,-,5.97,5.90,-,-,-,-
1997M06,-,-,-,-,-,-,-,7.17,-,6.57,-,-,-,5.80,6.09,6.15,-,-,-
1997M07,-,-,-,-,-,-,-,6.90,-,7.23,-,-,-,-,6.06,-,-,-,-
1997M08,-,-,-,-,-,-,-,6.80,-,6.53,6.64,6.64,-,-,-,-,-,-,-
1997M09,-,-,-,6.44,-,-,6.90,-,-,7.60,-,-,-,6.22,-,-,-,-,-
1997M10,-,-,-,-,-,-,-,7.97,-,-,-,-,-,6.25,6.40,-,-,-,-
1997M11,-,6.13,-,-,-,-,-,8.33,-,7.20,-,-,-,6.40,6.40,-,-,-,-
1997M12,-,-,-,-,6.98,-,-,7.26,-,7.97,-,-,-,5.83,-,-,-,-,-
1998M01,-,-,-,-,-,-,-,-,-,7.97,-,-,-,6.50,-,-,-,-,-
1998M02,-,-,-,-,6.89,-,-,7.70,-,-,-,-,-,6.75,-,-,-,-,-
1998M03,-,-,6.34,-,-,8.00,-,8.82,-,7.71,-,-,-,6.90,7.00,6.90,-,-,-
1998M04,-,-,-,-,-,-,-,8.18,-,-,-,-,-,6.90,-,6.90,-,-,-
1998M05,-,-,-,-,-,-,7.68,-,7.25,-,-,-,-,6.97,-,-,-,-,-
1998M06,-,-,6.70,-,-,-,-,7.91,7.80,7.44,7.48,7.62,-,6.90,7.10,-,-,-,-
1998M07,-,-,-,-,-,-,7.21,7.37,-,7.48,-,-,-,6.90,-,-,-,-,-
1998M08,-,-,-,-,-,-,-,7.28,-,-,-,7.00,-,6.86,-,-,-,-,-
1998M09,-,-,6.12,5.18,-,-,7.78,8.15,-,7.50,-,7.58,-,6.73,-,-,-,-,-
1998M10,-,-,-,-,-,-,7.48,7.34,-,7.41,-,-,-,6.37,6.35,-,-,-,-
1998M11,-,-,5.53,-,-,-,-,7.41,-,6.94,-,-,-,-,-,-,-,-,-
1998M12,-,-,-,-,-,-,-,6.88,6.43,7.14,-,-,-,5.90,-,-,-,-,-
1999M01,-,-,-,-,-,-,-,6.84,-,6.50,-,-,-,5.70,-,-,-,-,-
1999M02,-,-,-,-,-,-,-,5.37,-,-,-,5.37,-,5.60,-,-,5.70,-,-
1999M03,-,-,-,-,-,-,-,6.25,6.50,-,-,-,-,5.15,5.35,5.45,5.50,-,-
1999M04,-,-,-,-,-,-,-,-,-,-,-,-,-,5.10,-,-,-,-,-
1999M05,-,-,-,-,-,-,-,6.05,-,5.62,-,5.62,-,5.10,-,-,-,-,-
1999M06,-,-,-,-,-,-,-,5.86,5.89,6.04,-,6.07,-,4.73,-,-,-,-,-
1999M07,-,5.96,-,-,-,-,-,5.83,5.99,6.02,-,-,-,5.10,-,-,-,-,-
1999M08,-,-,-,6.28,-,-,-,-,-,6.02,-,-,-,5.10,-,-,-,-,-
1999M09,-,-,-,-,6.17,-,-,-,-,6.05,-,-,-,5.20,-,-,-,-,-
1999M10,-,-,-,-,6.24,-,-,5.67,-,5.84,-,-,6.22,5.15,-,-,-,-,-
1999M11,-,-,-,5.93,-,-,-,5.66,-,5.92,-,-,-,5.15,-,-,-,-,-
1999M12,-,-,-,6.01,-,-,-,5.62,-,5.63,-,-,-,5.15,-,-,-,-,-
2000M01,-,-,-,-,-,-,-,5.46,5.64,5.69,-,5.62,-,5.15,-,-,-,-,-
2000M02,-,-,5.65,-,-,-,-,5.64,-,5.76,-,-,-,5.15,-,-,5.35,-,-
2000M03,-,-,-,-,6.15,-,-,-,-,-,-,-,-,5.28,5.28,5.65,5.15,5.39,-
2000M04,-,-,-,-,-,-,-,5.68,-,5.60,-,-,6.05,5.35,-,-,5.21,-,-
2000M05,-,-,-,-,-,-,-,5.45,-,5.66,-,-,-,5.20,-,-,5.21,5.42,-
2000M06,-,-,-,5.77,-,-,-,5.41,5.35,5.62,-,5.70,6.05,5.15,-,-,5.21,-,-
2000M07,-,-,-,-,-,-,-,5.34,5.55,5.90,6.24,-,-,5.15,-,-,5.19,5.38,-
2000M08,-,-,5.20,-,5.19,-,-,-,-,5.25,-,-,-,5.18,-,-,5.08,5.31,-
2000M09,-,5.18,5.35,-,-,-,-,5.30,-,-,-,-,-,5.15,-,-,5.05,5.27,-
2000M10,-,-,-,-,-,-,-,5.57,-,5.27,-,-,-,5.07,-,-,5.07,5.21,-
2000M11,-,-,-,-,-,-,-,5.65,-,5.19,-,-,-,5.05,5.15,-,5.12,5.25,-
2000M12,-,-,-,5.19,-,-,-,5.65,-,5.28,-,5.33,-,5.14,5.21,5.32,5.17,5.24,-
2001M01,-,-,-,5.23,-,-,-,5.46,-,5.25,-,-,-,5.03,-,5.33,5.12,-,-
2001M02,-,-,-,-,-,-,-,-,-,5.31,-,5.19,-,5.05,4.91,5.05,4.81,4.97,-
2001M03,-,-,-,-,4.71,-,-,5.30,-,-,-,-,-,4.90,4.90,5.10,4.54,4.79,-
2001M04,-,-,-,-,-,-,-,-,-,5.19,-,5.29,-,4.47,4.35,-,4.15,4.22,-
2001M05,-,-,-,4.62,-,-,-,-,-,4.34,-,-,4.71,4.35,4.12,4.18,3.83,3.94,-
2001M06,-,-,-,-,-,-,-,3.90,-,4.36,-,-,4.44,4.20,-,3.92,3.83,3.92,-
2001M07,-,-,-,3.70,-,-,-,3.75,-,4.14,-,4.00,4.54,4.10,3.93,-,3.54,3.57,-
2001M08,-,-,-,-,3.77,-,-,3.60,-,4.15,-,-,-,3.95,4.03,4.08,3.43,3.52,-
2001M09,-,-,-,-,-,-,-,-,-,3.69,-,-,-,3.75,-,3.99,2.98,3.09,-
2001M10,-,-,-,-,3.61,-,-,3.42,-,3.54,-,-,-,3.00,2.75,-,2.50,2.65,-
2001M11,-,-,-,-,-,-,-,-,-,3.09,-,2.24,3.35,2.70,2.46,3.00,2.17,2.31,-
2001M12,-,-,-,-,-,-,-,2.69,-,3.27,-,2.88,3.35,2.45,-,3.02,2.39,2.53,-
2002M01,-,3.04,-,-,-,-,2.55,2.70,-,2.75,-,2.74,2.99,2.32,2.70,2.72,2.53,2.74,-
2002M02,-,-,-,-,-,-,-,2.78,-,3.36,-,-,-,2.62,2.54,2.90,2.55,2.78,-
2002M03,-,-,3.39,3.72,-,-,-,-,-,3.01,-,-,-,2.63,-,3.18,2.47,2.70,-
2002M04,-,-,-,-,-,-,3.20,2.69,-,3.30,-,3.20,-,2.72,3.16,3.92,2.54,2.80,-
2002M05,-,-,-,-,-,-,-,2.77,-,3.35,-,3.20,-,2.42,3.20,4.08,2.53,2.75,-
2002M06,-,-,-,-,-,-,-,3.68,3.82,4.18,-,-,-,2.42,-,5.05,2.18,2.44,-
2002M07,-,2.72,-,-,-,-,-,3.35,-,3.85,-,-,4.25,2.42,4.11,4.64,2.03,2.26,-
2002M08,-,-,-,-,-,-,-,2.67,-,3.52,-,3.05,-,-,-,3.63,2.02,2.14,-
2002M09,-,-,-,3.29,-,-,-,3.17,-,2.66,-,-,3.67,-,-,3.00,2.08,2.19,-
2002M10,-,2.51,-,-,-,-,-,2.49,-,2.79,-,-,-,3.30,2.85,3.57,2.07,2.14,-
2002M11,-,-,-,-,-,-,-,2.36,-,2.90,-,-,-,3.30,-,3.72,1.93,1.95,-
2002M12,-,-,-,2.55,-,-,-,2.18,-,2.70,-,3.46,3.00,-,-,3.68,1.63,1.68,-
2003M01,-,1.65,-,-,-,-,-,-,-,2.43,-,3.94,-,-,-,2.27,1.59,1.64,-
2003M02,-,-,-,-,-,-,-,-,-,2.26,-,-,-,-,-,2.25,1.38,1.46,-
2003M03,-,-,-,1.89,-,-,-,-,-,2.67,-,-,-,-,-,2.23,1.38,1.46,-
2003M04,-,1.50,-,-,-,-,-,-,-,1.77,1.90,2.63,1.90,-,-,-,1.38,1.46,-
2003M05,-,-,-,-,-,-,-,1.45,1.60,1.57,-,1.75,1.90,-,-,-,1.38,1.46,-
2003M06,-,-,-,1.41,-,-,-,1.90,-,1.55,-,1.78,2.50,-,-,2.50,1.38,-,-
2003M07,-,1.52,-,-,-,-,-,-,-,1.51,-,1.90,2.50,-,-,1.42,1.20,1.28,-
2003M08,-,-,-,-,-,-,-,-,-,1.50,-,1.90,-,-,-,-,1.23,1.30,-
2003M09,-,-,-,2.76,-,-,-,1.49,-,2.01,-,-,-,-,-,2.43,1.23,1.30,-
2003M10,-,2.04,-,-,-,-,-,-,-,3.08,-,2.65,-,1.65,1.90,2.88,1.23,1.30,-
2003M11,-,-,-,-,-,-,-,-,-,1.98,-,-,-,1.65,1.90,3.19,1.23,-,-
2003M12,-,-,-,2.93,-,-,-,1.83,1.91,2.28,-,3.08,-,-,-,3.09,1.23,-,-
