期間,經常帳,A. 商品,貸方,一般商品：出口 f.o.b,加工處理的商品：出口 f.o.b.,修理的商品,港口商品,非貨幣性黃金,借方,一般商品：進口 f.o.b.,加工處理的商品：進口 f.o.b.,修理的商品,港口商品,非貨幣性黃金,B. 服務,貸方總計,借方總計,"運輸, 貸方",客運,貨運,其他,"海運, 客運","海運, 貨運","海運, 其他","空運, 客運","空運, 貨運","空運, 其他","其他運輸, 客運","其他運輸, 貨運","其他運輸, 其他","運輸, 借方",客運,貨運,其他,"海運, 客運","海運, 貨運","海運, 其他","空運, 客運","空運, 貨運","空運, 其他","其他運輸, 客運","其他運輸, 貨運","其他運輸, 其他","旅行, 貸方",商務,個人,"旅行, 借方",商務,個人,"其他服務, 貸方",通訊,營建,保險,金融,電腦與資訊,專利權、商標等使用費,其他事務服務,個人、文化與休閒服務,不包括在其他項目的政府服務,"其他服務, 借方",通訊,營建,保險,金融,電腦與資訊,專利權、商標等使用費,其他事務服務,個人、文化與休閒服務,不包括在其他項目的政府服務,C. 所得,貸方總計,借方總計,"薪資, 貸方","薪資, 借方","投資所得, 貸方",直接投資,股利及已分配分支機構利潤,盈餘轉增資及未分配分支機構利潤,債權所得(利息),證券投資,股權所得(股利,債券與票券,貨幣市場工具,其他投資,"投資所得, 借方",直接投資,股利及已分配分支機構利潤,盈餘轉增資及未分配分支機構利潤.,債權所得(利息),證券投資,股權所得(股利),債券與票券.,貨幣市場工具,其他投資,D. 經常移轉,貸方,政府,其他部門,工作者的匯款,其他移轉,借方,政府,其他部門,工作者的匯款,其他移轉,資本帳與金融帳,資本帳,貸方總計,借方總計,"資本移轉, 貸方",政府,債務的免除,其他,其他部門,移民移轉,債務的免除,其他,"資本移轉, 借方",政府,債務的免除,其他,其他部門,移民移轉,債務的免除,其他,"非生產性、非金融性資產的取得與處理, 貸方","非生產性、非金融性資產的取得與處理, 借方",金融帳,A.直接投資,對外直接投資,股本投資,再投資收益,其他資本,來台直接投資,股本投資,再投資收益,其他資本,B.證券投資,資產,股權證券,貨幣當局,政府,銀行,其他部門,債權證券,債券與票券,貨幣當局,政府,銀行,其他部門,貨幣市場工具,貨幣當局,政府,銀行,其他部門,負債,股權證券,銀行,其他部門,債權證券,債券與票券,貨幣當局,政府,銀行,其他部門,貨幣市場工具,貨幣當局,政府,銀行,其他部門,C.衍生性金融商品,貨幣當局,政府,銀行,其他部門,資產,貨幣當局,政府,銀行,其他部門,負債,貨幣當局,政府,銀行,其他部門,D.其他投資,資產,貿易信用,政府：長期,政府：短期,其他部門：長期,其他部門：短期,貸款,貨幣當局：長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,現金與存款,貨幣當局,政府,銀行,其他部門,其他資產…,貨幣當局：長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,負債,貿易信用,政府：長期,政府：短期,其他部門：長期,其他部門：短期,借款,基金信用的使用及自基金的借款,貨幣當局：其他長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,現金與存款,貨幣當局,政府,銀行,其他部門,其他負債,貨幣當局：長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,E.準備資產,貨幣用黃金,特別提款權,在基金的準備部位,外匯,其他債權,誤差與遺漏淨額
1984,"6,980","9,263","30,551","30,344",...,3,204,-,"-21,288","-21,108",...,-,-180,-,"-2,855","2,472","-5,327",640,192,329,119,...,263,95,192,66,24,...,...,...,"-1,822",-288,-992,-542,...,-884,-427,-288,-108,-115,...,...,...,"1,067",150,917,"-2,012",-773,"-1,239",765,45,15,44,...,...,2,634,...,25,"-1,493",-17,-16,-136,-21,-14,-121,-686,-52,-430,757,"1,881","-1,124",107,-18,"1,774",19,...,...,...,...,...,...,...,"1,755","-1,106",-218,...,...,...,-,...,...,...,-888,-185,115,...,115,...,115,-300,-16,-284,...,-284,"-6,585",-4,...,-4,...,...,...,...,...,...,...,...,-4,...,...,...,-4,-4,...,...,...,...,"-6,581",127,-72,-68,-4,-,199,122,87,-10,-50,-,-,...,-,...,...,-,...,...,-,...,...,...,...,-,...,...,-50,40,...,...,-90,...,...,...,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,"-2,682","-1,879",-75,-,-,-12,-63,-7,...,...,-7,...,...,...,...,...,-83,...,-,...,-83,"-1,714",...,...,-2,...,...,"-1,723",-,11,-803,40,-,-,-,40,"-1,185",-,...,...,-111,...,-276,...,-798,-,1,...,1,...,...,341,...,...,-,-,...,341,-,-,"-3,976",-3,-,-,"-3,973",...,-395
1985,"9,206","11,153","30,797","30,602",...,4,191,-,"-19,644","-19,353",...,-,-218,-73,"-2,874","2,559","-5,433",883,194,574,115,...,501,91,194,73,24,...,...,...,"-1,737",-278,-905,-554,...,-817,-413,-278,-88,-141,...,...,...,962,151,811,"-1,999",-573,"-1,426",714,46,12,41,...,...,2,592,...,21,"-1,697",-17,-5,-138,-13,-15,-150,-773,-53,-533,"1,184","2,207","-1,023",92,-23,"2,115",17,...,...,...,...,...,...,...,"2,098","-1,000",-213,...,...,...,-,...,...,...,-787,-257,121,...,121,...,121,-378,-18,-360,...,-360,"-9,700",-4,...,-4,...,...,...,...,...,...,...,...,-4,...,...,...,-4,-4,...,...,...,...,"-9,696",263,-79,-79,-,-,342,254,68,20,-46,-,-,...,-,...,...,-,...,...,-,...,...,...,...,-,...,...,-46,-1,...,...,-45,...,...,...,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,"-3,388","-2,709",-93,-,-,3,-96,-8,...,...,-8,...,...,...,...,...,4,...,-,...,4,"-2,612",...,...,-2,...,...,"-2,623",-,13,-679,353,-,-,-,353,"-1,230",-,...,...,-132,...,-198,...,-900,-,1,...,1,...,...,197,...,...,-,-,...,197,-,-,"-6,525",1,-,-,"-6,526",...,494
1986,"16,287","16,910","39,854","39,636",...,7,211,-,"-22,944","-22,682",...,-,-228,-34,"-2,342","3,594","-5,936","1,113",240,726,147,...,615,119,240,111,28,...,...,...,"-2,082",-228,"-1,248",-606,...,"-1,087",-487,-228,-161,-119,...,...,...,"1,332",233,"1,099","-1,840",-539,"-1,301","1,149",57,17,39,...,...,4,998,...,34,"-2,014",-25,-1,-169,-,-15,-172,-939,-54,-639,"2,034","2,950",-916,75,-24,"2,875",31,...,...,...,3,...,...,...,"2,841",-892,-185,...,...,...,-,...,...,...,-707,-315,197,...,197,...,197,-512,-13,-499,...,-499,"-16,383",-3,...,-3,...,...,...,...,...,...,...,...,-3,...,...,...,-3,-3,...,...,...,...,"-16,380",261,-65,-57,-8,-,326,272,54,-,71,-4,-,...,-,...,...,-4,...,...,-,...,...,...,...,-,...,...,75,75,...,...,-,...,...,...,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,"6,610","2,436",-23,-,-,11,-34,-,...,...,-,...,...,...,...,...,-142,...,-,...,-142,"2,601",...,...,-2,...,...,"1,716",-,887,"4,174",711,-,-,-,711,"-1,921",-,...,...,-53,...,-168,...,"-1,700",-,1,...,1,...,...,"5,383",...,...,-,-,...,"5,383",-,-,"-23,322",-,-,-,"-23,322",...,96
1987,"18,003","20,160","53,575","53,390",...,5,180,-,"-33,415","-32,972",...,-,-312,-131,"-3,750","4,192","-7,942","1,596",297,"1,108",191,...,957,156,297,151,35,...,...,...,"-2,601",-319,"-1,486",-796,...,"-1,269",-672,-319,-217,-124,...,...,...,"1,620",325,"1,295","-2,640",-724,"-1,916",976,84,12,69,...,...,34,727,...,50,"-2,701",-21,-,-139,-,-21,-274,"-1,486",-76,-684,"2,311","3,826","-1,515",67,-37,"3,759",20,...,...,...,...,...,...,...,"3,739","-1,478",-377,...,...,...,-1,...,-1,...,"-1,100",-718,470,...,470,...,470,"-1,188",-16,"-1,172",...,"-1,172","-17,700",-2,...,-2,...,...,...,...,...,...,...,...,-2,...,...,...,-2,-2,...,...,...,...,"-17,698",10,-705,-705,-,-,715,620,151,-56,-372,-363,-361,...,-,...,...,-2,...,...,-,...,...,...,...,-,...,...,-9,-9,...,...,-,...,...,...,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,"10,757","1,127",5,-,-,24,-19,-8,...,...,-8,...,...,...,...,...,-266,...,-,...,-266,"1,396",...,...,-2,...,...,992,-390,796,"9,630","2,956",-,-,-78,"3,034","-1,773",-,...,...,-45,...,-198,...,"-1,530",-,1,...,1,...,...,"8,446",...,...,-,-,...,"7,977",-,469,"-28,093",-,-,-,"-28,093",...,-303
1988,"10,200","13,690","60,664","60,475",...,9,180,-,"-46,974","-43,735",...,-,-333,"-2,906","-4,974","5,757","-10,731","2,111",290,"1,589",232,...,"1,436",190,290,153,42,...,...,...,"-3,121",-420,"-1,817",-884,...,"-1,540",-730,-420,-277,-154,...,...,...,"2,289",478,"1,811","-4,030",-887,"-3,143","1,357",65,15,77,...,...,65,"1,075",...,60,"-3,580",-25,-,-175,-,-20,-381,"-2,254",-71,-654,"3,406","5,316","-1,910",56,-50,"5,260",21,...,...,...,...,...,...,...,"5,239","-1,860",-597,...,...,...,-,...,...,...,"-1,263","-1,922",939,...,939,...,939,"-2,861",-20,"-2,841",...,"-2,841","-10,000",-19,...,-19,...,...,...,...,...,...,...,...,-19,...,...,...,-19,-19,...,...,...,...,"-9,981","-3,160","-4,121","-4,120",-1,-,961,761,224,-24,"-1,712","-1,171",-880,...,-,...,...,-291,...,...,-,...,...,...,...,-,...,...,-541,-537,...,...,-4,...,...,...,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,"-6,501","-4,932",-84,-,-,14,-98,-5,...,...,-5,...,...,...,...,...,-855,...,-,...,-855,"-3,988",...,...,-,...,...,"-2,220","-1,107",-661,"-1,569","-1,604",-,-,-45,"-1,559","-1,145",-,...,...,-39,...,49,...,-269,-886,-,...,-,...,...,"1,180",...,...,-,-,...,"-1,480",-,"2,660","1,392",-,-,-,"1,392",...,-200
1989,"11,416","16,115","66,338","66,055",...,7,276,-,"-50,223","-47,908",...,-,-371,"-1,944","-6,408","7,147","-13,555","2,227",286,"1,705",236,...,"1,426",201,286,279,35,...,...,...,"-3,782",-561,"-2,200","-1,021",...,"-1,877",-786,-561,-323,-235,...,...,...,"2,699",552,"2,147","-4,922","-1,082","-3,840","2,221",200,11,140,...,...,85,"1,701",...,84,"-4,851",-132,-,-199,-676,-21,-476,"-2,528",-72,-747,"3,816","6,653","-2,837",55,-62,"6,598",94,...,...,...,...,...,...,...,"6,504","-2,775",-990,...,...,...,-,...,...,...,"-1,785","-2,107","1,617",...,"1,617",...,"1,617","-3,724",-21,"-3,703",...,"-3,703","-11,382",-31,...,-31,...,...,...,...,...,...,...,...,-31,...,...,...,-31,-31,...,...,...,...,"-11,351","-5,347","-6,951","-6,923",-,-28,"1,604","1,119",496,-11,-902,-967,-387,...,-,...,...,-580,...,...,-,...,...,...,...,-,...,...,65,-31,...,...,96,...,...,...,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,"-5,882","-7,264",-89,-,-,-17,-72,-,...,...,-,...,...,...,...,...,"-1,108",...,-,...,"-1,108","-6,067",...,...,-,...,...,"-2,474","-1,127","-2,466","1,382",-539,-,-,-89,-450,"-1,371",-,...,...,-32,...,151,...,-399,"-1,091",-,...,-,...,...,"3,292",...,...,-,-,...,"-1,078",-,"4,370",780,-,-,-,780,...,-34
1990,"10,923","14,807","67,444","67,103",...,11,330,-,"-52,637","-50,888",...,-,-462,"-1,287","-7,650","7,008","-14,658","2,323",264,"1,799",260,...,"1,562",200,264,237,60,...,...,...,"-3,753",-631,"-1,954","-1,168",...,"-1,245",-928,-631,-709,-240,...,...,...,"1,741",360,"1,381","-4,984","-1,097","-3,887","2,944",315,31,146,...,...,121,"2,260",...,71,"-5,921",-264,-,-210,-465,-22,-582,"-3,567",-76,-735,"4,362","6,917","-2,555",39,-65,"6,878",93,...,...,...,...,...,...,...,"6,785","-2,490",-841,...,...,...,-36,...,-36,...,"-1,613",-596,"1,644",...,"1,644",...,"1,644","-2,240",-22,"-2,218",...,"-2,218","-11,388",-156,...,-156,...,...,...,...,...,...,...,...,-156,...,...,...,-156,-156,...,...,...,...,"-11,232","-3,913","-5,243","-5,149",-,-94,"1,330","1,007",318,5,"-1,006",-937,-557,...,-,...,...,-380,...,...,-,...,...,...,...,-,...,...,-69,-65,...,...,-4,...,...,...,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,"-10,231","-15,564",-331,-,-,-16,-315,-2,...,...,-2,...,...,...,...,...,"-2,625",...,-,...,"-2,625","-12,606",...,...,-,...,...,"-5,235","-1,924","-5,447","5,333",-496,-,-,5,-501,"-1,270",-,...,...,4,...,181,...,70,"-1,525",-,...,-,...,...,"7,099",...,...,-,-,...,836,-,"6,263","3,918",-,-,-,"3,918",...,465
1991,"12,468","15,683","76,581","76,201",...,20,360,-,"-60,898","-59,167",...,-,-451,"-1,280","-8,431","8,472","-16,903","2,630",241,"2,106",283,...,"1,879",214,241,227,69,...,...,...,"-4,046",-827,"-2,067","-1,152",...,"-1,743",-985,-827,-324,-167,...,...,...,"2,017",474,"1,543","-5,678","-1,257","-4,421","3,825",377,92,218,...,...,219,"2,836",...,83,"-7,179",-342,-348,-365,-121,-25,-894,"-4,118",-86,-880,"5,055","7,429","-2,374",129,-92,"7,300",100,...,...,...,...,...,...,...,"7,200","-2,282",-805,...,...,...,-,...,...,...,"-1,477",161,"1,802",...,"1,802",...,"1,802","-1,641",-52,"-1,589",...,"-1,589","-12,330",-443,...,-443,...,...,...,...,...,...,...,...,-443,...,...,...,-443,-443,...,...,...,...,"-11,887",-784,"-2,055","-1,854",-,-201,"1,271",956,286,29,45,-741,-513,...,-,...,...,-228,...,...,-,...,...,...,...,-,...,...,786,548,...,...,238,...,...,...,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,"-1,489","-4,615",-326,-,-,-6,-320,244,...,...,-30,...,...,...,...,274,"-1,928",...,-,...,"-1,928","-2,605",...,...,-,...,...,895,"-2,181","-1,319","3,126","1,558",-,-,-72,"1,630","-1,142",-,...,...,-39,...,48,...,-135,"-1,016",-,...,-,...,...,"2,710",...,...,-,-,...,"1,789",52,869,"-9,659",-,-,-,"-9,659",...,-138
1992,"8,550","12,718","82,133","81,721",...,13,399,-,"-69,415","-66,967",...,-,-461,"-1,987","-9,128","10,218","-19,346","2,728",245,"2,168",315,...,"1,895",236,245,273,79,...,...,...,"-4,611","-1,043","-2,398","-1,170",...,"-1,588",-906,"-1,043",-810,-264,...,...,...,"2,449",650,"1,799","-7,279","-1,871","-5,408","5,041",426,87,284,...,...,322,"3,844",...,78,"-7,456",-379,-311,-427,-517,-37,"-1,016","-3,887",-125,-757,"4,799","7,467","-2,668",140,-119,"7,327",153,...,...,...,...,...,...,...,"7,174","-2,549",-948,...,...,...,-,...,...,...,"-1,601",161,"2,200",...,"2,200",...,"2,200","-2,039",-64,"-1,975",...,"-1,975","-8,670",-393,...,-393,...,...,...,...,...,...,...,...,-393,...,...,...,-393,-393,...,...,...,...,"-8,277","-1,088","-1,967","-1,863",-6,-98,879,456,364,59,412,-737,-774,...,-,...,...,37,...,...,-,...,...,...,...,-,...,...,"1,149",815,...,...,334,...,...,...,...,...,...,...,-,...,...,32,...,-,...,32,38,...,-,...,38,-6,...,-,...,-6,"-6,266","-7,059","-2,649",-,-,-91,"-2,558",291,...,...,-33,...,...,...,...,324,"-2,096",...,-,...,"-2,096","-2,605",...,...,-,...,...,"1,808","-3,081","-1,332",793,"1,583",-,-,57,"1,526","-1,181",-,...,...,-20,...,268,...,-287,"-1,142",-,...,-,...,...,391,...,...,-,-,...,-378,47,722,"-1,367",-,-,-,"-1,367",...,120
1993,"7,042","11,450","85,973","85,524",...,19,430,-,"-74,523","-72,465",...,-,-586,"-1,472","-7,896","13,314","-21,210","3,146",477,"2,335",334,...,"1,416",259,477,919,75,...,...,...,"-5,267","-1,018","-2,811","-1,438",...,"-2,500","-1,166","-1,018",-311,-272,...,...,...,"2,942",833,"2,109","-7,585","-2,167","-5,418","7,226",457,123,403,...,...,332,"5,826",...,85,"-8,358",-419,-339,-542,-,-42,-860,"-5,272",-143,-741,"4,322","6,802","-2,480",128,-142,"6,674",225,...,...,...,...,...,...,...,"6,449","-2,338",-928,...,...,...,-,...,...,...,"-1,410",-834,"1,831",...,"1,831",...,"1,831","-2,665",-53,"-2,612",-154,"-2,458","-6,498",-328,...,-328,...,...,...,...,...,...,...,...,-328,...,...,...,-328,-328,...,...,...,...,"-6,170","-1,694","-2,611","-2,386",-65,-160,917,553,283,81,"1,077","-1,322","-1,069",...,-,...,...,-253,...,...,-,...,...,...,...,-,...,...,"2,399","2,181",...,...,218,...,...,...,...,...,...,...,-,...,...,-10,...,-,...,-10,-,...,-,...,-,-10,...,-,...,-10,"-4,002","-7,248","-1,936",-,-,52,"-1,988",640,...,...,-1,...,...,...,...,641,-516,...,-,...,-516,"-5,436",...,...,-,...,...,"-1,109","-2,560","-1,767","3,246","2,628",-,-,-57,"2,685","-1,278",-,...,...,-23,...,-33,...,-30,"-1,192",-,...,-,...,...,"1,896",...,...,-,-,...,"1,342",38,516,"-1,541",-,-,-,"-1,541",...,-544
