期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
2004Q2,0,...,"25,390",...,811,...,0,...,0,...,0,...,0,...,0,...,"26,201",...
2004Q3,0,...,"46,568",...,816,...,441,...,0,...,0,...,0,...,0,...,"47,825",...
2004Q4,0,...,"41,480",...,769,...,794,...,0,...,0,...,0,...,0,...,"43,043",...
2005Q1,0,...,"42,926",...,797,...,0,...,0,...,0,...,0,...,0,...,"43,723",...
2005Q2,0,--,"52,593",107.14,153,-81.13,95,--,0,--,0,--,0,--,0,--,"52,841",101.68
2005Q3,0,--,"63,980",37.39,367,-55.02,313,-29.02,0,--,0,--,0,--,0,--,"64,660",35.20
2005Q4,0,--,"83,069",100.26,0,-100.00,0,-100.00,0,--,0,--,0,--,0,--,"83,069",92.99
2006Q1,0,--,"96,893",125.72,0,-100.00,0,--,0,--,0,--,0,--,0,--,"96,893",121.61
2006Q2,0,--,"91,668",74.30,0,-100.00,0,-100.00,0,--,0,--,0,--,0,--,"91,668",73.48
2006Q3,0,--,"108,650",69.82,0,-100.00,0,-100.00,0,--,0,--,0,--,0,--,"108,650",68.03
2006Q4,0,--,"130,411",56.99,0,--,0,--,0,--,0,--,0,--,0,--,"130,411",56.99
2007Q1,0,--,"134,212",38.52,"8,700",--,0,--,0,--,0,--,0,--,0,--,"142,912",47.49
2007Q2,0,--,"160,142",74.70,"8,700",--,0,--,0,--,0,--,0,--,0,--,"168,842",84.19
2007Q3,0,--,"174,356",60.47,"6,800",--,0,--,0,--,0,--,0,--,0,--,"181,156",66.73
2007Q4,0,--,"177,669",36.24,"5,200",--,0,--,0,--,0,--,0,--,0,--,"182,869",40.23
2008Q1,0,--,"183,185",36.49,"5,200",-40.23,0,--,0,--,0,--,0,--,0,--,"188,385",31.82
2008Q2,0,--,"199,545",24.61,"5,200",-40.23,0,--,0,--,0,--,0,--,0,--,"204,745",21.26
2008Q3,0,--,"199,878",14.64,"3,900",-42.65,0,--,0,--,0,--,0,--,0,--,"203,778",12.49
2008Q4,0,--,"157,607",-11.29,"3,900",-25.00,0,--,0,--,0,--,0,--,0,--,"161,507",-11.68
2009Q1,0,--,"154,496",-15.66,"3,900",-25.00,0,--,0,--,0,--,0,--,0,--,"158,396",-15.92
2009Q2,0,--,"137,580",-31.05,"2,900",-44.23,0,--,0,--,0,--,0,--,0,--,"140,480",-31.39
2009Q3,0,--,"134,218",-32.85,"3,314",-15.03,0,--,0,--,0,--,0,--,0,--,"137,532",-32.51
2009Q4,0,--,"125,837",-20.16,"2,900",-25.64,0,--,0,--,0,--,0,--,0,--,"128,737",-20.29
2010Q1,0,--,"121,107",-21.61,"2,400",-38.46,0,--,0,--,0,--,0,--,0,--,"123,507",-22.03
2010Q2,0,--,"97,247",-29.32,"2,400",-17.24,0,--,0,--,0,--,0,--,0,--,"99,647",-29.07
2010Q3,0,--,"82,613",-38.45,"2,400",-27.58,0,--,0,--,0,--,0,--,0,--,"85,013",-38.19
2010Q4,0,--,"74,234",-41.01,"2,400",-17.24,0,--,0,--,0,--,0,--,0,--,"76,634",-40.47
2011Q1,0,--,"75,321",-37.81,"1,500",-37.50,0,--,0,--,0,--,0,--,0,--,"76,821",-37.80
2011Q2,0,--,"66,049",-32.08,"1,500",-37.50,0,--,0,--,0,--,0,--,0,--,"67,549",-32.21
2011Q3,0,--,"97,669",18.22,"1,500",-37.50,0,--,0,--,0,--,0,--,0,--,"99,169",16.65
2011Q4,0,--,"86,331",16.30,"1,500",-37.50,0,--,0,--,0,--,0,--,0,--,"87,831",14.61
2012Q1,0,--,"75,558",0.31,"1,500",0.00,0,--,0,--,0,--,0,--,0,--,"77,058",0.31
2012Q2,0,--,"89,566",35.61,"1,500",0.00,0,--,0,--,0,--,0,--,0,--,"91,066",34.81
2012Q3,0,--,"80,888",-17.18,"1,500",0.00,0,--,0,--,0,--,0,--,0,--,"82,388",-16.92
2012Q4,0,--,"60,715",-29.67,"1,500",0.00,0,--,0,--,0,--,0,--,0,--,"62,215",-29.17
2013Q1,0,--,"63,219",-16.33,300,-80.00,0,--,0,--,0,--,0,--,0,--,"63,519",-17.57
2013Q2,0,--,"56,629",-36.77,300,-80.00,0,--,0,--,0,--,0,--,0,--,"56,929",-37.49
2013Q3,0,--,"54,967",-32.05,0,-100.00,0,--,0,--,0,--,0,--,0,--,"54,967",-33.28
2013Q4,0,--,"49,792",-17.99,0,-100.00,0,--,0,--,0,--,0,--,0,--,"49,792",-19.97
2014Q1,0,--,"46,680",-26.16,0,-100.00,0,--,0,--,0,--,0,--,0,--,"46,680",-26.51
2014Q2,0,--,"43,501",-23.18,0,-100.00,0,--,0,--,0,--,0,--,0,--,"43,501",-23.59
