期間,收受部門-中央銀行_原始值,收受部門-中央銀行_年增率(%),收受部門-其他貨幣機構_原始值,收受部門-其他貨幣機構_年增率(%),收受部門-其他金融機構_原始值,收受部門-其他金融機構_年增率(%),存款部門-政府_原始值,存款部門-政府_年增率(%)
2000,"141,164",...,"797,461",...,112,...,"938,737",...
2001,"113,616",-19.51,"835,759",4.80,25,-77.68,"949,400",1.14
2002,"140,071",23.28,"749,995",-10.26,89,256.00,"890,155",-6.24
2003,"156,452",11.69,"773,141",3.09,104,16.85,"929,697",4.44
2004,"177,637",13.54,"747,546",-3.31,101,-2.88,"925,284",-0.47
2005,"202,802",14.17,"729,099",-2.47,-,--,"931,901",0.72
2006,"185,475",-8.54,"716,493",-1.73,-,--,"901,968",-3.21
2007,"186,123",0.35,"745,921",4.11,-,--,"932,044",3.33
2008,"153,431",-17.56,"794,798",6.55,-,--,"948,229",1.74
2009,"233,702",52.32,"771,907",-2.88,-,--,"1,005,609",6.05
2010,"213,289",-8.73,"834,484",8.11,-,--,"1,047,773",4.19
2011,"181,662",-14.83,"775,939",-7.02,-,--,"957,601",-8.61
2012,"167,323",-7.89,"761,896",-1.81,-,--,"929,219",-2.96
