期間,存款-收受部門-其他貨幣機構_原始值,存款-收受部門-其他貨幣機構_年增率(%),存款-收受部門-其他金融機構_原始值,存款-收受部門-其他金融機構_年增率(%),存款-存款部門-其他貨幣機構_原始值,存款-存款部門-其他貨幣機構_年增率(%),存款-存款部門-其他金融機構_原始值,存款-存款部門-其他金融機構_年增率(%),融通-授信部門-其他貨幣機構_原始值,融通-授信部門-其他貨幣機構_年增率(%),融通-授信部門-其他金融機構_原始值,融通-授信部門-其他金融機構_年增率(%),融通-受信部門-其他貨幣機_原始值,融通-受信部門-其他貨幣機_年增率(%),融通-受信部門-其他金融機構_原始值,融通-受信部門-其他金融機構_年增率(%)
2000,4,...,"9,266",...,"9,266",...,4,...,"43,497",...,"11,195",...,"11,195",...,"43,497",...
2001,1,-75.00,"18,555",100.25,"18,555",100.25,1,-75.00,"71,471",64.31,"10,035",-10.36,"10,035",-10.36,"71,471",64.31
2002,-,--,"16,075",-13.37,"16,075",-13.37,-,--,"61,501",-13.95,"7,126",-28.99,"7,126",-28.99,"61,501",-13.95
2003,4,--,"12,095",-24.76,"12,095",-24.76,4,--,"72,477",17.85,"10,500",47.35,"10,500",47.35,"72,477",17.85
2004,3,-25.00,"8,803",-27.22,"8,803",-27.22,3,-25.00,"51,607",-28.80,"12,891",22.77,"12,891",22.77,"51,607",-28.80
2005,5,66.67,"2,549",-71.04,"2,549",-71.04,5,66.67,"89,536",73.50,"14,870",15.35,"14,870",15.35,"89,536",73.50
2006,7,40.00,"1,669",-34.52,"1,669",-34.52,7,40.00,"77,049",-13.95,"6,552",-55.94,"6,552",-55.94,"77,049",-13.95
2007,2,-71.43,"8,740",423.67,"8,740",423.67,2,-71.43,"52,883",-31.36,"10,333",57.71,"10,333",57.71,"52,883",-31.36
2008,-,--,-,--,-,--,-,--,"33,309",-37.01,840,-91.87,840,-91.87,"33,309",-37.01
2009,-,--,-,--,-,--,-,--,"25,440",-23.62,"1,380",64.29,"1,380",64.29,"25,440",-23.62
2010,-,--,-,--,-,--,-,--,"19,445",-23.57,"1,335",-3.26,"1,335",-3.26,"19,445",-23.57
2011,1,--,-,--,-,--,1,--,"21,731",11.76,130,-90.26,130,-90.26,"21,731",11.76
2012,1,0.00,-,--,-,--,1,0.00,"42,377",95.01,317,143.85,317,143.85,"42,377",95.01
