期間,授信部門-中央銀行_原始值,授信部門-中央銀行_年增率(%),授信部門-其他貨幣機構_原始值,授信部門-其他貨幣機構_年增率(%),授信部門-保險公司及退休基金_原始值,授信部門-保險公司及退休基金_年增率(%),授信部門-其他金融機構_原始值,授信部門-其他金融機構_年增率(%),授信部門-政府_原始值,授信部門-政府_年增率(%),授信部門-公營事業_原始值,授信部門-公營事業_年增率(%),授信部門-民營企業_原始值,授信部門-民營企業_年增率(%),授信部門-家庭及非營利團體_原始值,授信部門-家庭及非營利團體_年增率(%),授信部門-國外_原始值,授信部門-國外_年增率(%),受信部門-中央銀行_原始值,受信部門-中央銀行_年增率(%),受信部門-其他貨幣機構_原始值,受信部門-其他貨幣機構_年增率(%),受信部門-保險公司及退休基金_原始值,受信部門-保險公司及退休基金_年增率(%),受信部門-其他金融機構_原始值,受信部門-其他金融機構_年增率(%),受信部門-民營企業_原始值,受信部門-民營企業_年增率(%),受信部門-國外_原始值,受信部門-國外_年增率(%)
2000,"37,860",...,"353,610",...,"54,314",...,"366,812",...,-,...,-,...,"103,674",...,"596,017",...,231,...,-,...,"434,773",...,-,...,"1,048,678",...,"29,066",...,-,...
2001,-,--,"327,071",-7.51,"58,503",7.71,"646,455",76.24,-,--,-,--,"81,822",-21.08,"320,335",-46.25,316,36.80,-,--,"372,326",-14.36,-,--,"1,047,153",-0.15,"15,023",-48.31,-,--
2002,-,--,"246,720",-24.57,"82,389",40.83,"701,400",8.50,-,--,-,--,"57,157",-30.14,"504,401",57.46,309,-2.22,-,--,"454,400",22.04,-,--,"1,135,686",8.45,"2,289",-84.76,-,--
2003,-,--,"171,929",-30.31,"108,510",31.71,"884,205",26.06,"1,236",--,-,--,"65,616",14.80,"431,954",-14.36,204,-33.98,-,--,"493,313",8.56,-,--,"1,162,591",2.37,"7,750",238.52,-,--
2004,-,--,"226,851",31.94,"126,587",16.66,"868,339",-1.79,"1,500",21.36,"2,800",--,"121,026",84.44,"553,610",28.16,"142,194","69,602.94","142,193",--,"571,682",15.89,"15,496",--,"1,311,447",12.80,"2,087",-73.07,-,--
2005,-,--,"190,140",-16.18,"141,869",12.07,"892,495",2.78,-,--,"2,000",-28.57,"180,948",49.51,"627,009",13.26,"451,542",217.55,"451,069",217.22,"517,037",-9.56,"4,384",-71.71,"1,511,797",15.28,"1,716",-17.79,-,--
2006,-,--,"128,516",-32.41,"106,583",-24.87,"854,228",-4.29,"1,306",--,750,-62.50,"198,848",9.89,"604,865",-3.53,"347,134",-23.12,"340,082",-24.61,"545,736",5.55,400,-90.88,"1,354,665",-10.39,538,-68.66,809,--
2007,-,--,"64,853",-49.54,"145,183",36.22,"606,192",-29.04,"3,255",149.23,200,-73.33,"176,121",-11.43,"514,297",-14.97,"132,242",-61.90,"101,220",-70.24,"457,692",-16.13,-,--,"1,082,906",-20.06,526,-2.26,-,--
2008,-,--,"62,723",-3.28,"87,189",-39.95,"509,615",-15.93,"7,322",124.95,300,50.00,"119,488",-32.16,"610,003",18.61,"11,340",-91.42,-,--,"460,569",0.63,-,--,"947,411",-12.51,-,--,-,--
2009,-,--,"30,606",-51.20,"149,307",71.24,"348,982",-31.52,-,--,370,23.33,"101,846",-14.76,"417,285",-31.59,"15,380",35.63,-,--,"328,928",-28.58,-,--,"734,848",-22.44,-,--,-,--
2010,-,--,"73,969",141.68,"163,218",9.32,"331,429",-5.03,"1,728",--,"2,307",523.48,"163,570",60.60,"426,911",2.31,"68,067",342.57,-,--,"413,254",25.64,-,--,"817,945",11.31,-,--,-,--
2011,-,--,"68,723",-7.09,"149,270",-8.55,"300,867",-9.22,400,-76.85,"2,911",26.19,"152,616",-6.70,"558,545",30.83,"73,805",8.43,-,--,"421,955",2.11,-,--,"885,182",8.22,-,--,-,--
2012,-,--,"154,803",125.26,"136,552",-8.52,"210,706",-29.97,-,--,-,--,"126,961",-16.81,"400,329",-28.33,"91,895",24.51,-,--,"320,781",-23.98,-,--,"800,465",-9.57,-,--,-,--
