期間,合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口)
1986,"93,865",-,484.9,731.7,"16,559",1,85.5,118.3,"9,953",4,51.4,87.4,"14,862",2,76.8,121.9,"2,970",7,15.3,23.1,"12,187",3,63.0,70.5,"2,378",9,12.3,20.9,"3,218",6,16.6,22.7,"2,134",11,11.0,16.6,"2,260",10,11.7,13.5,"3,349",5,17.3,29.4,"57,168",-,569.4,850.0,"10,584",1,105.4,143.8,"5,611",4,55.9,95.6,"8,338",3,83.0,131.1,"1,251",11,12.5,18.6,"9,154",2,91.2,100.2,"1,398",10,13.9,25.0,"2,408",5,24.0,31.9,"1,104",12,11.0,17.0,"1,406",9,14.0,16.0,"1,840",6,18.3,30.9,"36,697",-,393.9,604.5,"5,975",2,64.1,90.9,"4,342",3,46.6,78.1,"6,524",1,70.0,111.4,"1,719",5,18.5,28.1,"3,033",4,32.6,38.2,980,8,10.5,17.1,810,11,8.7,12.7,"1,030",7,11.1,16.5,854,10,9.2,10.8,"1,509",6,16.2,27.2
1987,"95,354",-,487.4,714.7,"17,342",1,88.6,118.9,"11,209",4,57.3,94.3,"14,476",2,74.0,114.4,"3,286",5,16.8,24.4,"13,024",3,66.6,73.4,"2,434",9,12.4,21.1,"3,260",6,16.7,21.9,"2,113",10,10.8,15.9,"1,851",11,9.5,11.0,"3,083",7,15.8,26.1,"58,288",-,574.9,833.6,"11,182",1,110.3,146.0,"6,345",4,62.6,102.8,"8,013",3,79.0,121.5,"1,388",10,13.7,19.6,"9,729",2,96.0,104.1,"1,459",8,14.4,25.7,"2,463",5,24.3,31.1,"1,131",12,11.2,17.0,"1,153",11,11.4,13.3,"1,700",6,16.8,27.6,"37,066",-,393.3,587.7,"6,160",2,65.4,89.7,"4,864",3,51.6,84.3,"6,463",1,68.6,106.3,"1,898",5,20.1,29.7,"3,295",4,35.0,40.3,975,8,10.3,16.9,797,10,8.5,11.9,982,7,10.4,15.2,698,11,7.4,8.5,"1,383",6,14.7,24.0
1988,"101,055",-,510.7,730.1,"18,233",1,92.1,121.1,"10,836",4,54.8,87.3,"15,067",2,76.1,115.1,"3,883",5,19.6,27.6,"13,730",3,69.4,76.6,"2,588",9,13.1,21.2,"3,532",6,17.8,23.0,"2,064",10,10.4,15.1,"1,790",12,9.0,10.4,"3,142",7,15.9,25.2,"61,679",-,602.0,848.7,"11,693",1,114.1,148.0,"6,069",4,59.2,93.6,"8,310",3,81.1,121.4,"1,638",7,16.0,22.1,"10,382",2,101.3,110.1,"1,586",9,15.5,25.9,"2,640",5,25.8,32.6,"1,076",12,10.5,15.9,"1,126",11,11.0,12.7,"1,625",8,15.9,25.0,"39,376",-,412.7,602.1,"6,540",2,68.5,92.1,"4,767",3,50.0,79.1,"6,757",1,70.8,107.3,"2,245",5,23.5,33.6,"3,348",4,35.1,40.7,"1,002",7,10.5,16.6,892,10,9.3,12.9,988,8,10.4,14.8,664,11,7.0,8.1,"1,517",6,15.9,24.9
1989,"102,242",-,511.1,707.8,"18,878",1,94.4,121.7,"10,699",4,53.5,82.2,"14,461",2,72.3,104.9,"3,868",5,19.3,26.6,"14,047",3,70.2,76.3,"2,946",8,14.7,22.9,"3,550",6,17.7,22.4,"2,094",10,10.5,14.9,"1,573",12,7.9,9.0,"2,966",7,14.8,22.7,"62,695",-,605.7,825.8,"12,152",1,117.4,149.1,"5,986",4,57.8,87.3,"7,923",3,76.5,108.7,"1,617",8,15.6,21.1,"10,525",2,101.7,109.3,"1,865",6,18.0,29.7,"2,619",5,25.3,31.2,"1,111",11,10.7,16.0,980,12,9.5,10.9,"1,605",9,15.5,23.3,"39,547",-,409.6,579.7,"6,726",1,69.7,91.8,"4,713",3,48.8,75.1,"6,538",2,67.7,99.3,"2,251",5,23.3,32.7,"3,522",4,36.5,41.0,"1,081",7,11.2,16.8,931,9,9.6,13.0,983,8,10.2,14.3,593,12,6.1,7.0,"1,361",6,14.1,21.5
1990,"104,089",-,514.5,693.4,"18,536",1,91.6,115.3,"11,505",4,56.9,83.9,"14,174",2,70.1,98.4,"3,960",5,19.6,26.0,"13,927",3,68.8,74.1,"3,358",7,16.6,25.3,"3,606",6,17.8,21.9,"2,304",10,11.4,15.8,"1,359",13,6.7,7.4,"2,993",8,14.8,21.8,"63,946",-,611.5,811.5,"11,968",1,114.4,142.5,"6,501",4,62.2,90.5,"7,939",3,75.9,104.4,"1,747",7,16.7,21.7,"10,419",2,99.6,106.3,"2,057",6,19.7,31.3,"2,685",5,25.7,30.9,"1,239",11,11.8,17.1,852,12,8.1,8.9,"1,546",9,14.8,21.2,"40,143",-,410.7,565.4,"6,568",1,67.2,86.1,"5,004",3,51.2,75.7,"6,235",2,63.8,90.8,"2,213",5,22.6,30.8,"3,508",4,35.9,39.7,"1,301",7,13.3,19.6,921,9,9.4,12.4,"1,065",8,10.9,14.9,507,12,5.2,5.7,"1,447",6,14.8,21.8
1991,"104,461",-,510.7,669.5,"19,630",1,96.0,117.8,"12,026",4,58.8,84.1,"14,137",2,69.1,93.7,"4,210",5,20.6,26.6,"13,636",3,66.7,71.3,"2,644",7,12.9,19.3,"3,601",6,17.6,21.1,"2,527",8,12.4,16.6,"1,465",12,7.2,7.7,"2,492",9,12.2,17.4,"64,140",-,607.1,781.4,"12,752",1,120.7,146.6,"6,826",4,64.6,90.9,"7,998",3,75.7,100.1,"1,829",6,17.3,21.9,"10,257",2,97.1,102.5,"1,628",7,15.4,23.6,"2,693",5,25.5,29.8,"1,314",10,12.4,17.2,953,12,9.0,9.5,"1,287",11,12.2,17.0,"40,321",-,407.7,546.9,"6,878",1,69.5,86.9,"5,200",3,52.6,75.5,"6,139",2,62.1,85.6,"2,381",5,24.1,31.9,"3,379",4,34.2,37.8,"1,016",8,10.3,15.0,908,9,9.2,11.7,"1,213",6,12.3,16.3,512,12,5.2,5.6,"1,205",7,12.2,17.4
1992,"108,810",-,526.8,672.0,"20,959",1,101.5,121.9,"12,993",4,62.9,86.4,"14,325",2,69.4,90.7,"4,887",5,23.7,30.0,"13,152",3,63.7,67.3,"2,907",8,14.1,20.0,"3,748",6,18.1,21.2,"2,935",7,14.2,18.6,"1,381",13,6.7,7.1,"2,300",9,11.1,15.4,"66,832",-,626.9,785.8,"13,529",1,126.9,150.2,"7,445",4,69.8,94.4,"8,184",3,76.8,98.4,"2,129",6,20.0,24.8,"9,854",2,92.4,96.5,"1,788",7,16.8,24.3,"2,802",5,26.3,30.2,"1,600",8,15.0,20.3,931,13,8.7,9.2,"1,152",11,10.8,14.4,"41,978",-,420.1,547.7,"7,430",1,74.4,91.1,"5,548",3,55.5,76.6,"6,141",2,61.5,81.6,"2,758",5,27.6,35.7,"3,298",4,33.0,36.0,"1,119",8,11.2,15.7,946,9,9.5,11.8,"1,335",6,13.4,17.3,450,12,4.5,4.9,"1,148",7,11.5,15.9
1993,"109,269",-,524.1,647.2,"22,319",1,107.1,125.5,"12,506",4,60.0,79.8,"13,680",2,65.6,82.8,"5,367",5,25.7,31.6,"13,270",3,63.7,66.3,"2,815",8,13.5,18.4,"3,755",6,18.0,20.6,"2,859",7,13.7,17.5,"1,301",13,6.2,6.6,"2,285",9,11.0,14.7,"67,337",-,626.2,758.9,"14,270",1,132.7,153.0,"7,193",4,66.9,87.5,"7,902",3,73.5,90.3,"2,404",6,22.4,26.9,"9,889",2,92.0,94.7,"1,803",7,16.8,23.2,"2,817",5,26.2,29.4,"1,575",8,14.6,19.0,847,13,7.9,8.3,"1,190",10,11.1,14.4,"41,932",-,415.4,524.6,"8,049",1,79.7,95.3,"5,313",3,52.6,70.5,"5,778",2,57.2,73.7,"2,963",5,29.3,36.9,"3,381",4,33.5,36.1,"1,012",8,10.0,13.6,938,9,9.3,11.3,"1,284",6,12.7,16.1,454,12,4.5,4.7,"1,095",7,10.8,14.6
1994,"112,238",-,532.3,638.6,"23,318",1,110.6,126.9,"12,005",4,56.9,72.6,"13,658",2,64.8,79.4,"6,094",5,28.9,34.4,"13,219",3,62.7,64.9,"2,890",8,13.7,18.0,"4,163",6,19.7,22.0,"3,211",7,15.2,18.7,"1,451",13,6.9,7.1,"2,191",9,10.4,13.4,"69,916",-,643.5,760.1,"15,191",1,139.8,158.4,"7,040",4,64.8,81.1,"7,953",3,73.2,88.0,"2,652",6,24.4,28.6,"9,945",2,91.5,93.9,"1,886",7,17.4,23.3,"3,096",5,28.5,31.4,"1,795",8,16.5,20.6,977,12,9.0,9.3,"1,096",11,10.1,12.5,"42,322",-,414.1,506.8,"8,127",1,79.5,92.8,"4,965",3,48.6,62.5,"5,705",2,55.8,69.6,"3,442",4,33.7,41.1,"3,274",5,32.0,34.1,"1,004",9,9.8,12.8,"1,067",8,10.4,12.3,"1,416",6,13.9,17.0,474,12,4.6,4.9,"1,095",7,10.7,13.8
1995,"117,954",-,554.6,647.7,"25,841",1,121.5,136.4,"11,256",4,52.9,64.7,"14,132",2,66.4,79.0,"7,225",5,34.0,39.2,"12,983",3,61.0,62.6,"3,070",8,14.4,18.4,"4,456",6,21.0,22.8,"3,519",7,16.5,19.9,"1,618",11,7.6,7.8,"2,616",9,12.3,15.3,"73,157",-,668.2,769.7,"16,657",1,152.1,168.8,"6,588",4,60.2,72.0,"8,308",3,75.9,88.5,"3,307",6,30.2,34.4,"9,701",2,88.6,89.9,"1,985",7,18.1,23.5,"3,322",5,30.3,32.6,"1,910",8,17.4,21.5,"1,038",12,9.5,9.8,"1,343",9,12.3,14.9,"44,797",-,434.1,516.0,"9,184",1,89.0,101.6,"4,668",3,45.2,55.8,"5,824",2,56.4,68.2,"3,918",4,38.0,44.8,"3,282",5,31.8,33.6,"1,085",9,10.5,13.2,"1,134",8,11.0,12.7,"1,609",6,15.6,18.6,580,12,5.6,5.7,"1,273",7,12.3,15.4
