期間,所有癌症死因_死亡人數(人),所有癌症死因_順位,所有癌症死因_死亡率(每十萬人口),所有癌症死因_標準化死亡率(每十萬人口),肺癌_死亡人數(人),肺癌_順位,肺癌_死亡率(每十萬人口),肺癌_標準化死亡率(每十萬人口),肝癌_死亡人數(人),肝癌_順位,肝癌_死亡率(每十萬人口),肝癌_標準化死亡率(每十萬人口),結腸直腸癌_死亡人數(人),結腸直腸癌_順位,結腸直腸癌_死亡率(每十萬人口),結腸直腸癌_標準化死亡率(每十萬人口),女性乳癌_死亡人數(人),女性乳癌_順位,女性乳癌_死亡率(每十萬人口),女性乳癌_標準化死亡率(每十萬人口),胃癌_死亡人數(人),胃癌_順位,胃癌_死亡率(每十萬人口),胃癌_標準化死亡率(每十萬人口),子宮頸癌_死亡人數(人),子宮頸癌_順位,子宮頸癌_死亡率(每十萬人口),子宮頸癌_標準化死亡率(每十萬人口),胰臟癌_死亡人數(人),胰臟癌_順位,胰臟癌_死亡率(每十萬人口),胰臟癌_標準化死亡率(每十萬人口),膽囊癌_死亡人數(人),膽囊癌_順位,膽囊癌_死亡率(每十萬人口),膽囊癌_標準化死亡率(每十萬人口),非何杰金淋巴癌_死亡人數(人),非何杰金淋巴癌_順位,非何杰金淋巴癌_死亡率(每十萬人口),非何杰金淋巴癌_標準化死亡率(每十萬人口),卵巢癌_死亡人數(人),卵巢癌_順位,卵巢癌_死亡率(每十萬人口),卵巢癌_標準化死亡率(每十萬人口)
1986,"5,975",-,64.1,90.9,872,1,9.4,13.5,652,3,7.0,10.1,588,5,6.3,9.2,466,6,5.0,6.9,599,4,6.4,9.4,848,2,9.1,13.0,126,11,1.4,2.0,103,12,1.1,1.6,177,8,1.9,2.5,141,10,1.5,2.0
1987,"6,160",-,65.4,89.7,899,1,9.5,13.5,706,3,7.5,10.4,616,5,6.5,9.4,471,6,5.0,6.5,673,4,7.1,10.0,856,2,9.1,12.4,153,10,1.6,2.3,85,14,0.9,1.3,175,8,1.9,2.3,124,11,1.3,1.7
1988,"6,540",-,68.5,92.1,967,1,10.1,13.9,756,3,7.9,10.8,670,4,7.0,9.8,518,6,5.4,7.0,662,5,6.9,9.5,842,2,8.8,11.9,175,9,1.8,2.5,107,12,1.1,1.6,172,11,1.8,2.3,167,10,1.8,2.2
1989,"6,726",-,69.7,91.8,"1,021",1,10.6,14.4,752,3,7.8,10.4,649,5,6.7,9.1,591,6,6.1,7.7,679,4,7.0,9.5,852,2,8.8,11.6,175,9,1.8,2.5,131,12,1.4,1.8,176,11,1.8,2.3,172,10,1.8,2.2
1990,"6,568",-,67.2,86.1,993,1,10.2,13.4,697,3,7.1,9.2,671,4,6.9,9.1,619,5,6.3,7.7,601,6,6.1,7.9,837,2,8.6,10.9,171,10,1.7,2.3,142,11,1.5,1.9,182,8,1.9,2.3,150,12,1.5,1.9
1991,"6,878",-,69.5,86.9,"1,073",1,10.8,13.8,762,3,7.7,9.7,750,4,7.6,9.7,664,5,6.7,8.1,638,6,6.5,8.3,870,2,8.8,10.9,197,8,2.0,2.6,145,13,1.5,1.8,165,11,1.7,2.0,155,12,1.6,1.9
1992,"7,430",-,74.4,91.1,"1,118",1,11.2,14.0,982,2,9.8,12.2,824,4,8.2,10.3,676,5,6.8,7.9,660,6,6.6,8.2,944,3,9.4,11.5,222,8,2.2,2.8,174,12,1.7,2.2,193,10,1.9,2.2,176,11,1.8,2.1
1993,"8,049",-,79.7,95.3,"1,184",1,11.7,14.4,"1,157",2,11.5,13.8,861,4,8.5,10.4,772,5,7.6,8.8,660,6,6.5,7.8,913,3,9.0,10.8,230,7,2.3,2.8,196,11,1.9,2.4,229,8,2.3,2.6,184,12,1.8,2.1
1994,"8,127",-,79.5,92.8,"1,273",1,12.5,14.8,"1,093",2,10.7,12.6,867,4,8.5,10.0,789,5,7.7,8.7,675,6,6.6,7.7,973,3,9.5,11.0,250,7,2.4,2.9,208,11,2.0,2.4,233,9,2.3,2.6,195,12,1.9,2.2
1995,"9,184",-,89.0,101.6,"1,481",1,14.4,16.7,"1,159",2,11.2,12.9,"1,047",3,10.1,11.8,918,5,8.9,9.7,740,6,7.2,8.1,"1,010",4,9.8,11.0,250,10,2.4,2.9,270,8,2.6,3.1,303,7,2.9,3.3,223,11,2.2,2.4
