期間,新生兒(0/00),嬰兒(0/00),孕產婦(0/0000)
1985,2.3,6.8,9.9
1986,2.1,6.3,9.4
1987,1.7,5.1,8.9
1988,1.8,5.3,9.0
1989,1.9,5.7,12.7
1990,1.8,5.2,11.9
1991,1.6,5.1,7.8
1992,1.8,5.2,6.8
1993,1.7,4.8,8.9
1994,2.1,5.1,8.0
1995,3.3,6.5,7.7
1996,3.5,6.7,7.7
1997,3.3,6.4,9.2
1998,3.4,6.6,8.9
1999,3.4,6.1,8.4
2000,3.4,5.8,7.8
2001,3.4,6.0,7.0
2002,3.0,5.4,7.7
2003,2.7,4.9,6.6
2004,2.9,5.3,5.5
2005,2.9,5.0,7.3
2006,2.7,4.6,7.3
2007,2.9,4.7,6.9
2008,2.7,4.6,6.6
2009,2.4,4.0,8.3
2010,2.6,4.2,4.2
2011,2.7,4.2,5.0
2012,2.3,3.7,8.5
2013,2.4,3.9,9.0
