期間,院所病床_原始值,院所病床_年增率(%),院所病床_原始值,院所病床_年增率(%),醫院一般病床-合計_原始值,醫院一般病床-合計_年增率(%),醫院一般病床-合計_原始值,醫院一般病床-合計_年增率(%),醫院一般病床-急性一般病床_原始值,醫院一般病床-急性一般病床_年增率(%),醫院一般病床-急性一般病床_原始值,醫院一般病床-急性一般病床_年增率(%),醫院一般病床-急性精神病床_原始值,醫院一般病床-急性精神病床_年增率(%),醫院一般病床-急性精神病床_原始值,醫院一般病床-急性精神病床_年增率(%),醫院一般病床-慢性一般病床_原始值,醫院一般病床-慢性一般病床_年增率(%),醫院一般病床-慢性一般病床_原始值,醫院一般病床-慢性一般病床_年增率(%),醫院一般病床-慢性精神病床_原始值,醫院一般病床-慢性精神病床_年增率(%),醫院一般病床-慢性精神病床_原始值,醫院一般病床-慢性精神病床_年增率(%),醫院一般病床-慢性結核病床_原始值,醫院一般病床-慢性結核病床_年增率(%),醫院一般病床-慢性結核病床_原始值,醫院一般病床-慢性結核病床_年增率(%),醫院一般病床-漢生病病床_原始值,醫院一般病床-漢生病病床_年增率(%),醫院一般病床-漢生病病床_原始值,醫院一般病床-漢生病病床_年增率(%),醫院特許病床-國際醫療病床_原始值,醫院特許病床-國際醫療病床_年增率(%),醫院特許病床-國際醫療病床_原始值,醫院特許病床-國際醫療病床_年增率(%),醫院特殊病床-合計_原始值,醫院特殊病床-合計_年增率(%),醫院特殊病床-合計_原始值,醫院特殊病床-合計_年增率(%),醫院特殊病床-加護病床_原始值,醫院特殊病床-加護病床_年增率(%),醫院特殊病床-加護病床_原始值,醫院特殊病床-加護病床_年增率(%),醫院特殊病床-燒傷病床_原始值,醫院特殊病床-燒傷病床_年增率(%),醫院特殊病床-燒傷病床_原始值,醫院特殊病床-燒傷病床_年增率(%),醫院特殊病床-燒傷加護病床_原始值,醫院特殊病床-燒傷加護病床_年增率(%),醫院特殊病床-燒傷加護病床_原始值,醫院特殊病床-燒傷加護病床_年增率(%),醫院特殊病床-嬰兒病床_原始值,醫院特殊病床-嬰兒病床_年增率(%),醫院特殊病床-嬰兒病床_原始值,醫院特殊病床-嬰兒病床_年增率(%),醫院特殊病床-急診觀察床_原始值,醫院特殊病床-急診觀察床_年增率(%),醫院特殊病床-急診觀察床_原始值,醫院特殊病床-急診觀察床_年增率(%),醫院特殊病床-安寧病床_原始值,醫院特殊病床-安寧病床_年增率(%),醫院特殊病床-安寧病床_原始值,醫院特殊病床-安寧病床_年增率(%),醫院特殊病床-慢性呼吸照護病床_原始值,醫院特殊病床-慢性呼吸照護病床_年增率(%),醫院特殊病床-慢性呼吸照護病床_原始值,醫院特殊病床-慢性呼吸照護病床_年增率(%),醫院特殊病床-亞急性呼吸照護病床_原始值,醫院特殊病床-亞急性呼吸照護病床_年增率(%),醫院特殊病床-亞急性呼吸照護病床_原始值,醫院特殊病床-亞急性呼吸照護病床_年增率(%),醫院特殊病床-急性結核病床_原始值,醫院特殊病床-急性結核病床_年增率(%),醫院特殊病床-急性結核病床_原始值,醫院特殊病床-急性結核病床_年增率(%),醫院特殊病床-精神科加護病床_原始值,醫院特殊病床-精神科加護病床_年增率(%),醫院特殊病床-精神科加護病床_原始值,醫院特殊病床-精神科加護病床_年增率(%),醫院特殊病床-普通隔離病床_原始值,醫院特殊病床-普通隔離病床_年增率(%),醫院特殊病床-普通隔離病床_原始值,醫院特殊病床-普通隔離病床_年增率(%),醫院特殊病床-正壓隔離病床_原始值,醫院特殊病床-正壓隔離病床_年增率(%),醫院特殊病床-正壓隔離病床_原始值,醫院特殊病床-正壓隔離病床_年增率(%),醫院特殊病床-負壓隔離病床_原始值,醫院特殊病床-負壓隔離病床_年增率(%),醫院特殊病床-負壓隔離病床_原始值,醫院特殊病床-負壓隔離病床_年增率(%),醫院特殊病床-骨髓移植病床_原始值,醫院特殊病床-骨髓移植病床_年增率(%),醫院特殊病床-骨髓移植病床_原始值,醫院特殊病床-骨髓移植病床_年增率(%),醫院特殊病床-性侵害犯罪加害人強制治療病床_原始值,醫院特殊病床-性侵害犯罪加害人強制治療病床_年增率(%),醫院特殊病床-性侵害犯罪加害人強制治療病床_原始值,醫院特殊病床-性侵害犯罪加害人強制治療病床_年增率(%),醫院特殊病床-手術恢復床_原始值,醫院特殊病床-手術恢復床_年增率(%),醫院特殊病床-手術恢復床_原始值,醫院特殊病床-手術恢復床_年增率(%),醫院特殊病床-嬰兒床_原始值,醫院特殊病床-嬰兒床_年增率(%),醫院特殊病床-嬰兒床_原始值,醫院特殊病床-嬰兒床_年增率(%),醫院特殊病床-血液透析床_原始值,醫院特殊病床-血液透析床_年增率(%),醫院特殊病床-血液透析床_原始值,醫院特殊病床-血液透析床_年增率(%),醫院特殊病床-腹膜透析床_原始值,醫院特殊病床-腹膜透析床_年增率(%),醫院特殊病床-腹膜透析床_原始值,醫院特殊病床-腹膜透析床_年增率(%),醫院特殊病床-其他_原始值,醫院特殊病床-其他_年增率(%),醫院特殊病床-其他_原始值,醫院特殊病床-其他_年增率(%),診所-合計_原始值,診所-合計_年增率(%),診所-合計_原始值,診所-合計_年增率(%),診所-觀察床_原始值,診所-觀察床_年增率(%),診所-觀察床_原始值,診所-觀察床_年增率(%),診所-嬰兒床_原始值,診所-嬰兒床_年增率(%),診所-嬰兒床_原始值,診所-嬰兒床_年增率(%),診所-血液透析床_原始值,診所-血液透析床_年增率(%),診所-血液透析床_原始值,診所-血液透析床_年增率(%),診所-腹膜透析床_原始值,診所-腹膜透析床_年增率(%),診所-腹膜透析床_原始值,診所-腹膜透析床_年增率(%),診所-產科病床_原始值,診所-產科病床_年增率(%),診所-產科病床_原始值,診所-產科病床_年增率(%)
1995,"112,379",...,52.62,...,"83,856",...,39.27,...,"64,322",...,30.12,...,"2,606",...,1.22,...,"5,075",...,2.38,...,"10,695",...,5.01,...,188,...,0.09,...,970,...,0.45,...,...,...,...,...,"17,574",...,7.49,...,"3,870",...,1.81,...,244,...,0.11,...,...,...,...,...,...,...,...,...,"2,880",...,1.35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,246",...,2.46,...,"3,768",...,1.76,...,...,...,...,...,"1,566",...,0.89,...,"10,948",...,5.13,...,"9,511",...,4.45,...,"1,158",...,0.54,...,279,...,0.13,...,...,...,...,...,...,...,...,...
1996,"114,923",2.26,53.39,1.47,"84,802",1.13,39.40,0.32,"65,891",2.44,30.61,1.63,"3,419",31.20,1.59,30.19,"4,691",-7.57,2.18,-8.43,"9,665",-9.63,4.49,-10.38,166,-11.70,0.08,-14.31,970,0.00,0.45,0.14,...,...,...,...,"19,309",9.87,8.97,19.76,"4,193",8.35,1.95,7.62,292,19.67,0.14,23.32,...,...,...,...,...,...,...,...,"3,175",10.24,1.47,9.26,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,568",6.14,2.59,5.15,"4,084",8.39,1.90,7.80,...,...,...,...,"1,997",27.52,0.93,4.24,"10,812",-1.24,5.02,-2.09,"9,348",-1.71,4.34,-2.41,"1,015",-12.35,0.47,-12.68,449,60.93,0.21,60.45,...,...,...,...,...,...,...,...
1997,"120,485",4.84,55.41,3.79,"86,582",2.10,39.82,1.08,"66,226",0.51,30.46,-0.50,"3,760",9.97,1.73,8.87,"5,183",10.49,2.38,9.38,"10,235",5.90,4.71,4.84,198,19.28,0.09,18.08,980,1.03,0.45,0.02,...,...,...,...,"21,954",13.70,10.10,12.56,"4,573",9.06,2.10,7.97,340,16.44,0.16,15.27,...,...,...,...,"1,478",...,0.68,...,"3,160",-0.47,1.45,-1.47,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,321,...,0.15,...,"5,616",0.86,2.58,-0.15,"4,483",9.77,2.06,8.67,...,...,...,...,"1,983",-0.70,0.91,-1.69,"11,949",10.52,5.50,9.41,"9,711",3.88,4.47,2.84,"1,078",6.21,0.50,5.15,"1,160",158.35,0.53,155.77,...,...,...,...,...,...,...,...
1998,"124,564",3.39,56.80,2.51,"89,253",3.08,40.70,2.21,"67,944",2.59,30.98,1.72,"3,940",4.79,1.80,3.90,"5,027",-3.01,2.29,-3.83,"11,212",9.55,5.11,8.62,150,-24.24,0.07,-24.88,980,0.00,0.45,-0.85,...,...,...,...,"22,688",3.34,10.35,2.47,"4,805",5.07,2.19,4.18,392,15.29,0.18,14.32,...,...,...,...,"1,545",4.53,0.70,3.65,"3,385",7.12,1.54,6.21,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,631,96.57,0.29,94.91,"5,567",-0.87,2.54,-1.71,"4,601",2.63,2.10,1.76,...,...,...,...,"1,762",-11.14,0.80,-11.90,"12,623",5.64,5.76,4.75,"10,046",3.45,4.58,2.57,"1,144",6.12,0.52,5.22,"1,433",23.53,0.65,22.49,...,...,...,...,...,...,...,...
1999,"122,937",-1.31,55.65,-2.04,"87,526",-1.93,39.62,-2.66,"68,123",0.26,30.84,-0.48,"4,641",17.79,2.10,16.92,"5,028",0.02,2.28,-0.72,"8,681",-22.57,3.93,-23.15,83,-44.67,0.04,-45.08,970,-1.02,0.44,-1.75,...,...,...,...,"23,134",1.97,10.38,0.37,"5,294",10.18,2.40,9.36,362,-7.65,0.16,-8.34,...,...,...,...,"1,797",16.31,0.81,15.45,"3,600",6.35,1.63,5.56,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,080",71.16,0.49,69.89,"5,370",-3.54,2.43,-4.25,"5,127",11.43,2.32,10.61,...,...,...,...,504,-71.40,0.23,-71.61,"12,277",-2.74,5.56,-3.46,"9,869",-1.76,4.47,-2.49,"1,107",-3.23,0.50,-3.95,"1,301",-9.21,0.59,-9.88,...,...,...,...,...,...,...,...
2000,"126,476",2.88,56.78,2.03,"89,756",2.55,40.29,1.70,"69,124",1.47,31.03,0.63,"5,011",7.97,2.25,7.08,"5,343",6.26,2.40,5.39,"9,749",12.30,4.38,11.37,79,-4.82,0.04,-5.61,450,-53.61,0.20,-53.99,...,...,...,...,"24,423",5.57,10.96,5.57,"5,676",7.22,2.55,6.33,381,5.25,0.17,4.38,...,...,...,...,"1,665",-7.35,0.75,-8.11,"3,652",1.44,1.64,0.61,180,...,0.08,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,163",7.69,0.52,6.79,"5,319",-0.95,2.39,-1.77,"5,771",12.56,2.59,11.63,...,...,...,...,616,22.22,0.28,21.21,"12,297",0.16,5.52,-0.67,"9,589",-2.84,4.30,-3.64,"1,249",12.83,0.56,11.89,"1,459",12.14,0.65,11.22,...,...,...,...,...,...,...,...
2001,"127,676",0.95,56.98,0.37,"88,236",-1.69,39.38,-2.26,"67,818",-1.89,30.27,-2.45,"5,097",1.72,2.27,1.13,"4,861",-9.02,2.17,-9.54,"9,951",2.07,4.44,1.48,59,-25.32,0.03,-25.75,450,0.00,0.20,-0.58,...,...,...,...,"26,404",8.11,11.78,7.49,"5,721",0.79,2.55,0.21,377,-1.05,0.17,-1.62,...,...,...,...,"1,724",3.54,0.77,2.95,"3,659",0.19,1.63,-0.38,267,48.33,0.12,47.48,"1,629",...,0.73,...,...,...,0.73,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,173",0.86,0.52,0.28,"5,151",-3.16,2.30,-3.72,"6,212",7.64,2.77,7.02,...,...,...,...,491,-20.29,0.22,-20.75,"13,036",6.01,5.82,5.40,"9,880",3.03,4.41,2.44,"1,240",-0.72,0.55,-1.29,"1,916",31.32,0.86,30.57,...,...,...,...,...,...,...,...
2002,"133,398",4.48,59.23,3.95,"90,948",3.07,40.38,2.55,"69,572",2.59,30.89,2.06,"5,330",4.57,2.37,4.04,"4,939",1.60,2.19,1.08,"10,594",6.46,4.70,5.92,63,6.78,0.03,6.23,450,0.00,0.20,-0.51,...,...,...,...,"28,899",9.45,12.83,8.89,"6,138",7.29,2.73,6.74,374,-0.80,0.17,-1.30,...,...,...,...,"1,777",3.07,0.79,2.55,"3,805",3.99,1.69,3.46,272,1.87,0.12,1.35,"3,252",99.63,1.44,98.61,...,...,1.44,98.61,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,194",1.79,0.53,1.27,"4,960",-3.71,2.20,-4.20,"6,601",6.26,2.93,5.72,...,...,...,...,526,7.13,0.23,6.58,"13,551",3.95,6.02,3.42,"9,821",-0.60,4.36,-1.11,"1,230",-0.81,0.55,-1.31,"2,500",30.48,1.11,29.81,...,...,...,...,...,...,...,...
2003,"136,331",2.20,60.31,1.82,"90,902",-0.05,40.21,-0.42,"69,545",-0.04,30.77,-0.41,"5,552",4.17,2.46,3.78,"4,320",-12.53,1.91,-12.86,"11,048",4.29,4.89,3.90,57,-9.52,0.03,-9.86,380,-15.56,0.17,-15.87,...,...,...,...,"30,796",6.56,13.62,6.17,"6,526",6.32,2.89,5.93,358,-4.28,0.16,-4.63,...,...,...,...,"1,823",2.59,0.81,2.21,"3,891",2.26,1.72,1.88,253,-6.99,0.11,-7.33,"4,393",35.09,1.94,34.59,...,...,1.94,34.59,75,...,0.03,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,211",1.42,0.54,1.05,"4,736",-4.52,2.10,-4.87,"6,953",5.33,3.08,4.94,...,...,...,...,577,9.70,0.26,9.29,"14,633",7.98,6.47,7.58,"10,051",2.34,4.45,1.96,"1,376",11.87,0.61,11.46,"3,206",28.24,1.42,27.76,...,...,...,...,...,...,...,...
2004,"143,343",5.14,63.18,4.75,"94,659",4.13,41.72,3.74,"72,300",3.96,31.87,3.57,"5,868",5.69,2.59,5.30,"4,419",2.29,1.95,1.91,"11,644",5.39,5.13,5.00,48,-15.79,0.02,-16.10,380,0.00,0.17,-0.37,...,...,...,...,"33,008",7.18,14.55,6.78,"6,955",6.57,3.07,6.18,371,3.63,0.16,3.24,...,...,...,...,"1,776",-2.58,0.78,-2.94,"4,148",6.60,1.83,6.21,284,12.25,0.13,11.83,"5,637",28.32,2.48,27.84,...,...,2.48,27.84,90,20.00,0.04,19.55,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,237",2.15,0.55,1.77,"4,564",-3.63,2.01,-3.99,"7,233",4.03,3.19,3.64,...,...,...,...,713,23.57,0.31,23.11,"15,676",7.13,6.91,6.73,"10,707",6.53,4.72,6.13,"1,407",2.25,0.62,1.87,"3,562",11.10,1.57,10.69,...,...,...,...,...,...,...,...
