期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),醫師_原始值,醫師_年增率(%),醫師_原始值,醫師_年增率(%),中醫師_原始值,中醫師_年增率(%),中醫師_原始值,中醫師_年增率(%),牙醫師_原始值,牙醫師_年增率(%),牙醫師_原始值,牙醫師_年增率(%),藥師_原始值,藥師_年增率(%),藥師_原始值,藥師_年增率(%),藥劑生_原始值,藥劑生_年增率(%),藥劑生_原始值,藥劑生_年增率(%),醫事檢驗師_原始值,醫事檢驗師_年增率(%),醫事檢驗師_原始值,醫事檢驗師_年增率(%),醫事檢驗生_原始值,醫事檢驗生_年增率(%),醫事檢驗生_原始值,醫事檢驗生_年增率(%),醫事放射師_原始值,醫事放射師_年增率(%),醫事放射師_原始值,醫事放射師_年增率(%),醫事放射士_原始值,醫事放射士_年增率(%),醫事放射士_原始值,醫事放射士_年增率(%),護理師_原始值,護理師_年增率(%),護理師_原始值,護理師_年增率(%),護士_原始值,護士_年增率(%),護士_原始值,護士_年增率(%),助產師_原始值,助產師_年增率(%),助產師_原始值,助產師_年增率(%),助產士_原始值,助產士_年增率(%),助產士_原始值,助產士_年增率(%),鑲牙生_原始值,鑲牙生_年增率(%),鑲牙生_原始值,鑲牙生_年增率(%),營養師_原始值,營養師_年增率(%),營養師_原始值,營養師_年增率(%),物理治療師_原始值,物理治療師_年增率(%),物理治療師_原始值,物理治療師_年增率(%),物理治療生_原始值,物理治療生_年增率(%),物理治療生_原始值,物理治療生_年增率(%),職能治療師_原始值,職能治療師_年增率(%),職能治療師_原始值,職能治療師_年增率(%),職能治療生_原始值,職能治療生_年增率(%),職能治療生_原始值,職能治療生_年增率(%),臨床心理師_原始值,臨床心理師_年增率(%),臨床心理師_原始值,臨床心理師_年增率(%),諮商心理師_原始值,諮商心理師_年增率(%),諮商心理師_原始值,諮商心理師_年增率(%),呼吸治療師_原始值,呼吸治療師_年增率(%),呼吸治療師_原始值,呼吸治療師_年增率(%),語言治療師_原始值,語言治療師_年增率(%),語言治療師_原始值,語言治療師_年增率(%),聽力師_原始值,聽力師_年增率(%),聽力師_原始值,聽力師_年增率(%),牙體技術師_原始值,牙體技術師_年增率(%),牙體技術師_原始值,牙體技術師_年增率(%),牙體技術生_原始值,牙體技術生_年增率(%),牙體技術生_原始值,牙體技術生_年增率(%)
1995,"97,257",...,45.54,...,"24,449",...,11.45,...,"2,838",...,1.33,...,"7,024",...,3.29,...,"4,005",...,1.88,...,528,...,0.25,...,"3,549",...,1.66,...,271,...,0.13,...,"1,793",...,0.84,...,-,--,-,--,"24,576",...,11.51,...,"27,309",...,12.79,...,...,...,...,...,614,...,0.29,...,3,...,0.00,...,298,...,0.14,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1996,"102,102",4.98,47.39,4.07,"24,745",1.21,11.50,0.41,"2,839",0.04,1.32,-0.75,"7,254",3.27,3.37,2.44,"4,332",8.16,2.01,7.32,518,-1.89,0.24,-2.66,"3,819",7.61,1.77,6.77,267,-1.48,0.12,-2.24,"1,449",-19.19,0.67,-19.82,-,--,-,--,"28,919",17.67,13.43,16.75,"27,047",-0.96,12.57,-1.73,...,...,...,...,534,-13.03,0.25,-13.71,0,-100.00,0.00,-100.00,289,-3.02,0.13,-3.78,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1997,"114,989",12.62,52.89,11.59,"25,676",3.76,11.81,2.72,"3,143",10.71,1.45,9.60,"7,573",4.40,3.48,3.35,"5,518",27.38,2.54,26.10,"1,101",112.55,0.51,110.42,"4,264",11.65,1.96,10.54,262,-1.87,0.12,-2.85,"2,265",56.31,1.04,54.75,-,--,-,--,"32,741",13.22,15.06,12.08,"30,167",11.54,13.87,10.42,...,...,...,...,482,-9.74,0.22,-10.64,0,--,0.00,--,511,76.82,0.24,75.05,843,...,0.39,...,443,...,0.20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1998,"121,517",5.68,55.41,4.78,"27,071",5.43,12.35,4.54,"3,340",6.27,1.52,5.37,"7,900",4.32,3.60,3.43,"7,123",29.09,3.25,27.99,"2,191",99.00,1.00,97.32,"4,419",3.64,2.02,2.76,252,-3.82,0.11,-4.63,"2,440",7.73,1.11,6.81,-,--,-,--,"35,773",9.26,16.31,8.33,"27,894",-7.53,12.72,-8.32,...,...,...,...,460,-4.56,0.21,-5.37,0,--,0.00,--,550,7.63,0.25,6.72,"1,066",26.45,0.49,25.38,646,45.82,0.29,44.59,353,...,0.16,...,39,...,0.02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1999,"129,571",6.63,58.65,5.84,"28,149",3.98,12.74,3.21,"3,430",2.69,1.55,1.93,"8,240",4.30,3.73,3.53,"7,964",11.81,3.60,10.98,"2,555",16.61,1.16,15.75,"4,919",11.31,2.23,10.49,252,0.00,0.11,-0.74,"2,499",2.42,1.13,1.66,-,--,-,--,"41,776",16.78,18.91,15.91,"25,813",-7.46,11.68,-8.15,...,...,...,...,428,-6.96,0.19,-7.65,3,--,0.00,--,621,12.91,0.28,12.07,"1,343",25.98,0.61,25.05,938,45.20,0.42,44.12,572,62.04,0.26,60.84,69,76.92,0.03,75.61,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2000,"136,199",5.12,61.14,4.24,"29,522",4.88,13.25,4.01,"3,647",6.33,1.64,5.45,"8,597",4.33,3.86,3.47,"8,561",7.50,3.84,6.61,"2,669",4.46,1.20,3.60,"5,105",3.78,2.29,2.92,241,-4.37,0.11,-5.16,"2,581",3.28,1.16,2.43,179,--,0.08,--,"42,630",2.04,19.14,1.20,"28,113",8.91,12.62,8.01,...,...,...,...,349,-18.46,0.16,-19.13,2,-33.33,0.00,-33.88,692,11.43,0.31,10.51,"1,579",17.57,0.71,16.60,"1,024",9.17,0.46,8.27,650,13.64,0.29,12.70,58,-15.94,0.03,-16.64,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2001,"141,942",4.22,63.35,3.62,"30,534",3.43,13.63,2.83,"3,897",6.85,1.74,6.24,"8,944",4.04,3.99,3.44,"9,039",5.58,4.03,4.98,"2,667",-0.07,1.19,-0.65,"5,264",3.11,2.35,2.52,204,-15.35,0.09,-15.84,"2,796",8.33,1.25,7.71,205,14.53,0.09,13.87,"49,277",15.59,21.99,14.93,"24,474",-12.94,10.92,-13.45,...,...,...,...,311,-10.89,0.14,-11.40,3,50.00,0.00,49.14,724,4.62,0.32,4.02,"1,704",7.92,0.76,7.30,"1,051",2.64,0.47,2.05,769,18.31,0.34,17.63,79,36.21,0.04,35.42,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2002,"150,288",5.88,66.73,5.34,"31,511",3.20,13.99,2.67,"4,040",3.67,1.79,3.14,"9,206",2.93,4.09,2.40,"9,210",1.89,4.09,1.37,"2,369",-11.17,1.05,-11.63,"5,481",4.12,2.43,3.59,189,-7.35,0.08,-7.83,"3,049",9.05,1.35,8.49,182,-11.22,0.08,-11.67,"53,113",7.78,23.58,7.23,"26,818",9.58,11.91,9.02,...,...,...,...,284,-8.68,0.13,-9.15,2,-33.33,0.00,-33.67,783,8.15,0.35,7.60,"1,886",10.68,0.84,10.11,"1,128",7.33,0.50,6.78,920,19.64,0.41,19.02,117,48.10,0.05,47.34,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2003,"157,388",4.72,69.63,4.34,"32,365",2.71,14.32,2.33,"4,247",5.12,1.88,4.73,"9,551",3.75,4.23,3.36,"9,564",3.84,4.23,3.46,"2,335",-1.44,1.03,-1.80,"5,728",4.51,2.53,4.12,228,20.63,0.10,20.19,"3,180",4.30,1.41,3.91,187,2.75,0.08,2.37,"57,786",8.80,25.56,8.40,"26,706",-0.42,11.81,-0.79,...,...,...,...,271,-4.58,0.12,-4.93,0,-100.00,0.00,-100.00,833,6.39,0.37,5.99,"2,106",11.66,0.93,11.25,"1,160",2.84,0.51,2.46,"1,012",10.00,0.45,9.59,129,10.26,0.06,9.85,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2004,"165,177",4.95,72.80,4.56,"33,329",2.98,14.69,2.59,"4,570",7.61,2.01,7.20,"9,868",3.32,4.35,2.93,"9,810",2.57,4.32,2.19,"2,280",-2.36,1.00,-2.72,"5,756",0.49,2.54,0.11,217,-4.82,0.10,-5.18,"3,336",4.91,1.47,4.51,178,-4.81,0.08,-5.17,"63,265",9.48,27.88,9.07,"26,701",-0.02,11.77,-0.39,...,...,...,...,260,-4.06,0.11,-4.42,0,--,0.00,--,903,8.40,0.40,8.00,"2,196",4.27,0.97,3.88,"1,239",6.81,0.55,6.41,"1,118",10.47,0.49,10.06,151,17.05,0.07,16.62,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2005,"170,810",3.41,75.01,3.04,"34,061",2.20,14.96,1.84,"4,596",0.57,2.02,0.29,"10,140",2.76,4.45,2.32,"10,065",2.60,4.42,2.23,"2,225",-2.41,0.98,-2.48,"5,971",3.74,2.62,3.28,181,-16.59,0.08,-16.35,"3,533",5.91,1.55,5.42,159,-10.67,0.07,-10.77,"68,295",7.95,29.99,7.56,"24,152",-9.55,10.61,-9.84,0,...,0.00,...,219,-15.77,0.10,-12.73,0,--,0.00,--,968,7.20,0.43,8.04,"2,297",4.60,1.01,4.35,"1,321",6.62,0.58,6.21,"1,220",9.12,0.54,9.59,173,14.57,0.08,20.21,336,...,0.15,...,11,...,0.00,...,887,...,0.39,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2006,"176,257",3.19,77.05,2.72,"34,864",2.36,15.24,1.87,"4,727",2.85,2.07,2.48,"10,412",2.68,4.55,2.25,"10,494",4.26,4.59,3.85,"2,310",3.82,1.01,3.06,"6,072",1.69,2.65,1.15,173,-4.42,0.08,0.00,"3,704",4.84,1.62,4.52,155,-2.52,0.07,0.00,"73,552",7.70,32.15,7.20,"21,802",-9.73,9.53,-10.18,1,--,0.00,--,211,-3.65,0.09,-10.00,0,--,0.00,--,"1,034",6.82,0.45,4.65,"2,395",4.27,1.05,3.96,"1,378",4.31,0.60,3.45,"1,286",5.41,0.56,3.70,172,-0.58,0.08,0.00,413,22.92,0.18,20.00,24,118.18,0.01,--,"1,078",21.53,0.47,20.51,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
