期間,件數(件)_原始值,件數(件)_年增率(%),患者數(人)_原始值,患者數(人)_年增率(%),死亡數(人)_原始值,死亡數(人)_年增率(%)
1995,123,...,"4,950",...,0,...
1996,178,44.72,"4,043",-18.32,0,--
1997,234,31.46,"7,235",78.95,1,--
1998,180,-23.08,"3,951",-45.39,0,-100.00
1999,150,-16.67,"3,112",-21.24,1,--
2000,208,38.67,"3,759",20.79,3,200.00
2001,178,-14.42,"2,955",-21.39,2,-33.33
2002,262,47.19,"5,566",88.36,1,-50.00
2003,251,-4.20,"5,283",-5.08,0,-100.00
2004,274,9.16,"3,992",-24.44,2,--
2005,247,-9.85,"3,530",-11.57,1,-50.00
2006,265,7.29,"4,401",24.67,0,-100.00
2007,231,-12.83,"3,223",-26.77,0,--
2008,269,16.45,"2,921",-9.37,0,--
2009,351,30.48,"4,644",58.99,0,--
2010,503,43.30,"6,880",48.15,1,--
2011,426,-15.31,"5,819",-15.42,1,0.00
2012,527,23.71,"5,701",-2.03,0,-100.00
2013,409,-22.39,"3,890",-31.77,0,--
