期間,總平均_原始值,總平均_年增率(%),第一類_原始值,第一類_年增率(%),第二類_原始值,第二類_年增率(%),第三類_原始值,第三類_年增率(%),第四類_原始值,第四類_年增率(%),第五類_原始值,第五類_年增率(%),第六類_原始值,第六類_年增率(%)
1995,"20,691",...,"23,351",...,"17,571",...,"16,501",...,"23,802",...,925,...,925,...
1996,"21,877",5.73,"24,684",5.71,"18,467",5.10,"17,400",5.45,"25,506",7.16,910,-1.62,910,-1.62
1997,"22,879",4.58,"25,866",4.79,"18,815",1.88,"18,300",5.17,"26,485",3.84,960,5.49,960,5.49
1998,"24,184",5.70,"27,462",6.17,"19,509",3.69,"19,200",4.92,"27,014",2.00,"1,007",4.90,"1,007",4.90
1999,"24,619",1.80,"28,026",2.05,"19,721",1.09,"19,200",0.00,"27,995",3.63,"1,007",0.00,"1,007",0.00
2000,"25,245",2.54,"28,876",3.03,"19,940",1.11,"19,200",0.00,"27,923",-0.26,"1,007",0.00,"1,007",0.00
2001,"25,693",1.77,"29,575",2.42,"20,260",1.60,"19,200",0.00,"1,007",...,"1,007",0.00,"1,007",0.00
2002,"27,671",7.70,"32,662",10.44,"20,687",2.11,"19,200",0.00,"1,078",7.05,"1,078",7.05,"1,007",0.00
2003,"27,974",1.10,"32,881",0.67,"20,917",1.11,"19,200",0.00,"1,078",0.00,"1,078",0.00,"1,007",0.00
2004,"28,329",1.27,"33,172",0.89,"21,271",1.69,"19,200",0.00,"1,078",0.00,"1,078",0.00,"1,007",0.00
2005,"29,497",4.12,"34,841",5.03,"21,763",2.31,"19,200",0.00,"1,078",0.00,"1,078",0.00,"1,007",0.00
2006,"30,066",1.93,"35,423",1.67,"22,494",3.36,"19,200",0.00,"1,078",0.00,"1,078",0.00,"1,007",0.00
2007,"31,427",4.53,"36,507",3.06,"24,203",7.60,"21,000",9.38,"1,317",22.17,"1,317",22.17,"1,099",9.14
2008,"31,672",0.78,"36,904",1.09,"24,472",1.11,"21,000",0.00,"1,317",0.00,"1,317",0.00,"1,099",0.00
2009,"31,847",0.55,"37,005",0.27,"25,095",2.55,"21,000",0.00,"1,376",4.48,"1,376",4.48,"1,099",0.00
2010,"32,544",2.19,"37,596",1.60,"25,813",2.86,"21,000",0.00,"1,376",0.00,"1,376",0.00,"1,249",13.65
2011,"33,505",2.95,"38,348",2.00,"26,884",4.15,"21,900",4.29,"1,376",0.00,"1,376",0.00,"1,249",0.00
2012,"34,087",1.74,"39,090",1.94,"26,776",-0.40,"21,900",0.00,"1,376",0.00,"1,376",0.00,"1,249",0.00
