期間,就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%)
1978M01,"6,117",...,"3,624",...,"1,014",...,367,...,610,...,244,...,259,...,"4,126",...,"2,413",...,716,...,269,...,366,...,162,...,201,...,"1,990",...,"1,211",...,298,...,98,...,244,...,82,...,58,...,125,...,34,...,33,...,17,...,25,...,12,...,5,...,76,...,22,...,21,...,10,...,11,...,9,...,3,...,49,...,12,...,12,...,6,...,14,...,3,...,2,...,"4,420",...,"2,688",...,503,...,429,...,483,...,136,...,181,...,"1,212",...,420,...,177,...,223,...,209,...,73,...,110,...,"3,208",...,"2,268",...,326,...,205,...,274,...,63,...,72,...
1978M02,"6,081",...,"3,535",...,"1,037",...,371,...,640,...,246,...,252,...,"4,121",...,"2,382",...,728,...,266,...,388,...,164,...,192,...,"1,960",...,"1,153",...,309,...,105,...,251,...,82,...,60,...,114,...,31,...,31,...,16,...,24,...,7,...,5,...,71,...,21,...,19,...,10,...,12,...,5,...,5,...,43,...,10,...,12,...,6,...,12,...,2,...,1,...,"4,468",...,"2,725",...,526,...,428,...,468,...,136,...,185,...,"1,205",...,416,...,188,...,213,...,203,...,76,...,110,...,"3,262",...,"2,309",...,338,...,215,...,265,...,60,...,75,...
1978M03,"6,066",...,"3,539",...,"1,035",...,348,...,626,...,254,...,264,...,"4,076",...,"2,350",...,727,...,252,...,385,...,167,...,195,...,"1,990",...,"1,189",...,309,...,96,...,241,...,87,...,68,...,108,...,26,...,28,...,16,...,26,...,9,...,4,...,67,...,18,...,18,...,9,...,14,...,4,...,3,...,41,...,8,...,10,...,6,...,12,...,4,...,1,...,"4,531",...,"2,681",...,576,...,449,...,495,...,147,...,184,...,"1,280",...,422,...,213,...,226,...,229,...,80,...,111,...,"3,251",...,"2,259",...,364,...,223,...,266,...,67,...,73,...
1978M04,"6,131",...,"3,579",...,"1,014",...,353,...,637,...,262,...,285,...,"4,142",...,"2,383",...,712,...,268,...,387,...,173,...,219,...,"1,989",...,"1,196",...,302,...,85,...,251,...,89,...,66,...,98,...,26,...,23,...,16,...,21,...,9,...,3,...,65,...,18,...,16,...,9,...,13,...,6,...,3,...,33,...,8,...,7,...,7,...,9,...,2,...,0,...,"4,488",...,"2,633",...,584,...,468,...,473,...,146,...,184,...,"1,216",...,387,...,209,...,239,...,200,...,70,...,112,...,"3,272",...,"2,247",...,375,...,229,...,273,...,76,...,72,...
1978M05,"6,155",...,"3,518",...,"1,030",...,385,...,658,...,267,...,298,...,"4,146",...,"2,330",...,727,...,289,...,400,...,177,...,222,...,"2,009",...,"1,188",...,303,...,95,...,258,...,90,...,75,...,106,...,28,...,24,...,15,...,24,...,10,...,5,...,77,...,22,...,18,...,10,...,14,...,10,...,3,...,29,...,6,...,5,...,5,...,10,...,1,...,2,...,"4,485",...,"2,637",...,605,...,454,...,462,...,137,...,189,...,"1,215",...,401,...,227,...,219,...,195,...,64,...,110,...,"3,270",...,"2,236",...,378,...,236,...,267,...,73,...,80,...
1978M06,"6,222",...,"3,560",...,"1,083",...,368,...,661,...,265,...,285,...,"4,153",...,"2,328",...,751,...,278,...,408,...,178,...,209,...,"2,069",...,"1,231",...,332,...,90,...,253,...,87,...,75,...,104,...,23,...,21,...,13,...,26,...,15,...,7,...,75,...,18,...,16,...,10,...,14,...,13,...,4,...,29,...,4,...,5,...,4,...,12,...,2,...,3,...,"4,432",...,"2,627",...,617,...,427,...,463,...,121,...,176,...,"1,208",...,418,...,233,...,199,...,197,...,65,...,95,...,"3,224",...,"2,209",...,384,...,228,...,266,...,56,...,81,...
1978M07,"6,452",...,"3,707",...,"1,078",...,394,...,708,...,287,...,277,...,"4,243",...,"2,382",...,735,...,288,...,434,...,194,...,210,...,"2,209",...,"1,325",...,343,...,106,...,275,...,93,...,68,...,121,...,18,...,26,...,14,...,37,...,15,...,12,...,72,...,14,...,16,...,9,...,18,...,8,...,7,...,49,...,4,...,10,...,5,...,19,...,6,...,5,...,"4,210",...,"2,533",...,574,...,406,...,414,...,120,...,163,...,"1,132",...,391,...,225,...,190,...,162,...,63,...,101,...,"3,078",...,"2,142",...,350,...,216,...,252,...,57,...,61,...
1978M08,"6,442",...,"3,640",...,"1,133",...,398,...,709,...,281,...,280,...,"4,262",...,"2,386",...,774,...,285,...,422,...,185,...,210,...,"2,181",...,"1,254",...,360,...,113,...,287,...,96,...,71,...,123,...,21,...,31,...,18,...,34,...,9,...,10,...,72,...,16,...,21,...,8,...,17,...,5,...,4,...,51,...,5,...,10,...,9,...,17,...,4,...,5,...,"4,249",...,"2,650",...,507,...,400,...,412,...,115,...,167,...,"1,127",...,433,...,176,...,190,...,169,...,57,...,102,...,"3,122",...,"2,217",...,331,...,210,...,243,...,58,...,64,...
1978M09,"6,289",...,"3,526",...,"1,160",...,399,...,684,...,275,...,245,...,"4,210",...,"2,355",...,806,...,288,...,406,...,176,...,180,...,"2,079",...,"1,171",...,354,...,111,...,278,...,99,...,66,...,121,...,24,...,29,...,17,...,27,...,12,...,12,...,75,...,17,...,19,...,9,...,12,...,9,...,8,...,46,...,7,...,9,...,8,...,14,...,3,...,5,...,"4,432",...,"2,747",...,445,...,445,...,487,...,130,...,179,...,"1,188",...,446,...,138,...,214,...,213,...,65,...,112,...,"3,245",...,"2,301",...,307,...,231,...,274,...,65,...,67,...
1978M10,"6,281",...,"3,543",...,"1,145",...,400,...,668,...,282,...,243,...,"4,236",...,"2,383",...,793,...,287,...,406,...,188,...,179,...,"2,046",...,"1,160",...,352,...,113,...,263,...,95,...,63,...,97,...,21,...,22,...,17,...,22,...,8,...,7,...,60,...,16,...,16,...,12,...,7,...,5,...,4,...,38,...,5,...,6,...,5,...,15,...,4,...,2,...,"4,497",...,"2,755",...,458,...,464,...,499,...,133,...,188,...,"1,196",...,439,...,148,...,223,...,209,...,67,...,111,...,"3,300",...,"2,316",...,310,...,242,...,289,...,66,...,78,...
