期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),用水供應及污染整治業_原始值,用水供應及污染整治業_年增率(%),用水供應及污染整治業_原始值,用水供應及污染整治業_年增率(%),用水供應及污染整治業_原始值,用水供應及污染整治業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),運輸及倉儲業_原始值,運輸及倉儲業_年增率(%),運輸及倉儲業_原始值,運輸及倉儲業_年增率(%),運輸及倉儲業_原始值,運輸及倉儲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),資訊及通訊傳播業_原始值,資訊及通訊傳播業_年增率(%),資訊及通訊傳播業_原始值,資訊及通訊傳播業_年增率(%),資訊及通訊傳播業_原始值,資訊及通訊傳播業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),不動產業_原始值,不動產業_年增率(%),不動產業_原始值,不動產業_年增率(%),不動產業_原始值,不動產業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),支援服務業_原始值,支援服務業_年增率(%),支援服務業_原始值,支援服務業_年增率(%),支援服務業_原始值,支援服務業_年增率(%),公共行政及國防；強制性社會安全_原始值,公共行政及國防；強制性社會安全_年增率(%),公共行政及國防；強制性社會安全_原始值,公共行政及國防；強制性社會安全_年增率(%),公共行政及國防；強制性社會安全_原始值,公共行政及國防；強制性社會安全_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),醫療保健及社會工作服務業_原始值,醫療保健及社會工作服務業_年增率(%),醫療保健及社會工作服務業_原始值,醫療保健及社會工作服務業_年增率(%),醫療保健及社會工作服務業_原始值,醫療保健及社會工作服務業_年增率(%),藝術、娛樂及休閒服務業_原始值,藝術、娛樂及休閒服務業_年增率(%),藝術、娛樂及休閒服務業_原始值,藝術、娛樂及休閒服務業_年增率(%),藝術、娛樂及休閒服務業_原始值,藝術、娛樂及休閒服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%)
2001,"9,383",-1.15,"5,553",-2.07,"3,830",0.22,706,-,510,-,196,-,10,-,8,-,2,-,"2,594",-,"1,593",-,"1,001",-,28,-,25,-,4,-,54,-,40,-,14,-,745,-,666,-,79,-,"1,679",-,894,-,785,-,421,-,341,-,80,-,532,-,233,-,299,-,190,-,114,-,76,-,373,-,157,-,217,-,40,-,27,-,14,-,202,-,103,-,99,-,153,-,92,-,61,-,315,-,200,-,114,-,484,-,168,-,316,-,268,-,83,-,185,-,93,-,46,-,47,-,496,-,253,-,242,-
2002,"9,454",0.76,"5,547",-0.10,"3,907",2.02,709,0.52,515,0.91,195,-0.50,9,-7.85,8,-6.20,2,-15.24,"2,572",-0.87,"1,573",-1.25,998,-0.26,28,-0.08,25,-0.20,4,0.64,55,2.31,40,1.36,15,4.95,724,-2.85,649,-2.58,75,-5.07,"1,693",0.81,893,-0.16,800,1.92,407,-3.53,330,-3.33,77,-4.41,579,8.84,250,7.40,329,9.96,191,0.51,113,-0.36,77,1.82,380,1.84,158,1.13,222,2.35,41,1.62,27,0.90,14,3.03,220,8.56,112,8.78,107,8.33,158,3.57,95,3.34,63,3.91,316,0.48,199,-0.88,118,2.86,488,0.90,167,-0.25,321,1.52,281,4.79,84,1.22,197,6.39,107,16.06,53,15.22,55,16.88,496,0.18,256,1.25,240,-0.94
2003,"9,573",1.26,"5,579",0.57,"3,994",2.24,696,-1.94,499,-3.17,197,1.33,9,-7.08,7,-6.93,1,-7.78,"2,600",1.11,"1,593",1.28,"1,007",0.84,29,0.81,25,-0.29,4,8.28,59,7.72,44,9.08,16,4.06,701,-3.15,626,-3.51,75,-0.02,"1,698",0.30,891,-0.16,806,0.81,414,1.75,336,1.92,77,0.99,590,1.89,253,1.24,337,2.39,187,-1.96,115,1.61,72,-7.19,378,-0.50,156,-1.40,222,0.14,44,7.66,26,-2.40,18,26.79,224,1.96,111,-1.17,113,5.26,180,13.58,108,13.37,72,13.91,352,11.45,214,7.95,138,17.37,514,5.37,171,2.43,343,6.90,292,3.74,89,5.96,203,2.78,110,2.81,54,2.96,56,2.66,497,0.15,259,1.02,238,-0.78
2004,"9,786",2.22,"5,680",1.82,"4,106",2.80,642,-7.75,458,-8.22,184,-6.57,7,-15.86,6,-18.31,1,-3.57,"2,681",3.12,"1,646",3.32,"1,035",2.80,29,0.64,25,1.22,4,-3.00,64,8.14,48,10.08,16,2.65,732,4.43,655,4.65,77,2.60,"1,726",1.66,895,0.35,831,3.11,419,1.39,344,2.39,75,-2.94,605,2.57,261,3.19,344,2.10,195,4.43,119,3.86,76,5.34,390,3.23,161,3.08,229,3.34,55,24.30,35,32.10,20,12.87,234,4.67,120,8.00,114,1.40,183,1.69,102,-5.11,81,11.82,357,1.37,216,0.80,141,2.25,538,4.67,180,4.73,359,4.63,303,3.97,89,-0.59,215,5.97,114,3.55,57,5.28,57,1.88,510,2.60,263,1.70,247,3.58
2005,"9,942",1.60,"5,753",1.28,"4,190",2.04,590,-8.04,421,-7.97,169,-8.23,7,-4.54,6,-6.69,1,4.63,"2,732",1.88,"1,694",2.90,"1,038",0.26,28,-3.68,24,-4.18,4,-0.45,61,-4.70,45,-7.69,17,4.34,791,8.09,702,7.18,89,15.83,"1,726",0.00,887,-0.79,839,0.86,412,-1.80,337,-2.17,75,-0.06,634,4.86,267,2.44,367,6.70,199,1.92,121,1.22,78,3.03,406,3.98,167,3.39,239,4.40,61,11.90,40,15.12,21,6.38,258,10.04,131,9.60,126,10.50,194,6.32,111,8.61,84,3.43,336,-6.08,205,-4.91,130,-7.87,556,3.38,183,1.84,374,4.16,323,6.37,88,-0.95,235,9.39,116,1.56,57,-0.35,59,3.47,513,0.47,267,1.34,246,-0.46
2006,"10,111",1.70,"5,810",1.00,"4,301",2.66,554,-6.08,394,-6.47,160,-5.09,7,-6.21,5,-7.72,1,-0.54,"2,777",1.65,"1,726",1.88,"1,051",1.28,28,-0.44,24,-0.79,4,1.76,60,-2.32,44,-0.29,15,-7.74,829,4.80,735,4.66,95,5.88,"1,759",1.89,896,0.97,863,2.87,417,1.23,335,-0.49,82,8.93,665,4.94,278,4.01,387,5.62,209,5.03,125,3.45,84,7.47,407,0.31,160,-3.78,247,3.16,66,7.20,43,7.24,23,7.11,264,2.41,131,-0.11,133,5.03,205,5.31,118,6.84,86,3.28,334,-0.41,205,-0.26,129,-0.66,563,1.25,185,1.11,378,1.31,334,3.37,87,-0.79,246,4.93,111,-4.61,54,-5.36,57,-3.89,524,2.19,264,-1.03,259,5.69
2007,"10,294",1.81,"5,868",1.00,"4,426",2.90,543,-2.03,378,-4.11,165,3.10,6,-8.29,5,-9.93,1,-2.60,"2,842",2.37,"1,766",2.30,"1,077",2.49,28,1.37,24,2.77,4,-7.27,65,9.27,48,8.82,17,10.54,846,2.07,749,1.91,98,3.36,"1,782",1.34,885,-1.23,897,4.01,415,-0.41,333,-0.68,82,0.72,681,2.33,286,2.90,395,1.91,206,-1.22,125,-0.28,82,-2.62,404,-0.70,160,-0.11,244,-1.08,74,13.09,47,9.34,28,20.06,301,13.94,151,15.36,149,12.54,215,5.12,123,4.20,92,6.38,332,-0.72,197,-4.05,135,4.55,588,4.44,191,3.18,398,5.05,340,1.93,89,1.97,251,1.92,101,-9.08,50,-7.95,51,-10.15,523,-0.23,263,-0.60,260,0.14
2008,"10,403",1.06,"5,902",0.58,"4,501",1.70,535,-1.44,374,-1.11,162,-2.20,6,-5.09,4,-5.86,1,-2.53,"2,886",1.52,"1,790",1.40,"1,095",1.71,28,-0.50,24,-1.09,4,3.49,71,8.69,53,8.70,18,8.66,842,-0.56,746,-0.38,96,-1.90,"1,770",-0.69,872,-1.49,898,0.09,414,-0.37,329,-1.19,85,2.98,687,0.85,291,1.51,396,0.37,203,-1.54,119,-4.89,85,3.59,411,1.64,165,2.93,246,0.80,74,0.23,47,0.47,28,-0.16,317,5.26,159,4.64,158,5.90,231,7.41,131,5.84,101,9.52,343,3.54,200,1.85,143,6.02,605,2.81,198,3.77,407,2.35,355,4.32,91,2.51,264,4.96,98,-2.81,47,-4.80,51,-0.88,528,1.12,264,0.70,264,1.54
2009,"10,279",-1.20,"5,776",-2.13,"4,502",0.03,543,1.41,380,1.74,163,0.65,5,-17.34,4,-10.81,1,-37.75,"2,790",-3.30,"1,734",-3.15,"1,057",-3.55,29,2.88,25,2.88,4,2.86,73,2.61,54,2.26,19,3.60,788,-6.41,695,-6.82,93,-3.28,"1,735",-1.97,850,-2.53,885,-1.43,402,-2.80,318,-3.37,84,-0.58,693,0.99,289,-0.65,405,2.19,207,2.00,122,2.55,86,1.22,413,0.44,161,-2.08,252,2.13,68,-8.53,40,-15.44,28,3.23,315,-0.37,154,-2.79,161,2.06,232,0.34,131,0.39,101,0.28,382,11.19,223,11.26,159,11.10,613,1.37,200,1.21,413,1.45,368,3.64,90,-1.33,278,5.36,96,-1.68,48,0.66,49,-3.87,527,-0.34,260,-1.56,266,0.88
2010,"10,493",2.09,"5,880",1.79,"4,613",2.47,550,1.33,384,1.09,166,1.88,4,-11.56,3,-12.56,1,-7.29,"2,861",2.54,"1,781",2.70,"1,080",2.27,29,1.08,25,0.71,4,3.46,78,6.81,58,7.55,20,4.73,797,1.18,699,0.64,98,5.21,"1,747",0.68,851,0.13,896,1.21,404,0.45,317,-0.17,87,2.81,727,4.80,307,6.41,420,3.66,208,0.21,123,1.01,85,-0.92,428,3.67,161,-0.32,267,6.23,75,9.65,43,7.95,32,12.03,325,3.09,158,2.56,167,3.59,236,1.87,137,4.81,99,-1.94,389,1.77,222,-0.15,166,4.45,619,0.92,206,2.81,413,0.01,386,5.11,91,0.96,296,6.46,98,2.26,46,-3.20,52,7.59,532,1.11,267,2.46,266,-0.20
