期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),用水供應及污染整治業_原始值,用水供應及污染整治業_年增率(%),用水供應及污染整治業_原始值,用水供應及污染整治業_年增率(%),用水供應及污染整治業_原始值,用水供應及污染整治業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),運輸及倉儲業_原始值,運輸及倉儲業_年增率(%),運輸及倉儲業_原始值,運輸及倉儲業_年增率(%),運輸及倉儲業_原始值,運輸及倉儲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),資訊及通訊傳播業_原始值,資訊及通訊傳播業_年增率(%),資訊及通訊傳播業_原始值,資訊及通訊傳播業_年增率(%),資訊及通訊傳播業_原始值,資訊及通訊傳播業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),不動產業_原始值,不動產業_年增率(%),不動產業_原始值,不動產業_年增率(%),不動產業_原始值,不動產業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),支援服務業_原始值,支援服務業_年增率(%),支援服務業_原始值,支援服務業_年增率(%),支援服務業_原始值,支援服務業_年增率(%),公共行政及國防；強制性社會安全_原始值,公共行政及國防；強制性社會安全_年增率(%),公共行政及國防；強制性社會安全_原始值,公共行政及國防；強制性社會安全_年增率(%),公共行政及國防；強制性社會安全_原始值,公共行政及國防；強制性社會安全_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),醫療保健及社會工作服務業_原始值,醫療保健及社會工作服務業_年增率(%),醫療保健及社會工作服務業_原始值,醫療保健及社會工作服務業_年增率(%),醫療保健及社會工作服務業_原始值,醫療保健及社會工作服務業_年增率(%),藝術、娛樂及休閒服務業_原始值,藝術、娛樂及休閒服務業_年增率(%),藝術、娛樂及休閒服務業_原始值,藝術、娛樂及休閒服務業_年增率(%),藝術、娛樂及休閒服務業_原始值,藝術、娛樂及休閒服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%)
2001M01,"9,483",-0.12,"5,651",-0.90,"3,832",1.07,702,-,510,-,192,-,10,-,9,-,2,-,"2,676",-,"1,651",-,"1,025",-,27,-,23,-,4,-,47,-,33,-,13,-,804,-,717,-,87,-,"1,685",-,892,-,793,-,417,-,342,-,74,-,553,-,241,-,312,-,197,-,112,-,86,-,376,-,168,-,208,-,35,-,23,-,12,-,192,-,97,-,95,-,143,-,88,-,55,-,301,-,189,-,112,-,480,-,174,-,306,-,261,-,85,-,177,-,83,-,42,-,41,-,494,-,253,-,240,-
2001M02,"9,394",-0.13,"5,590",-1.31,"3,803",1.66,694,-,508,-,186,-,10,-,9,-,2,-,"2,659",-,"1,627",-,"1,032",-,26,-,24,-,3,-,51,-,36,-,15,-,778,-,698,-,79,-,"1,702",-,909,-,793,-,415,-,333,-,83,-,520,-,222,-,298,-,191,-,117,-,75,-,374,-,166,-,208,-,34,-,21,-,13,-,185,-,95,-,90,-,149,-,90,-,59,-,302,-,194,-,108,-,471,-,167,-,304,-,266,-,83,-,183,-,75,-,41,-,34,-,491,-,253,-,239,-
2001M03,"9,378",-0.55,"5,569",-1.52,"3,809",0.92,694,-,508,-,186,-,10,-,9,-,2,-,"2,642",-,"1,615",-,"1,027",-,28,-,24,-,3,-,52,-,39,-,13,-,767,-,692,-,75,-,"1,709",-,924,-,785,-,403,-,326,-,77,-,498,-,212,-,287,-,201,-,127,-,75,-,372,-,148,-,224,-,37,-,26,-,11,-,190,-,100,-,89,-,142,-,83,-,60,-,299,-,194,-,105,-,481,-,157,-,324,-,280,-,87,-,193,-,80,-,42,-,38,-,490,-,256,-,234,-
2001M04,"9,349",-1.09,"5,550",-2.09,"3,799",0.40,699,-,511,-,188,-,10,-,8,-,2,-,"2,613",-,"1,608",-,"1,006",-,28,-,24,-,4,-,52,-,38,-,14,-,749,-,672,-,77,-,"1,686",-,913,-,774,-,409,-,330,-,79,-,507,-,222,-,286,-,196,-,119,-,77,-,375,-,143,-,232,-,35,-,23,-,12,-,198,-,101,-,97,-,141,-,83,-,58,-,307,-,198,-,109,-,481,-,161,-,320,-,275,-,90,-,185,-,87,-,45,-,43,-,498,-,261,-,237,-
2001M05,"9,337",-1.40,"5,514",-2.53,"3,823",0.27,695,-,508,-,187,-,10,-,8,-,2,-,"2,588",-,"1,590",-,999,-,30,-,26,-,4,-,53,-,40,-,13,-,737,-,664,-,74,-,"1,696",-,905,-,791,-,424,-,341,-,84,-,514,-,230,-,284,-,178,-,101,-,78,-,372,-,155,-,217,-,39,-,25,-,14,-,210,-,95,-,115,-,141,-,87,-,54,-,313,-,197,-,116,-,487,-,170,-,317,-,263,-,83,-,180,-,94,-,46,-,48,-,493,-,244,-,248,-
2001M06,"9,360",-1.32,"5,523",-2.48,"3,838",0.41,698,-,493,-,205,-,10,-,9,-,2,-,"2,581",-,"1,602",-,980,-,29,-,26,-,4,-,55,-,40,-,16,-,740,-,665,-,75,-,"1,691",-,894,-,796,-,421,-,342,-,79,-,522,-,231,-,292,-,193,-,110,-,83,-,374,-,157,-,216,-,42,-,27,-,15,-,201,-,98,-,104,-,151,-,88,-,63,-,316,-,202,-,115,-,492,-,169,-,323,-,250,-,79,-,171,-,95,-,50,-,45,-,497,-,243,-,255,-
2001M07,"9,370",-1.48,"5,544",-2.28,"3,827",-0.29,707,-,508,-,199,-,10,-,9,-,2,-,"2,589",-,"1,582",-,"1,008",-,29,-,25,-,4,-,54,-,39,-,15,-,732,-,652,-,80,-,"1,682",-,906,-,777,-,426,-,345,-,81,-,535,-,229,-,305,-,192,-,119,-,72,-,369,-,158,-,211,-,42,-,24,-,18,-,199,-,104,-,94,-,156,-,87,-,69,-,313,-,200,-,113,-,483,-,174,-,309,-,252,-,75,-,177,-,98,-,49,-,49,-,502,-,259,-,243,-
2001M08,"9,384",-1.54,"5,554",-2.35,"3,831",-0.33,710,-,513,-,197,-,10,-,9,-,2,-,"2,580",-,"1,570",-,"1,010",-,31,-,27,-,4,-,51,-,38,-,13,-,734,-,654,-,80,-,"1,687",-,899,-,788,-,435,-,349,-,87,-,528,-,237,-,291,-,188,-,121,-,67,-,368,-,162,-,206,-,46,-,28,-,17,-,207,-,111,-,96,-,165,-,94,-,71,-,313,-,200,-,113,-,485,-,168,-,317,-,251,-,75,-,176,-,96,-,47,-,49,-,499,-,253,-,246,-
2001M09,"9,356",-1.57,"5,535",-2.35,"3,820",-0.42,716,-,511,-,205,-,10,-,9,-,2,-,"2,559",-,"1,588",-,971,-,31,-,26,-,4,-,54,-,41,-,13,-,728,-,647,-,81,-,"1,663",-,887,-,776,-,439,-,356,-,83,-,522,-,229,-,293,-,179,-,111,-,68,-,369,-,150,-,219,-,47,-,34,-,13,-,205,-,106,-,99,-,159,-,100,-,59,-,327,-,196,-,132,-,495,-,166,-,328,-,266,-,83,-,183,-,96,-,47,-,49,-,491,-,248,-,243,-
2001M10,"9,362",-1.67,"5,524",-2.47,"3,838",-0.50,713,-,509,-,204,-,9,-,8,-,2,-,"2,553",-,"1,574",-,979,-,30,-,27,-,4,-,58,-,43,-,14,-,721,-,636,-,84,-,"1,647",-,871,-,776,-,435,-,354,-,81,-,549,-,239,-,310,-,185,-,111,-,74,-,374,-,157,-,216,-,39,-,28,-,11,-,203,-,105,-,98,-,161,-,101,-,60,-,331,-,207,-,124,-,488,-,174,-,314,-,279,-,82,-,197,-,94,-,44,-,50,-,492,-,253,-,240,-
2001M11,"9,395",-1.56,"5,535",-2.36,"3,860",-0.41,718,-,518,-,200,-,10,-,8,-,2,-,"2,546",-,"1,560",-,987,-,26,-,23,-,3,-,64,-,48,-,17,-,725,-,641,-,83,-,"1,643",-,866,-,777,-,417,-,336,-,80,-,562,-,253,-,309,-,190,-,109,-,81,-,375,-,160,-,215,-,42,-,28,-,13,-,219,-,116,-,103,-,161,-,100,-,61,-,329,-,213,-,115,-,480,-,167,-,312,-,287,-,87,-,200,-,105,-,44,-,61,-,498,-,256,-,242,-
2001M12,"9,422",-1.33,"5,545",-2.19,"3,877",-0.07,724,-,526,-,198,-,10,-,7,-,2,-,"2,540",-,"1,553",-,988,-,26,-,23,-,3,-,57,-,42,-,14,-,725,-,651,-,75,-,"1,659",-,866,-,793,-,416,-,343,-,74,-,569,-,249,-,320,-,184,-,107,-,77,-,383,-,156,-,227,-,45,-,30,-,15,-,216,-,111,-,105,-,164,-,100,-,65,-,325,-,214,-,111,-,480,-,166,-,314,-,291,-,90,-,201,-,107,-,52,-,55,-,502,-,261,-,242,-
2002M01,"9,447",-0.38,"5,552",-1.74,"3,895",1.63,718,2.29,524,2.64,194,1.37,9,-9.90,7,-14.14,2,10.75,"2,548",-4.79,"1,569",-5.00,979,-4.46,26,-4.30,23,-2.18,3,-17.42,59,25.95,40,20.26,19,39.97,731,-9.13,658,-8.26,73,-16.27,"1,672",-0.75,880,-1.36,792,-0.05,414,-0.61,337,-1.48,77,3.41,568,2.64,242,0.31,326,4.43,202,2.58,116,3.89,87,0.86,386,2.71,159,-5.38,227,9.23,45,30.84,27,18.33,18,55.37,211,10.17,109,12.26,102,8.02,160,12.02,97,9.54,64,16.02,325,8.05,203,7.34,122,9.25,477,-0.56,161,-7.81,317,3.58,287,10.01,82,-2.72,205,16.11,107,29.54,61,45.87,46,12.75,500,1.20,258,1.78,242,0.59
2002M02,"9,420",0.28,"5,541",-0.89,"3,879",2.00,714,2.92,529,4.21,185,-0.61,9,-9.55,8,-12.00,2,2.42,"2,559",-3.77,"1,568",-3.61,991,-4.03,26,0.33,23,-0.71,3,9.45,56,9.67,39,8.57,17,12.39,724,-6.94,645,-7.56,78,-1.43,"1,678",-1.38,899,-1.01,779,-1.81,403,-2.95,321,-3.45,82,-0.91,574,10.42,248,11.67,326,9.50,211,10.14,124,6.12,87,16.41,388,3.73,158,-4.92,230,10.62,37,8.92,21,0.53,16,22.99,215,15.91,119,24.52,96,6.75,155,4.20,95,4.98,60,3.00,319,5.70,198,1.87,122,12.56,468,-0.61,163,-2.15,305,0.24,280,5.43,86,3.80,194,6.17,107,42.67,54,32.25,53,55.04,496,0.99,242,-4.05,254,6.32
2002M03,"9,416",0.41,"5,532",-0.67,"3,885",1.99,708,1.95,533,4.84,175,-5.94,9,-10.99,8,-10.57,2,-12.95,"2,570",-2.71,"1,540",-4.62,"1,030",0.30,28,2.03,25,2.11,4,1.45,52,0.86,42,8.62,10,-22.17,720,-6.15,642,-7.28,78,4.24,"1,691",-1.09,911,-1.37,779,-0.76,411,1.89,331,1.61,80,3.09,577,15.65,246,15.96,331,15.42,185,-8.15,115,-9.34,70,-6.15,384,3.25,140,-5.60,244,9.12,36,-4.84,26,-1.06,10,-13.88,229,20.75,123,22.77,106,18.48,156,9.62,92,11.34,64,7.25,309,3.48,201,4.01,108,2.51,471,-2.03,166,6.04,305,-5.93,284,1.32,94,7.17,190,-1.33,104,29.82,47,10.62,57,51.21,491,0.29,250,-2.36,241,3.20
2002M04,"9,440",0.97,"5,538",-0.21,"3,902",2.71,712,1.94,528,3.28,185,-1.69,9,-10.71,8,-6.02,1,-30.02,"2,572",-1.58,"1,556",-3.21,"1,016",1.02,28,-1.90,24,0.83,3,-18.44,54,4.52,40,4.44,14,4.75,726,-3.09,655,-2.61,71,-7.25,"1,699",0.77,899,-1.53,801,3.48,410,0.12,333,0.91,77,-3.17,579,14.23,250,12.71,330,15.41,178,-9.08,104,-12.47,74,-3.87,385,2.73,144,1.09,241,3.74,39,10.15,29,22.33,10,-13.96,230,15.75,114,12.83,116,18.78,148,4.63,93,12.15,55,-6.13,304,-0.86,197,-0.56,108,-1.39,474,-1.45,159,-1.53,316,-1.40,286,3.77,93,3.63,192,3.84,104,18.31,48,6.49,56,30.70,503,1.00,266,1.64,238,0.30
2002M05,"9,451",1.22,"5,536",0.40,"3,915",2.41,709,2.03,516,1.55,193,3.34,9,-9.44,8,-0.98,1,-39.88,"2,572",-0.63,"1,571",-1.14,"1,000",0.17,27,-10.73,23,-12.01,4,-1.49,59,12.09,42,4.52,18,34.72,731,-0.81,661,-0.46,71,-3.96,"1,702",0.33,898,-0.74,803,1.55,405,-4.52,321,-5.76,84,0.54,583,13.44,255,10.92,328,15.48,176,-1.26,99,-2.02,77,-0.27,377,1.35,156,0.79,221,1.76,42,6.84,29,18.03,13,-12.51,227,7.92,102,7.81,124,8.01,143,1.25,85,-2.02,58,6.48,312,-0.29,200,1.25,112,-2.92,477,-2.04,164,-3.78,313,-1.11,280,6.56,87,5.47,192,7.06,110,17.44,52,14.43,58,20.27,511,3.72,266,8.85,245,-1.33
