期間,合計_原始值,合計_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),15~24歲_原始值,15~24歲_年增率(%),25~44歲_原始值,25~44歲_年增率(%),45~64歲_原始值,45~64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),國中及以下_原始值,國中及以下_年增率(%),高中(職)_原始值,高中(職)_年增率(%),大專及以上_原始值,大專及以上_年增率(%),初次尋職者_原始值,初次尋職者_年增率(%),非初次尋職者_原始值,非初次尋職者_年增率(%)
1993M01,15.11,...,14.31,...,16.38,...,13.87,...,16.00,...,18.78,...,18.09,...,13.95,...,13.07,...,19.31,...,14.86,...,15.24,...
1993M02,13.41,...,12.60,...,14.82,...,11.52,...,14.90,...,18.42,...,-,...,12.70,...,12.47,...,15.83,...,14.55,...,12.90,...
1993M03,15.17,...,15.87,...,14.11,...,14.43,...,15.26,...,20.39,...,6.00,...,13.54,...,14.26,...,19.35,...,18.78,...,13.87,...
1993M04,16.73,...,17.42,...,15.64,...,14.24,...,19.58,...,12.51,...,-,...,15.58,...,15.79,...,20.11,...,18.22,...,16.20,...
1993M05,17.57,...,17.78,...,17.23,...,13.29,...,19.94,...,31.37,...,2.00,...,19.21,...,14.73,...,20.66,...,22.71,...,16.13,...
1993M06,15.46,...,17.02,...,13.36,...,11.25,...,16.61,...,34.54,...,-,...,17.98,...,15.06,...,13.89,...,10.34,...,17.80,...
1993M07,12.62,...,13.22,...,11.97,...,9.20,...,15.86,...,23.86,...,-,...,10.24,...,14.27,...,12.39,...,8.56,...,15.52,...
1993M08,13.35,...,13.26,...,13.44,...,10.15,...,16.81,...,23.35,...,-,...,13.35,...,12.28,...,14.56,...,10.59,...,15.38,...
1993M09,14.15,...,14.50,...,13.71,...,10.82,...,17.30,...,17.05,...,8.00,...,15.73,...,13.78,...,13.41,...,12.98,...,14.84,...
1993M10,15.23,...,15.54,...,14.77,...,11.30,...,19.67,...,11.74,...,12.00,...,13.90,...,15.93,...,15.29,...,13.58,...,16.02,...
1993M11,16.69,...,15.61,...,18.40,...,11.91,...,20.79,...,25.03,...,-,...,15.05,...,15.01,...,21.07,...,15.05,...,17.29,...
1993M12,18.22,...,17.18,...,19.92,...,14.57,...,20.46,...,25.17,...,5.88,...,16.17,...,16.54,...,23.44,...,17.62,...,18.43,...
1994M01,17.03,12.71,15.34,7.20,19.76,20.63,16.36,17.95,16.74,4.63,26.13,39.14,12.00,-33.67,14.89,6.74,16.71,27.85,19.99,3.52,18.30,23.15,16.63,9.12
1994M02,12.93,-3.58,12.11,-3.89,14.36,-3.10,12.72,10.42,12.94,-13.15,14.18,-23.02,12.87,--,9.86,-22.36,12.94,3.77,18.32,15.73,20.03,37.66,11.32,-12.25
1994M03,14.25,-6.06,14.36,-9.51,14.05,-0.43,13.53,-6.24,14.96,-1.97,13.97,-31.49,3.00,-50.00,15.62,15.36,11.14,-21.88,18.08,-6.56,17.42,-7.24,13.23,-4.61
1994M04,17.23,2.99,17.17,-1.44,17.33,10.81,14.86,4.35,19.59,0.05,14.62,16.87,-,--,17.17,10.21,16.07,1.77,19.32,-3.93,19.06,4.61,16.60,2.47
1994M05,16.23,-7.63,16.70,-6.07,15.38,-10.74,13.44,1.13,17.96,-9.93,21.04,-32.93,-,--,14.32,-25.46,15.42,4.68,20.66,0.00,17.52,-22.85,15.77,-2.23
1994M06,14.81,-4.20,15.73,-7.58,13.37,0.07,10.68,-5.07,16.88,1.63,23.29,-32.57,-,--,13.67,-23.97,15.47,2.72,14.91,7.34,12.75,23.31,15.91,-10.62
1994M07,16.29,29.08,16.25,22.92,16.33,36.42,11.55,25.54,20.44,28.88,20.62,-13.58,28.00,--,18.85,84.08,15.78,10.58,14.90,20.26,15.60,82.24,16.75,7.93
1994M08,15.99,19.78,16.57,24.96,15.37,14.36,11.01,8.47,21.84,29.92,15.07,-35.46,10.41,--,17.73,32.81,14.66,19.38,16.21,11.33,14.37,35.69,17.04,10.79
1994M09,15.55,9.89,15.83,9.17,15.17,10.65,12.22,12.94,19.47,12.54,12.62,-25.98,-,--,15.86,0.83,15.35,11.39,15.53,15.81,13.43,3.47,16.77,13.01
1994M10,15.13,-0.66,15.28,-1.67,14.92,1.02,12.90,14.16,16.93,-13.93,18.78,59.97,2.00,-83.33,14.95,7.55,15.04,-5.59,15.40,0.72,14.37,5.82,15.45,-3.56
1994M11,16.02,-4.01,16.94,8.52,14.60,-20.65,15.23,27.88,16.42,-21.02,18.20,-27.29,1.00,--,16.56,10.03,15.01,0.00,16.89,-19.84,16.98,12.82,15.67,-9.37
1994M12,17.31,-4.99,16.15,-6.00,18.94,-4.92,16.29,11.81,17.80,-13.00,22.14,-12.04,4.80,-18.37,13.68,-15.40,16.95,2.48,22.01,-6.10,20.96,18.96,15.97,-13.35
1995M01,18.02,5.81,16.24,5.87,20.48,3.64,16.38,0.12,19.51,16.55,18.94,-27.52,1.00,-91.67,15.49,4.03,17.69,5.86,22.01,10.11,20.32,11.04,17.22,3.55
1995M02,14.56,12.61,13.69,13.05,16.06,11.84,13.50,6.13,15.86,22.57,11.39,-19.68,3.00,-76.69,12.35,25.25,15.10,16.69,17.64,-3.71,17.98,-10.23,13.63,20.41
1995M03,17.78,24.77,16.95,18.04,19.42,38.22,16.01,18.33,18.35,22.66,22.89,63.85,-,--,15.39,-1.47,17.11,53.59,21.95,21.40,20.45,17.39,17.04,28.80
1995M04,17.90,3.89,17.30,0.76,19.02,9.75,16.43,10.57,18.89,-3.57,18.35,25.51,-,--,14.99,-12.70,16.46,2.43,24.60,27.33,18.28,-4.09,17.78,7.11
