期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),漁業人員_原始值,漁業人員_年增率(%),漁業人員_原始值,漁業人員_年增率(%)
1999M01,"3,254",...,"2,455",...,672,...,585,...,150,...,57,...,401,...,367,...,220,...,258,...,200,...,25,...,117,...,86,...,48,...,35,...,747,...,682,...,422,...,241,...,146,...,63,...,131,...,56,...
1999M02,"2,272",...,"1,438",...,406,...,260,...,0,...,35,...,525,...,159,...,144,...,56,...,90,...,66,...,148,...,58,...,87,...,32,...,321,...,346,...,382,...,192,...,169,...,157,...,0,...,77,...
1999M03,"3,269",...,"1,954",...,794,...,339,...,120,...,133,...,191,...,226,...,289,...,96,...,71,...,106,...,17,...,31,...,0,...,29,...,615,...,408,...,622,...,243,...,464,...,264,...,86,...,79,...
1999M04,"2,103",...,"2,025",...,437,...,423,...,147,...,76,...,132,...,161,...,100,...,174,...,92,...,38,...,0,...,28,...,30,...,20,...,611,...,409,...,165,...,289,...,328,...,379,...,61,...,28,...
1999M05,850,...,"1,806",...,84,...,420,...,0,...,0,...,65,...,99,...,76,...,107,...,0,...,0,...,0,...,0,...,0,...,0,...,298,...,412,...,93,...,329,...,140,...,339,...,94,...,100,...
1999M06,267,...,"5,497",...,60,...,"1,420",...,13,...,345,...,22,...,790,...,0,...,485,...,0,...,491,...,0,...,132,...,0,...,78,...,0,...,907,...,27,...,578,...,119,...,203,...,26,...,68,...
1999M07,"3,893",...,"2,014",...,970,...,504,...,230,...,0,...,529,...,406,...,318,...,209,...,305,...,27,...,38,...,85,...,49,...,65,...,610,...,258,...,444,...,264,...,210,...,95,...,190,...,101,...
1999M08,"4,450",...,"1,838",...,"1,326",...,566,...,108,...,46,...,627,...,176,...,415,...,81,...,267,...,182,...,89,...,0,...,99,...,0,...,684,...,219,...,358,...,125,...,409,...,318,...,68,...,125,...
1999M09,"3,265",...,"1,617",...,928,...,406,...,91,...,43,...,401,...,122,...,184,...,150,...,191,...,75,...,58,...,0,...,0,...,0,...,570,...,290,...,434,...,126,...,238,...,316,...,170,...,89,...
1999M10,"2,237",...,"1,617",...,568,...,356,...,174,...,51,...,227,...,86,...,214,...,55,...,94,...,37,...,0,...,0,...,0,...,0,...,504,...,424,...,243,...,248,...,108,...,207,...,105,...,153,...
1999M11,"1,402",...,"1,977",...,223,...,501,...,28,...,127,...,77,...,184,...,52,...,82,...,0,...,133,...,0,...,0,...,0,...,30,...,378,...,468,...,183,...,193,...,262,...,198,...,199,...,61,...
1999M12,"1,791",...,"2,827",...,433,...,686,...,73,...,59,...,199,...,354,...,125,...,107,...,50,...,161,...,40,...,59,...,46,...,47,...,431,...,492,...,126,...,548,...,154,...,153,...,114,...,161,...
2000M01,"2,340",-28.09,"3,340",36.05,613,-8.78,890,52.14,105,-30.00,107,87.72,314,-21.70,461,25.61,95,-56.82,286,10.85,152,-24.00,66,164.00,68,-41.88,123,43.02,53,10.42,87,148.57,341,-54.35,645,-5.43,310,-26.54,280,16.18,220,50.68,217,244.44,69,-47.33,178,217.86
2000M02,"2,759",21.43,"1,616",12.38,785,93.35,374,43.85,96,--,92,162.86,247,-52.95,207,30.19,283,96.53,198,253.57,96,6.67,96,45.45,84,-43.24,0,-100.00,64,-26.44,26,-18.75,511,59.19,323,-6.65,402,5.24,148,-22.92,147,-13.02,118,-24.84,44,--,34,-55.84
2000M03,"3,073",-6.00,"1,502",-23.13,669,-15.74,366,7.96,44,-63.33,70,-47.37,323,69.11,162,-28.32,243,-15.92,89,-7.29,132,85.92,11,-89.62,57,235.29,70,125.81,0,--,0,-100.00,582,-5.37,391,-4.17,450,-27.65,156,-35.80,531,14.44,144,-45.45,42,-51.16,43,-45.57
2000M04,"1,692",-19.54,"1,359",-32.89,222,-49.20,278,-34.28,62,-57.82,29,-61.84,175,32.58,140,-13.04,126,26.00,79,-54.60,14,-84.78,0,-100.00,20,--,0,-100.00,0,-100.00,0,-100.00,453,-25.86,206,-49.63,198,20.00,198,-31.49,335,2.13,368,-2.90,87,42.62,61,117.86
2000M05,"1,273",49.76,"1,704",-5.65,336,300.00,434,3.33,13,--,39,--,141,116.92,29,-70.71,23,-69.74,77,-28.04,0,--,23,--,0,--,0,--,20,--,0,--,291,-2.35,313,-24.03,112,20.43,315,-4.26,238,70.00,364,7.37,99,5.32,110,10.00
2000M06,956,258.05,"4,684",-14.79,195,225.00,"1,454",2.39,0,-100.00,239,-30.72,0,-100.00,637,-19.37,90,--,371,-23.51,90,--,313,-36.25,0,--,38,-71.21,0,--,72,-7.69,153,--,777,-14.33,84,211.11,520,-10.03,276,131.93,218,7.39,68,161.54,45,-33.82
2000M07,"5,498",41.23,"3,101",53.97,"1,407",45.05,677,34.33,209,-9.13,22,--,587,10.96,362,-10.84,416,30.82,330,57.89,316,3.61,161,496.30,85,123.68,131,54.12,50,2.04,60,-7.69,990,62.30,611,136.82,581,30.86,259,-1.89,759,261.43,447,370.53,98,-48.42,41,-59.41
2000M08,"3,388",-23.87,"2,715",47.71,754,-43.14,661,16.78,36,-66.67,78,69.57,489,-22.01,441,150.57,394,-5.06,316,290.12,134,-49.81,281,54.40,126,41.57,30,--,61,-38.38,0,--,602,-11.99,302,37.90,471,31.56,212,69.60,153,-62.59,247,-22.33,168,147.06,147,17.60
2000M09,"2,990",-8.42,"1,885",16.57,814,-12.28,317,-21.92,99,8.79,72,67.44,492,22.69,61,-50.00,238,29.35,59,-60.67,192,0.52,30,-60.00,0,-100.00,24,--,0,--,0,--,312,-45.26,314,8.28,293,-32.49,236,87.30,349,46.64,593,87.66,201,18.24,179,101.12
2000M10,"2,468",10.33,"2,302",42.36,374,-34.15,482,35.39,58,-66.67,33,-35.29,86,-62.11,233,170.93,176,-17.76,194,252.73,17,-81.91,67,81.08,517,--,0,--,0,--,0,--,348,-30.95,298,-29.72,494,103.29,289,16.53,273,152.78,494,138.65,125,19.05,212,38.56
2000M11,942,-32.81,"1,418",-28.28,179,-19.73,216,-56.89,31,10.71,29,-77.17,96,24.68,56,-69.57,31,-40.38,109,32.93,6,--,49,-63.16,0,--,20,--,0,--,0,-100.00,201,-46.83,327,-30.13,0,-100.00,170,-11.92,270,3.05,375,89.39,128,-35.68,67,9.84
2000M12,761,-57.51,"4,404",55.78,80,-81.52,883,28.72,22,-69.86,113,91.53,0,-100.00,570,61.02,0,-100.00,186,73.83,61,22.00,183,13.66,58,45.00,588,896.61,0,-100.00,49,4.26,74,-82.83,782,58.94,185,46.83,680,24.09,204,32.47,245,60.13,77,-32.46,125,-22.36
2001M01,"4,117",75.94,"1,501",-55.06,907,47.96,219,-75.39,125,19.05,15,-85.98,517,64.65,228,-50.54,249,162.11,156,-45.45,237,55.92,34,-48.48,611,798.53,120,-2.44,50,-5.66,60,-31.03,569,66.86,245,-62.02,700,125.81,274,-2.14,25,-88.64,0,-100.00,127,84.06,150,-15.73
2001M02,"2,946",6.78,697,-56.87,933,18.85,237,-36.63,111,15.62,126,36.96,255,3.24,20,-90.34,251,-11.31,22,-88.89,136,41.67,0,-100.00,101,20.24,0,--,60,-6.25,0,-100.00,573,12.13,187,-42.11,414,2.99,56,-62.16,77,-47.62,0,-100.00,35,-20.45,49,44.12
2001M03,"1,958",-36.28,"1,647",9.65,400,-40.21,380,3.83,87,97.73,70,0.00,159,-50.77,96,-40.74,47,-80.66,47,-47.19,0,-100.00,32,190.91,11,-80.70,0,-100.00,0,--,0,--,411,-29.38,437,11.76,202,-55.11,220,41.03,613,15.44,311,115.97,28,-33.33,54,25.58
2001M04,"1,581",-6.56,"2,513",84.92,446,100.90,502,80.58,35,-43.55,0,-100.00,98,-44.00,237,69.29,70,-44.44,178,125.32,115,721.43,150,--,10,-50.00,484,--,0,--,0,--,424,-6.40,328,59.22,149,-24.75,380,91.92,170,-49.25,254,-30.98,64,-26.44,0,-100.00
