期間,義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%)
2003,"9,257",...,"3,589",...,"5,668",...,"33,050",...,"14,047",...,"19,003",...,"45,860",...,"21,003",...,"24,857",...,"1,282",...,97,...,"1,185",...
2004,"9,684",4.61,"3,605",0.45,"6,079",7.25,"34,410",4.11,"13,687",-2.56,"20,723",9.05,"47,048",2.59,"19,740",-6.01,"27,308",9.86,"1,185",-7.57,76,-21.65,"1,109",-6.41
2005,"9,657",-0.28,"3,516",-2.47,"6,141",1.02,"34,453",0.12,"13,058",-4.60,"21,395",3.24,"47,040",-0.02,"18,494",-6.31,"28,546",4.53,"1,090",-8.02,42,-44.74,"1,048",-5.50
2006,"9,715",0.60,"3,498",-0.51,"6,217",1.24,"34,714",0.76,"12,962",-0.74,"21,752",1.67,"48,120",2.30,"18,436",-0.31,"29,684",3.99,"1,019",-6.51,47,11.90,972,-7.25
2007,"9,800",0.87,"3,486",-0.34,"6,314",1.56,"35,312",1.72,"12,809",-1.18,"22,503",3.45,"48,395",0.57,"18,403",-0.18,"29,992",1.04,"1,059",3.93,61,29.79,998,2.67
2008,"9,977",1.81,"3,539",1.52,"6,438",1.96,"35,836",1.48,"13,126",2.47,"22,710",0.92,"49,816",2.94,"19,884",8.05,"29,932",-0.20,"1,205",13.79,38,-37.70,987,-1.10
2009,"14,218",42.51,"4,345",22.77,"9,873",53.36,"47,853",33.53,"22,076",68.19,"25,777",13.51,"60,137",20.72,"25,574",28.62,"34,563",15.47,"1,828",51.70,222,484.21,"1,606",62.72
2010,"14,773",3.90,"4,305",-0.92,"10,468",6.03,"49,638",3.73,"21,747",-1.49,"27,891",8.20,"64,785",7.73,"26,616",4.07,"38,169",10.43,"1,605",-12.20,79,-64.41,"1,526",-4.98
2011,"15,416",4.35,"4,321",0.37,"11,095",5.99,"50,796",2.33,"21,346",-1.84,"29,450",5.59,"68,409",5.59,"26,085",-2.00,"42,324",10.89,"1,672",4.17,36,-54.43,"1,636",7.21
2012,"15,776",2.34,"4,387",1.53,"11,389",2.65,"51,770",1.92,"21,322",-0.11,"30,448",3.39,"69,823",2.07,"25,528",-2.14,"44,295",4.66,"1,622",-2.99,56,55.56,"1,566",-4.28
2013,"16,116",2.16,"4,406",0.43,"11,710",2.82,"52,661",1.72,"21,444",0.57,"31,217",2.53,"72,132",3.31,"25,850",1.26,"46,282",4.49,"1,514",-6.66,25,-55.36,"1,489",-4.92
