期間,爭議件數(件)_原始值,爭議件數(件)_年增率(%),爭議人數(人)_原始值,爭議人數(人)_年增率(%),爭議人數-涉及率(0/00)_原始值,爭議人數-涉及率(0/00)_年增率(%),處理方式(件)-協調_原始值,處理方式(件)-協調_年增率(%),處理方式(件)-調解_原始值,處理方式(件)-調解_年增率(%),處理方式(件)-仲裁_原始值,處理方式(件)-仲裁_年增率(%)
1989,"1,943",...,"62,391",...,11.21,-,"1,622",...,275,...,2,...
1990,"1,860",-4.27,"34,089",-45.36,6.09,-,"1,634",0.74,245,-10.91,0,-100.00
1991,"1,810",-2.69,"12,696",-62.76,2.24,-,"1,567",-4.10,231,-5.71,0,--
1992,"1,803",-0.39,"12,394",-2.38,2.12,-,"1,631",4.08,216,-6.49,1,--
1993,"1,878",4.16,"37,949",206.19,6.32,-,"1,681",3.07,189,-12.50,0,-100.00
1994,"2,061",9.74,"30,890",-18.60,5.01,-,"1,852",10.17,244,29.10,0,--
1995,"2,271",10.19,"27,342",-11.49,4.37,-,"2,039",10.10,201,-17.62,0,--
1996,"2,659",17.08,"21,654",-20.80,3.44,-,"2,431",19.23,241,19.90,0,--
1997,"2,600",-2.22,"81,004",274.08,12.61,-,"2,230",-8.27,344,42.74,0,--
1998,"4,138",59.15,"103,568",27.86,15.80,-,"3,641",63.27,461,34.01,0,--
1999,"5,860",41.61,"30,440",-70.61,4.60,-,"4,861",33.51,946,105.21,0,--
2000,"8,026",36.96,"56,543",85.75,8.38,-,"6,603",35.84,"1,445",52.75,0,--
2001,"10,955",36.49,"58,643",3.71,8.72,-,"8,807",33.38,"2,170",50.17,0,--
2002,"14,017",27.95,"105,714",80.27,15.61,-,"11,795",33.93,"2,050",-5.53,2,--
2003,"12,204",-12.93,"28,821",-72.74,4.18,-,"10,559",-10.48,"1,933",-5.71,0,-100.00
2004,"10,838",-11.19,"32,478",12.69,4.55,-,"9,199",-12.88,"1,724",-10.81,1,--
2005,"14,256",31.54,"85,544",163.39,11.66,-,"11,756",27.80,"2,135",23.84,0,-100.00
2006,"15,464",8.47,"81,639",-4.56,10.83,-,"12,796",8.85,"2,388",11.85,0,--
2007,"19,729",27.58,"121,563",48.90,15.72,-,"16,367",27.91,"2,846",19.18,0,--
2008,"24,540",24.39,"65,274",-46.30,8.26,-,"19,546",19.42,"4,320",51.79,0,--
2009,"30,385",23.82,"68,649",5.17,8.70,-,"25,441",30.16,"5,201",20.39,0,--
2010,"23,865",-21.46,"42,934",-37.46,5.30,-,"19,108",-24.89,"4,469",-14.07,0,--
2011,"22,629",-5.18,"44,022",2.53,5.29,-,"10,438",-45.37,"11,620",160.01,1,--
2012,"23,223",2.62,"41,255",-6.29,4.86,-,"1,190",-88.60,"21,781",87.44,3,200.00
2013,"23,927",3.03,"35,465",-14.03,4.00,-,"1,781",49.66,"21,034",-3.43,7,133.33
