期間,總計_原始值,總計_年增率(%),產業外籍勞工-合計_原始值,產業外籍勞工-合計_年增率(%),產業外籍勞工-農、林、漁、牧業(國內外船員)_原始值,產業外籍勞工-農、林、漁、牧業(國內外船員)_年增率(%),產業外籍勞工-製造業_原始值,產業外籍勞工-製造業_年增率(%),產業外籍勞工-製造業-重大投資_原始值,產業外籍勞工-製造業-重大投資_年增率(%),產業外籍勞工-營造業_原始值,產業外籍勞工-營造業_年增率(%),產業外籍勞工-營造業-重大公共工程_原始值,產業外籍勞工-營造業-重大公共工程_年增率(%),社福外籍勞工-合計_原始值,社福外籍勞工-合計_年增率(%),社福外籍勞工-看護工_原始值,社福外籍勞工-看護工_年增率(%),社福外籍勞工-家庭幫傭_原始值,社福外籍勞工-家庭幫傭_年增率(%)
1991,"2,999",...,"2,999",...,0,...,0,...,0,...,"2,999",...,"2,999",...,0,...,0,...,0,...
1992,"15,924",430.98,"15,255",408.67,70,--,"8,722",--,0,--,"6,463",115.51,"6,463",115.51,669,--,306,--,363,--
1993,"97,565",512.69,"90,040",490.23,426,508.57,"72,327",729.25,0,--,"17,287",167.48,"17,287",167.48,"7,525","1,024.81","1,320",331.37,"6,205","1,609.37"
1994,"151,989",55.78,"138,531",53.85,"1,044",145.07,"109,170",50.94,0,--,"28,317",63.81,"28,241",63.37,"13,458",78.84,"4,257",222.50,"9,201",48.28
1995,"189,051",24.38,"171,644",23.90,"1,454",39.27,"132,636",21.49,"11,089",--,"37,554",32.62,"35,117",24.35,"17,407",29.34,"8,902",109.11,"8,505",-7.56
1996,"236,555",25.13,"206,300",20.19,"1,384",-4.81,"162,482",22.50,"28,891",160.54,"42,434",12.99,"39,696",13.04,"30,255",73.81,"16,308",83.19,"13,947",63.99
1997,"248,396",5.01,"209,284",1.45,"1,144",-17.34,"165,534",1.88,"36,160",25.16,"42,606",0.41,"40,138",1.11,"39,112",29.27,"26,233",60.86,"12,879",-7.66
1998,"270,620",8.95,"217,252",3.81,"1,109",-3.06,"168,197",1.61,"49,718",37.49,"47,946",12.53,"44,702",11.37,"53,368",36.45,"41,844",59.51,"11,524",-10.52
1999,"294,967",9.00,"220,174",1.34,993,-10.46,"173,735",3.29,"67,369",35.50,"45,446",-5.21,"41,588",-6.97,"74,793",40.15,"67,063",60.27,"7,730",-32.92
2000,"326,515",10.70,"220,184",0.00,"1,185",19.34,"181,998",4.76,"71,624",6.32,"37,001",-18.58,"32,572",-21.68,"106,331",42.17,"98,508",46.89,"7,823",1.20
2001,"304,605",-6.71,"191,671",-12.95,"1,249",5.40,"157,055",-13.71,"61,258",-14.47,"33,367",-9.82,"29,619",-9.07,"112,934",6.21,"103,780",5.35,"9,154",17.01
2002,"303,684",-0.30,"182,973",-4.54,"2,935",134.99,"156,697",-0.23,"64,183",4.77,"23,341",-30.05,"21,191",-28.45,"120,711",6.89,"113,755",9.61,"6,956",-24.01
2003,"300,150",-1.16,"179,552",-1.87,"3,396",15.71,"162,039",3.41,"70,354",9.61,"14,117",-39.52,"12,747",-39.85,"120,598",-0.09,"115,724",1.73,"4,874",-29.93
2004,"314,034",4.63,"182,967",1.90,"3,089",-9.04,"167,694",3.49,"76,125",8.20,"12,184",-13.69,"7,763",-39.10,"131,067",8.68,"128,223",10.80,"2,844",-41.65
2005,"327,396",4.25,"183,381",0.23,"3,147",1.88,"166,928",-0.46,"79,569",4.52,"13,306",9.21,"6,193",-20.22,"144,015",9.88,"141,752",10.55,"2,263",-20.43
2006,"338,755",3.47,"184,970",0.87,"3,322",5.56,"169,903",1.78,"83,993",5.56,"11,745",-11.73,"5,884",-4.99,"153,785",6.78,"151,391",6.80,"2,394",5.79
2007,"357,937",5.66,"195,709",5.81,"3,786",13.97,"183,329",7.90,"86,582",3.08,"8,594",-26.83,"5,992",1.84,"162,228",5.49,"159,702",5.49,"2,526",5.51
2008,"365,060",1.99,"196,633",0.47,"4,865",28.50,"185,624",1.25,"74,757",-13.66,"6,144",-28.51,"4,467",-25.45,"168,427",3.82,"165,898",3.88,"2,529",0.12
2009,"351,016",-3.85,"176,073",-10.46,"6,452",32.62,"165,790",-10.69,"56,573",-24.32,"3,831",-37.65,"2,725",-39.00,"174,943",3.87,"172,647",4.07,"2,296",-9.21
2010,"379,653",8.16,"193,545",9.92,"7,745",20.04,"182,192",9.89,"46,644",-17.55,"3,608",-5.82,"2,833",3.96,"186,108",6.38,"183,826",6.48,"2,282",-0.61
2011,"425,660",12.12,"227,806",17.70,"8,670",11.94,"215,271",18.16,"29,348",-37.08,"3,865",7.12,"3,313",16.94,"197,854",6.31,"195,726",6.47,"2,128",-6.75
2012,"445,579",4.68,"242,885",6.62,"9,313",7.42,"230,604",7.12,"14,550",-50.42,"2,968",-23.21,"2,630",-20.62,"202,694",2.45,"200,530",2.45,"2,164",1.69
2013,"489,134",9.77,"278,919",14.84,"9,788",5.10,"265,741",15.24,"6,190",-57.46,"3,390",14.22,"2,848",8.29,"210,215",3.71,"208,081",3.77,"2,134",-1.39
