期間,單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%)
1987,"161,317",...,"73,290",...,"56,063",...,"2,267",...,"6,689",...,-,--,53,...,"1,078",...,39,...,"21,838",...,"5,321,733",...,"2,730,936",...,"851,557",...,"99,501",...,"163,644",...,-,--,"6,443",...,"1,140,159",...,"204,188",...,"125,305",...
1988,"202,767",25.69,"90,988",24.15,"91,306",62.86,"3,166",39.66,"6,711",0.33,884,--,56,5.66,"1,540",42.86,39,0.00,"8,077",-63.01,"5,980,157",12.37,"2,837,930",3.92,"1,130,551",32.76,"110,798",11.35,"173,418",5.97,"18,077",--,"6,590",2.28,"1,443,707",26.62,"167,722",-17.86,"91,364",-27.09
1989,"240,706",18.71,"103,161",13.38,"114,555",25.46,"3,550",12.13,"6,705",-0.09,930,5.20,54,-3.57,"1,786",15.97,39,0.00,"9,926",22.89,"6,549,661",9.52,"2,825,286",-0.45,"1,384,189",22.43,"121,299",9.48,"177,499",2.35,"16,899",-6.52,"6,085",-7.66,"1,733,169",20.05,"179,017",6.73,"106,218",16.26
1990,"265,497",10.30,"108,963",5.62,"131,534",14.82,"3,765",6.06,"6,794",1.33,965,3.76,65,20.37,"1,934",8.29,39,0.00,"11,438",15.23,"6,852,978",4.63,"2,758,716",-2.36,"1,531,813",10.67,"126,018",3.89,"185,208",4.34,"15,966",-5.52,"6,611",8.64,"1,925,717",11.11,"183,760",2.65,"119,169",12.19
1991,"294,807",11.04,"116,367",6.79,"151,213",14.96,"4,019",6.75,"6,853",0.87,882,-8.60,68,4.62,"2,031",5.02,39,0.00,"13,335",16.59,"7,281,445",6.25,"2,803,937",1.64,"1,695,313",10.67,"134,405",6.66,"190,905",3.08,"12,413",-22.25,"6,524",-1.32,"2,121,290",10.16,"182,597",-0.63,"134,061",12.50
1992,"333,582",13.15,"123,825",6.41,"179,211",18.52,"4,319",7.46,"7,041",2.74,832,-5.67,62,-8.82,"2,109",3.84,39,0.00,"16,144",21.06,"7,708,868",5.87,"2,778,831",-0.90,"1,911,196",12.73,"144,229",7.31,"195,487",2.40,"10,361",-16.53,"5,298",-18.79,"2,322,977",9.51,"186,118",1.93,"154,371",15.15
1993,"368,803",10.56,"129,235",4.37,"204,261",13.98,"4,628",7.15,"7,125",1.19,817,-1.80,65,4.84,"2,172",2.99,39,0.00,"20,461",26.74,"8,144,183",5.65,"2,792,633",0.50,"2,103,105",10.04,"153,545",6.46,"200,185",2.40,"8,904",-14.06,"5,819",9.83,"2,513,852",8.22,"189,954",2.06,"176,186",14.13
1994,"400,137",8.50,"133,358",3.19,"226,100",10.69,"4,974",7.48,"7,183",0.81,806,-1.35,78,20.00,"2,212",1.84,39,0.00,"25,387",24.08,"8,496,883",4.33,"2,806,647",0.50,"2,274,549",8.15,"160,909",4.80,"199,314",-0.44,"7,409",-16.79,"6,349",9.11,"2,653,511",5.56,"191,089",0.60,"197,106",11.87
1995,"386,206",-3.48,"129,214",-3.11,"218,462",-3.38,"5,031",1.15,"7,235",0.72,764,-5.21,70,-10.26,"2,255",1.94,39,0.00,"23,136",-8.87,"7,635,063",-10.14,"2,575,268",-8.24,"1,981,601",-12.88,"158,598",-1.44,"201,112",0.90,"6,191",-16.44,"6,142",-3.26,"2,338,955",-11.85,"188,940",-1.12,"178,256",-9.56
1996,"379,065",-1.85,"124,896",-3.34,"215,400",-1.40,"5,231",3.98,"7,434",2.75,780,2.09,78,11.43,"2,268",0.58,39,0.00,"22,939",-0.85,"7,434,299",-2.63,"2,516,610",-2.28,"1,944,446",-1.87,"162,957",2.75,"201,815",0.35,"5,703",-7.88,"7,323",19.23,"2,214,146",-5.34,"200,646",6.20,"180,653",1.34
1997,"381,231",0.57,"123,116",-1.43,"218,566",1.47,"5,512",5.37,"7,534",1.35,755,-3.21,60,-23.08,"2,278",0.44,39,0.00,"23,371",1.88,"7,500,917",0.90,"2,544,438",1.11,"2,015,444",3.65,"166,874",2.40,"206,843",2.49,"5,303",-7.01,"5,885",-19.64,"2,159,168",-2.48,"211,621",5.47,"185,341",2.60
1998,"385,402",1.09,"121,827",-1.05,"222,267",1.69,"5,865",6.40,"7,783",3.31,745,-1.32,80,33.33,"2,313",1.54,39,0.00,"24,483",4.76,"7,597,386",1.29,"2,535,369",-0.36,"2,091,027",3.75,"170,265",2.03,"237,696",14.92,"4,875",-8.07,"7,547",28.24,"2,128,149",-1.44,"227,684",7.59,"194,774",5.09
1999,"390,599",1.35,"120,654",-0.96,"226,897",2.08,"6,315",7.67,"7,901",1.52,722,-3.09,86,7.50,"2,372",2.55,39,0.00,"25,613",4.62,"7,738,971",1.86,"2,569,517",1.35,"2,170,663",3.81,"177,917",4.49,"249,137",4.81,"4,626",-5.11,"7,755",2.76,"2,111,348",-0.79,"241,401",6.02,"206,607",6.08
2000,"398,027",1.90,"120,075",-0.48,"232,992",2.69,"7,066",11.89,"8,039",1.75,718,-0.55,78,-9.30,"2,448",3.20,39,0.00,"26,572",3.74,"7,915,789",2.28,"2,592,368",0.89,"2,293,814",5.67,"187,658",5.48,"254,936",2.33,"4,180",-9.64,"7,458",-3.83,"2,105,000",-0.30,"253,469",5.00,"216,906",4.98
2001,"399,303",0.32,"117,507",-2.14,"234,720",0.74,"7,538",6.68,"8,579",6.72,711,-0.97,167,114.10,"2,541",3.80,39,0.00,"27,501",3.50,"7,779,127",-1.73,"2,413,724",-6.89,"2,267,775",-1.14,"194,570",3.68,"279,433",9.61,"3,846",-7.99,"11,489",54.05,"2,114,207",0.44,"268,643",5.99,"225,440",3.93
2002,"404,452",1.29,"115,821",-1.43,"240,134",2.31,"8,045",6.73,"8,556",-0.27,728,2.39,122,-26.95,"2,667",4.96,39,0.00,"28,340",3.05,"7,857,842",1.01,"2,423,541",0.41,"2,322,038",2.39,"196,377",0.93,"265,556",-4.97,"3,651",-5.07,"6,594",-42.61,"2,127,821",0.64,"282,851",5.29,"229,413",1.76
2003,"413,792",2.31,"115,244",-0.50,"247,882",3.23,"8,634",7.32,"8,587",0.36,728,0.00,126,3.28,"2,748",3.04,39,0.00,"29,804",5.17,"8,102,570",3.11,"2,458,390",1.44,"2,446,440",5.36,"204,368",4.07,"321,578",21.10,"3,399",-6.90,"4,292",-34.91,"2,129,400",0.07,"287,931",1.80,"246,772",7.57
2004,"429,030",3.68,"115,352",0.09,"260,593",5.13,"9,176",6.28,"8,519",-0.79,713,-2.06,141,11.90,"2,816",2.47,39,0.00,"31,681",6.30,"8,341,927",2.95,"2,520,829",2.54,"2,597,543",6.18,"213,156",4.30,"300,012",-6.71,"3,043",-10.47,"4,234",-1.35,"2,154,870",1.20,"289,326",0.48,"258,914",4.92
2005,"451,899",5.33,"119,324",3.44,"275,980",5.90,"9,651",5.18,"8,461",-0.68,659,-7.57,167,18.44,"2,925",3.87,39,0.00,"34,693",9.51,"8,540,755",2.38,"2,519,468",-0.05,"2,711,918",4.40,"223,019",4.63,"295,620",-1.46,"2,612",-14.16,"5,481",29.45,"2,214,918",2.79,"289,403",0.03,"278,316",7.49
2006,"462,233",2.29,"124,308",4.18,"279,312",1.21,"9,913",2.71,"8,458",-0.04,549,-16.69,134,-19.76,"3,054",4.41,39,0.00,"36,466",5.11,"8,681,145",1.64,"2,582,536",2.50,"2,720,908",0.33,"228,888",2.63,"308,799",4.46,"2,186",-16.31,"4,424",-19.28,"2,252,434",1.69,"290,484",0.37,"290,486",4.37
2007,"467,035",1.04,"126,920",2.10,"280,061",0.27,"10,064",1.52,"8,453",-0.06,531,-3.28,139,3.73,"3,147",3.05,39,0.00,"37,681",3.33,"8,799,405",1.36,"2,611,129",1.11,"2,752,489",1.16,"230,409",0.66,"310,364",0.51,"1,904",-12.90,"4,377",-1.06,"2,298,359",2.04,"290,767",0.10,"299,607",3.14
2008,"468,631",0.34,"127,693",0.61,"279,203",-0.31,"10,279",2.14,"8,481",0.33,480,-9.60,144,3.60,"3,235",2.80,39,0.00,"39,077",3.70,"8,795,248",-0.05,"2,519,651",-3.50,"2,718,637",-1.23,"236,725",2.74,"343,462",10.66,"1,715",-9.93,"4,144",-5.32,"2,373,592",3.27,"286,091",-1.61,"311,231",3.88
