期間,單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%)
1999M01,"385,306",...,"121,540",...,"222,317",...,"5,903",...,"7,791",...,744,...,87,...,"2,324",...,39,...,"24,561",...,"7,616,374",...,"2,539,035",...,"2,102,053",...,"171,846",...,"238,784",...,"4,816",...,"9,128",...,"2,126,107",...,"228,814",...,"195,791",...
1999M02,"385,285",...,"121,377",...,"222,327",...,"5,927",...,"7,795",...,739,...,83,...,"2,323",...,39,...,"24,675",...,"7,581,124",...,"2,520,673",...,"2,086,524",...,"171,564",...,"238,996",...,"4,796",...,"8,760",...,"2,123,940",...,"230,271",...,"195,600",...
1999M03,"385,169",...,"121,112",...,"222,352",...,"5,968",...,"7,801",...,737,...,94,...,"2,327",...,39,...,"24,739",...,"7,563,319",...,"2,509,521",...,"2,078,084",...,"171,040",...,"240,926",...,"4,768",...,"9,409",...,"2,122,353",...,"231,437",...,"195,781",...
1999M04,"385,937",...,"121,165",...,"222,859",...,"6,022",...,"7,808",...,734,...,95,...,"2,337",...,39,...,"24,878",...,"7,580,289",...,"2,514,307",...,"2,084,404",...,"171,498",...,"241,461",...,"4,786",...,"9,447",...,"2,124,379",...,"232,992",...,"197,015",...
1999M05,"386,345",...,"121,004",...,"223,299",...,"5,972",...,"7,816",...,737,...,86,...,"2,337",...,39,...,"25,055",...,"7,586,830",...,"2,513,894",...,"2,088,431",...,"170,549",...,"241,665",...,"4,787",...,"9,023",...,"2,126,240",...,"233,848",...,"198,393",...
1999M06,"386,853",...,"120,987",...,"223,783",...,"6,010",...,"7,823",...,728,...,68,...,"2,345",...,39,...,"25,070",...,"7,594,209",...,"2,518,435",...,"2,095,288",...,"171,238",...,"240,284",...,"4,703",...,"7,808",...,"2,122,829",...,"234,939",...,"198,685",...
1999M07,"387,418",...,"120,899",...,"224,324",...,"6,037",...,"7,823",...,728,...,42,...,"2,347",...,39,...,"25,179",...,"7,639,314",...,"2,538,963",...,"2,125,604",...,"174,090",...,"233,004",...,"4,702",...,"5,886",...,"2,120,748",...,"235,586",...,"200,731",...
1999M08,"388,124",...,"120,866",...,"224,895",...,"6,096",...,"7,840",...,726,...,51,...,"2,350",...,39,...,"25,261",...,"7,639,031",...,"2,536,034",...,"2,130,047",...,"174,412",...,"231,515",...,"4,704",...,"6,711",...,"2,117,006",...,"237,123",...,"201,479",...
1999M09,"388,495",...,"120,751",...,"225,254",...,"6,152",...,"7,856",...,723,...,60,...,"2,354",...,39,...,"25,306",...,"7,666,406",...,"2,538,749",...,"2,142,001",...,"175,661",...,"241,409",...,"4,668",...,"7,787",...,"2,115,059",...,"238,066",...,"203,006",...
1999M10,"389,683",...,"120,779",...,"226,128",...,"6,227",...,"7,869",...,722,...,75,...,"2,359",...,39,...,"25,485",...,"7,694,337",...,"2,547,569",...,"2,155,112",...,"176,405",...,"243,894",...,"4,640",...,"8,461",...,"2,114,475",...,"238,867",...,"204,914",...
1999M11,"390,424",...,"120,809",...,"226,671",...,"6,270",...,"7,886",...,722,...,81,...,"2,366",...,39,...,"25,580",...,"7,718,914",...,"2,558,821",...,"2,164,107",...,"177,449",...,"245,501",...,"4,653",...,"8,742",...,"2,113,661",...,"240,194",...,"205,786",...
1999M12,"390,599",...,"120,654",...,"226,897",...,"6,315",...,"7,901",...,722,...,86,...,"2,372",...,39,...,"25,613",...,"7,738,971",...,"2,569,517",...,"2,170,663",...,"177,917",...,"249,137",...,"4,626",...,"7,755",...,"2,111,348",...,"241,401",...,"206,607",...
2000M01,"391,274",1.55,"120,581",-0.79,"227,476",2.32,"6,390",8.25,"7,913",1.57,724,-2.69,110,26.44,"2,379",2.37,39,0.00,"25,662",4.48,"7,765,956",1.96,"2,568,928",1.18,"2,191,369",4.25,"179,490",4.45,"249,384",4.44,"4,622",-4.03,"9,694",6.20,"2,111,882",-0.67,"242,653",6.05,"207,934",6.20
2000M02,"390,970",1.48,"120,368",-0.83,"227,279",2.23,"6,422",8.35,"7,911",1.49,724,-2.03,124,49.40,"2,388",2.80,39,0.00,"25,715",4.21,"7,725,926",1.91,"2,550,051",1.17,"2,170,401",4.02,"178,323",3.94,"250,038",4.62,"4,582",-4.46,"10,204",16.48,"2,111,051",-0.61,"244,348",6.11,"206,928",5.79
2000M03,"391,652",1.68,"120,452",-0.54,"227,723",2.42,"6,480",8.58,"7,917",1.49,723,-1.90,132,40.43,"2,393",2.84,39,0.00,"25,793",4.26,"7,738,929",2.32,"2,554,022",1.77,"2,177,207",4.77,"178,494",4.36,"250,630",4.03,"4,533",-4.93,"10,957",16.45,"2,110,592",-0.55,"245,225",5.96,"207,269",5.87
2000M04,"392,359",1.66,"120,451",-0.59,"228,230",2.41,"6,551",8.78,"7,929",1.55,727,-0.95,141,48.42,"2,403",2.82,39,0.00,"25,888",4.06,"7,757,485",2.34,"2,558,343",1.75,"2,186,511",4.90,"179,120",4.44,"251,797",4.28,"4,515",-5.66,"11,651",23.33,"2,111,354",-0.61,"246,624",5.85,"207,570",5.36
2000M05,"393,073",1.74,"120,429",-0.48,"228,811",2.47,"6,619",10.83,"7,934",1.51,719,-2.44,132,53.49,"2,412",3.21,39,0.00,"25,978",3.68,"7,769,203",2.40,"2,562,820",1.95,"2,193,520",5.03,"179,446",5.22,"251,596",4.11,"4,397",-8.15,"10,733",18.95,"2,110,198",-0.75,"247,943",6.03,"208,550",5.12
2000M06,"393,689",1.77,"120,446",-0.45,"229,315",2.47,"6,664",10.88,"7,947",1.59,720,-1.10,126,85.29,"2,417",3.07,39,0.00,"26,015",3.77,"7,803,010",2.75,"2,575,360",2.26,"2,215,118",5.72,"180,556",5.44,"251,529",4.68,"4,412",-6.19,"9,171",17.46,"2,107,965",-0.70,"249,565",6.23,"209,334",5.36
2000M07,"394,985",1.95,"120,483",-0.34,"230,420",2.72,"6,726",11.41,"7,962",1.78,714,-1.92,136,223.81,"2,426",3.37,39,0.00,"26,079",3.57,"7,867,323",2.98,"2,600,978",2.44,"2,251,663",5.93,"183,182",5.22,"248,082",6.47,"4,360",-7.27,"12,113",105.79,"2,106,062",-0.69,"250,180",6.19,"210,703",4.97
2000M08,"395,456",1.89,"120,344",-0.43,"230,855",2.65,"6,782",11.25,"7,967",1.62,715,-1.52,135,164.71,"2,435",3.62,39,0.00,"26,184",3.65,"7,872,427",3.06,"2,603,706",2.67,"2,256,878",5.95,"183,550",5.24,"243,715",5.27,"4,328",-7.99,"11,624",73.21,"2,105,788",-0.53,"251,081",5.89,"211,757",5.10
2000M09,"395,829",1.89,"120,212",-0.45,"231,239",2.66,"6,846",11.28,"7,991",1.72,718,-0.69,133,121.67,"2,438",3.57,39,0.00,"26,213",3.58,"7,890,599",2.92,"2,604,087",2.57,"2,265,203",5.75,"184,596",5.09,"250,392",3.72,"4,341",-7.01,"12,450",59.88,"2,104,623",-0.49,"251,928",5.82,"212,979",4.91
2000M10,"396,846",1.84,"120,236",-0.45,"231,980",2.59,"6,933",11.34,"8,009",1.78,719,-0.42,125,66.67,"2,441",3.48,39,0.00,"26,364",3.45,"7,910,058",2.80,"2,606,776",2.32,"2,277,768",5.69,"185,627",5.23,"253,456",3.92,"4,322",-6.85,"11,466",35.52,"2,103,353",-0.53,"252,657",5.77,"214,633",4.74
2000M11,"397,295",1.76,"120,181",-0.52,"232,359",2.51,"7,015",11.88,"8,021",1.71,716,-0.83,92,13.58,"2,443",3.25,39,0.00,"26,429",3.32,"7,916,672",2.56,"2,601,353",1.66,"2,287,183",5.69,"186,988",5.38,"254,923",3.84,"4,241",-8.85,"8,481",-2.99,"2,104,625",-0.43,"253,110",5.38,"215,768",4.85
2000M12,"398,027",1.90,"120,075",-0.48,"232,992",2.69,"7,066",11.89,"8,039",1.75,718,-0.55,78,-9.30,"2,448",3.20,39,0.00,"26,572",3.74,"7,915,789",2.28,"2,592,368",0.89,"2,293,814",5.67,"187,658",5.48,"254,936",2.33,"4,180",-9.64,"7,458",-3.83,"2,105,000",-0.30,"253,469",5.00,"216,906",4.98
