期間,單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%)
2003,"379,112",...,"109,782",...,"224,094",...,"8,400",...,"8,518",...,703,...,"27,615",...,"5,024,816",...,"2,147,508",...,"2,208,750",...,"192,184",...,"265,138",...,"2,831",...,"208,405",...
2004,"394,009",3.93,"109,743",-0.04,"236,766",5.65,"8,935",6.37,"8,473",-0.53,687,-2.28,"29,405",6.48,"5,242,310",4.33,"2,200,122",2.45,"2,351,449",6.46,"200,991",4.58,"268,318",1.20,"2,528",-10.70,"218,902",5.04
2005,"418,635",6.25,"113,644",3.55,"252,620",6.70,"9,490",6.21,"8,435",-0.45,622,-9.46,"33,824",15.03,"5,369,278",2.42,"2,188,485",-0.53,"2,452,845",4.31,"209,851",4.41,"279,647",4.22,"2,083",-17.60,"236,367",7.98
2006,"427,648",2.15,"118,116",3.94,"255,165",1.01,"9,725",2.48,"8,438",0.04,521,-16.24,"35,683",5.50,"5,447,373",1.45,"2,243,843",2.53,"2,453,389",0.02,"214,606",2.27,"288,248",3.08,"1,697",-18.53,"245,590",3.90
2007,"429,970",0.54,"119,670",1.32,"254,695",-0.18,"9,853",1.32,"8,439",0.01,493,-5.37,"36,820",3.19,"5,507,865",1.11,"2,264,871",0.94,"2,478,105",1.01,"215,662",0.49,"295,868",2.64,"1,524",-10.19,"251,835",2.54
2008,"429,428",-0.13,"119,313",-0.30,"253,225",-0.58,"10,036",1.86,"8,462",0.27,437,-11.36,"37,955",3.08,"5,420,549",-1.59,"2,180,222",-3.74,"2,439,877",-1.54,"220,519",2.25,"320,219",8.23,"1,342",-11.94,"258,370",2.59
2009,"436,372",1.62,"119,813",0.42,"257,107",1.53,"10,401",3.64,"8,484",0.26,430,-1.60,"40,137",5.75,"5,584,169",3.02,"2,203,030",1.05,"2,512,314",2.97,"234,401",6.30,"356,613",11.37,"1,272",-5.22,"276,539",7.03
2010,"447,838",2.63,"123,110",2.75,"263,356",2.43,"10,665",2.54,"8,405",-0.93,413,-3.95,"41,889",4.37,"5,880,500",5.31,"2,354,686",6.88,"2,648,781",5.43,"240,814",2.74,"346,923",-2.72,"1,203",-5.42,"288,093",4.18
2011,"460,045",2.73,"127,544",3.60,"269,373",2.28,"10,867",1.89,"8,473",0.81,396,-4.12,"43,392",3.59,"6,118,570",4.05,"2,426,588",3.05,"2,781,463",5.01,"249,713",3.70,"356,474",2.75,"1,152",-4.24,"303,180",5.24
2012,"464,610",0.99,"129,462",1.50,"271,252",0.70,"10,997",1.20,"8,453",-0.24,382,-3.54,"44,064",1.55,"6,224,341",1.73,"2,451,639",1.03,"2,834,734",1.92,"256,925",2.89,"369,991",3.79,"1,077",-6.51,"309,975",2.24
2013,"471,214",1.42,"132,356",2.24,"273,655",0.89,"11,271",2.49,"8,379",-0.88,345,-9.69,"45,208",2.60,"6,310,245",1.38,"2,498,151",1.90,"2,858,982",0.86,"261,564",1.81,"372,869",0.78,921,-14.48,"317,758",2.51
