期間,單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%)
2003M01,"368,592",...,...,...,...,...,...,...,...,...,...,...,...,...,"4,875,296",...,...,...,...,...,...,...,...,...,...,...,...,...
2003M02,"368,993",...,...,...,...,...,...,...,...,...,...,...,...,...,"4,860,981",...,...,...,...,...,...,...,...,...,...,...,...,...
2003M03,"368,443",...,...,...,...,...,...,...,...,...,...,...,...,...,"4,857,064",...,...,...,...,...,...,...,...,...,...,...,...,...
2003M04,"370,418",...,...,...,...,...,...,...,...,...,...,...,...,...,"4,876,252",...,...,...,...,...,...,...,...,...,...,...,...,...
2003M05,"371,478",...,...,...,...,...,...,...,...,...,...,...,...,...,"4,887,597",...,...,...,...,...,...,...,...,...,...,...,...,...
2003M06,"372,113",...,...,...,...,...,...,...,...,...,...,...,...,...,"4,884,402",...,...,...,...,...,...,...,...,...,...,...,...,...
2003M07,"373,075",...,...,...,...,...,...,...,...,...,...,...,...,...,"4,924,460",...,...,...,...,...,...,...,...,...,...,...,...,...
2003M08,"373,836",...,...,...,...,...,...,...,...,...,...,...,...,...,"4,940,695",...,...,...,...,...,...,...,...,...,...,...,...,...
2003M09,"374,574",...,...,...,...,...,...,...,...,...,...,...,...,...,"4,948,667",...,...,...,...,...,...,...,...,...,...,...,...,...
2003M10,"376,062",...,...,...,...,...,...,...,...,...,...,...,...,...,"4,983,654",...,...,...,...,...,...,...,...,...,...,...,...,...
2003M11,"377,852",...,...,...,...,...,...,...,...,...,...,...,...,...,"5,021,028",...,...,...,...,...,...,...,...,...,...,...,...,...
2003M12,"379,112",...,...,...,...,...,...,...,...,...,...,...,...,...,"5,024,816",...,...,...,...,...,...,...,...,...,...,...,...,...
2004M01,"379,731",3.02,...,...,...,...,...,...,...,...,...,...,...,...,"5,017,497",2.92,...,...,...,...,...,...,...,...,...,...,...,...
2004M02,"381,146",3.29,...,...,...,...,...,...,...,...,...,...,...,...,"5,035,162",3.58,...,...,...,...,...,...,...,...,...,...,...,...
2004M03,"382,524",3.82,...,...,...,...,...,...,...,...,...,...,...,...,"5,053,932",4.05,...,...,...,...,...,...,...,...,...,...,...,...
2004M04,"384,010",3.67,...,...,...,...,...,...,...,...,...,...,...,...,"5,082,959",4.24,...,...,...,...,...,...,...,...,...,...,...,...
2004M05,"385,334",3.73,...,...,...,...,...,...,...,...,...,...,...,...,"5,101,041",4.37,...,...,...,...,...,...,...,...,...,...,...,...
2004M06,"386,346",3.82,...,...,...,...,...,...,...,...,...,...,...,...,"5,145,467",5.34,...,...,...,...,...,...,...,...,...,...,...,...
2004M07,"387,933",3.98,...,...,...,...,...,...,...,...,...,...,...,...,"5,200,858",5.61,...,...,...,...,...,...,...,...,...,...,...,...
2004M08,"389,156",4.10,...,...,...,...,...,...,...,...,...,...,...,...,"5,193,949",5.13,...,...,...,...,...,...,...,...,...,...,...,...
2004M09,"390,522",4.26,...,...,...,...,...,...,...,...,...,...,...,...,"5,203,127",5.14,...,...,...,...,...,...,...,...,...,...,...,...
2004M10,"392,150",4.28,...,...,...,...,...,...,...,...,...,...,...,...,"5,242,254",5.19,...,...,...,...,...,...,...,...,...,...,...,...
2004M11,"393,294",4.09,...,...,...,...,...,...,...,...,...,...,...,...,"5,254,301",4.65,...,...,...,...,...,...,...,...,...,...,...,...
2004M12,"394,009",3.93,...,...,...,...,...,...,...,...,...,...,...,...,"5,242,310",4.33,...,...,...,...,...,...,...,...,...,...,...,...
2005M01,"394,737",3.95,...,...,...,...,...,...,...,...,...,...,...,...,"5,264,774",4.93,...,...,...,...,...,...,...,...,...,...,...,...
2005M02,"395,606",3.79,...,...,...,...,...,...,...,...,...,...,...,...,"5,226,316",3.80,...,...,...,...,...,...,...,...,...,...,...,...
2005M03,"396,125",3.56,...,...,...,...,...,...,...,...,...,...,...,...,"5,214,088",3.17,...,...,...,...,...,...,...,...,...,...,...,...
2005M04,"397,184",3.43,...,...,...,...,...,...,...,...,...,...,...,...,"5,230,724",2.91,...,...,...,...,...,...,...,...,...,...,...,...
2005M05,"398,160",3.33,...,...,...,...,...,...,...,...,...,...,...,...,"5,206,685",2.07,...,...,...,...,...,...,...,...,...,...,...,...
2005M06,"395,629",2.40,...,...,...,...,...,...,...,...,...,...,...,...,"5,161,673",0.31,...,...,...,...,...,...,...,...,...,...,...,...
2005M07,"402,423",3.74,...,...,...,...,...,...,...,...,...,...,...,...,"5,289,044",1.70,...,...,...,...,...,...,...,...,...,...,...,...
2005M08,"409,654",5.27,...,...,...,...,...,...,...,...,...,...,...,...,"5,317,091",2.37,...,...,...,...,...,...,...,...,...,...,...,...
2005M09,"412,643",5.66,...,...,...,...,...,...,...,...,...,...,...,...,"5,331,553",2.47,...,...,...,...,...,...,...,...,...,...,...,...
2005M10,"414,988",5.82,...,...,...,...,...,...,...,...,...,...,...,...,"5,352,083",2.10,...,...,...,...,...,...,...,...,...,...,...,...
2005M11,"417,379",6.12,...,...,...,...,...,...,...,...,...,...,...,...,"5,372,671",2.25,...,...,...,...,...,...,...,...,...,...,...,...
2005M12,"418,635",6.25,...,...,...,...,...,...,...,...,...,...,...,...,"5,369,278",2.42,...,...,...,...,...,...,...,...,...,...,...,...
2006M01,"420,260",6.47,...,...,...,...,...,...,...,...,...,...,...,...,"5,382,995",2.25,...,...,...,...,...,...,...,...,...,...,...,...
2006M02,"421,521",6.55,...,...,...,...,...,...,...,...,...,...,...,...,"5,356,262",2.49,...,...,...,...,...,...,...,...,...,...,...,...
2006M03,"423,131",6.82,...,...,...,...,...,...,...,...,...,...,...,...,"5,364,292",2.88,...,...,...,...,...,...,...,...,...,...,...,...
2006M04,"424,702",6.93,...,...,...,...,...,...,...,...,...,...,...,...,"5,387,213",2.99,...,...,...,...,...,...,...,...,...,...,...,...
2006M05,"425,175",6.78,...,...,...,...,...,...,...,...,...,...,...,...,"5,383,179",3.39,...,...,...,...,...,...,...,...,...,...,...,...
2006M06,"425,152",7.46,...,...,...,...,...,...,...,...,...,...,...,...,"5,375,450",4.14,...,...,...,...,...,...,...,...,...,...,...,...
2006M07,"425,702",5.78,...,...,...,...,...,...,...,...,...,...,...,...,"5,411,687",2.32,...,...,...,...,...,...,...,...,...,...,...,...
2006M08,"426,083",4.01,...,...,...,...,...,...,...,...,...,...,...,...,"5,411,845",1.78,...,...,...,...,...,...,...,...,...,...,...,...
2006M09,"426,716",3.41,...,...,...,...,...,...,...,...,...,...,...,...,"5,434,782",1.94,...,...,...,...,...,...,...,...,...,...,...,...
2006M10,"427,171",2.94,...,...,...,...,...,...,...,...,...,...,...,...,"5,438,250",1.61,...,...,...,...,...,...,...,...,...,...,...,...
2006M11,"427,719",2.48,...,...,...,...,...,...,...,...,...,...,...,...,"5,451,947",1.48,...,...,...,...,...,...,...,...,...,...,...,...
2006M12,"427,648",2.15,...,...,...,...,...,...,...,...,...,...,...,...,"5,447,373",1.45,...,...,...,...,...,...,...,...,...,...,...,...
2007M01,"427,992",1.84,...,...,...,...,...,...,...,...,...,...,...,...,"5,458,134",1.40,...,...,...,...,...,...,...,...,...,...,...,...
2007M02,"428,305",1.61,...,...,...,...,...,...,...,...,...,...,...,...,"5,418,578",1.16,...,...,...,...,...,...,...,...,...,...,...,...
2007M03,"428,190",1.20,...,...,...,...,...,...,...,...,...,...,...,...,"5,426,277",1.16,...,...,...,...,...,...,...,...,...,...,...,...
2007M04,"428,700",0.94,...,...,...,...,...,...,...,...,...,...,...,...,"5,422,001",0.65,...,...,...,...,...,...,...,...,...,...,...,...
2007M05,"429,183",0.94,...,...,...,...,...,...,...,...,...,...,...,...,"5,431,933",0.91,...,...,...,...,...,...,...,...,...,...,...,...
2007M06,"429,466",1.01,...,...,...,...,...,...,...,...,...,...,...,...,"5,433,345",1.08,...,...,...,...,...,...,...,...,...,...,...,...
2007M07,"429,654",0.93,...,...,...,...,...,...,...,...,...,...,...,...,"5,470,259",1.08,...,...,...,...,...,...,...,...,...,...,...,...
2007M08,"429,582",0.82,...,...,...,...,...,...,...,...,...,...,...,...,"5,480,672",1.27,...,...,...,...,...,...,...,...,...,...,...,...
2007M09,"430,065",0.78,...,...,...,...,...,...,...,...,...,...,...,...,"5,502,537",1.25,...,...,...,...,...,...,...,...,...,...,...,...
2007M10,"430,197",0.71,...,...,...,...,...,...,...,...,...,...,...,...,"5,513,474",1.38,...,...,...,...,...,...,...,...,...,...,...,...
2007M11,"430,629",0.68,...,...,...,...,...,...,...,...,...,...,...,...,"5,533,754",1.50,...,...,...,...,...,...,...,...,...,...,...,...
2007M12,"429,970",0.54,...,...,...,...,...,...,...,...,...,...,...,...,"5,507,865",1.11,...,...,...,...,...,...,...,...,...,...,...,...
2008M01,"430,280",0.53,...,...,...,...,...,...,...,...,...,...,...,...,"5,534,773",1.40,...,...,...,...,...,...,...,...,...,...,...,...
2008M02,"429,945",0.38,...,...,...,...,...,...,...,...,...,...,...,...,"5,489,377",1.31,...,...,...,...,...,...,...,...,...,...,...,...
2008M03,"430,299",0.49,...,...,...,...,...,...,...,...,...,...,...,...,"5,500,165",1.36,...,...,...,...,...,...,...,...,...,...,...,...
2008M04,"430,677",0.46,...,...,...,...,...,...,...,...,...,...,...,...,"5,506,902",1.57,...,...,...,...,...,...,...,...,...,...,...,...
2008M05,"430,637",0.34,...,...,...,...,...,...,...,...,...,...,...,...,"5,513,040",1.49,...,...,...,...,...,...,...,...,...,...,...,...
2008M06,"430,400",0.22,...,...,...,...,...,...,...,...,...,...,...,...,"5,487,430",1.00,...,...,...,...,...,...,...,...,...,...,...,...
2008M07,"430,230",0.13,...,...,...,...,...,...,...,...,...,...,...,...,"5,518,152",0.88,...,...,...,...,...,...,...,...,...,...,...,...
2008M08,"430,388",0.19,...,...,...,...,...,...,...,...,...,...,...,...,"5,525,378",0.82,...,...,...,...,...,...,...,...,...,...,...,...
2008M09,"430,446",0.09,...,...,...,...,...,...,...,...,...,...,...,...,"5,526,888",0.44,...,...,...,...,...,...,...,...,...,...,...,...
2008M10,"430,668",0.11,...,...,...,...,...,...,...,...,...,...,...,...,"5,526,153",0.23,...,...,...,...,...,...,...,...,...,...,...,...
2008M11,"430,531",-0.02,...,...,...,...,...,...,...,...,...,...,...,...,"5,514,378",-0.35,...,...,...,...,...,...,...,...,...,...,...,...
2008M12,"429,428",-0.13,...,...,...,...,...,...,...,...,...,...,...,...,"5,420,549",-1.59,...,...,...,...,...,...,...,...,...,...,...,...
2009M01,"429,544",-0.17,"119,155",...,"253,245",...,"10,043",...,"8,466",...,437,...,"38,198",...,"5,405,408",-2.34,"2,162,803",...,"2,442,759",...,"222,134",...,"317,027",...,"1,335",...,"259,350",...
2009M02,"429,131",-0.19,"118,992",...,"252,830",...,"10,075",...,"8,468",...,442,...,"38,324",...,"5,375,351",-2.08,"2,143,249",...,"2,418,159",...,"222,493",...,"330,555",...,"1,322",...,"259,573",...
2009M03,"428,697",-0.37,"118,753",...,"252,457",...,"10,090",...,"8,477",...,438,...,"38,482",...,"5,351,981",-2.69,"2,129,938",...,"2,401,658",...,"223,088",...,"335,379",...,"1,302",...,"260,616",...
2009M04,"428,994",-0.39,"118,702",...,"252,617",...,"10,146",...,"8,478",...,437,...,"38,614",...,"5,352,540",-2.80,"2,126,330",...,"2,402,553",...,"223,892",...,"336,981",...,"1,304",...,"261,480",...
2009M05,"432,017",0.32,"119,264",...,"254,374",...,"10,225",...,"8,500",...,442,...,"39,212",...,"5,435,105",-1.41,"2,158,036",...,"2,433,830",...,"227,938",...,"346,830",...,"1,354",...,"267,117",...
2009M06,"431,890",0.35,"119,160",...,"254,276",...,"10,235",...,"8,494",...,443,...,"39,282",...,"5,406,342",-1.48,"2,152,277",...,"2,432,357",...,"228,414",...,"325,440",...,"1,359",...,"266,495",...
2009M07,"432,653",0.56,"119,244",...,"254,721",...,"10,252",...,"8,513",...,441,...,"39,482",...,"5,453,553",-1.17,"2,165,299",...,"2,463,284",...,"231,738",...,"321,894",...,"1,344",...,"269,994",...
2009M08,"433,279",0.67,"119,230",...,"255,227",...,"10,245",...,"8,518",...,438,...,"39,621",...,"5,490,673",-0.63,"2,168,008",...,"2,468,412",...,"233,219",...,"348,767",...,"1,329",...,"270,938",...
2009M09,"434,123",0.85,"119,333",...,"255,738",...,"10,268",...,"8,525",...,437,...,"39,822",...,"5,549,407",0.41,"2,178,670",...,"2,483,275",...,"235,854",...,"375,995",...,"1,317",...,"274,296",...
