期間,勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%)
1982M01,22.67,-,57.40,-,42.23,-,17.61,-,22.73,-,74.13,-,74.76,-,43.22,-,257.20,-,108.30,-,176.01,-,40.92,-,71.19,-,25.28,-,13.93,-,26.64,-,29.66,-,51.47,-,41.57,-,36.37,-,23.96,-,93.02,-,8.67,-,13.93,-,18.27,-,46.67,-,54.73,-,47.59,-,80.96,-,46.77,-,21.02,-,25.03,-,131.59,-,61.11,-,47.23,-,295.29,-,130.77,-,37.62,-,56.27,-,77.10,-,11.67,-,25.72,-,19.50,-,100.60,-,66.16,-,92.65,-,208.51,-,96.98,-,109.14,-,77.73,-,96.74,-,101.68,-,112.06,-,44.89,-,334.13,-,168.29,-,192.75,-,72.90,-,76.12,-,76.73,-,46.14,-,58.65,-,104.01,-,62.97,-
1982M02,21.03,-,50.74,-,40.04,-,16.20,-,21.13,-,76.82,-,73.93,-,39.69,-,214.47,-,105.56,-,172.68,-,35.55,-,58.81,-,22.92,-,13.70,-,27.95,-,28.49,-,46.09,-,39.03,-,33.85,-,23.30,-,87.66,-,9.83,-,13.10,-,19.33,-,38.69,-,60.03,-,42.93,-,64.93,-,43.99,-,20.76,-,20.52,-,105.04,-,53.30,-,40.84,-,230.91,-,103.80,-,36.58,-,31.48,-,70.79,-,11.26,-,19.22,-,15.45,-,92.03,-,48.87,-,88.43,-,139.87,-,72.29,-,82.04,-,62.35,-,60.84,-,80.37,-,92.77,-,34.00,-,173.33,-,124.66,-,118.75,-,68.95,-,50.69,-,58.64,-,46.14,-,45.57,-,97.96,-,52.06,-
1982M03,21.74,-,56.82,-,42.43,-,17.37,-,21.84,-,75.16,-,66.55,-,42.49,-,269.18,-,106.04,-,207.68,-,38.80,-,64.04,-,20.96,-,13.49,-,26.32,-,35.70,-,51.66,-,42.84,-,35.60,-,22.50,-,85.25,-,10.17,-,13.68,-,20.76,-,40.39,-,60.03,-,44.94,-,60.47,-,44.92,-,19.27,-,20.93,-,91.80,-,47.85,-,40.76,-,193.60,-,90.48,-,29.35,-,30.96,-,58.72,-,8.48,-,17.43,-,10.66,-,75.19,-,40.50,-,87.98,-,128.40,-,68.41,-,61.14,-,52.33,-,52.39,-,65.00,-,88.98,-,31.43,-,163.54,-,114.17,-,103.19,-,60.51,-,46.42,-,50.44,-,43.35,-,38.15,-,84.71,-,49.53,-
1982M04,21.19,-,58.60,-,42.92,-,18.81,-,21.23,-,61.95,-,67.09,-,38.82,-,271.51,-,108.47,-,176.27,-,42.45,-,54.77,-,21.20,-,12.79,-,24.44,-,34.38,-,46.29,-,40.72,-,35.94,-,23.15,-,79.75,-,10.47,-,13.80,-,22.94,-,45.62,-,53.41,-,45.15,-,65.67,-,43.09,-,19.93,-,20.47,-,94.97,-,47.73,-,40.16,-,195.15,-,93.74,-,36.57,-,32.18,-,64.34,-,8.15,-,17.27,-,12.41,-,71.53,-,47.17,-,93.06,-,144.14,-,74.82,-,64.35,-,55.12,-,56.29,-,65.48,-,86.97,-,33.94,-,161.33,-,113.52,-,93.87,-,54.54,-,51.76,-,51.06,-,40.41,-,39.86,-,87.74,-,48.88,-
1982M05,21.83,-,53.54,-,40.16,-,15.74,-,21.81,-,57.18,-,65.74,-,41.24,-,282.35,-,112.97,-,189.28,-,41.35,-,55.74,-,22.54,-,14.04,-,26.09,-,35.73,-,59.25,-,40.40,-,34.77,-,23.58,-,85.32,-,9.93,-,13.67,-,24.68,-,44.60,-,57.00,-,44.76,-,69.17,-,41.11,-,20.70,-,21.87,-,93.76,-,48.08,-,41.46,-,195.55,-,93.09,-,40.44,-,32.63,-,61.19,-,7.92,-,16.96,-,12.01,-,77.49,-,45.83,-,85.87,-,129.82,-,69.06,-,60.51,-,47.17,-,58.15,-,67.66,-,84.64,-,32.73,-,175.00,-,114.42,-,90.89,-,59.56,-,49.54,-,50.90,-,38.97,-,43.18,-,82.15,-,46.55,-
1982M06,21.32,-,52.32,-,39.49,-,16.61,-,21.22,-,53.59,-,70.13,-,39.52,-,284.43,-,107.94,-,184.70,-,37.21,-,63.82,-,21.18,-,13.33,-,28.21,-,36.18,-,50.65,-,40.22,-,33.39,-,22.90,-,77.68,-,9.56,-,14.07,-,24.45,-,44.18,-,47.17,-,45.60,-,76.14,-,40.58,-,21.31,-,21.64,-,97.65,-,49.60,-,41.99,-,193.69,-,97.39,-,42.59,-,31.10,-,64.36,-,7.99,-,18.25,-,12.10,-,86.68,-,42.29,-,91.51,-,139.97,-,66.95,-,62.25,-,55.91,-,59.25,-,73.51,-,91.37,-,36.28,-,183.82,-,111.96,-,91.97,-,60.20,-,63.84,-,53.86,-,36.13,-,44.42,-,81.35,-,59.79,-
1982M07,20.82,-,50.30,-,37.77,-,14.64,-,20.65,-,57.15,-,69.41,-,38.90,-,255.10,-,102.00,-,162.39,-,39.92,-,54.85,-,24.12,-,12.31,-,26.89,-,34.28,-,48.57,-,36.73,-,32.64,-,24.71,-,78.84,-,9.86,-,14.33,-,24.25,-,38.97,-,49.02,-,41.78,-,64.84,-,37.40,-,22.54,-,23.60,-,96.16,-,50.07,-,42.77,-,210.90,-,96.31,-,39.74,-,29.70,-,65.32,-,8.76,-,18.04,-,13.14,-,74.70,-,48.29,-,72.93,-,139.47,-,67.80,-,63.01,-,55.75,-,61.07,-,72.43,-,78.96,-,34.62,-,175.40,-,110.13,-,92.40,-,63.06,-,59.43,-,55.98,-,40.77,-,45.63,-,75.03,-,45.87,-
1982M08,20.29,-,49.75,-,37.37,-,14.78,-,20.02,-,54.77,-,69.57,-,38.06,-,246.45,-,98.59,-,154.41,-,34.46,-,56.42,-,22.64,-,10.49,-,27.14,-,35.77,-,48.92,-,37.74,-,33.19,-,23.57,-,72.87,-,10.36,-,15.00,-,22.84,-,38.43,-,49.37,-,44.03,-,76.29,-,34.55,-,22.59,-,23.54,-,99.09,-,50.02,-,42.39,-,210.16,-,99.74,-,41.42,-,31.20,-,66.86,-,9.22,-,19.42,-,14.35,-,88.61,-,46.10,-,85.43,-,162.92,-,70.01,-,61.52,-,56.32,-,59.49,-,71.64,-,84.81,-,37.53,-,164.71,-,95.96,-,92.93,-,64.92,-,57.73,-,53.29,-,36.18,-,49.77,-,73.26,-,45.86,-
1982M09,21.40,-,50.25,-,37.97,-,15.70,-,21.24,-,57.68,-,72.42,-,37.11,-,260.28,-,100.84,-,169.38,-,41.74,-,55.58,-,24.09,-,13.33,-,27.49,-,35.87,-,54.31,-,38.39,-,35.92,-,23.71,-,76.82,-,9.78,-,16.49,-,20.80,-,40.32,-,45.82,-,47.98,-,71.17,-,40.72,-,21.48,-,24.28,-,97.20,-,52.80,-,44.57,-,212.66,-,97.13,-,41.28,-,31.89,-,69.09,-,8.72,-,19.47,-,13.36,-,78.07,-,50.60,-,82.30,-,136.16,-,73.21,-,67.78,-,52.15,-,59.89,-,68.57,-,87.08,-,36.38,-,182.39,-,90.75,-,101.58,-,63.77,-,65.30,-,52.57,-,38.76,-,45.08,-,80.27,-,50.14,-
1982M10,22.01,-,55.80,-,40.95,-,18.66,-,21.87,-,60.48,-,77.74,-,40.07,-,263.06,-,106.59,-,163.53,-,41.91,-,54.06,-,27.58,-,14.59,-,29.03,-,37.66,-,56.46,-,39.20,-,37.13,-,24.15,-,75.31,-,9.50,-,17.31,-,19.09,-,42.10,-,52.33,-,53.25,-,71.77,-,36.38,-,21.63,-,25.37,-,99.55,-,49.90,-,42.92,-,188.40,-,99.33,-,47.51,-,31.11,-,67.57,-,8.84,-,18.88,-,14.25,-,82.71,-,50.34,-,76.80,-,128.32,-,71.69,-,63.20,-,50.46,-,62.15,-,69.42,-,90.47,-,39.19,-,198.09,-,96.01,-,120.91,-,65.64,-,58.06,-,50.50,-,41.09,-,48.50,-,86.15,-,45.58,-
1982M11,20.90,-,56.95,-,42.66,-,15.95,-,20.84,-,58.99,-,76.65,-,38.91,-,253.41,-,103.88,-,162.64,-,36.46,-,51.88,-,22.48,-,14.32,-,26.91,-,35.72,-,49.01,-,38.89,-,38.03,-,23.21,-,74.10,-,9.11,-,17.11,-,17.33,-,39.83,-,57.05,-,49.52,-,59.79,-,33.81,-,18.45,-,23.46,-,100.51,-,47.99,-,41.40,-,209.91,-,100.00,-,43.60,-,29.06,-,67.03,-,8.87,-,19.05,-,14.50,-,88.49,-,53.25,-,90.08,-,123.91,-,75.83,-,63.63,-,58.86,-,60.79,-,66.06,-,88.75,-,38.31,-,194.81,-,90.07,-,127.79,-,66.99,-,50.92,-,52.86,-,46.34,-,51.09,-,90.99,-,46.05,-
1982M12,23.04,-,59.85,-,44.45,-,16.85,-,23.21,-,72.13,-,72.50,-,41.63,-,307.03,-,122.87,-,177.34,-,45.33,-,59.66,-,25.38,-,14.73,-,24.38,-,34.82,-,53.73,-,40.78,-,37.14,-,26.90,-,80.19,-,9.12,-,18.64,-,22.07,-,46.68,-,55.88,-,47.51,-,67.95,-,41.89,-,17.82,-,22.32,-,92.23,-,46.68,-,40.05,-,205.07,-,90.87,-,33.35,-,38.16,-,62.02,-,7.31,-,16.02,-,15.38,-,68.99,-,42.31,-,77.54,-,132.73,-,90.11,-,71.34,-,54.85,-,57.12,-,67.83,-,77.14,-,36.85,-,197.62,-,82.88,-,103.90,-,56.36,-,53.02,-,53.11,-,40.50,-,44.14,-,91.83,-,45.94,-
1983M01,22.76,0.40,61.00,6.27,46.68,10.54,16.96,-3.69,22.85,0.53,79.92,7.81,85.73,14.67,40.80,-5.60,231.15,-10.13,127.11,17.37,177.03,0.58,35.64,-12.90,60.38,-15.18,26.05,3.05,15.42,10.70,30.64,15.02,32.47,9.47,55.84,8.49,42.26,1.66,36.29,-0.22,25.36,5.84,93.38,0.39,8.88,2.42,16.03,15.08,22.06,20.74,42.22,-9.54,53.97,-1.39,41.67,-12.44,77.43,-4.36,42.48,-9.17,19.80,-5.80,22.15,-11.51,98.22,-25.36,46.02,-24.69,38.06,-19.42,210.87,-28.59,97.21,-25.66,30.11,-19.96,31.98,-43.17,65.71,-14.77,9.90,-15.17,15.57,-39.46,14.55,-25.38,86.69,-13.83,48.39,-26.86,81.85,-11.66,127.60,-38.80,75.52,-22.13,76.74,-29.69,52.97,-31.85,58.37,-39.66,69.94,-31.22,90.66,-19.10,34.02,-24.21,227.81,-31.82,123.10,-26.85,109.49,-43.20,66.68,-8.53,60.77,-20.17,68.85,-10.27,37.50,-18.73,45.87,-21.79,92.18,-11.37,53.04,-15.77
1983M02,22.97,9.22,56.42,11.19,52.24,30.47,12.71,-21.54,23.06,9.13,78.12,1.69,74.42,0.66,40.00,0.78,215.40,0.43,117.36,11.18,179.87,4.16,32.17,-9.51,61.46,4.51,23.68,3.32,17.26,25.99,28.06,0.39,35.67,25.20,62.59,35.80,42.46,8.79,34.08,0.68,28.52,22.40,86.22,-1.64,8.57,-12.82,16.36,24.89,22.50,16.40,44.56,15.17,48.76,-18.77,42.62,-0.72,87.51,34.78,45.34,3.07,18.06,-13.01,25.24,23.00,120.80,15.00,51.99,-2.46,34.06,-16.60,335.92,45.48,120.25,15.85,36.88,0.82,68.83,118.65,89.01,25.74,13.84,22.91,21.48,11.76,17.57,13.72,123.30,33.98,62.77,28.44,99.71,12.76,137.74,-1.52,100.30,38.75,89.33,8.89,64.78,3.90,73.82,21.33,105.28,30.99,85.13,-8.24,46.55,36.91,236.50,36.44,118.57,-4.89,141.89,19.49,82.17,19.17,72.90,43.82,78.61,34.06,42.13,-8.69,55.80,22.45,115.77,18.18,58.14,11.68
