期間,當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%)
1981Q1,"244,157",24.39,"48,584",-22.10,"14,162",122.18,"16,501",269.81,"42,286",192.72,"10,895",54.21,"11,403",-47.10,"26,647",273.26,"5,063",24.06,"10,188",33.16,"12,049",-52.38,"7,073",-53.34,"39,306",...,"73,304",27.09,"133,412",35.80,"113,881",24.90,"19,531",--,"195,975",9.23,"178,431",9.67,"17,544",4.97,"222,253",22.13,"204,633",20.92,"17,620",38.29,"424,595",21.44,"-1,277",--,"423,318",20.38,"399,915",4.58,"84,245",-29.73,"20,665",125.11,"16,053",80.13,"71,249",369.92,"12,800",37.62,"18,639",-61.63,"31,501",253.63,"2,464",-73.63,"14,301",-15.83,"54,493",-27.85,"12,539",-37.05,"60,966",...,"134,620",6.89,"178,788",21.03,"157,561",12.69,"21,227",--,"192,434",-0.17,"168,922",1.05,"23,512",-8.19,"245,358",6.90,"217,163",5.53,"28,195",18.74,"660,399",6.63,"-2,026",--,"658,373",5.64,61.05,18.95,57.67,10.86,68.53,-1.30,102.79,105.31,59.35,-37.71,85.12,12.06,61.18,37.88,84.59,5.55,205.48,370.52,71.24,58.21,22.11,-34.00,56.41,-25.87,64.47,...,54.45,18.90,74.62,12.21,72.28,10.83,--,--,101.84,9.42,105.63,8.53,74.62,14.33,90.58,14.25,94.23,14.58,62.49,16.47,64.29,13.89,--,--,64.30,13.96
1981Q2,"222,649",23.64,"46,538",-24.75,"12,378",51.84,"12,261",143.95,"39,606",439.96,"8,871",20.28,"10,404",-53.73,"25,173",325.15,"5,148",28.00,"9,370",7.96,"10,618",-40.07,"7,003",-48.28,"35,279",...,"74,322",27.81,"149,616",3.60,"140,452",5.66,"9,164",--,"237,823",23.61,"218,339",23.67,"19,484",22.98,"232,196",14.90,"211,042",13.29,"21,154",33.87,"452,214",21.25,"-2,725",--,"449,489",21.33,"359,755",4.89,"79,335",-32.89,"18,028",64.87,"11,920",33.33,"63,441",720.71,"10,486",10.26,"16,585",-66.55,"29,325",296.39,"2,491",-72.19,"13,523",-28.59,"47,608",-8.71,"11,975",-27.82,"55,038",...,"138,304",5.19,"206,916",-1.43,"197,018",0.07,"9,898",--,"233,376",14.60,"208,371",15.27,"25,005",9.30,"257,342",3.82,"224,322",2.23,"33,020",16.12,"681,009",6.38,"-4,266",--,"676,743",6.49,61.89,17.88,58.66,12.14,68.66,-7.90,102.86,82.96,62.43,-34.21,84.60,9.09,62.73,38.33,85.84,7.25,206.66,360.19,69.29,51.18,22.30,-34.34,58.48,-28.34,64.10,...,53.74,21.50,72.31,5.10,71.29,5.58,--,--,101.91,7.86,104.78,7.28,77.92,12.52,90.23,10.67,94.08,10.82,64.06,15.28,66.40,13.98,--,--,66.42,13.94
1981Q3,"246,400",18.93,"52,251",-21.43,"12,182",7.58,"14,634",142.32,"44,860",469.80,"10,247",29.22,"11,149",-52.02,"27,178",358.24,"5,561",32.34,"10,444",9.19,"12,701",-56.59,"6,993",-59.88,"38,200",...,"71,585",18.92,"114,081",-11.36,"114,411",1.60,-330,--,"249,877",22.60,"229,163",21.94,"20,714",30.40,"220,916",1.80,"194,992",-1.94,"25,924",42.77,"461,027",20.41,"-1,693",--,"459,334",19.32,"391,291",4.47,"85,897",-27.03,"17,941",37.87,"14,254",61.12,"68,984",758.86,"12,050",21.15,"17,453",-64.57,"31,993",349.97,"2,691",-69.31,"14,150",-26.96,"55,087",-30.50,"11,789",-42.52,"59,002",...,"133,600",4.55,"158,028",-9.14,"158,385",-1.09,-357,--,"239,501",14.21,"212,542",13.79,"26,959",17.56,"248,258",-4.46,"207,709",-8.60,"40,549",24.40,"674,162",7.68,"-2,600",--,"671,562",6.63,62.97,13.84,60.83,7.68,67.90,-21.97,102.67,50.40,65.03,-33.66,85.04,6.66,63.88,35.40,84.95,1.84,206.65,331.25,73.81,49.50,23.06,-37.53,59.32,-30.20,64.74,...,53.58,13.75,72.19,-2.44,72.24,2.71,--,--,104.33,7.35,107.82,7.16,76.84,10.93,88.99,6.55,93.88,7.28,63.93,14.76,68.39,11.83,--,--,68.40,11.90
1981Q4,"238,829",15.19,"48,772",-31.07,"13,112",45.06,"13,089",102.24,"41,812",279.21,"10,117",3.82,"12,289",-50.21,"22,996",268.64,"5,582",33.48,"10,076",8.60,"12,791",-43.55,"6,508",-56.81,"41,685",...,"70,733",9.05,"135,524",0.70,"128,099",5.21,"7,425",--,"237,245",14.25,"216,384",13.68,"20,861",20.58,"209,338",4.70,"189,057",3.44,"20,281",18.04,"472,993",14.11,"-3,958",--,"469,035",14.18,"381,051",5.20,"80,936",-35.59,"19,348",84.50,"12,656",33.52,"65,835",500.19,"11,891",16.92,"19,014",-63.80,"27,013",261.62,"2,709",-68.07,"13,298",-23.74,"52,660",-9.16,"10,725",-43.31,"64,966",...,"132,932",0.19,"189,311",-0.54,"181,152",3.82,"8,159",--,"228,630",8.64,"201,591",8.51,"27,039",9.62,"233,139",0.70,"201,864",-0.48,"31,275",9.01,"698,785",5.21,"-6,074",--,"692,711",5.29,62.68,9.49,60.26,7.01,67.77,-21.37,103.42,51.47,63.51,-36.82,85.08,-11.21,64.63,37.54,85.13,1.94,206.05,318.02,75.77,42.40,24.29,-37.86,60.68,-23.82,64.16,...,53.21,8.85,71.59,1.24,70.71,1.34,--,--,103.77,5.17,107.34,4.76,77.15,10.00,89.79,3.97,93.66,3.94,64.85,8.29,67.69,8.46,--,--,67.71,8.45
1982Q1,"264,282",8.24,"51,693",6.40,"14,942",5.51,"17,254",4.56,"47,571",12.50,"11,211",2.90,"12,819",12.42,"28,218",5.90,"5,703",12.64,"11,456",12.45,"13,124",8.92,"8,527",20.56,"41,764",6.25,"84,196",14.86,"97,626",-26.82,"110,994",-2.54,"-13,368",--,"215,305",9.86,"197,016",10.42,"18,289",4.25,"198,371",-10.75,"176,421",-13.79,"21,950",24.57,"463,038",9.05,"1,985",--,"465,023",9.85,"413,843",3.48,"85,641",1.66,"21,804",5.51,"16,713",4.11,"75,033",5.31,"13,048",1.94,"20,537",10.18,"33,843",7.43,"2,773",12.54,"15,224",6.45,"54,074",-0.77,"14,004",11.68,"61,149",0.30,"145,330",7.96,"140,459",-21.44,"156,072",-0.95,"-15,613",--,"209,212",8.72,"185,758",9.97,"23,454",-0.25,"223,378",-8.96,"189,340",-12.81,"34,038",20.72,"685,466",3.80,"3,040",--,"688,506",4.58,63.86,4.60,60.36,4.66,68.53,0.00,103.24,0.44,63.40,6.82,85.92,0.94,62.42,2.03,83.38,-1.43,205.66,0.09,75.25,5.63,24.27,9.77,60.89,7.94,68.30,5.94,57.93,6.39,69.50,-6.86,71.12,-1.60,--,--,102.91,1.05,106.06,0.41,77.98,4.50,88.81,-1.95,93.18,-1.11,64.49,3.20,67.55,5.07,--,--,67.54,5.04
1982Q2,"241,729",8.57,"49,228",5.78,"13,848",11.88,"12,979",5.86,"44,790",13.09,"9,314",4.99,"11,702",12.48,"27,677",9.95,"5,914",14.88,"10,461",11.64,"11,723",10.41,"8,744",24.86,"35,349",0.20,"83,117",11.83,"139,247",-6.93,"146,691",4.44,"-7,444",--,"242,230",1.85,"221,951",1.65,"20,279",4.08,"217,970",-6.13,"191,285",-9.36,"26,685",26.15,"488,353",7.99,"-3,341",--,"485,012",7.90,"377,653",4.98,"80,675",1.69,"20,148",11.76,"12,578",5.52,"69,593",9.70,"10,978",4.69,"18,401",10.95,"32,777",11.77,"2,876",15.46,"14,324",5.92,"48,233",1.31,"14,229",18.82,"52,841",-3.99,"148,506",7.38,"199,424",-3.62,"208,100",5.62,"-8,676",--,"231,316",-0.88,"206,521",-0.89,"24,795",-0.84,"246,253",-4.31,"205,661",-8.32,"40,592",22.93,"710,646",4.35,"-5,076",--,"705,570",4.26,64.01,3.43,61.02,4.02,68.73,0.10,103.19,0.32,64.36,3.09,84.84,0.28,63.59,1.37,84.44,-1.63,205.63,-0.50,73.03,5.40,24.30,8.97,61.45,5.08,66.90,4.37,55.97,4.15,69.82,-3.44,70.49,-1.12,--,--,104.72,2.76,107.47,2.57,81.79,4.97,88.51,-1.91,93.01,-1.14,65.74,2.62,68.72,3.49,--,--,68.74,3.49
1982Q3,"264,331",7.28,"55,788",6.77,"13,403",10.02,"15,940",8.92,"49,951",11.35,"10,815",5.54,"11,984",7.49,"29,947",10.19,"6,341",14.03,"11,595",11.02,"13,896",9.41,"8,509",21.68,"36,162",-5.34,"79,653",11.27,"113,590",-0.43,"113,203",-1.06,387,--,"253,842",1.59,"231,876",1.18,"21,966",6.04,"221,846",0.42,"189,532",-2.80,"32,314",24.65,"489,570",6.19,"1,542",--,"491,112",6.92,"408,249",4.33,"87,827",2.25,"19,684",9.72,"15,385",7.93,"75,718",9.76,"12,617",4.71,"18,672",6.98,"35,524",11.04,"3,083",14.57,"15,165",7.17,"56,330",2.26,"13,879",17.73,"54,365",-7.86,"140,676",5.30,"161,131",1.96,"160,677",1.45,454,--,"240,024",0.22,"212,224",-0.15,"27,800",3.12,"249,958",0.68,"200,906",-3.28,"49,052",20.97,"700,122",3.85,"2,297",--,"702,419",4.59,64.75,2.83,63.52,4.42,68.09,0.28,103.61,0.92,65.97,1.45,85.72,0.80,64.18,0.47,84.30,-0.77,205.68,-0.47,76.46,3.59,24.67,6.98,61.31,3.35,66.52,2.75,56.62,5.67,70.50,-2.34,70.45,-2.48,--,--,105.76,1.37,109.26,1.34,79.01,2.82,88.75,-0.27,94.34,0.49,65.88,3.05,69.93,2.25,--,--,69.92,2.22
1982Q4,"259,028",8.46,"52,050",6.72,"14,286",8.95,"14,241",8.80,"46,027",10.08,"10,756",6.32,"13,776",12.10,"26,404",14.82,"6,399",14.64,"11,327",12.42,"13,792",7.83,"8,030",23.39,"41,940",0.61,"76,775",8.54,"139,798",3.15,"131,072",2.32,"8,726",--,"241,094",1.62,"218,835",1.13,"22,259",6.70,"216,487",3.42,"190,864",0.96,"25,623",26.34,"500,208",5.75,-868,--,"499,340",6.46,"405,173",6.33,"84,210",4.05,"21,243",9.79,"13,647",7.83,"71,582",8.73,"12,510",5.21,"21,251",11.77,"30,951",14.58,"3,107",14.69,"14,931",12.28,"54,429",3.36,"13,019",21.39,"64,293",-1.04,"138,665",4.31,"194,430",2.70,"184,409",1.80,"10,021",--,"230,525",0.83,"201,857",0.13,"28,668",6.02,"242,798",4.14,"204,906",1.51,"37,892",21.16,"725,995",3.89,"-1,304",--,"724,691",4.62,63.93,1.99,61.81,2.57,67.25,-0.77,104.35,0.90,64.30,1.24,85.98,1.06,64.83,0.31,85.31,0.21,205.95,-0.05,75.86,0.12,25.34,4.32,61.68,1.65,65.23,1.67,55.37,4.06,71.90,0.43,71.08,0.52,--,--,104.58,0.78,108.41,1.00,77.64,0.64,89.16,-0.70,93.15,-0.54,67.62,4.27,68.90,1.79,--,--,68.90,1.76
1983Q1,"282,274",6.81,"55,811",7.97,"15,340",2.66,"18,433",6.83,"51,557",8.38,"11,615",3.60,"13,262",3.46,"30,200",7.02,"6,313",10.70,"12,327",7.60,"14,159",7.89,"10,200",19.62,"43,057",3.10,"89,433",6.22,"94,375",-3.33,"103,710",-6.56,"-9,335",--,"231,342",7.45,"211,433",7.32,"19,909",8.86,"201,193",1.42,"175,457",-0.55,"25,736",17.25,"496,231",7.17,"5,795",--,"502,026",7.96,"433,254",4.69,"89,183",4.14,"22,831",4.71,"17,604",5.33,"79,514",5.97,"13,332",2.18,"21,257",3.51,"35,289",4.27,"3,063",10.46,"16,116",5.86,"55,444",2.53,"16,661",18.97,"62,960",2.96,"152,092",4.65,"133,448",-4.99,"146,251",-6.29,"-12,803",--,"219,750",5.04,"194,314",4.61,"25,436",8.45,"228,377",2.24,"189,582",0.13,"38,795",13.98,"710,167",3.60,"8,637",--,"718,804",4.40,65.15,2.02,62.58,3.68,67.19,-1.96,104.71,1.42,64.84,2.27,87.12,1.40,62.39,-0.05,85.58,2.64,206.11,0.22,76.49,1.65,25.54,5.23,61.22,0.54,68.39,0.13,58.80,1.50,70.72,1.76,70.91,-0.30,--,--,105.28,2.30,108.81,2.59,78.27,0.37,88.10,-0.80,92.55,-0.68,66.34,2.87,69.88,3.45,--,--,69.84,3.41
1983Q2,"263,047",8.82,"53,886",9.46,"15,354",10.88,"14,044",8.21,"49,280",10.02,"10,162",9.10,"11,954",2.15,"33,322",20.40,"6,653",12.50,"11,239",7.44,"12,895",10.00,"10,781",23.30,"33,477",-5.30,"90,174",8.49,"131,145",-5.82,"136,020",-7.27,"-4,875",--,"285,317",17.79,"263,730",18.82,"21,587",6.45,"222,555",2.10,"191,948",0.35,"30,607",14.70,"547,128",12.04,"-4,903",--,"542,225",11.80,"400,868",6.15,"84,052",4.19,"22,411",11.23,"13,447",6.91,"76,179",9.46,"11,767",7.19,"18,833",2.35,"38,563",17.65,"3,227",12.20,"15,082",5.29,"50,020",3.70,"17,550",23.34,"49,737",-5.87,"156,377",5.30,"188,277",-5.59,"196,905",-5.38,"-8,628",--,"268,838",16.22,"242,323",17.34,"26,515",6.94,"249,374",1.27,"204,338",-0.64,"45,036",10.95,"764,986",7.65,"-7,247",--,"757,739",7.39,65.62,2.52,64.11,5.06,68.51,-0.32,104.44,1.21,64.69,0.51,86.36,1.79,63.47,-0.19,86.41,2.33,206.17,0.26,74.52,2.04,25.78,6.09,61.43,-0.03,67.31,0.61,57.66,3.02,69.66,-0.23,69.08,-2.00,--,--,106.13,1.35,108.83,1.27,81.41,-0.46,89.25,0.84,93.94,1.00,67.96,3.38,71.52,4.07,--,--,71.56,4.10
