期間,歲入淨額-總計_原始值,歲入淨額-總計_年增率(%),歲入淨額-經常門_原始值,歲入淨額-經常門_年增率(%),歲入淨額-資本門_原始值,歲入淨額-資本門_年增率(%),歲出淨額-總計_原始值,歲出淨額-總計_年增率(%),歲出淨額-經常門_原始值,歲出淨額-經常門_年增率(%),歲出淨額-資本門_原始值,歲出淨額-資本門_年增率(%),餘絀-總計_原始值,餘絀-總計_年增率(%),餘絀-經常門_原始值,餘絀-經常門_年增率(%),餘絀-資本門_原始值,餘絀-資本門_年增率(%),政府融資-淨收入_原始值,政府融資-淨收入_年增率(%),政府融資-發行公債收入_原始值,政府融資-發行公債收入_年增率(%),政府融資-賒借收入_原始值,政府融資-賒借收入_年增率(%),政府融資-移用以前年度歲計賸餘_原始值,政府融資-移用以前年度歲計賸餘_年增率(%),政府融資-債務還本支出_原始值,政府融資-債務還本支出_年增率(%)
1983,"461,117",...,"448,294",...,"12,823",...,"489,894",...,"334,612",...,"155,282",...,"-28,778",-,"113,681",...,"-142,459",-,"31,774",...,"22,300",...,"7,778",...,"9,961",...,"8,264",...
1984,"515,913",11.88,"503,021",12.21,"12,890",0.52,"506,224",3.33,"342,524",2.36,"163,699",5.42,"9,690",-,"160,496",41.18,"-150,809",-,"5,418",-82.95,"9,779",-56.15,"5,982",-23.09,"2,483",-75.08,"12,825",55.19
1985,"542,603",5.17,"531,075",5.58,"11,527",-10.57,"546,338",7.92,"382,713",11.73,"163,625",-0.05,"-3,735",-,"148,362",-7.56,"-152,098",-,"16,046",196.16,"24,088",146.33,"7,102",18.73,"2,246",-9.51,"17,391",35.60
1986,"584,838",7.78,"566,944",6.75,"17,895",55.24,"616,718",12.88,"434,112",13.43,"182,606",11.60,"-31,880",-,"132,831",-10.47,"-164,711",-,"35,423",120.76,"28,800",19.56,"7,441",4.77,"15,125",573.33,"15,943",-8.32
1987,"650,203",11.18,"629,488",11.03,"20,715",15.76,"641,911",4.09,"443,239",2.10,"198,672",8.80,"8,292",-,"186,249",40.21,"-177,957",-,"37,416",5.63,"48,339",67.84,"8,457",13.66,844,-94.42,"20,224",26.85
1988,"765,439",17.72,"737,872",17.22,"27,567",33.08,"726,468",13.17,"485,901",9.63,"240,567",21.09,"38,971",-,"251,971",35.29,"-213,001",-,"61,730",64.98,"76,540",58.34,"9,504",12.37,"1,147",35.89,"25,461",25.89
1989,"921,575",20.40,"890,664",20.71,"30,911",12.13,"1,207,351",66.19,"577,967",18.95,"629,384",161.62,"-285,775",-,"312,697",24.10,"-598,473",-,"428,755",594.57,"117,397",53.38,"313,138","3,194.97","30,422","2,551.71","32,203",26.48
1990,"1,092,401",18.54,"1,053,410",18.27,"38,991",26.14,"1,097,518",-9.10,"702,812",21.60,"394,706",-37.29,"-5,116",-,"350,599",12.12,"-355,715",-,"41,510",-90.32,"15,831",-86.51,"72,855",-76.73,"22,053",-27.51,"69,229",114.98
1991,"1,049,931",-3.89,"997,536",-5.30,"52,395",34.38,"1,275,613",16.23,"823,188",17.13,"452,425",14.62,"-225,682",-,"174,348",-50.27,"-400,030",-,"247,743",496.83,"145,003",815.93,"136,605",87.50,"107,147",385.86,"141,012",103.69
1992,"1,257,568",19.78,"1,218,653",22.17,"38,915",-25.73,"1,561,930",22.45,"919,058",11.65,"642,872",42.09,"-304,362",-,"299,595",71.84,"-603,957",-,"319,047",28.78,"312,903",115.79,"89,133",-34.75,"51,197",-52.22,"134,186",-4.84
1993,"1,416,334",12.62,"1,352,986",11.02,"63,348",62.79,"1,756,306",12.44,"1,025,405",11.57,"730,902",13.69,"-339,972",-,"327,581",9.34,"-667,553",-,"375,047",17.55,"340,886",8.94,"99,609",11.75,"37,540",-26.68,"102,988",-23.25
1994,"1,502,754",6.10,"1,441,922",6.57,"60,832",-3.97,"1,826,367",3.99,"1,163,298",13.45,"663,069",-9.28,"-323,613",-,"278,624",-14.95,"-602,237",-,"334,367",-10.85,"108,327",-68.22,"231,135",132.04,"82,280",119.18,"87,375",-15.16
1995,"1,559,429",3.77,"1,522,624",5.60,"36,805",-39.50,"1,910,066",4.58,"1,328,425",14.19,"581,641",-12.28,"-350,637",-,"194,199",-30.30,"-544,836",-,"378,445",13.18,"75,104",-30.67,"389,432",68.49,"78,771",-4.26,"164,863",88.68
1996,"1,604,184",2.87,"1,550,943",1.86,"53,241",44.66,"1,843,786",-3.47,"1,383,725",4.16,"460,061",-20.90,"-239,602",-,"167,218",-13.89,"-406,820",-,"257,682",-31.91,"115,769",54.14,"249,676",-35.89,"54,348",-31.01,"162,111",-1.67
1997,"1,704,759",6.27,"1,629,420",5.06,"75,338",41.50,"1,878,764",1.90,"1,463,449",5.76,"415,315",-9.73,"-174,005",-,"165,972",-0.75,"-339,976",-,"181,318",-29.63,"136,265",17.70,"199,991",-19.90,"33,049",-39.19,"187,988",15.96
1998,"2,053,458",20.45,"1,960,620",20.33,"92,838",23.23,"1,992,593",6.06,"1,545,052",5.58,"447,542",7.76,"60,865",-,"415,568",150.38,"-354,704",-,"59,827",-67.00,"59,904",-56.04,"176,262",-11.86,"35,726",8.10,"212,065",12.81
1999,"2,004,394",-2.39,"1,867,081",-4.77,"137,313",47.91,"2,050,004",2.88,"1,554,405",0.61,"495,598",10.74,"-45,609",-,"312,676",-24.76,"-358,286",-,"45,900",-23.28,"77,558",29.47,"112,444",-36.21,"23,739",-33.55,"167,842",-20.85
2000,"2,784,863",38.94,"2,679,563",43.52,"105,299",-23.31,"3,140,936",53.22,"2,529,683",62.74,"611,253",23.34,"-356,074",-,"149,880",-52.07,"-505,954",-,"376,319",719.87,"482,119",521.62,"87,332",-22.33,"37,634",58.53,"230,766",37.49
2001,"1,896,841",-31.89,"1,809,035",-32.49,"87,805",-16.61,"2,271,755",-27.67,"1,771,630",-29.97,"500,125",-18.18,"-374,915",-,"37,405",-75.04,"-412,320",-,"293,575",-21.99,"332,948",-30.94,"99,180",13.57,"15,862",-57.85,"154,415",-33.09
