期間,總指數(含食物)_原始值,總指數(含食物)_年增率(%),商品類(含食物)_原始值,商品類(含食物)_年增率(%),商品類(不含食物)_原始值,商品類(不含食物)_年增率(%),非耐久性消費品(含食物)_原始值,非耐久性消費品(含食物)_年增率(%),非耐久性消費品(不含食物)_原始值,非耐久性消費品(不含食物)_年增率(%),半耐久性消費品_原始值,半耐久性消費品_年增率(%),耐久性消費品_原始值,耐久性消費品_年增率(%),服務類_原始值,服務類_年增率(%),外食費_原始值,外食費_年增率(%),衣著服務_原始值,衣著服務_年增率(%),居住服務_原始值,居住服務_年增率(%),交通及通訊服務_原始值,交通及通訊服務_年增率(%),醫藥保健服務_原始值,醫藥保健服務_年增率(%),教養娛樂服務_原始值,教養娛樂服務_年增率(%),教養服務_原始值,教養服務_年增率(%),娛樂服務_原始值,娛樂服務_年增率(%),雜項服務_原始值,雜項服務_年增率(%)
1981,59.97,-,68.36,-,91.10,-,55.70,-,73.06,-,89.20,-,141.75,-,48.43,-,50.44,-,48.20,-,57.82,-,70.88,-,41.51,-,25.53,-,23.76,-,37.76,-,41.48,-
1982,61.74,2.95,70.27,2.79,92.13,1.13,57.61,3.43,74.32,1.72,90.54,1.50,140.91,-0.59,50.02,3.28,52.87,4.82,50.14,4.02,59.35,2.65,71.58,0.99,41.90,0.94,27.62,8.19,25.93,9.13,38.96,3.18,42.77,3.11
1983,62.59,1.38,70.73,0.65,91.84,-0.31,57.96,0.61,73.25,-1.44,91.08,0.60,142.47,1.11,51.39,2.74,53.16,0.55,51.32,2.35,61.45,3.54,72.12,0.75,41.89,-0.02,29.02,5.07,27.35,5.48,39.87,2.34,43.49,1.68
1984,62.57,-0.03,69.77,-1.36,92.11,0.29,56.85,-1.92,73.19,-0.08,92.67,1.75,141.52,-0.67,52.66,2.47,54.28,2.11,52.55,2.40,62.15,1.14,74.59,3.42,43.77,4.49,30.19,4.03,28.51,4.24,40.94,2.68,46.45,6.81
1985,62.47,-0.16,68.59,-1.69,91.34,-0.84,55.75,-1.93,72.55,-0.87,92.65,-0.02,139.18,-1.65,54.05,2.64,55.13,1.57,53.02,0.89,62.75,0.97,75.55,1.29,46.47,6.17,32.42,7.39,30.76,7.89,42.67,4.23,47.09,1.38
1986,62.90,0.69,68.84,0.36,89.27,-2.27,56.09,0.61,69.57,-4.11,91.06,-1.72,140.84,1.19,54.74,1.28,55.53,0.73,52.76,-0.49,63.26,0.81,75.77,0.29,46.94,1.01,33.93,4.66,32.26,4.88,43.97,3.05,45.92,-2.48
1987,63.23,0.52,68.75,-0.13,87.85,-1.59,56.19,0.18,68.10,-2.11,89.90,-1.27,139.61,-0.87,55.58,1.53,56.10,1.03,53.19,0.82,64.03,1.22,75.70,-0.09,49.11,4.62,34.65,2.12,33.01,2.32,44.49,1.18,46.97,2.29
1988,64.04,1.28,68.76,0.01,86.64,-1.38,56.30,0.20,66.56,-2.26,91.49,1.77,135.08,-3.24,57.40,3.27,57.44,2.39,55.13,3.65,65.78,2.73,78.96,4.31,49.39,0.57,36.85,6.35,35.37,7.15,45.86,3.08,48.59,3.45
1989,66.87,4.42,70.66,2.76,85.71,-1.07,58.50,3.91,65.67,-1.34,91.98,0.54,131.77,-2.45,61.36,6.90,61.44,6.96,58.00,5.21,70.17,6.67,83.53,5.79,52.36,6.01,39.58,7.41,38.23,8.09,47.88,4.40,54.49,12.14
1990,69.63,4.13,71.82,1.64,85.82,0.13,59.87,2.34,66.32,0.99,92.21,0.25,129.37,-1.82,66.10,7.72,66.19,7.73,62.05,6.98,75.69,7.87,85.49,2.35,54.81,4.68,44.37,12.10,42.65,11.56,54.89,14.64,60.42,10.88
1991,72.15,3.62,72.61,1.10,87.48,1.93,60.67,1.34,68.70,3.59,93.09,0.95,128.96,-0.32,70.76,7.05,69.23,4.59,66.02,6.40,80.69,6.61,91.34,6.84,57.40,4.73,49.11,10.68,47.30,10.90,60.16,9.60,66.09,9.38
1992,75.37,4.46,75.75,4.32,87.69,0.24,64.53,6.36,69.14,0.64,94.43,1.44,126.85,-1.64,74.05,4.65,71.34,3.05,69.41,5.13,84.39,4.59,92.16,0.90,61.44,7.04,53.02,7.96,51.65,9.20,62.20,3.39,69.09,4.54
1993,77.59,2.95,76.80,1.39,87.56,-0.15,66.01,2.29,69.54,0.58,92.47,-2.08,127.74,0.70,77.59,4.78,73.16,2.55,74.57,7.43,88.07,4.36,94.44,2.47,62.42,1.60,58.17,9.71,57.28,10.90,65.39,5.13,74.64,8.03
1994,80.77,4.10,79.57,3.61,87.83,0.31,69.20,4.83,69.46,-0.12,92.19,-0.30,129.80,1.61,81.22,4.68,74.93,2.42,78.64,5.46,92.39,4.91,96.25,1.92,63.95,2.45,62.82,7.99,62.14,8.48,69.36,6.07,79.37,6.34
1995,83.73,3.66,82.39,3.54,90.26,2.77,71.83,3.80,71.24,2.56,95.49,3.58,132.78,2.30,84.32,3.82,77.88,3.94,81.60,3.76,95.99,3.90,97.69,1.50,64.82,1.36,66.21,5.40,65.61,5.58,72.50,4.53,83.92,5.73
1996,86.31,3.08,84.70,2.80,91.89,1.81,74.13,3.20,72.50,1.77,98.58,3.24,133.35,0.43,87.17,3.38,80.69,3.61,85.48,4.75,98.46,2.57,99.54,1.89,65.88,1.64,70.92,7.11,70.87,8.02,74.89,3.30,86.24,2.76
1997,87.09,0.90,84.36,-0.40,92.37,0.52,73.89,-0.32,73.89,1.92,99.10,0.53,131.02,-1.75,89.22,2.35,82.50,2.24,86.90,1.66,99.59,1.15,100.33,0.79,67.84,2.98,74.83,5.51,75.16,6.05,77.22,3.11,90.14,4.52
1998,88.56,1.69,85.51,1.36,91.19,-1.28,76.43,3.44,74.04,0.20,96.28,-2.85,128.69,-1.78,91.08,2.08,84.33,2.22,87.72,0.94,100.90,1.32,100.10,-0.23,68.83,1.46,78.29,4.62,79.10,5.24,78.88,2.15,93.42,3.64
1999,88.71,0.17,84.33,-1.38,90.08,-1.22,75.50,-1.22,73.58,-0.62,95.12,-1.20,125.87,-2.19,92.61,1.68,85.85,1.80,90.56,3.24,101.37,0.47,100.61,0.51,72.89,5.90,81.65,4.29,83.33,5.35,80.21,1.69,95.24,1.95
2000,89.82,1.25,84.94,0.72,91.09,1.12,76.49,1.31,76.00,3.29,95.29,0.18,124.23,-1.30,94.24,1.76,86.70,0.99,91.34,0.86,101.55,0.18,101.76,1.14,77.53,6.37,85.57,4.80,87.76,5.32,83.00,3.48,98.60,3.53
2001,89.82,0.00,83.98,-1.13,90.16,-1.02,75.85,-0.84,75.93,-0.09,94.11,-1.24,121.33,-2.33,95.23,1.05,86.91,0.24,91.53,0.21,101.36,-0.19,103.52,1.73,79.42,2.44,88.62,3.56,92.09,4.93,83.08,0.10,100.36,1.78
2002,89.64,-0.20,83.91,-0.08,90.26,0.11,76.18,0.44,77.25,1.74,93.71,-0.43,118.83,-2.06,94.94,-0.30,87.16,0.29,90.82,-0.78,100.36,-0.99,101.65,-1.81,81.30,2.37,89.41,0.89,93.60,1.64,82.12,-1.16,100.28,-0.08
2003,89.39,-0.28,83.93,0.02,90.12,-0.16,76.70,0.68,78.11,1.11,94.10,0.42,114.94,-3.27,94.41,-0.56,86.18,-1.12,90.20,-0.68,99.29,-1.07,100.91,-0.73,85.46,5.12,89.45,0.04,94.01,0.44,81.25,-1.06,99.19,-1.09
2004,90.83,1.61,86.39,2.93,91.14,1.13,79.93,4.21,79.80,2.16,96.06,2.08,113.05,-1.64,94.88,0.50,86.95,0.89,90.11,-0.10,98.74,-0.55,101.34,0.43,87.50,2.39,90.99,1.72,94.99,1.04,84.17,3.59,100.79,1.61
2005,92.92,2.30,89.94,4.11,91.43,0.32,85.12,6.49,81.38,1.98,95.97,-0.09,110.41,-2.34,95.59,0.75,88.26,1.51,90.52,0.45,98.78,0.04,101.63,0.29,92.41,5.61,91.94,1.04,96.20,1.27,84.50,0.39,100.73,-0.06
2006,93.48,0.60,90.44,0.56,93.10,1.83,86.47,1.59,86.08,5.78,93.92,-2.14,108.55,-1.68,96.20,0.64,88.86,0.68,91.83,1.45,99.00,0.22,100.99,-0.63,96.54,4.47,93.23,1.40,97.15,0.99,86.66,2.56,100.95,0.22
2007,95.16,1.80,92.93,2.75,95.51,2.59,89.54,3.55,89.84,4.37,95.72,1.92,108.08,-0.43,97.11,0.95,91.08,2.50,93.16,1.45,99.25,0.25,101.57,0.57,96.98,0.46,94.94,1.83,97.89,0.76,90.74,4.71,100.76,-0.19
2008,98.51,3.52,97.54,4.96,97.58,2.17,95.85,7.05,93.65,4.24,97.13,1.47,106.55,-1.42,99.32,2.28,97.87,7.45,97.19,4.33,99.93,0.69,102.83,1.24,98.08,1.13,97.75,2.96,98.71,0.84,96.39,6.23,99.73,-1.02
2009,97.66,-0.86,95.95,-1.63,95.57,-2.06,94.68,-1.22,92.24,-1.51,96.89,-0.25,101.51,-4.73,99.05,-0.27,98.55,0.69,99.13,2.00,99.60,-0.33,101.71,-1.09,99.14,1.08,97.04,-0.73,98.91,0.20,94.38,-2.09,99.54,-0.19
2010,98.60,0.96,97.67,1.79,97.86,2.40,97.12,2.58,96.75,4.89,97.76,0.90,100.36,-1.13,99.36,0.31,98.58,0.03,99.04,-0.09,99.61,0.01,101.14,-0.56,99.66,0.52,98.46,1.46,99.12,0.21,97.52,3.33,99.60,0.06
2011,100.00,1.42,100.00,2.39,100.00,2.19,100.00,2.97,100.00,3.36,100.00,2.29,100.00,-0.36,100.00,0.64,100.00,1.44,100.00,0.97,100.00,0.39,100.00,-1.13,100.00,0.34,100.00,1.56,100.00,0.89,100.00,2.54,100.00,0.40
2012,101.93,1.93,103.38,3.38,102.19,2.19,104.46,4.46,103.61,3.61,101.56,1.56,99.70,-0.30,100.75,0.75,102.32,2.32,101.15,1.15,100.55,0.55,97.65,-2.35,100.81,0.81,101.47,1.47,100.35,0.35,103.05,3.05,101.27,1.27
2013,102.74,0.79,104.19,0.78,102.82,0.62,106.09,1.56,105.86,2.17,101.61,0.05,97.87,-1.84,101.49,0.73,103.90,1.54,101.69,0.53,101.17,0.62,97.35,-0.31,101.81,0.99,102.61,1.12,100.92,0.57,104.93,1.82,101.37,0.10
