期間,總指數(不含食物)_原始值,總指數(不含食物)_年增率(%),總指數(不含蔬菜水果)_原始值,總指數(不含蔬菜水果)_年增率(%),總指數(不含蔬果及能源)【即核心物價】_原始值,總指數(不含蔬果及能源)【即核心物價】_年增率(%),總指數(不含食物及能源)_原始值,總指數(不含食物及能源)_年增率(%),總指數(不含蔬果水產及能源)_原始值,總指數(不含蔬果水產及能源)_年增率(%),總指數(不含設算租金)_原始值,總指數(不含設算租金)_年增率(%)
1981,63.64,-,63.23,-,62.29,-,62.06,-,63.35,-,59.19,-
1982,65.02,2.17,65.06,2.89,64.18,3.03,63.51,2.34,65.24,2.98,60.97,3.01
1983,65.92,1.38,65.43,0.57,64.74,0.87,64.75,1.95,65.77,0.81,61.60,1.03
1984,66.89,1.47,66.00,0.87,65.38,0.99,65.87,1.73,66.57,1.22,61.48,-0.19
1985,67.60,1.06,65.48,-0.79,64.92,-0.70,66.77,1.37,66.03,-0.81,61.28,-0.33
1986,67.39,-0.31,65.80,0.49,65.66,1.14,67.20,0.64,66.78,1.14,61.70,0.69
1987,67.47,0.12,65.83,0.05,65.91,0.38,67.63,0.64,66.98,0.30,62.01,0.50
1988,68.29,1.22,66.52,1.05,67.07,1.76,69.18,2.29,68.07,1.63,62.80,1.27
1989,70.57,3.34,68.99,3.71,69.86,4.16,71.92,3.96,70.93,4.20,65.57,4.41
1990,73.73,4.48,71.26,3.29,72.15,3.28,75.21,4.57,73.28,3.31,68.03,3.75
1991,77.54,5.17,74.12,4.01,74.89,3.80,78.93,4.95,76.16,3.93,70.23,3.23
1992,79.76,2.86,76.42,3.10,77.45,3.42,81.51,3.27,78.51,3.09,73.40,4.51
1993,82.06,2.88,78.63,2.89,79.84,3.09,84.06,3.13,80.79,2.90,75.38,2.70
1994,84.59,3.08,81.00,3.01,82.49,3.32,87.01,3.51,83.39,3.22,78.40,4.01
1995,87.45,3.38,83.84,3.51,85.43,3.56,90.02,3.46,86.32,3.51,81.32,3.72
1996,89.84,2.73,86.42,3.08,88.18,3.22,92.63,2.90,89.03,3.14,83.92,3.20
1997,91.32,1.65,87.54,1.30,89.17,1.12,93.95,1.43,89.89,0.97,84.64,0.86
1998,91.99,0.73,88.39,0.97,90.11,1.05,94.73,0.83,90.83,1.05,86.12,1.75
1999,92.48,0.53,89.30,1.03,91.22,1.23,95.46,0.77,91.89,1.17,86.19,0.08
2000,93.95,1.59,90.29,1.11,91.85,0.69,96.47,1.06,92.46,0.62,87.49,1.51
2001,94.27,0.34,90.29,0.00,91.79,-0.07,96.74,0.28,92.54,0.09,87.51,0.02
2002,94.07,-0.21,90.71,0.47,92.39,0.65,96.73,-0.01,93.17,0.68,87.48,-0.03
2003,93.76,-0.33,90.45,-0.29,91.89,-0.54,96.06,-0.69,92.61,-0.60,87.38,-0.11
2004,94.40,0.68,91.38,1.03,92.59,0.76,96.38,0.33,93.26,0.70,89.23,2.12
2005,94.89,0.52,92.27,0.97,93.27,0.73,96.53,0.16,93.88,0.66,91.76,2.84
2006,95.91,1.07,93.16,0.96,93.76,0.53,97.03,0.52,94.37,0.52,92.38,0.68
2007,97.25,1.40,94.73,1.69,95.13,1.46,98.05,1.05,95.65,1.36,94.36,2.14
2008,98.87,1.67,97.98,3.43,98.23,3.26,99.31,1.29,98.59,3.07,98.26,4.13
2009,97.84,-1.04,97.53,-0.46,98.19,-0.04,98.76,-0.55,98.45,-0.14,97.29,-0.99
2010,98.91,1.09,98.54,1.04,98.76,0.58,99.25,0.50,98.89,0.45,98.39,1.13
2011,100.00,1.10,100.00,1.48,100.00,1.26,100.00,0.76,100.00,1.12,100.00,1.64
2012,101.07,1.07,101.30,1.30,101.00,1.00,100.64,0.64,100.93,0.93,102.18,2.18
2013,101.67,0.59,102.13,0.82,101.67,0.66,101.00,0.36,101.58,0.64,103.02,0.82
