期間,總指數_原始值,總指數_年增率(%),依內外銷-一、內銷品_原始值,依內外銷-一、內銷品_年增率(%),(一)國產內銷品_原始值,(一)國產內銷品_年增率(%),(二)進口品_原始值,(二)進口品_年增率(%),依內外銷--二、出口品_原始值,依內外銷--二、出口品_年增率(%),依產地來源--一、國產品_原始值,依產地來源--一、國產品_年增率(%),依產地來源--二、進口品_原始值,依產地來源--二、進口品_年增率(%)
1981,84.04,-,72.83,-,73.50,-,82.78,-,114.72,-,-,-,82.78,-
1982,83.89,-0.18,72.41,-0.58,73.16,-0.46,81.86,-1.11,115.91,1.04,-,-,81.86,-1.11
1983,82.90,-1.18,71.49,-1.27,72.65,-0.70,79.83,-2.48,114.87,-0.90,-,-,79.83,-2.48
1984,83.30,0.48,71.89,0.56,73.13,0.66,79.13,-0.88,115.10,0.20,-,-,79.13,-0.88
1985,81.13,-2.61,69.45,-3.39,70.73,-3.28,77.96,-1.48,114.94,-0.14,-,-,77.96,-1.48
1986,78.42,-3.34,67.33,-3.05,70.25,-0.68,67.80,-13.03,110.08,-4.23,-,-,67.80,-13.03
1987,75.87,-3.25,66.40,-1.38,69.91,-0.48,62.82,-7.35,101.97,-7.37,-,-,62.82,-7.35
1988,74.68,-1.57,65.70,-1.05,69.70,-0.30,62.20,-0.99,99.26,-2.66,-,-,62.20,-0.99
1989,74.40,-0.37,66.34,0.97,70.62,1.32,58.87,-5.35,95.57,-3.72,-,-,58.87,-5.35
1990,73.96,-0.59,65.12,-1.84,68.82,-2.55,60.25,2.34,97.93,2.47,-,-,60.25,2.34
1991,74.08,0.16,65.09,-0.05,69.36,0.78,58.56,-2.80,98.45,0.53,82.42,-,58.56,-2.80
1992,71.36,-3.67,63.13,-3.01,68.50,-1.24,54.51,-6.92,93.16,-5.37,80.18,-2.72,54.51,-6.92
1993,73.15,2.51,64.08,1.50,68.62,0.18,57.04,4.64,97.99,5.18,81.72,1.92,57.04,4.64
1994,74.74,2.17,65.87,2.79,69.82,1.75,59.96,5.12,98.55,0.57,82.80,1.32,59.96,5.12
1995,80.25,7.37,70.84,7.55,74.26,6.36,66.04,10.14,105.34,6.89,88.22,6.55,66.04,10.14
1996,79.45,-1.00,69.42,-2.00,72.94,-1.78,64.40,-2.48,107.10,1.67,87.74,-0.54,64.40,-2.48
1997,79.08,-0.47,68.43,-1.43,71.88,-1.45,63.50,-1.40,109.29,2.04,87.59,-0.17,63.50,-1.40
1998,79.55,0.59,67.49,-1.37,70.64,-1.73,63.96,0.72,115.39,5.58,88.29,0.80,63.96,0.72
1999,75.94,-4.54,65.74,-2.59,69.46,-1.67,61.35,-4.08,105.54,-8.54,84.13,-4.71,61.35,-4.08
2000,77.32,1.82,67.74,3.04,70.85,2.00,64.18,4.61,104.62,-0.87,84.78,0.77,64.18,4.61
2001,76.28,-1.35,66.35,-2.05,69.01,-2.60,63.38,-1.25,104.95,0.32,83.62,-1.37,63.38,-1.25
2002,76.32,0.05,66.84,0.74,69.68,0.97,63.63,0.39,103.39,-1.49,83.55,-0.08,63.63,0.39
2003,78.21,2.48,69.74,4.34,72.37,3.86,66.90,5.14,101.84,-1.50,84.71,1.39,66.90,5.14
2004,83.71,7.03,76.36,9.49,79.81,10.28,72.64,8.58,103.49,1.62,90.08,6.34,72.64,8.58
2005,84.22,0.61,77.82,1.91,81.00,1.49,74.40,2.42,100.94,-2.46,89.87,-0.23,74.40,2.42
2006,88.96,5.63,83.18,6.89,85.26,5.26,80.96,8.82,103.46,2.50,93.54,4.08,80.96,8.82
2007,94.72,6.47,89.49,7.59,90.71,6.39,88.20,8.94,107.14,3.56,98.41,5.21,88.20,8.94
2008,99.59,5.14,97.17,8.58,98.46,8.54,96.00,8.84,104.84,-2.15,101.60,3.24,96.00,8.84
2009,90.90,-8.73,87.65,-9.80,88.61,-10.00,86.78,-9.60,97.93,-6.59,93.21,-8.26,86.78,-9.60
2010,95.86,5.46,93.99,7.23,95.20,7.44,92.89,7.04,99.91,2.02,97.52,4.62,92.89,7.04
2011,100.00,4.32,100.00,6.39,100.00,5.04,100.00,7.65,100.00,0.09,100.00,2.54,100.00,7.65
2012,98.84,-1.16,99.05,-0.95,99.41,-0.59,98.72,-1.28,98.38,-1.62,98.90,-1.10,98.72,-1.28
2013,96.44,-2.43,96.41,-2.67,98.70,-0.71,94.33,-4.45,96.35,-2.06,97.58,-1.33,94.33,-4.45
